country	geonames_id	#bird_species	#_bird_obs
Afghanistan	1149361	285	11480
Albania	783754	240	3223
Algeria	2589581	326	7658
Andorra	3041565	151	20571
Angola	3351879	934	12269
Antigua_and_Barbuda	3576396	101	4948
Argentina	3865483	1212	677832
Armenia	174982	245	5385
Aruba	3577279	214	14392
Australia	2077456	861	3999264
Austria	2782113	428	1155919
Azerbaijan	587116	317	3172
Bahrain	290291	167	1657
Bangladesh	1210997	262	1284
Barbados	3374084	131	7368
Belarus	630336	269	13372
Belgium	2802361	441	2904556
Belize	3582678	607	476063
Benin	2395170	418	7756
Bermuda	3573345	366	71472
Bhutan	1252634	628	42381
Bolivia	3923057	1683	243394
Bosnia_and_Herzegovina	3277605	254	5107
Botswana	933860	680	275032
Brazil	3469034	2028	741393
Brunei	1820814	186	870
Bulgaria	732800	349	19280
Burkina_Faso	2361809	315	2606
Burundi	433561	424	3284
Cambodia	1831722	599	51053
Cameroon	2233387	975	27493
Canada	6251999	876	20424137
Cape_Verde	3374766	80	775
Central_African_Republic	239880	516	4967
Chad	2434508	344	2102
Chile	3895114	555	883164
Colombia	3686110	2174	1559552
Comoros	921929	63	278
Cook_Islands	1899402	0	0
Costa_Rica	3624060	1131	2202182
Croatia	3202326	344	20990
Cuba	3562981	278	58756
Curacao	7626836	55	191
Cyprus	146669	260	8333
Czech_Republic	3077311	294	25795
Democratic_Republic_of_the_Congo	203312	1305	137022
Denmark	2623032	513	8051977
Djibouti	223816	134	294
Dominica	3575830	124	12628
Dominican_Republic	3508796	292	72051
Ecuador	3658394	1912	1288839
Egypt	357994	401	19791
El_Salvador	3585968	605	132837
Equatorial_Guinea	2309096	319	5153
Eritrea	338010	258	1078
Estonia	453733	357	379070
Ethiopia	337996	892	55184
Faroe_Islands	2622320	83	3308
Federated_States_of_Micronesia	2081918	83	1804
Fiji	2205218	98	17847
Finland	660013	548	11838276
France	3017382	632	2586786
Gabon	2400553	550	6370
Georgia	614540	213	3767
Germany	2921044	716	6368937
Ghana	2300660	767	61111
Greece	390903	417	76154
Grenada	3580239	109	10657
Guatemala	3595528	838	332890
Guinea_Bissau	2372248	172	877
Guinea	2420477	524	5204
Guyana	3378535	881	65472
Haiti	3723988	223	19316
Honduras	3608932	171	3808
Hungary	719819	345	65936
Iceland	2629691	247	254857
India	1269750	1491	916826
Indonesia	1643084	1849	134995
Iran	130758	470	39381
Iraq	99237	266	8964
Ireland	2963597	384	1230289
Israel	294640	499	397581
Italy	3175395	478	109851
Ivory_Coast	2287781	613	37423
Jamaica	3489940	265	136532
Japan	1861060	452	57580
Jordan	248816	318	10205
Kazakhstan	1522867	427	24405
Kenya	192950	1300	266441
