taxonName	taxonPath	recordCount
Plantae	Plantae|||||||Plantae	15516
Capreolus capreolus (Linnaeus, 1758)	Animalia|Chordata|Mammalia|Artiodactyla|Cervidae|Capreolus|capreolus|Capreolus capreolus (Linnaeus, 1758)	3538
Rupicapra pyrenaica subsp. pyrenaica	Animalia|Chordata|Mammalia|Artiodactyla|Bovidae|Rupicapra|pyrenaica|Rupicapra pyrenaica subsp. pyrenaica	2905
Carex nigra (L.) Reichard	Plantae|Tracheophyta|Liliopsida|Poales|Cyperaceae|Carex|nigra|Carex nigra (L.) Reichard	1775
Ovis musimon Pallas, 1762	Animalia|Chordata|Mammalia|Artiodactyla|Bovidae|Ovis|musimon|Ovis musimon Pallas, 1762	1715
Carex nigra (L.) Reichard	Plantae|Magnoliophyta|Liliopsida|Poales|Cyperaceae|Carex|nigra|Carex nigra (L.) Reichard	1679
Nardus stricta L.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Nardus|stricta|Nardus stricta L.	1395
Nardus stricta L.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Nardus|stricta|Nardus stricta L.	1291
Parnassia palustris L.	Plantae|Tracheophyta|Magnoliopsida|Celastrales|Celastraceae|Parnassia|palustris|Parnassia palustris L.	1200
Parnassia palustris L.	Plantae|Magnoliophyta|Magnoliopsida|Celastrales|Celastraceae|Parnassia|palustris|Parnassia palustris L.	1135
Leontodon duboisii Sennen	Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Scorzoneroides|duboisii|Leontodon duboisii Sennen	1124
Selinum pyrenaeum (L.) Gouan	Plantae|Tracheophyta|Magnoliopsida|Apiales|Apiaceae|Angelica|pyrenaeum|Selinum pyrenaeum (L.) Gouan	1094
Leontodon duboisii Sennen	Plantae|Magnoliophyta|Magnoliopsida|Asterales|Asteraceae|Scorzoneroides|duboisii|Leontodon duboisii Sennen	1079
Selinum pyrenaeum (L.) Gouan	Plantae|Magnoliophyta|Magnoliopsida|Apiales|Apiaceae|Selinum|pyrenaeum|Selinum pyrenaeum (L.) Gouan	1032
Carex flava var. lepidocarpa (Tausch) Gord.	Plantae|Tracheophyta|Liliopsida|Poales|Cyperaceae|Carex|flava|Carex flava var. lepidocarpa (Tausch) Gord.	998
Carex flava L.	Plantae|Magnoliophyta|Liliopsida|Poales|Cyperaceae|Carex|flava|Carex flava L.	979
Carex echinata Murray	Plantae|Tracheophyta|Liliopsida|Poales|Cyperaceae|Carex|echinata|Carex echinata Murray	967
Primula integrifolia L.	Plantae|Tracheophyta|Magnoliopsida|Ericales|Primulaceae|Primula|integrifolia|Primula integrifolia L.	943
Gyps fulvus (Hablizl, 1783)	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Gyps|fulvus|Gyps fulvus (Hablizl, 1783)	932
Scirpus cespitosus L.	Plantae|Tracheophyta|Liliopsida|Poales|Cyperaceae|Trichophorum|cespitosus|Scirpus cespitosus L.	927
Sus scrofa Linnaeus, 1758	Animalia|Chordata|Mammalia|Artiodactyla|Suidae|Sus|scrofa|Sus scrofa Linnaeus, 1758	908
Primula integrifolia Oed.	Plantae|Magnoliophyta|Magnoliopsida|Ericales|Primulaceae|Primula|integrifolia|Primula integrifolia Oed.	904
Scirpus cespitosus L.	Plantae|Magnoliophyta|Liliopsida|Poales|Cyperaceae|Trichophorum|cespitosus|Scirpus cespitosus L.	896
Carex echinata Murray	Plantae|Magnoliophyta|Liliopsida|Poales|Cyperaceae|Carex|echinata|Carex echinata Murray	887
Vulpes vulpes (Linnaeus, 1758)	Animalia|Chordata|Mammalia|Carnivora|Canidae|Vulpes|vulpes|Vulpes vulpes (Linnaeus, 1758)	879
Calluna vulgaris (L.) Hull	Plantae|Tracheophyta|Magnoliopsida|Ericales|Ericaceae|Calluna|vulgaris|Calluna vulgaris (L.) Hull	851
Juncus alpinus Vill.	Plantae|Tracheophyta|Liliopsida|Poales|Juncaceae|Juncus|alpinus|Juncus alpinus Vill.	840
Phoenicurus ochruros (S. G. Gmelin, 1774)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Phoenicurus|ochruros|Phoenicurus ochruros (S. G. Gmelin, 1774)	805
Juncus alpinus Vill.	Plantae|Magnoliophyta|Liliopsida|Poales|Juncaceae|Juncus|alpinus|Juncus alpinus Vill.	804
Garrulus glandarius (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Corvidae|Garrulus|glandarius|Garrulus glandarius (Linnaeus, 1758)	785
Corvus corax Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Corvidae|Corvus|corax|Corvus corax Linnaeus, 1758	784
Turdus merula Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Turdidae|Turdus|merula|Turdus merula Linnaeus, 1758	754
Falco tinnunculus Linnaeus, 1758	Animalia|Chordata|Aves|Falconiformes|Falconidae|Falco|tinnunculus|Falco tinnunculus Linnaeus, 1758	749
Caltha palustris L.	Plantae|Tracheophyta|Magnoliopsida|Ranunculales|Ranunculaceae|Caltha|palustris|Caltha palustris L.	738
Pedicularis pyrenaica J.Gay	Plantae|Magnoliophyta|Magnoliopsida|Lamiales|Orobanchaceae|Pedicularis|pyrenaica|Pedicularis pyrenaica J.Gay	729
Calluna vulgaris (L.) Hull	Plantae|Magnoliophyta|Magnoliopsida|Ericales|Ericaceae|Calluna|vulgaris|Calluna vulgaris (L.) Hull	722
Phleum alpinum L.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Phleum|alpinum|Phleum alpinum L.	720
Caltha palustris L.	Plantae|Magnoliophyta|Magnoliopsida|Ranunculales|Ranunculaceae|Caltha|palustris|Caltha palustris L.	705
Saxifraga stellaris L.	Plantae|Tracheophyta|Magnoliopsida|Saxifragales|Saxifragaceae|Micranthes|stellaris|Saxifraga stellaris L.	700
Fringilla coelebs Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Fringillidae|Fringilla|coelebs|Fringilla coelebs Linnaeus, 1758	699
Lepus europaeus Pallas, 1778	Animalia|Chordata|Mammalia|Lagomorpha|Leporidae|Lepus|europaeus|Lepus europaeus Pallas, 1778	697
Phleum alpinum L.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Phleum|alpinum|Phleum alpinum L.	683
Pedicularis pyrenaica J.Gay	Plantae|Tracheophyta|Magnoliopsida|Lamiales|Orobanchaceae|Pedicularis|pyrenaica|Pedicularis pyrenaica J.Gay	675
Saxifraga stellaris L.	Plantae|Magnoliophyta|Magnoliopsida|Saxifragales|Saxifragaceae|Micranthes|stellaris|Saxifraga stellaris L.	670
