taxonName	taxonPath	recordCount
Loxodonta Anonymous, 1827	Animalia|Chordata|Mammalia|Proboscidea|Elephantidae|Loxodonta||Loxodonta Anonymous, 1827	1362
Hippotragus equinus (Desmarest, 1804)	Animalia|Chordata|Mammalia|Artiodactyla|Bovidae|Hippotragus|equinus|Hippotragus equinus (Desmarest, 1804)	1034
Redunca arundinum (Boddaert, 1785)	Animalia|Chordata|Mammalia|Artiodactyla|Bovidae|Redunca|arundinum|Redunca arundinum (Boddaert, 1785)	672
Tragelaphus strepsiceros (Pallas, 1766)	Animalia|Chordata|Mammalia|Artiodactyla|Bovidae|Tragelaphus|strepsiceros|Tragelaphus strepsiceros (Pallas, 1766)	626
Sylvicapra grimmia (Linnaeus, 1758)	Animalia|Chordata|Mammalia|Artiodactyla|Bovidae|Sylvicapra|grimmia|Sylvicapra grimmia (Linnaeus, 1758)	600
Hippopotamus amphibius Linnaeus, 1758	Animalia|Chordata|Mammalia|Artiodactyla|Hippopotamidae|Hippopotamus|amphibius|Hippopotamus amphibius Linnaeus, 1758	572
Diceros bicornis (Linnaeus, 1758)	Animalia|Chordata|Mammalia|Perissodactyla|Rhinocerotidae|Diceros|bicornis|Diceros bicornis (Linnaeus, 1758)	528
Taurotragus oryx (Pallas, 1766)	Animalia|Chordata|Mammalia|Artiodactyla|Bovidae|Taurotragus|oryx|Taurotragus oryx (Pallas, 1766)	504
Syncerus caffer subsp. nanus Boddaert, 1785	Animalia|Chordata|Mammalia|Artiodactyla|Bovidae|Syncerus|caffer|Syncerus caffer subsp. nanus Boddaert, 1785	502
Syncerus caffer subsp. caffer	Animalia|Chordata|Mammalia|Artiodactyla|Bovidae|Syncerus|caffer|Syncerus caffer subsp. caffer	494
Hypotrigona gribodoi (Magretti, 1884)	Animalia|Arthropoda|Insecta|Hymenoptera|Apidae|Hypotrigona|gribodoi|Hypotrigona gribodoi (Magretti, 1884)	480
Connochaetes taurinus (Burchell, 1823)	Animalia|Chordata|Mammalia|Artiodactyla|Bovidae|Connochaetes|taurinus|Connochaetes taurinus (Burchell, 1823)	434
Diaphorina Loew, 1880	Animalia|Arthropoda|Insecta|Hemiptera|Liviidae|Diaphorina||Diaphorina Loew, 1880	414
Raphicerus campestris (Thunberg, 1811)	Animalia|Chordata|Mammalia|Artiodactyla|Bovidae|Raphicerus|campestris|Raphicerus campestris (Thunberg, 1811)	376
Tragelaphus scriptus (Pallas, 1766)	Animalia|Chordata|Mammalia|Artiodactyla|Bovidae|Tragelaphus|scriptus|Tragelaphus scriptus (Pallas, 1766)	374
Tatera leucogaster (Peters, 1852)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Gerbilliscus|leucogaster|Tatera leucogaster (Peters, 1852)	358
Tatera leucogaster (Peters, 1852)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Tatera|leucogaster|Tatera leucogaster (Peters, 1852)	358
Kobus ellipsiprymnus subsp. defassa Rüppell, 1835	Animalia|Chordata|Mammalia|Artiodactyla|Bovidae|Kobus|ellipsiprymnus|Kobus ellipsiprymnus subsp. defassa Rüppell, 1835	352
Potamochoerus larvatus (F. Cuvier, 1822)	Animalia|Chordata|Mammalia|Artiodactyla|Suidae|Potamochoerus|larvatus|Potamochoerus larvatus (F. Cuvier, 1822)	334
Kobus leche Gray, 1850	Animalia|Chordata|Mammalia|Artiodactyla|Bovidae|Kobus|leche|Kobus leche Gray, 1850	334
Aepyceros melampus subsp. petersi Bocage, 1879	Animalia|Chordata|Mammalia|Artiodactyla|Bovidae|Aepyceros|melampus|Aepyceros melampus subsp. petersi Bocage, 1879	312
Lemniscomys griselda (Thomas, 1904)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Lemniscomys|griselda|Lemniscomys griselda (Thomas, 1904)	310
Rhoptropus barnardi Hewitt, 1926	Animalia|Chordata|Reptilia|Squamata|Gekkonidae|Rhoptropus|barnardi|Rhoptropus barnardi Hewitt, 1926	300
Rhoptropus boultoni Schmidt, 1933	Animalia|Chordata|Reptilia|Squamata|Gekkonidae|Rhoptropus|boultoni|Rhoptropus boultoni Schmidt, 1933	298
Phrynobatrachus natalensis (Smith, 1849)	Animalia|Chordata|Amphibia|Anura|Phrynobatrachidae|Phrynobatrachus|natalensis|Phrynobatrachus natalensis (Smith, 1849)	288
Phacochoerus africanus (Gmelin, 1788)	Animalia|Chordata|Mammalia|Artiodactyla|Suidae|Phacochoerus|africanus|Phacochoerus africanus (Gmelin, 1788)	286
Pennisetum glaucum (L.) R.Br.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Pennisetum|glaucum|Pennisetum glaucum (L.) R.Br.	283
Pennisetum glaucum (L.) R.Br.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Pennisetum|glaucum|Pennisetum glaucum (L.) R.Br.	283
Antidorcas marsupialis (Zimmermann, 1780)	Animalia|Chordata|Mammalia|Artiodactyla|Bovidae|Antidorcas|marsupialis|Antidorcas marsupialis (Zimmermann, 1780)	270
Uraeginthus angolensis (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Estrildidae|Uraeginthus|angolensis|Uraeginthus angolensis (Linnaeus, 1758)	269
Hippotragus niger subsp. variani Thomas, 1916	Animalia|Chordata|Mammalia|Artiodactyla|Bovidae|Hippotragus|niger|Hippotragus niger subsp. variani Thomas, 1916	248
Panthera leo (Linnaeus, 1758)	Animalia|Chordata|Mammalia|Carnivora|Felidae|Panthera|leo|Panthera leo (Linnaeus, 1758)	241
Equus burchellii (Gray, 1824)	Animalia|Chordata|Mammalia|Perissodactyla|Equidae|Equus|burchellii|Equus burchellii (Gray, 1824)	237
Equus burchellii Gray, 1824	Animalia|Chordata|Mammalia|Perissodactyla|Equidae|Equus|burchellii|Equus burchellii Gray, 1824	237
Pelomys campanae (Huet, 1888)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Pelomys|campanae|Pelomys campanae (Huet, 1888)	234
Ourebia ourebi (Zimmermann, 1783)	Animalia|Chordata|Mammalia|Artiodactyla|Bovidae|Ourebia|ourebi|Ourebia ourebi (Zimmermann, 1783)	232
Mabuya Fitzinger, 1826	Animalia|Chordata|Reptilia|Squamata|Scincidae|Mabuya||Mabuya Fitzinger, 1826	230
Hypotrigona araujoi (Michener, 1959)	Animalia|Arthropoda|Insecta|Hymenoptera|Apidae|Hypotrigona|araujoi|Hypotrigona araujoi (Michener, 1959)	226
Madoqua kirkii (Günther, 1880)	Animalia|Chordata|Mammalia|Artiodactyla|Bovidae|Madoqua|kirkii|Madoqua kirkii (Günther, 1880)	226
Giraffa camelopardalis (Linnaeus, 1758)	Animalia|Chordata|Mammalia|Artiodactyla|Giraffidae|Giraffa|camelopardalis|Giraffa camelopardalis (Linnaeus, 1758)	220
Rhoptropus W. Peters, 1869	Animalia|Chordata|Reptilia|Squamata|Gekkonidae|Rhoptropus||Rhoptropus W. Peters, 1869	199
Agama planiceps Peters, 1862	Animalia|Chordata|Reptilia|Squamata|Agamidae|Agama|planiceps|Agama planiceps Peters, 1862	198
Damaliscus lunatus (Burchell, 1823)	Animalia|Chordata|Mammalia|Artiodactyla|Bovidae|Damaliscus|lunatus|Damaliscus lunatus (Burchell, 1823)	196
Pycnonotus nigricans (Vieillot, 1818)	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Pycnonotus|nigricans|Pycnonotus nigricans (Vieillot, 1818)	190
Aethomys bocagei (Thomas, 1904)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Aethomys|bocagei|Aethomys bocagei (Thomas, 1904)	184
Oryx gazella (Linnaeus, 1758)	Animalia|Chordata|Mammalia|Artiodactyla|Bovidae|Oryx|gazella|Oryx gazella (Linnaeus, 1758)	182
Tilapia sparrmanii Smith, 1840	Animalia|Chordata|Actinopterygii|Perciformes|Cichlidae|Tilapia|sparrmanii|Tilapia sparrmanii Smith, 1840	179
Orycteropus afer (Pallas, 1766)	Animalia|Chordata|Mammalia|Tubulidentata|Orycteropodidae|Orycteropus|afer|Orycteropus afer (Pallas, 1766)	178
Oreotragus oreotragus (Zimmermann, 1783)	Animalia|Chordata|Mammalia|Artiodactyla|Bovidae|Oreotragus|oreotragus|Oreotragus oreotragus (Zimmermann, 1783)	178
Cephalophus nigrifrons Gray, 1871	Animalia|Chordata|Mammalia|Artiodactyla|Bovidae|Cephalophus|nigrifrons|Cephalophus nigrifrons Gray, 1871	172
