taxonName	taxonPath	recordCount
Tyrannus dominicensis (Gmelin, 1788)	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Tyrannus|dominicensis|Tyrannus dominicensis (Gmelin, 1788)	250
Coereba flaveola (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Coerebidae|Coereba|flaveola|Coereba flaveola (Linnaeus, 1758)	241
Zenaida aurita (Temminck, 1809)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Zenaida|aurita|Zenaida aurita (Temminck, 1809)	189
Pelecanus occidentalis Linnaeus, 1766	Animalia|Chordata|Aves|Pelecaniformes|Pelecanidae|Pelecanus|occidentalis|Pelecanus occidentalis Linnaeus, 1766	188
Bubulcus ibis (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Bubulcus|ibis|Bubulcus ibis (Linnaeus, 1758)	185
Fregata magnificens Mathews, 1914	Animalia|Chordata|Aves|Suliformes|Fregatidae|Fregata|magnificens|Fregata magnificens Mathews, 1914	184
Quiscalus lugubris Swainson, 1838	Animalia|Chordata|Aves|Passeriformes|Icteridae|Quiscalus|lugubris|Quiscalus lugubris Swainson, 1838	180
Columbina passerina (Linnaeus, 1758)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Columbina|passerina|Columbina passerina (Linnaeus, 1758)	170
Ardea alba Linnaeus, 1758	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Ardea|alba|Ardea alba Linnaeus, 1758	166
Patagioenas leucocephala (Linnaeus, 1758)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Patagioenas|leucocephala|Patagioenas leucocephala (Linnaeus, 1758)	158
Aedes taeniorhynchus (Wiedemann, 1821)	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Aedes|taeniorhynchus|Aedes taeniorhynchus (Wiedemann, 1821)	156
Aedes aegypti (Linnaeus, 1762)	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Aedes|aegypti|Aedes aegypti (Linnaeus, 1762)	146
Leucophaeus atricilla (Linnaeus, 1758)	Animalia|Chordata|Aves|Charadriiformes|Laridae|Leucophaeus|atricilla|Leucophaeus atricilla (Linnaeus, 1758)	143
Orthorhyncus cristatus (Linnaeus, 1758)	Animalia|Chordata|Aves|Apodiformes|Trochilidae|Orthorhyncus|cristatus|Orthorhyncus cristatus (Linnaeus, 1758)	141
Elaenia martinica (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Elaenia|martinica|Elaenia martinica (Linnaeus, 1766)	140
Egretta thula (Molina, 1782)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Egretta|thula|Egretta thula (Molina, 1782)	133
Eulampis holosericeus (Linnaeus, 1758)	Animalia|Chordata|Aves|Apodiformes|Trochilidae|Eulampis|holosericeus|Eulampis holosericeus (Linnaeus, 1758)	133
Anopheles albimanus Wiedemann, 1820	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Anopheles|albimanus|Anopheles albimanus Wiedemann, 1820	132
Loxigilla noctis (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Thraupidae|Loxigilla|noctis|Loxigilla noctis (Linnaeus, 1766)	119
Brachyphylla cavernarum Gray, 1834	Animalia|Chordata|Mammalia|Chiroptera|Phyllostomidae|Brachyphylla|cavernarum|Brachyphylla cavernarum Gray, 1834	117
Egretta caerulea (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Egretta|caerulea|Egretta caerulea (Linnaeus, 1758)	113
Gallinula galeata	Animalia|Chordata|Aves|Gruiformes|Rallidae|Gallinula|galeata|Gallinula galeata	104
Tiaris bicolor (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Thraupidae|Tiaris|bicolor|Tiaris bicolor (Linnaeus, 1766)	101
Culex quinquefasciatus Say, 1823	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Culex|quinquefasciatus|Culex quinquefasciatus Say, 1823	94
Himantopus mexicanus (Statius Muller, 1776)	Animalia|Chordata|Aves|Charadriiformes|Recurvirostridae|Himantopus|mexicanus|Himantopus mexicanus (Statius Muller, 1776)	89
Molossus molossus (Pallas, 1766)	Animalia|Chordata|Mammalia|Chiroptera|Molossidae|Molossus|molossus|Molossus molossus (Pallas, 1766)	88
Anas bahamensis Linnaeus, 1758	Animalia|Chordata|Aves|Anseriformes|Anatidae|Anas|bahamensis|Anas bahamensis Linnaeus, 1758	87
Culex bisulcatus (Coquillett, 1905)	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Culex|bisulcatus|Culex bisulcatus (Coquillett, 1905)	86
Loxigilla noctis (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Emberizidae|Loxigilla|noctis|Loxigilla noctis (Linnaeus, 1766)	86
Egretta tricolor (Statius Muller, 1776)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Egretta|tricolor|Egretta tricolor (Statius Muller, 1776)	79
Setophaga petechia (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Parulidae|Setophaga|petechia|Setophaga petechia (Linnaeus, 1766)	78
Tiaris bicolor (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Emberizidae|Tiaris|bicolor|Tiaris bicolor (Linnaeus, 1766)	76
Butorides virescens (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Butorides|virescens|Butorides virescens (Linnaeus, 1758)	75
Paratrechina longicornis (Latreille, 1802)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Paratrechina|longicornis|Paratrechina longicornis (Latreille, 1802)	74
Azteca Forel, 1878	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Azteca||Azteca Forel, 1878	66
Sternula antillarum Lesson, 1847	Animalia|Chordata|Aves|Charadriiformes|Laridae|Sternula|antillarum|Sternula antillarum Lesson, 1847	64
Buteo platypterus (Vieillot, 1823)	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Buteo|platypterus|Buteo platypterus (Vieillot, 1823)	62
Solenopsis geminata (Fabricius, 1804)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Solenopsis|geminata|Solenopsis geminata (Fabricius, 1804)	60
Vireo altiloquus (Vieillot, 1808)	Animalia|Chordata|Aves|Passeriformes|Vireonidae|Vireo|altiloquus|Vireo altiloquus (Vieillot, 1808)	58
Deinocerites magnus (Theobald, 1901)	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Deinocerites|magnus|Deinocerites magnus (Theobald, 1901)	56
Tapinoma melanocephalum (Fabricius, 1793)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Tapinoma|melanocephalum|Tapinoma melanocephalum (Fabricius, 1793)	54
Falco sparverius Linnaeus, 1758	Animalia|Chordata|Aves|Falconiformes|Falconidae|Falco|sparverius|Falco sparverius Linnaeus, 1758	53
Eleutherodactylus johnstonei Barbour, 1914	Animalia|Chordata|Amphibia|Anura|Eleutherodactylidae|Eleutherodactylus|johnstonei|Eleutherodactylus johnstonei Barbour, 1914	52
Tringa flavipes (Gmelin, 1789)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Tringa|flavipes|Tringa flavipes (Gmelin, 1789)	52
Solenopsis invicta Buren, 1972	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Solenopsis|invicta|Solenopsis invicta Buren, 1972	52
Thalasseus maximus (Boddaert, 1783)	Animalia|Chordata|Aves|Charadriiformes|Laridae|Thalaseus|maximus|Thalasseus maximus (Boddaert, 1783)	51
Setophaga petechia	Animalia|Chordata|Aves|Passeriformes|Parulidae|Setophaga|petechia|Setophaga petechia	49
Sula leucogaster (Boddaert, 1783)	Animalia|Chordata|Aves|Suliformes|Sulidae|Sula|leucogaster|Sula leucogaster (Boddaert, 1783)	49
Cyphomyrmex minutus Mayr, 1862	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Cyphomyrmex|minutus|Cyphomyrmex minutus Mayr, 1862	48
Nyctanassa violacea (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Nyctanassa|violacea|Nyctanassa violacea (Linnaeus, 1758)	46
Anolis leachii (Duméril & Bibron, 1837)	Animalia|Chordata|Reptilia|Squamata|Dactyloidae|Anolis|leachii|Anolis leachii (Duméril & Bibron, 1837)	46
Aedes tortilis (Theobald, 1903)	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Aedes|tortilis|Aedes tortilis (Theobald, 1903)	46
Culex declarator Dyar & Knab, 1906	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Culex|declarator|Culex declarator Dyar & Knab, 1906	46
Artibeus jamaicensis Leach, 1821	Animalia|Chordata|Mammalia|Chiroptera|Phyllostomidae|Artibeus|jamaicensis|Artibeus jamaicensis Leach, 1821	45
Anolis leachii Duméril & Bibron, 1837	Animalia|Chordata|Reptilia|Squamata|Polychrotidae|Anolis|leachii|Anolis leachii Duméril & Bibron, 1837	45
Actitis macularius (Linnaeus, 1766)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Actitis|macularius|Actitis macularius (Linnaeus, 1766)	45
Anas discors Linnaeus, 1766	Animalia|Chordata|Aves|Anseriformes|Anatidae|Anas|discors|Anas discors Linnaeus, 1766	45
Wasmannia auropunctata (Roger, 1863)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Wasmannia|auropunctata|Wasmannia auropunctata (Roger, 1863)	44
Ardea herodias Linnaeus, 1758	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Ardea|herodias|Ardea herodias Linnaeus, 1758	42
Charadrius wilsonia Ord, 1814	Animalia|Chordata|Aves|Charadriiformes|Charadriidae|Charadrius|wilsonia|Charadrius wilsonia Ord, 1814	42
Podilymbus podiceps (Linnaeus, 1758)	Animalia|Chordata|Aves|Podicipediformes|Podicipedidae|Podilymbus|podiceps|Podilymbus podiceps (Linnaeus, 1758)	41
Culex atratus Theobald, 1901	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Culex|atratus|Culex atratus Theobald, 1901	40
Monophyllus plethodon Miller, 1900	Animalia|Chordata|Mammalia|Chiroptera|Phyllostomidae|Monophyllus|plethodon|Monophyllus plethodon Miller, 1900	40
Thalasseus maximus (Boddaert, 1783)	Animalia|Chordata|Aves|Charadriiformes|Laridae|Thalasseus|maximus|Thalasseus maximus (Boddaert, 1783)	38
Monomorium ebeninum Forel, 1891	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Monomorium|ebeninum|Monomorium ebeninum Forel, 1891	36
Oxyura jamaicensis (Gmelin, 1789)	Animalia|Chordata|Aves|Anseriformes|Anatidae|Oxyura|jamaicensis|Oxyura jamaicensis (Gmelin, 1789)	36
Tringa semipalmata (Gmelin, 1789)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Tringa|semipalmata|Tringa semipalmata (Gmelin, 1789)	36
Arenaria interpres (Linnaeus, 1758)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Arenaria|interpres|Arenaria interpres (Linnaeus, 1758)	35
Pandion haliaetus (Linnaeus, 1758)	Animalia|Chordata|Aves|Accipitriformes|Pandionidae|Pandion|haliaetus|Pandion haliaetus (Linnaeus, 1758)	35
Columba livia Gmelin, 1789	Animalia|Chordata|Aves|Columbiformes|Columbidae|Columba|livia|Columba livia Gmelin, 1789	34
Camponotus pittieri Forel, 1899	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Camponotus|pittieri|Camponotus pittieri Forel, 1899	34
Brachyphylla Gray, 1834	Animalia|Chordata|Mammalia|Chiroptera|Phyllostomidae|Brachyphylla||Brachyphylla Gray, 1834	34
Tringa melanoleuca (Gmelin, 1789)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Tringa|melanoleuca|Tringa melanoleuca (Gmelin, 1789)	34
Cardiocondyla emeryi Forel, 1881	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Cardiocondyla|emeryi|Cardiocondyla emeryi Forel, 1881	32
Hirundo rustica Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Hirundo|rustica|Hirundo rustica Linnaeus, 1758	31
Nycticorax nycticorax (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Nycticorax|nycticorax|Nycticorax nycticorax (Linnaeus, 1758)	30
