taxonName	taxonPath	recordCount
Darevskia Arribas, 1999	Animalia|Chordata|Reptilia|Squamata|Lacertidae|Darevskia||Darevskia Arribas, 1999	796
Darevskia armeniaca (Méhely, 1909)	Animalia|Chordata|Reptilia|Squamata|Lacertidae|Darevskia|armeniaca|Darevskia armeniaca (Méhely, 1909)	647
Darevskia raddei (Boettger, 1892)	Animalia|Chordata|Reptilia|Squamata|Lacertidae|Darevskia|raddei|Darevskia raddei (Boettger, 1892)	508
Darevskia dahli (Darevsky, 1957)	Animalia|Chordata|Reptilia|Squamata|Lacertidae|Darevskia|dahli|Darevskia dahli (Darevsky, 1957)	344
Darevskia armeniaca Méhely, 1909	Animalia|Chordata|Reptilia|Squamata|Lacertidae|Darevskia|armeniaca|Darevskia armeniaca Méhely, 1909	325
Pelophylax ridibundus (Pallas, 1771)	Animalia|Chordata|Amphibia|Anura|Ranidae|Pelophylax|ridibundus|Pelophylax ridibundus (Pallas, 1771)	282
Rana macrocnemis Boulenger, 1885	Animalia|Chordata|Amphibia|Anura|Ranidae|Rana|macrocnemis|Rana macrocnemis Boulenger, 1885	250
Darevskia raddei Uzzell & Darevsky, 1973	Animalia|Chordata|Reptilia|Squamata|Lacertidae|Darevskia|raddei|Darevskia raddei Uzzell & Darevsky, 1973	245
Darevskia valentini (Boettger, 1892)	Animalia|Chordata|Reptilia|Squamata|Lacertidae|Darevskia|valentini|Darevskia valentini (Boettger, 1892)	220
Bufo viridis Laurenti, 1768	Animalia|Chordata|Amphibia|Anura|Bufonidae|Pseudepidalea|viridis|Bufo viridis Laurenti, 1768	206
Darevskia dahli Darevsky, 1957	Animalia|Chordata|Reptilia|Squamata|Lacertidae|Darevskia|dahli|Darevskia dahli Darevsky, 1957	173
Centaurea L.	Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Centaurea||Centaurea L.	166
Pelias Merrem, 1820	Animalia|Chordata|Reptilia|Squamata|Viperidae|Pelias||Pelias Merrem, 1820	165
Asteraceae	Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|||Asteraceae	165
Darevskia rostombekowi Murphy Et Al., 2000	Animalia|Chordata|Reptilia|Squamata|Lacertidae|Darevskia|rostombekowi|Darevskia rostombekowi Murphy Et Al., 2000	156
Achillea L.	Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Achillea||Achillea L.	149
Darevskia unisexualis (Darevsky, 1966)	Animalia|Chordata|Reptilia|Squamata|Lacertidae|Darevskia|unisexualis|Darevskia unisexualis (Darevsky, 1966)	140
Ranunculus L.	Plantae|Tracheophyta|Magnoliopsida|Ranunculales|Ranunculaceae|Ranunculus||Ranunculus L.	137
Motacilla alba	Animalia|Chordata|Aves|Passeriformes|Motacillidae|Motacilla|Motacilla alba	134
Fringilla coelebs	Animalia|Chordata|Aves|Passeriformes|Fringillidae|Fringilla|Fringilla coelebs	132
Alchemilla L.	Plantae|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Alchemilla||Alchemilla L.	131
Astragalus L.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Astragalus||Astragalus L.	131
Nepeta L.	Plantae|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae|Nepeta||Nepeta L.	120
Brassicaceae	Plantae|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|||Brassicaceae	120
Hordeum vulgare L.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Hordeum|vulgare|Hordeum vulgare L.	117
Parus major	Animalia|Chordata|Aves|Passeriformes|Paridae|Parus|Parus major	117
Thymus L.	Plantae|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae|Thymus||Thymus L.	114
Darevskia portschinskii (Kessler, 1878)	Animalia|Chordata|Reptilia|Squamata|Lacertidae|Darevskia|portschinskii|Darevskia portschinskii (Kessler, 1878)	113
Emberiza melanocephala	Animalia|Chordata|Aves|Passeriformes|Emberizidae|Emberiza|Emberiza melanocephala	112
