taxonName	taxonPath	recordCount
Scaritidae Bonelli, 1810	Animalia|Arthropoda|Insecta|Coleoptera|Carabidae|||Scaritidae Bonelli, 1810	3532
Mus musculus Linnaeus, 1758	Animalia|Chordata|Mammalia|Rodentia|Muridae|Mus|musculus|Mus musculus Linnaeus, 1758	1296
Suncus murinus (Linnaeus, 1766)	Animalia|Chordata|Mammalia|Soricomorpha|Soricidae|Suncus|murinus|Suncus murinus (Linnaeus, 1766)	1248
Rattus rattus (Linnaeus, 1758)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Rattus|rattus|Rattus rattus (Linnaeus, 1758)	1106
Oryza sativa L.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Oryza|sativa|Oryza sativa L.	742
Oryza sativa L.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Oryza|sativa|Oryza sativa L.	742
Gyrinidae	Animalia|Arthropoda|Insecta|Coleoptera|Gyrinidae|||Gyrinidae	599
Gyrinidae Latreille, 1810	Animalia|Arthropoda|Insecta|Coleoptera|Gyrinidae|||Gyrinidae Latreille, 1810	599
Bandicota bengalensis (Gray, 1835)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Bandicota|bengalensis|Bandicota bengalensis (Gray, 1835)	187
Cicer arietinum L.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Cicer|arietinum|Cicer arietinum L.	171
Cicer arietinum L.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Cicer|arietinum|Cicer arietinum L.	171
Bandicota bengalensis (Gray & Hardwicke, 1833)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Bandicota|bengalensis|Bandicota bengalensis (Gray & Hardwicke, 1833)	169
Carabidae Latreille, 1802	Animalia|Arthropoda|Insecta|Coleoptera|Carabidae|||Carabidae Latreille, 1802	143
Carabidae	Animalia|Arthropoda|Insecta|Coleoptera|Carabidae|||Carabidae	143
Alleculidae Laporte de Castelnau, 1840	Animalia|Arthropoda|Insecta|Coleoptera|Tenebrionidae|||Alleculidae Laporte de Castelnau, 1840	104
Lathyrus sativus L.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Lathyrus|sativus|Lathyrus sativus L.	104
Lathyrus sativus L.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Lathyrus|sativus|Lathyrus sativus L.	104
Diaphorina citri Kuwayama, 1908	Animalia|Arthropoda|Insecta|Hemiptera|Liviidae|Diaphorina|citri|Diaphorina citri Kuwayama, 1908	78
Lens culinaris Medik.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Lens|culinaris|Lens culinaris Medik.	72
Lens culinaris Medik.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Lens|culinaris|Lens culinaris Medik.	72
Neohydrocoptus subvittulus (Motschulsky, 1859)	Animalia|Arthropoda|Insecta|Coleoptera|Noteridae|Neohydrocoptus|subvittulus|Neohydrocoptus subvittulus (Motschulsky, 1859)	50
Dicrurus macrocercus Vieillot, 1817	Animalia|Chordata|Aves|Passeriformes|Dicruridae|Dicrurus|macrocercus|Dicrurus macrocercus Vieillot, 1817	44
