taxonName	taxonPath	recordCount
Rana arvalis Nilsson, 1842	Animalia|Chordata|Amphibia|Anura|Ranidae|Rana|arvalis|Rana arvalis Nilsson, 1842	624
Rana temporaria Linnaeus, 1758	Animalia|Chordata|Amphibia|Anura|Ranidae|Rana|temporaria|Rana temporaria Linnaeus, 1758	561
Bufo bufo (Linnaeus, 1758)	Animalia|Chordata|Amphibia|Anura|Bufonidae|Bufo|bufo|Bufo bufo (Linnaeus, 1758)	301
Bombina bombina (Linnaeus, 1761)	Animalia|Chordata|Amphibia|Anura|Bombinatoridae|Bombina|bombina|Bombina bombina (Linnaeus, 1761)	228
Bufo viridis Laurenti, 1768	Animalia|Chordata|Amphibia|Anura|Bufonidae|Pseudepidalea|viridis|Bufo viridis Laurenti, 1768	186
Pelobates fuscus (Laurenti, 1768)	Animalia|Chordata|Amphibia|Anura|Pelobatidae|Pelobates|fuscus|Pelobates fuscus (Laurenti, 1768)	177
Anas platyrhynchos Linnaeus, 1758	Animalia|Chordata|Aves|Anseriformes|Anatidae|Anas|platyrhynchos|Anas platyrhynchos Linnaeus, 1758	176
Hirundo rustica Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Hirundo|rustica|Hirundo rustica Linnaeus, 1758	156
Parus major Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Paridae|Parus|major|Parus major Linnaeus, 1758	151
Motacilla alba Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Motacillidae|Motacilla|alba|Motacilla alba Linnaeus, 1758	150
Sturnus vulgaris Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Sturnidae|Sturnus|vulgaris|Sturnus vulgaris Linnaeus, 1758	143
Ciconia ciconia (Linnaeus, 1758)	Animalia|Chordata|Aves|Ciconiiformes|Ciconiidae|Ciconia|ciconia|Ciconia ciconia (Linnaeus, 1758)	140
Fringilla coelebs Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Fringillidae|Fringilla|coelebs|Fringilla coelebs Linnaeus, 1758	138
Pica pica (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Corvidae|Pica|pica|Pica pica (Linnaeus, 1758)	136
Emberiza citrinella Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Emberizidae|Emberiza|citrinella|Emberiza citrinella Linnaeus, 1758	134
Luscinia luscinia (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Luscinia|luscinia|Luscinia luscinia (Linnaeus, 1758)	132
