taxonName	taxonPath	recordCount
Myiozetetes similis (Spix, 1825)	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Myiozetetes|similis|Myiozetetes similis (Spix, 1825)	6884
Cathartes aura (Linnaeus, 1758)	Animalia|Chordata|Aves|Accipitriformes|Cathartidae|Cathartes|aura|Cathartes aura (Linnaeus, 1758)	6772
Dives dives (Deppe, 1830)	Animalia|Chordata|Aves|Passeriformes|Icteridae|Dives|dives|Dives dives (Deppe, 1830)	6475
Pitangus sulphuratus (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Pitangus|sulphuratus|Pitangus sulphuratus (Linnaeus, 1766)	6248
Coragyps atratus (Bechstein, 1793)	Animalia|Chordata|Aves|Accipitriformes|Cathartidae|Coragyps|atratus|Coragyps atratus (Bechstein, 1793)	5894
Tyrannus melancholicus Vieillot, 1819	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Tyrannus|melancholicus|Tyrannus melancholicus Vieillot, 1819	5336
Turdus grayi Bonaparte, 1838	Animalia|Chordata|Aves|Passeriformes|Turdidae|Turdus|grayi|Turdus grayi Bonaparte, 1838	5315
Setophaga ruticilla (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Parulidae|Setophaga|ruticilla|Setophaga ruticilla (Linnaeus, 1758)	5085
Quiscalus mexicanus (Gmelin, 1788)	Animalia|Chordata|Aves|Passeriformes|Icteridae|Quiscalus|mexicanus|Quiscalus mexicanus (Gmelin, 1788)	5018
Dumetella carolinensis (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Mimidae|Dumetella|carolinensis|Dumetella carolinensis (Linnaeus, 1766)	4852
Rupornis magnirostris (Gmelin, 1788)	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Rupornis|magnirostris|Rupornis magnirostris (Gmelin, 1788)	4526
Amazilia tzacatl (de la Llave, 1833)	Animalia|Chordata|Aves|Apodiformes|Trochilidae|Amazilia|tzacatl|Amazilia tzacatl (de la Llave, 1833)	4337
Melanerpes aurifrons (Wagler, 1829)	Animalia|Chordata|Aves|Piciformes|Picidae|Melanerpes|aurifrons|Melanerpes aurifrons (Wagler, 1829)	4212
Mniotilta varia (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Parulidae|Mniotilta|varia|Mniotilta varia (Linnaeus, 1766)	4017
