taxonName	taxonPath	recordCount
Corvus macrorhynchos Wagler, 1827	Animalia|Chordata|Aves|Passeriformes|Corvidae|Corvus|macrorhynchos|Corvus macrorhynchos Wagler, 1827	739
Parus monticolus Vigors, 1831	Animalia|Chordata|Aves|Passeriformes|Paridae|Parus|monticolus|Parus monticolus Vigors, 1831	686
Streptopelia orientalis (Latham, 1790)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|orientalis|Streptopelia orientalis (Latham, 1790)	686
Columba livia Gmelin, 1789	Animalia|Chordata|Aves|Columbiformes|Columbidae|Columba|livia|Columba livia Gmelin, 1789	534
Pycnonotus cafer (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Pycnonotus|cafer|Pycnonotus cafer (Linnaeus, 1766)	527
Passer montanus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|montanus|Passer montanus (Linnaeus, 1758)	510
Dicrurus leucophaeus Vieillot, 1817	Animalia|Chordata|Aves|Passeriformes|Dicruridae|Dicrurus|leucophaeus|Dicrurus leucophaeus Vieillot, 1817	501
Phoenicurus leucocephalus	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Phoenicurus|leucocephalus|Phoenicurus leucocephalus	470
Lanius tephronotus (Vigors, 1831)	Animalia|Chordata|Aves|Passeriformes|Laniidae|Lanius|tephronotus|Lanius tephronotus (Vigors, 1831)	461
Myophonus caeruleus (Scopoli, 1786)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Myophonus|caeruleus|Myophonus caeruleus (Scopoli, 1786)	444
Motacilla alba Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Motacillidae|Motacilla|alba|Motacilla alba Linnaeus, 1758	394
Dendrocitta formosae Swinhoe, 1863	Animalia|Chordata|Aves|Passeriformes|Corvidae|Dendrocitta|formosae|Dendrocitta formosae Swinhoe, 1863	369
Phoenicurus frontalis Vigors, 1832	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Phoenicurus|frontalis|Phoenicurus frontalis Vigors, 1832	368
Copsychus saularis (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Copsychus|saularis|Copsychus saularis (Linnaeus, 1758)	360
Urocissa flavirostris (Blyth, 1846)	Animalia|Chordata|Aves|Passeriformes|Corvidae|Urocissa|flavirostris|Urocissa flavirostris (Blyth, 1846)	357
Nucifraga caryocatactes (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Corvidae|Nucifraga|caryocatactes|Nucifraga caryocatactes (Linnaeus, 1758)	345
Heterophasia capistrata (Vigors, 1831)	Animalia|Chordata|Aves|Passeriformes|Leiothrichidae|Heterophasia|capistrata|Heterophasia capistrata (Vigors, 1831)	338
Aethopyga nipalensis (Hodgson, 1836)	Animalia|Chordata|Aves|Passeriformes|Nectariniidae|Aethopyga|nipalensis|Aethopyga nipalensis (Hodgson, 1836)	335
Myophonus caeruleus (Scopoli, 1786)	Animalia|Chordata|Aves|Passeriformes|Turdidae|Myophonus|caeruleus|Myophonus caeruleus (Scopoli, 1786)	333
Anthus hodgsoni Richmond, 1907	Animalia|Chordata|Aves|Passeriformes|Motacillidae|Anthus|hodgsoni|Anthus hodgsoni Richmond, 1907	321
Pyrrhocorax pyrrhocorax (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Corvidae|Pyrrhocorax|pyrrhocorax|Pyrrhocorax pyrrhocorax (Linnaeus, 1758)	308
Falco tinnunculus Linnaeus, 1758	Animalia|Chordata|Aves|Falconiformes|Falconidae|Falco|tinnunculus|Falco tinnunculus Linnaeus, 1758	306
Hierococcyx sparverioides	Animalia|Chordata|Aves|Cuculiformes|Cuculidae|Hierococcyx|sparverioides|Hierococcyx sparverioides	303
Zosterops palpebrosus (Temminck, 1824)	Animalia|Chordata|Aves|Passeriformes|Zosteropidae|Zosterops|palpebrosus|Zosterops palpebrosus (Temminck, 1824)	301
Ianthocincla Gould, 1835	Animalia|Chordata|Aves|Passeriformes|Sylviidae|Garrulax||Ianthocincla Gould, 1835	297
Acridotheres tristis (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Sturnidae|Acridotheres|tristis|Acridotheres tristis (Linnaeus, 1766)	297
Ficedula strophiata (Hodgson, 1837)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Ficedula|strophiata|Ficedula strophiata (Hodgson, 1837)	288
