taxonName	taxonPath	recordCount
Zea mays L.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Zea|mays|Zea mays L.	316
Zea mays L.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Zea|mays|Zea mays L.	316
Ctenophthalmus agyrtes (Heller, 1896)	Animalia|Arthropoda|Insecta|Siphonaptera|Hystrichopsyllidae|Ctenophthalmus|agyrtes|Ctenophthalmus agyrtes (Heller, 1896)	205
Edraianthus graminifolius (L.) A.DC.	Plantae|Magnoliophyta|Magnoliopsida|Asterales|Campanulaceae|Edraianthus|graminifolius|Edraianthus graminifolius (L.) A.DC.	165
Edraianthus graminifolius (L.) A.DC.	Plantae|Tracheophyta|Magnoliopsida|Asterales|Campanulaceae|Edraianthus|graminifolius|Edraianthus graminifolius (L.) A.DC.	165
Pica pica (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Corvidae|Pica|pica|Pica pica (Linnaeus, 1758)	151
Corvus cornix Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Corvidae|Corvus|cornix|Corvus cornix Linnaeus, 1758	150
Ctenophthalmus assimilis (Taschenberg, 1880)	Animalia|Arthropoda|Insecta|Siphonaptera|Hystrichopsyllidae|Ctenophthalmus|assimilis|Ctenophthalmus assimilis (Taschenberg, 1880)	137
Parus major Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Paridae|Parus|major|Parus major Linnaeus, 1758	121
Anas platyrhynchos Linnaeus, 1758	Animalia|Chordata|Aves|Anseriformes|Anatidae|Anas|platyrhynchos|Anas platyrhynchos Linnaeus, 1758	117
Motacilla alba Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Motacillidae|Motacilla|alba|Motacilla alba Linnaeus, 1758	117
Squalius squalus (Bonaparte, 1837)	Animalia|Chordata|Actinopterygii|Cypriniformes|Cyprinidae|Squalius|squalus|Squalius squalus (Bonaparte, 1837)	103
Turdus merula Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Turdidae|Turdus|merula|Turdus merula Linnaeus, 1758	103
Fringilla coelebs Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Fringillidae|Fringilla|coelebs|Fringilla coelebs Linnaeus, 1758	102
Buteo buteo (Linnaeus, 1758)	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Buteo|buteo|Buteo buteo (Linnaeus, 1758)	100
Sylvia atricapilla (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Sylviidae|Sylvia|atricapilla|Sylvia atricapilla (Linnaeus, 1758)	89
Passer domesticus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|domesticus|Passer domesticus (Linnaeus, 1758)	87
Rutilus basak (Heckel, 1843)	Animalia|Chordata|Actinopterygii|Cypriniformes|Cyprinidae|Leucos|basak|Rutilus basak (Heckel, 1843)	86
Edraianthus serpyllifolius (Vis.) A.DC.	Plantae|Tracheophyta|Magnoliopsida|Asterales|Campanulaceae|Edraianthus|serpyllifolius|Edraianthus serpyllifolius (Vis.) A.DC.	84
Edraianthus serpyllifolius (Vis.) A.DC.	Plantae|Magnoliophyta|Magnoliopsida|Asterales|Campanulaceae|Edraianthus|serpyllifolius|Edraianthus serpyllifolius (Vis.) A.DC.	84
Passer montanus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|montanus|Passer montanus (Linnaeus, 1758)	83
Sturnus vulgaris Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Sturnidae|Sturnus|vulgaris|Sturnus vulgaris Linnaeus, 1758	83
Hirundo rustica Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Hirundo|rustica|Hirundo rustica Linnaeus, 1758	77
Alburnus neretvae Buj, Sanda & Perea, 2010	Animalia|Chordata|Actinopterygii|Cypriniformes|Cyprinidae|Alburnus|neretvae|Alburnus neretvae Buj, Sanda & Perea, 2010	76
Corvus corax Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Corvidae|Corvus|corax|Corvus corax Linnaeus, 1758	75
Squalius svallize Heckel & Kner, 1858	Animalia|Chordata|Actinopterygii|Cypriniformes|Cyprinidae|Squalius|svallize|Squalius svallize Heckel & Kner, 1858	75
Thymallus thymallus (Linnaeus, 1758)	Animalia|Chordata|Actinopterygii|Salmoniformes|Salmonidae|Thymallus|thymallus|Thymallus thymallus (Linnaeus, 1758)	74
Ardea cinerea Linnaeus, 1758	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Ardea|cinerea|Ardea cinerea Linnaeus, 1758	74
	|||||||	73
Garrulus glandarius (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Corvidae|Garrulus|glandarius|Garrulus glandarius (Linnaeus, 1758)	68
Columba livia Gmelin, 1789	Animalia|Chordata|Aves|Columbiformes|Columbidae|Columba|livia|Columba livia Gmelin, 1789	67
Erithacus rubecula (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Erithacus|rubecula|Erithacus rubecula (Linnaeus, 1758)	65
Cyprinus carpio Linnaeus, 1758	Animalia|Chordata|Actinopterygii|Cypriniformes|Cyprinidae|Cyprinus|carpio|Cyprinus carpio Linnaeus, 1758	64
Salmo farioides Karaman, 1938	Animalia|Chordata|Actinopterygii|Salmoniformes|Salmonidae|Salmo|farioides|Salmo farioides Karaman, 1938	62
Oncorhynchus mykiss (Walbaum, 1792)	Animalia|Chordata|Actinopterygii|Salmoniformes|Salmonidae|Oncorhynchus|mykiss|Oncorhynchus mykiss (Walbaum, 1792)	59
Salmo trutta Linnaeus, 1758	Animalia|Chordata|Actinopterygii|Salmoniformes|Salmonidae|Salmo|trutta|Salmo trutta Linnaeus, 1758	59
Phoenicurus ochruros (S. G. Gmelin, 1774)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Phoenicurus|ochruros|Phoenicurus ochruros (S. G. Gmelin, 1774)	56
Corvus monedula Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Corvidae|Coloeus|monedula|Corvus monedula Linnaeus, 1758	56
Columba palumbus Linnaeus, 1758	Animalia|Chordata|Aves|Columbiformes|Columbidae|Columba|palumbus|Columba palumbus Linnaeus, 1758	56
Delminichthys adspersus (Heckel, 1843)	Animalia|Chordata|Actinopterygii|Cypriniformes|Cyprinidae|Delminichthys|adspersus|Delminichthys adspersus (Heckel, 1843)	55
Lanius collurio Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Laniidae|Lanius|collurio|Lanius collurio Linnaeus, 1758	55
Tachybaptus ruficollis (Pallas, 1764)	Animalia|Chordata|Aves|Podicipediformes|Podicipedidae|Tachybaptus|ruficollis|Tachybaptus ruficollis (Pallas, 1764)	55
Delichon urbicum (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Delichon|urbicum|Delichon urbicum (Linnaeus, 1758)	55
Sitta europaea Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Sittidae|Sitta|europaea|Sitta europaea Linnaeus, 1758	53
Alauda arvensis Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Alaudidae|Alauda|arvensis|Alauda arvensis Linnaeus, 1758	52
Carduelis carduelis (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Fringillidae|Carduelis|carduelis|Carduelis carduelis (Linnaeus, 1758)	50
Falco tinnunculus Linnaeus, 1758	Animalia|Chordata|Aves|Falconiformes|Falconidae|Falco|tinnunculus|Falco tinnunculus Linnaeus, 1758	49
Squalius cephalus (Linnaeus, 1758)	Animalia|Chordata|Actinopterygii|Cypriniformes|Cyprinidae|Squalius|cephalus|Squalius cephalus (Linnaeus, 1758)	49
Telestes metohiensis (Steindachner, 1901)	Animalia|Chordata|Actinopterygii|Cypriniformes|Cyprinidae|Telestes|metohiensis|Telestes metohiensis (Steindachner, 1901)	48
Chloris chloris (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Fringillidae|Chloris|chloris|Chloris chloris (Linnaeus, 1758)	47
Salvelinus fontinalis (Mitchill, 1814)	Animalia|Chordata|Actinopterygii|Salmoniformes|Salmonidae|Salvelinus|fontinalis|Salvelinus fontinalis (Mitchill, 1814)	47
Chondrostoma phoxinus Heckel, 1843	Animalia|Chordata|Actinopterygii|Cypriniformes|Cyprinidae|Chondrostoma|phoxinus|Chondrostoma phoxinus Heckel, 1843	47
Turdus viscivorus Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Turdidae|Turdus|viscivorus|Turdus viscivorus Linnaeus, 1758	47
Lepomis gibbosus (Linnaeus, 1758)	Animalia|Chordata|Actinopterygii|Perciformes|Centrarchidae|Lepomis|gibbosus|Lepomis gibbosus (Linnaeus, 1758)	46
Chondrostoma knerii Heckel, 1843	Animalia|Chordata|Actinopterygii|Cypriniformes|Cyprinidae|Chondrostoma|knerii|Chondrostoma knerii Heckel, 1843	46
Salmo obtusirostris (Heckel, 1851)	Animalia|Chordata|Actinopterygii|Salmoniformes|Salmonidae|Salmo|obtusirostris|Salmo obtusirostris (Heckel, 1851)	46
Phylloscopus collybita (Vieillot, 1817)	Animalia|Chordata|Aves|Passeriformes|Phylloscopidae|Phylloscopus|collybita|Phylloscopus collybita (Vieillot, 1817)	45
Dendrocopos major (Linnaeus, 1758)	Animalia|Chordata|Aves|Piciformes|Picidae|Dendrocopos|major|Dendrocopos major (Linnaeus, 1758)	44
Oenanthe oenanthe (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Oenanthe|oenanthe|Oenanthe oenanthe (Linnaeus, 1758)	43
Aulopyge huegelii Heckel, 1843	Animalia|Chordata|Actinopterygii|Cypriniformes|Cyprinidae|Aulopyge|huegelii|Aulopyge huegelii Heckel, 1843	42
Phoxinus phoxinus (Linnaeus, 1758)	Animalia|Chordata|Actinopterygii|Cypriniformes|Cyprinidae|Phoxinus|phoxinus|Phoxinus phoxinus (Linnaeus, 1758)	42
Motacilla flava Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Motacillidae|Motacilla|flava|Motacilla flava Linnaeus, 1758	42
Cottus gobio Linnaeus, 1758	Animalia|Chordata|Actinopterygii|Scorpaeniformes|Cottidae|Cottus|gobio|Cottus gobio Linnaeus, 1758	42
Oriolus oriolus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Oriolidae|Oriolus|oriolus|Oriolus oriolus (Linnaeus, 1758)	41
Carassius gibelio (Bloch, 1782)	Animalia|Chordata|Actinopterygii|Cypriniformes|Cyprinidae|Carassius|gibelio|Carassius gibelio (Bloch, 1782)	41
Luscinia megarhynchos C. L. Brehm, 1831	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Luscinia|megarhynchos|Luscinia megarhynchos C. L. Brehm, 1831	41
Scardinius dergle Heckel & Kner, 1858	Animalia|Chordata|Actinopterygii|Cypriniformes|Cyprinidae|Scardinius|dergle|Scardinius dergle Heckel & Kner, 1858	40
Sylvia communis Latham, 1787	Animalia|Chordata|Aves|Passeriformes|Sylviidae|Sylvia|communis|Sylvia communis Latham, 1787	40
Poecile palustris (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Paridae|Poecile|palustris|Poecile palustris (Linnaeus, 1758)	39
Ctenophthalmus agyrtes bosnicus Wagner, 1930	Animalia|Arthropoda|Insecta|Siphonaptera|Hystrichopsyllidae|Ctenophthalmus|agyrtes|Ctenophthalmus agyrtes bosnicus Wagner, 1930	39
Squalius tenellus Heckel, 1843	Animalia|Chordata|Actinopterygii|Cypriniformes|Cyprinidae|Squalius|tenellus|Squalius tenellus Heckel, 1843	39
Saxicola rubetra (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Saxicola|rubetra|Saxicola rubetra (Linnaeus, 1758)	39
Fulica atra Linnaeus, 1758	Animalia|Chordata|Aves|Gruiformes|Rallidae|Fulica|atra|Fulica atra Linnaeus, 1758	38
Vanellus vanellus (Linnaeus, 1758)	Animalia|Chordata|Aves|Charadriiformes|Charadriidae|Vanellus|vanellus|Vanellus vanellus (Linnaeus, 1758)	38
Motacilla cinerea Tunstall, 1771	Animalia|Chordata|Aves|Passeriformes|Motacillidae|Motacilla|cinerea|Motacilla cinerea Tunstall, 1771	38
Mellicta athalia Rottemburg, 1775	Animalia|Arthropoda|Insecta|Lepidoptera|Nymphalidae||athalia|Mellicta athalia Rottemburg, 1775	37
Ctenophthalmus nifetodes Wagner, 1933	Animalia|Arthropoda|Insecta|Siphonaptera|Hystrichopsyllidae|Ctenophthalmus|nifetodes|Ctenophthalmus nifetodes Wagner, 1933	37
Tinca tinca (Linnaeus, 1758)	Animalia|Chordata|Actinopterygii|Cypriniformes|Cyprinidae|Tinca|tinca|Tinca tinca (Linnaeus, 1758)	36
Turdus philomelos C. L. Brehm, 1831	Animalia|Chordata|Aves|Passeriformes|Turdidae|Turdus|philomelos|Turdus philomelos C. L. Brehm, 1831	36
Emberiza citrinella Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Emberizidae|Emberiza|citrinella|Emberiza citrinella Linnaeus, 1758	36
Coccothraustes coccothraustes (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Fringillidae|Coccothraustes|coccothraustes|Coccothraustes coccothraustes (Linnaeus, 1758)	36
Phoxinellus alepidotus Heckel, 1843	Animalia|Chordata|Actinopterygii|Cypriniformes|Cyprinidae|Phoxinellus|alepidotus|Phoxinellus alepidotus Heckel, 1843	36
Chondrostoma nasus (Linnaeus, 1758)	Animalia|Chordata|Actinopterygii|Cypriniformes|Cyprinidae|Chondrostoma|nasus|Chondrostoma nasus (Linnaeus, 1758)	35
Salvelinus umbla (Linnaeus, 1758)	Animalia|Chordata|Actinopterygii|Salmoniformes|Salmonidae|Salvelinus|umbla|Salvelinus umbla (Linnaeus, 1758)	35
Salmo marmoratus Cuvier, 1829	Animalia|Chordata|Actinopterygii|Salmoniformes|Salmonidae|Salmo|marmoratus|Salmo marmoratus Cuvier, 1829	35
Ctenophthalmus assimilis subsp. assimilis	Animalia|Arthropoda|Insecta|Siphonaptera|Hystrichopsyllidae|Ctenophthalmus|assimilis|Ctenophthalmus assimilis subsp. assimilis	35
Carduelis cannabina (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Fringillidae|Linaria|cannabina|Carduelis cannabina (Linnaeus, 1758)	35
Picea omorika (Pancic) Purk.	Plantae|Pinophyta|Pinopsida|Pinales|Pinaceae|Picea|omorika|Picea omorika (Pancic) Purk.	34
Salmo Linnaeus, 1758	Animalia|Chordata|Actinopterygii|Salmoniformes|Salmonidae|Salmo||Salmo Linnaeus, 1758	34
Streptopelia decaocto (Frivaldszky, 1838)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|decaocto|Streptopelia decaocto (Frivaldszky, 1838)	34
Cuculus canorus Linnaeus, 1758	Animalia|Chordata|Aves|Cuculiformes|Cuculidae|Cuculus|canorus|Cuculus canorus Linnaeus, 1758	34
Picea omorika (Pancic) Purk.	Plantae|Tracheophyta|Pinopsida|Pinales|Pinaceae|Picea|omorika|Picea omorika (Pancic) Purk.	34
Gallinula chloropus (Linnaeus, 1758)	Animalia|Chordata|Aves|Gruiformes|Rallidae|Gallinula|chloropus|Gallinula chloropus (Linnaeus, 1758)	34
Cyanistes caeruleus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Paridae|Cyanistes|caeruleus|Cyanistes caeruleus (Linnaeus, 1758)	34
Corvus monedula Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Corvidae|Corvus|monedula|Corvus monedula Linnaeus, 1758	34
