taxonName	taxonPath	recordCount
Syntrichia filaris Zander, 1993	Plantae|Bryophyta|Bryopsida|Pottiales|Pottiaceae|Syntrichia|filaris|Syntrichia filaris Zander, 1993	12
Pygoscelis antarctica (J. R. Forster, 1781)	Animalia|Chordata|Aves|Sphenisciformes|Spheniscidae|Pygoscelis|antarctica|Pygoscelis antarctica (J. R. Forster, 1781)	10
Brachythecium austrosalebrosum Paris, 1894	Plantae|Bryophyta|Bryopsida|Hypnales|Brachytheciaceae|Brachythecium|austrosalebrosum|Brachythecium austrosalebrosum Paris, 1894	8
Pygoscelis adeliae (Hombron & Jacquinot, 1841)	Animalia|Chordata|Aves|Sphenisciformes|Spheniscidae|Pygoscelis|adeliae|Pygoscelis adeliae (Hombron & Jacquinot, 1841)	6
Eudyptes chrysolophus (Brandt, 1837)	Animalia|Chordata|Aves|Sphenisciformes|Spheniscidae|Eudyptes|chrysolophus|Eudyptes chrysolophus (Brandt, 1837)	6
Schistidium antarctici Savicz-Ljubitskaya & Smirnova, 1965	Plantae|Bryophyta|Bryopsida|Grimmiales|Grimmiaceae|Schistidium|antarctici|Schistidium antarctici Savicz-Ljubitskaya & Smirnova, 1965	4
Glyphoperidium bursa Roule, 1909	Animalia|Cnidaria|Anthozoa|Actiniaria|Actiniidae|Glyphoperidium|bursa|Glyphoperidium bursa Roule, 1909	4
Macronectes giganteus (Gmelin, 1789)	Animalia|Chordata|Aves|Procellariiformes|Procellariidae|Macronectes|giganteus|Macronectes giganteus (Gmelin, 1789)	4
Septemserolis septemcarinata (Miers, 1875)	Animalia|Arthropoda|Malacostraca|Isopoda|Serolidae|Septemserolis|septemcarinata|Septemserolis septemcarinata (Miers, 1875)	4
Septemserolis septemcarinata (Miers, 1875B)	Animalia|Arthropoda|Malacostraca|Isopoda|Serolidae|Septemserolis|septemcarinata|Septemserolis septemcarinata (Miers, 1875B)	4
Cellaria diversa Livingstone, 1928	Animalia|Bryozoa|Gymnolaemata|Cheilostomatida|Cellariidae|Cellaria|diversa|Cellaria diversa Livingstone, 1928	4
Abatus cavernosus (Philippi, 1845)	Animalia|Echinodermata|Echinoidea|Spatangoida|Schizasteridae|Abatus|cavernosus|Abatus cavernosus (Philippi, 1845)	3
Tanystylum pfefferi Loman, 1923	Animalia|Arthropoda|Pycnogonida||Ammotheidae|Tanystylum|pfefferi|Tanystylum pfefferi Loman, 1923	2
Symplectoscyphus plectilis (Hickson & Gravely, 1907)	Animalia|Cnidaria|Hydrozoa|Leptothecata|Sertulariidae|Symplectoscyphus|plectilis|Symplectoscyphus plectilis (Hickson & Gravely, 1907)	2
Oswaldella billardi Briggs, 1938	Animalia|Cnidaria|Hydrozoa|Leptothecata|Kirchenpaueriidae|Oswaldella|billardi|Oswaldella billardi Briggs, 1938	2
Nymphon biarticulatum (Hodgson, T.V., 1907)	Animalia|Arthropoda|Pycnogonida||Nymphonidae|Nymphon|biarticulatum|Nymphon biarticulatum (Hodgson, T.V., 1907)	2
Symplectoscyphus liouvillei (Billard, 1914)	Animalia|Cnidaria|Hydrozoa|Leptothecata|Sertulariidae|Symplectoscyphus|liouvillei|Symplectoscyphus liouvillei (Billard, 1914)	2
Cephaloziella varians (Gottsche) Steph.	Plantae|Marchantiophyta|Jungermanniopsida|Jungermanniales|Cephaloziellaceae|Cephaloziella|varians|Cephaloziella varians (Gottsche) Steph.	2
Celleporella alia Hayward, 1993	Animalia|Bryozoa|Gymnolaemata|Cheilostomatida|Hippothoidae|Celleporella|alia|Celleporella alia Hayward, 1993	2
Himantozoum antarcticum (Calvet, 1909)	Animalia|Bryozoa|Gymnolaemata|Cheilostomatida|Bugulidae|Himantozoum|antarcticum|Himantozoum antarcticum (Calvet, 1909)	2
Symplectoscyphus glacialis (Jäderholm, 1904)	Animalia|Cnidaria|Hydrozoa|Leptothecata|Sertulariidae|Symplectoscyphus|glacialis|Symplectoscyphus glacialis (Jäderholm, 1904)	2
Cnidanthus polaris (Clubb, 1908)	Animalia|Cnidaria|Anthozoa|Actiniaria|Actinostolidae|Cnidanthus|polaris|Cnidanthus polaris (Clubb, 1908)	2
Aimulosia antarctica (Powell, 1967)	Animalia|Bryozoa|Gymnolaemata|Cheilostomatida|Buffonellodidae|Aimulosia|antarctica|Aimulosia antarctica (Powell, 1967)	2
Nacella Schumacher, 1817	Animalia|Mollusca|Gastropoda||Nacellidae|Nacella||Nacella Schumacher, 1817	2
Cyclocardia astartoides (Martens, 1878)	Animalia|Mollusca|Bivalvia|Carditoida|Carditidae|Cyclocardia|astartoides|Cyclocardia astartoides (Martens, 1878)	2
Arachnopusia inchoata Hayward & Thorpe, 1988	Animalia|Bryozoa|Gymnolaemata|Cheilostomatida|Arachnopusiidae|Arachnopusia|inchoata|Arachnopusia inchoata Hayward & Thorpe, 1988	2
Syntrichia princeps Mitten, 1859	Plantae|Bryophyta|Bryopsida|Pottiales|Pottiaceae|Syntrichia|princeps|Syntrichia princeps Mitten, 1859	2
Eudendrium rameum (Pallas, 1766)	Animalia|Cnidaria|Hydrozoa|Anthoathecata|Eudendriidae|Eudendrium|rameum|Eudendrium rameum (Pallas, 1766)	2
Filicea elegans (Hutton, 1873)	Animalia|Bryozoa|Stenolaemata|Cyclostomatida|Semiceidae|Filicea|elegans|Filicea elegans (Hutton, 1873)	2
Nanorchestes antarcticus Strandtmann, 1963	Animalia|Arthropoda|Arachnida|Prostigmata|Nanorchestidae|Nanorchestes|antarcticus|Nanorchestes antarcticus Strandtmann, 1963	2
Cyllopus magellanicus Dana, 1853	Animalia|Arthropoda|Malacostraca|Amphipoda|Cyllopodidae|Cyllopus|magellanicus|Cyllopus magellanicus Dana, 1853	2
Nymphon australe Hodgson, T.V., 1902	Animalia|Arthropoda|Pycnogonida||Nymphonidae|Nymphon|australe|Nymphon australe Hodgson, T.V., 1902	2
Pachyglossa dissitifolia Herzog & Grolle	Plantae|Marchantiophyta|Jungermanniopsida|Jungermanniales|Lophocoleaceae|Chiloscyphus|dissitifolia|Pachyglossa dissitifolia Herzog & Grolle	2
Caberea darwinii Busk, 1884	Animalia|Bryozoa|Gymnolaemata|Cheilostomatida|Candidae|Caberea|darwinii|Caberea darwinii Busk, 1884	2
Eudendrium antarcticum Stechow, 1921	Animalia|Cnidaria|Hydrozoa|Anthoathecata|Eudendriidae|Eudendrium|antarcticum|Eudendrium antarcticum Stechow, 1921	2
Schizotricha anderssoni Jäderholm, 1904	Animalia|Cnidaria|Hydrozoa|Leptothecata|Halopterididae|Schizotricha|anderssoni|Schizotricha anderssoni Jäderholm, 1904	2
Inversiula nutrix Jullien, 1888	Animalia|Bryozoa|Gymnolaemata|Cheilostomatida|Inversiulidae|Inversiula|nutrix|Inversiula nutrix Jullien, 1888	2
Romancheina martiali Jullien, 1888	Animalia|Bryozoa|Gymnolaemata|Cheilostomatida|Romancheinidae|Romancheina|martiali|Romancheina martiali Jullien, 1888	2
Umbellula lindahli Kölliker, 1875	Animalia|Cnidaria|Anthozoa|Pennatulacea|Umbellulidae|Umbellula|lindahli|Umbellula lindahli Kölliker, 1875	2
