taxonName	taxonPath	recordCount
Cynopterus brachyotis (Müller, 1838)	Animalia|Chordata|Mammalia|Chiroptera|Pteropodidae|Cynopterus|brachyotis|Cynopterus brachyotis (Müller, 1838)	246
Selaginella Beauv.	Plantae|Lycopodiophyta|Lycopodiopsida|Selaginellales|Selaginellaceae|Selaginella||Selaginella Beauv.	206
Cynopterus minutus Miller, 1906	Animalia|Chordata|Mammalia|Chiroptera|Pteropodidae|Cynopterus|minutus|Cynopterus minutus Miller, 1906	194
Selaginella P. Beauv.	Plantae|Tracheophyta|Lycopodiopsida|Selaginellales|Selaginellaceae|Selaginella||Selaginella P. Beauv.	165
Dryopteridaceae Ching	Plantae|Pteridophyta|Polypodiopsida|Polypodiales|Dryopteridaceae|||Dryopteridaceae Ching	123
Macroglossus minimus (E. Geoffroy, 1810)	Animalia|Chordata|Mammalia|Chiroptera|Pteropodidae|Macroglossus|minimus|Macroglossus minimus (E. Geoffroy, 1810)	100
Balionycteris maculata (Thomas, 1893)	Animalia|Chordata|Mammalia|Chiroptera|Pteropodidae|Balionycteris|maculata|Balionycteris maculata (Thomas, 1893)	56
Vittaria Sm.	Plantae|Pteridophyta|Polypodiopsida|Polypodiales|Pteridaceae|Vittaria||Vittaria Sm.	53
Vittaria Sm.	Plantae|Tracheophyta|Polypodiopsida|Polypodiales|Pteridaceae|Vittaria||Vittaria Sm.	50
Glochidion J.R. & G. Forst.	Plantae|Magnoliophyta|Magnoliopsida|Malpighiales|Phyllanthaceae|Glochidion||Glochidion J.R. & G. Forst.	49
Litsea Lam.	Plantae|Tracheophyta|Magnoliopsida|Laurales|Lauraceae|Litsea||Litsea Lam.	46
Litsea Lam.	Plantae|Magnoliophyta|Magnoliopsida|Laurales|Lauraceae|Litsea||Litsea Lam.	44
Tectaria angulata (Willd.) Copel.	Plantae|Tracheophyta|Polypodiopsida|Polypodiales|Tectariaceae|Tectaria|angulata|Tectaria angulata (Willd.) Copel.	42
Saurauia Willd.	Plantae|Tracheophyta|Magnoliopsida|Ericales|Actinidiaceae|Saurauia||Saurauia Willd.	40
Saurauia Willd.	Plantae|Magnoliophyta|Magnoliopsida|Ericales|Actinidiaceae|Saurauia||Saurauia Willd.	38
Tectaria ternata (Bak.) Copel.	Plantae|Tracheophyta|Polypodiopsida|Polypodiales|Tectariaceae|Tectaria|ternata|Tectaria ternata (Bak.) Copel.	36
Goniothalamus (Blume) Hook.f. & Thomson	Plantae|Magnoliophyta|Magnoliopsida|Magnoliales|Annonaceae|Goniothalamus||Goniothalamus (Blume) Hook.f. & Thomson	36
Trichomanes L.	Plantae|Tracheophyta|Polypodiopsida|Hymenophyllales|Hymenophyllaceae|Trichomanes||Trichomanes L.	35
Selliguea lateritia (Bak.) Hovenk.	Plantae|Tracheophyta|Polypodiopsida|Polypodiales|Polypodiaceae|Selliguea|lateritia|Selliguea lateritia (Bak.) Hovenk.	32
Selliguea lateritia (Baker) Hovenkamp	Plantae|Pteridophyta|Polypodiopsida|Polypodiales|Polypodiaceae|Selliguea|lateritia|Selliguea lateritia (Baker) Hovenkamp	32
Brachygobius doriae (Günther, 1868)	Animalia|Chordata|Actinopterygii|Perciformes|Gobiidae|Brachygobius|doriae|Brachygobius doriae (Günther, 1868)	31
Urophyllum Wall.	Plantae|Tracheophyta|Magnoliopsida|Gentianales|Rubiaceae|Urophyllum||Urophyllum Wall.	30
Blechnum orientale L.	Plantae|Pteridophyta|Polypodiopsida|Polypodiales|Blechnaceae|Blechnum|orientale|Blechnum orientale L.	30
Gobiopterus brachypterus (Bleeker, 1855)	Animalia|Chordata|Actinopterygii|Perciformes|Gobiidae|Gobiopterus|brachypterus|Gobiopterus brachypterus (Bleeker, 1855)	30
Blechnum orientale L.	Plantae|Tracheophyta|Polypodiopsida|Polypodiales|Blechnaceae|Blechnum|orientale|Blechnum orientale L.	30
Scatophagus argus (Linnaeus, 1766)	Animalia|Chordata|Actinopterygii|Perciformes|Scatophagidae|Scatophagus|argus|Scatophagus argus (Linnaeus, 1766)	30
Dipteris lobbiana (Hook.) Moore	Plantae|Tracheophyta|Polypodiopsida|Polypodiales|Polypodiaceae|Ctenopterella|lobbiana|Dipteris lobbiana (Hook.) Moore	30
Urophyllum Wallich in Roxburgh, 1824	Plantae|Magnoliophyta|Magnoliopsida|Gentianales|Rubiaceae|Urophyllum||Urophyllum Wallich in Roxburgh, 1824	30
Dipteris lobbiana (Hook.) T.Moore	Plantae|Pteridophyta|Polypodiopsida|Polypodiales|Dipteridaceae|Dipteris|lobbiana|Dipteris lobbiana (Hook.) T.Moore	30
Ardisia O. Swartz, 1788	Plantae|Magnoliophyta|Magnoliopsida|Ericales|Primulaceae|Ardisia||Ardisia O. Swartz, 1788	29
Tetraodon nigroviridis Marion de Procé, 1822	Animalia|Chordata|Actinopterygii|Tetraodontiformes|Tetraodontidae|Tetraodon|nigroviridis|Tetraodon nigroviridis Marion de Procé, 1822	28
Tectaria Cavanilles, 1799	Plantae|Pteridophyta|Polypodiopsida|Polypodiales|Tectariaceae|Tectaria||Tectaria Cavanilles, 1799	28
Gaertnera junghuhniana Miq.	Plantae|Magnoliophyta|Magnoliopsida|Gentianales|Rubiaceae|Gaertnera|junghuhniana|Gaertnera junghuhniana Miq.	27
Glochidion J. R. Forst. & G. Forst.	Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Phyllanthaceae|Phyllanthus||Glochidion J. R. Forst. & G. Forst.	27
Gaertnera junghuhniana Miq.	Plantae|Tracheophyta|Magnoliopsida|Gentianales|Rubiaceae|Gaertnera|junghuhniana|Gaertnera junghuhniana Miq.	26
Syzygium P. Br. ex Gaertn.	Plantae|Magnoliophyta|Magnoliopsida|Myrtales|Myrtaceae|Syzygium||Syzygium P. Br. ex Gaertn.	26
Aplonis panayensis (Scopoli, 1786)	Animalia|Chordata|Aves|Passeriformes|Sturnidae|Aplonis|panayensis|Aplonis panayensis (Scopoli, 1786)	26
Antrophyum Kaulfuss	Plantae|Pteridophyta|Polypodiopsida|Polypodiales|Pteridaceae|Antrophyum||Antrophyum Kaulfuss	26
Artabotrys suaveolens (Blume) Blume	Plantae|Magnoliophyta|Magnoliopsida|Magnoliales|Annonaceae|Artabotrys|suaveolens|Artabotrys suaveolens (Blume) Blume	26
Tapeinidium luzonicum (Hook.) Kramer	Plantae|Pteridophyta|Polypodiopsida|Polypodiales|Lindsaeaceae|Tapeinidium|luzonicum|Tapeinidium luzonicum (Hook.) Kramer	26
Antrophyum Kaulf.	Plantae|Tracheophyta|Polypodiopsida|Polypodiales|Pteridaceae|Antrophyum||Antrophyum Kaulf.	26
Dipteris conjugata Reinw.	Plantae|Tracheophyta|Polypodiopsida|Gleicheniales|Dipteridaceae|Dipteris|conjugata|Dipteris conjugata Reinw.	25
Selliguea taeniata (Sw.) Parris	Plantae|Pteridophyta|Polypodiopsida|Polypodiales|Polypodiaceae|Selliguea|taeniata|Selliguea taeniata (Sw.) Parris	25
Selliguea taeniata (Sw.) Parris	Plantae|Tracheophyta|Polypodiopsida|Polypodiales|Polypodiaceae|Selliguea|taeniata|Selliguea taeniata (Sw.) Parris	25
Asplenium phyllitidis D. Don	Plantae|Pteridophyta|Polypodiopsida|Polypodiales|Aspleniaceae|Neottopteris|phyllitidis|Asplenium phyllitidis D. Don	25
Hemigobius hoevenii (Bleeker, 1851)	Animalia|Chordata|Actinopterygii|Perciformes|Gobiidae|Hemigobius|hoevenii|Hemigobius hoevenii (Bleeker, 1851)	25
Trioza Förster, 1848	Animalia|Arthropoda|Insecta|Hemiptera|Triozidae|Trioza||Trioza Förster, 1848	25
Cyathea Sm.	Plantae|Tracheophyta|Polypodiopsida|Cyatheales|Cyatheaceae|Cyathea||Cyathea Sm.	25
Cyathea Sm.	Plantae|Pteridophyta|Polypodiopsida|Cyatheales|Cyatheaceae|Cyathea||Cyathea Sm.	25
Dipteris conjugata (Kaulf.) Reinw.	Plantae|Pteridophyta|Polypodiopsida|Polypodiales|Dipteridaceae|Dipteris|conjugata|Dipteris conjugata (Kaulf.) Reinw.	24
Camponotus Mayr, 1861	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Camponotus||Camponotus Mayr, 1861	24
