taxonName	taxonPath	recordCount
Acridotheres tristis (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Sturnidae|Acridotheres|tristis|Acridotheres tristis (Linnaeus, 1766)	1022
Cypsiurus balasiensis (J. E. Gray, 1829)	Animalia|Chordata|Aves|Apodiformes|Apodidae|Cypsiurus|balasiensis|Cypsiurus balasiensis (J. E. Gray, 1829)	1003
Streptopelia chinensis (Scopoli, 1786)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|chinensis|Streptopelia chinensis (Scopoli, 1786)	976
Hirundo rustica Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Hirundo|rustica|Hirundo rustica Linnaeus, 1758	843
Pycnonotus goiavier (Scopoli, 1786)	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Pycnonotus|goiavier|Pycnonotus goiavier (Scopoli, 1786)	833
Passer montanus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|montanus|Passer montanus (Linnaeus, 1758)	814
Copsychus saularis (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Copsychus|saularis|Copsychus saularis (Linnaeus, 1758)	717
Geopelia striata (Linnaeus, 1766)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Geopelia|striata|Geopelia striata (Linnaeus, 1766)	662
Dicrurus macrocercus Vieillot, 1817	Animalia|Chordata|Aves|Passeriformes|Dicruridae|Dicrurus|macrocercus|Dicrurus macrocercus Vieillot, 1817	646
Pycnonotus blanfordi Jerdon, 1862	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Pycnonotus|blanfordi|Pycnonotus blanfordi Jerdon, 1862	635
Coracias benghalensis (Linnaeus, 1758)	Animalia|Chordata|Aves|Coraciiformes|Coraciidae|Coracias|benghalensis|Coracias benghalensis (Linnaeus, 1758)	577
Centropus sinensis (Stephens, 1815)	Animalia|Chordata|Aves|Cuculiformes|Cuculidae|Centropus|sinensis|Centropus sinensis (Stephens, 1815)	535
Columba livia Gmelin, 1789	Animalia|Chordata|Aves|Columbiformes|Columbidae|Columba|livia|Columba livia Gmelin, 1789	529
Ardeola bacchus (Bonaparte, 1855)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Ardeola|bacchus|Ardeola bacchus (Bonaparte, 1855)	524
Egretta garzetta (Linnaeus, 1766)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Egretta|garzetta|Egretta garzetta (Linnaeus, 1766)	518
Merops philippinus Linnaeus, 1766	Animalia|Chordata|Aves|Coraciiformes|Meropidae|Merops|philippinus|Merops philippinus Linnaeus, 1766	511
Bubulcus ibis (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Bubulcus|ibis|Bubulcus ibis (Linnaeus, 1758)	507
Lanius cristatus Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Laniidae|Lanius|cristatus|Lanius cristatus Linnaeus, 1758	507
Rhipidura javanica (Sparrman, 1788)	Animalia|Chordata|Aves|Passeriformes|Rhipiduridae|Rhipidura|javanica|Rhipidura javanica (Sparrman, 1788)	494
Prinia inornata Sykes, 1832	Animalia|Chordata|Aves|Passeriformes|Cisticolidae|Prinia|inornata|Prinia inornata Sykes, 1832	489
Streptopelia tranquebarica (Hermann, 1804)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|tranquebarica|Streptopelia tranquebarica (Hermann, 1804)	463
Alcedo atthis (Linnaeus, 1758)	Animalia|Chordata|Aves|Coraciiformes|Alcedinidae|Alcedo|atthis|Alcedo atthis (Linnaeus, 1758)	430
Saxicola caprata (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Saxicola|caprata|Saxicola caprata (Linnaeus, 1766)	426
Merops orientalis Latham, 1802	Animalia|Chordata|Aves|Coraciiformes|Meropidae|Merops|orientalis|Merops orientalis Latham, 1802	418
Cacomantis merulinus (Scopoli, 1786)	Animalia|Chordata|Aves|Cuculiformes|Cuculidae|Cacomantis|merulinus|Cacomantis merulinus (Scopoli, 1786)	416
Dicrurus leucophaeus Vieillot, 1817	Animalia|Chordata|Aves|Passeriformes|Dicruridae|Dicrurus|leucophaeus|Dicrurus leucophaeus Vieillot, 1817	414
Corvus macrorhynchos Wagler, 1827	Animalia|Chordata|Aves|Passeriformes|Corvidae|Corvus|macrorhynchos|Corvus macrorhynchos Wagler, 1827	406
Psittacula alexandri (Linnaeus, 1758)	Animalia|Chordata|Aves|Psittaciformes|Psittacidae|Psittacula|alexandri|Psittacula alexandri (Linnaeus, 1758)	403
Anthus rufulus Vieillot, 1818	Animalia|Chordata|Aves|Passeriformes|Motacillidae|Anthus|rufulus|Anthus rufulus Vieillot, 1818	395
Acridotheres grandis Moore, 1858	Animalia|Chordata|Aves|Passeriformes|Sturnidae|Acridotheres|grandis|Acridotheres grandis Moore, 1858	378
Orthotomus sutorius (Pennant, 1769)	Animalia|Chordata|Aves|Passeriformes|Cisticolidae|Orthotomus|sutorius|Orthotomus sutorius (Pennant, 1769)	376
Ficedula albicilla (Pallas, 1811)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Ficedula|albicilla|Ficedula albicilla (Pallas, 1811)	376
Accipiter badius (Gmelin, 1788)	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Accipiter|badius|Accipiter badius (Gmelin, 1788)	361
Aegithina tiphia (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Aegithinidae|Aegithina|tiphia|Aegithina tiphia (Linnaeus, 1758)	359
Pristolepis fasciata (Bleeker, 1851)	Animalia|Chordata|Actinopterygii|Perciformes|Pristolepididae|Pristolepis|fasciata|Pristolepis fasciata (Bleeker, 1851)	338
Impatiens wohlhauseri Eb.Fisch. & Raheliv.	Plantae|Magnoliophyta|Magnoliopsida|Ericales|Balsaminaceae|Impatiens|wohlhauseri|Impatiens wohlhauseri Eb.Fisch. & Raheliv.	338
Ardea alba Linnaeus, 1758	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Ardea|alba|Ardea alba Linnaeus, 1758	335
Saxicola maurus (Pallas, 1773)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Saxicola|maurus|Saxicola maurus (Pallas, 1773)	331
Lonchura punctulata (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Estrildidae|Lonchura|punctulata|Lonchura punctulata (Linnaeus, 1758)	323
Ardea cinerea Linnaeus, 1758	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Ardea|cinerea|Ardea cinerea Linnaeus, 1758	322
