taxonName	taxonPath	recordCount
Anopheles gambiae Giles, 1902	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Anopheles|gambiae|Anopheles gambiae Giles, 1902	3432
	|||||||	1600
Anopheles arabiensis Patton, 1905	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Anopheles|arabiensis|Anopheles arabiensis Patton, 1905	1586
Plantae	Plantae|||||||Plantae	1142
Vigna unguiculata (L.) Walp.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Vigna|unguiculata|Vigna unguiculata (L.) Walp.	1134
Cola H.W. Schott & Endlicher, 1832	Plantae|Magnoliophyta|Magnoliopsida|Malvales|Malvaceae|Cola||Cola H.W. Schott & Endlicher, 1832	1105
Vigna unguiculata (L.) Walp.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Vigna|unguiculata|Vigna unguiculata (L.) Walp.	1104
Psychotria L.	Plantae|Magnoliophyta|Magnoliopsida|Gentianales|Rubiaceae|Psychotria||Psychotria L.	1049
Tadarida Rafinesque, 1814	Animalia|Chordata|Mammalia|Chiroptera|Molossidae|Tadarida||Tadarida Rafinesque, 1814	913
Hipposideros caffer (Sundevall, 1846)	Animalia|Chordata|Mammalia|Chiroptera|Hipposideridae|Hipposideros|caffer|Hipposideros caffer (Sundevall, 1846)	907
Epomops franqueti (Tomes, 1860)	Animalia|Chordata|Mammalia|Chiroptera|Pteropodidae|Epomops|franqueti|Epomops franqueti (Tomes, 1860)	889
Sorghum bicolor (L.) Moench	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Sorghum|bicolor|Sorghum bicolor (L.) Moench	883
Arthroleptis poecilonotus Peters, 1863	Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptis|poecilonotus|Arthroleptis poecilonotus Peters, 1863	865
Leptopelis notatus (Peters, 1875)	Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Leptopelis|notatus|Leptopelis notatus (Peters, 1875)	838
Pennisetum glaucum (L.) R.Br.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Pennisetum|glaucum|Pennisetum glaucum (L.) R.Br.	820
Pennisetum glaucum (L.) R.Br.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Pennisetum|glaucum|Pennisetum glaucum (L.) R.Br.	816
Hyperolius ocellatus Günther, 1858	Animalia|Chordata|Amphibia|Anura|Hyperoliidae|Hyperolius|ocellatus|Hyperolius ocellatus Günther, 1858	784
Psychotria L.	Plantae|Tracheophyta|Magnoliopsida|Gentianales|Rubiaceae|Psychotria||Psychotria L.	753
Chordata	Animalia|Chordata||||||Chordata	685
Rubiaceae Juss.	Plantae|Magnoliophyta|Magnoliopsida|Gentianales|Rubiaceae|||Rubiaceae Juss.	680
Hybomys univittatus (Peters, 1876)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Hybomys|univittatus|Hybomys univittatus (Peters, 1876)	649
Microdesmis puberula Hook.f. ex Planch.	Plantae|Magnoliophyta|Magnoliopsida|Malpighiales|Pandaceae|Microdesmis|puberula|Microdesmis puberula Hook.f. ex Planch.	602
Megaloglossus woermanni Pagenstecher, 1885	Animalia|Chordata|Mammalia|Chiroptera|Pteropodidae|Megaloglossus|woermanni|Megaloglossus woermanni Pagenstecher, 1885	575
Barbus guirali Thominot, 1886	Animalia|Chordata|Actinopterygii|Cypriniformes|Cyprinidae|Barbus|guirali|Barbus guirali Thominot, 1886	568
Hipposideros Gray, 1831	Animalia|Chordata|Mammalia|Chiroptera|Rhinolophidae|Hipposideros||Hipposideros Gray, 1831	536
Sorghum bicolor (L.) Moench	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Sorghum|bicolor|Sorghum bicolor (L.) Moench	535
Afrixalus fulvovittatus (Cope, 1861)	Animalia|Chordata|Amphibia|Anura|Hyperoliidae|Afrixalus|fulvovittatus|Afrixalus fulvovittatus (Cope, 1861)	533
Pycnonotus barbatus (Desfontaines, 1789)	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Pycnonotus|barbatus|Pycnonotus barbatus (Desfontaines, 1789)	513
Garcinia L.	Plantae|Magnoliophyta|Magnoliopsida|Malpighiales|Clusiaceae|Garcinia||Garcinia L.	506
Noctuidae	Animalia|Arthropoda|Insecta|Lepidoptera|Noctuidae|||Noctuidae	493
Noctuidae Latreille, 1809	Animalia|Arthropoda|Insecta|Lepidoptera|Noctuidae|||Noctuidae Latreille, 1809	492
Dimorphognathus africanus (Hallowell, 1858)	Animalia|Chordata|Amphibia|Anura|Phrynobatrachidae|Phrynobatrachus|africanus|Dimorphognathus africanus (Hallowell, 1858)	486
Phrynobatrachus auritus Boulenger, 1900	Animalia|Chordata|Amphibia|Anura|Phrynobatrachidae|Phrynobatrachus|auritus|Phrynobatrachus auritus Boulenger, 1900	472
Barbus camptacanthus (Bleeker, 1863)	Animalia|Chordata|Actinopterygii|Cypriniformes|Cyprinidae|Barbus|camptacanthus|Barbus camptacanthus (Bleeker, 1863)	468
Clarias camerunensis Lönnberg, 1895	Animalia|Chordata|Actinopterygii|Siluriformes|Clariidae|Clarias|camerunensis|Clarias camerunensis Lönnberg, 1895	461
Formicidae	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|||Formicidae	459
Formicidae Latreille, 1802	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|||Formicidae Latreille, 1802	459
Hipposideros caffer (Sundevall, 1846)	Animalia|Chordata|Mammalia|Chiroptera|Rhinolophidae|Hipposideros|caffer|Hipposideros caffer (Sundevall, 1846)	458
Antidesma vogelianum Müll.Arg.	Plantae|Magnoliophyta|Magnoliopsida|Malpighiales|Phyllanthaceae|Antidesma|vogelianum|Antidesma vogelianum Müll.Arg.	458
Hyperolius cinnamomeoventris Bocage, 1866	Animalia|Chordata|Amphibia|Anura|Hyperoliidae|Hyperolius|cinnamomeoventris|Hyperolius cinnamomeoventris Bocage, 1866	440
Trichilia rubescens Oliv.	Plantae|Magnoliophyta|Magnoliopsida|Sapindales|Meliaceae|Trichilia|rubescens|Trichilia rubescens Oliv.	439
Rauvolfia vomitoria Afzel.	Plantae|Magnoliophyta|Magnoliopsida|Gentianales|Apocynaceae|Rauvolfia|vomitoria|Rauvolfia vomitoria Afzel.	432
Dracaena camerooniana Baker	Plantae|Magnoliophyta|Liliopsida|Asparagales|Asparagaceae|Dracaena|camerooniana|Dracaena camerooniana Baker	431
Voacanga africana Stapf ex S.Elliot.	Plantae|Magnoliophyta|Magnoliopsida|Gentianales|Apocynaceae|Voacanga|africana|Voacanga africana Stapf ex S.Elliot.	424
Microctenopoma nanum (Günther, 1896)	Animalia|Chordata|Actinopterygii|Perciformes|Anabantidae|Microctenopoma|nanum|Microctenopoma nanum (Günther, 1896)	410
Phrynobatrachus Günther, 1862	Animalia|Chordata|Amphibia|Anura|Phrynobatrachidae|Phrynobatrachus||Phrynobatrachus Günther, 1862	409
Xenopus fraseri Boulenger, 1905	Animalia|Chordata|Amphibia|Anura|Pipidae|Xenopus|fraseri|Xenopus fraseri Boulenger, 1905	406
Leptopelis ocellatus (Mocquard, 1902)	Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Leptopelis|ocellatus|Leptopelis ocellatus (Mocquard, 1902)	396
Bufo maculatus Hallowell, 1854	Animalia|Chordata|Amphibia|Anura|Bufonidae|Amietophrynus|maculatus|Bufo maculatus Hallowell, 1854	382
Ptychadena mascareniensis (Duméril & Bibron, 1841)	Animalia|Chordata|Amphibia|Anura|Ptychadenidae|Ptychadena|mascareniensis|Ptychadena mascareniensis (Duméril & Bibron, 1841)	376
Leptopelis calcaratus (Boulenger, 1906)	Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Leptopelis|calcaratus|Leptopelis calcaratus (Boulenger, 1906)	375
Passer griseus (Vieillot, 1817)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|griseus|Passer griseus (Vieillot, 1817)	371
Milvus migrans (Boddaert, 1783)	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Milvus|migrans|Milvus migrans (Boddaert, 1783)	364
Euphorbiaceae Juss.	Plantae|Magnoliophyta|Magnoliopsida|Malpighiales|Euphorbiaceae|||Euphorbiaceae Juss.	364
Drypetes Vahl	Plantae|Magnoliophyta|Magnoliopsida|Malpighiales|Putranjivaceae|Drypetes||Drypetes Vahl	362
Rubiaceae	Plantae|Tracheophyta|Magnoliopsida|Gentianales|Rubiaceae|||Rubiaceae	360
Hyperolius pardalis Laurent, 1948	Animalia|Chordata|Amphibia|Anura|Hyperoliidae|Hyperolius|pardalis|Hyperolius pardalis Laurent, 1948	358
Mastomys natalensis (A. Smith, 1834)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Mastomys|natalensis|Mastomys natalensis (A. Smith, 1834)	356
Micropteropus pusillus (Peters, 1868)	Animalia|Chordata|Mammalia|Chiroptera|Pteropodidae|Micropteropus|pusillus|Micropteropus pusillus (Peters, 1868)	356
Homalium N.J. Jacquin, 1760	Plantae|Magnoliophyta|Magnoliopsida|Malpighiales|Salicaceae|Homalium||Homalium N.J. Jacquin, 1760	352
Mastomys natalensis (Smith, 1834)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Mastomys|natalensis|Mastomys natalensis (Smith, 1834)	351
Tricalysia A.Rich. ex DC.	Plantae|Magnoliophyta|Magnoliopsida|Gentianales|Rubiaceae|Tricalysia||Tricalysia A.Rich. ex DC.	350
Coelocaryon preussii Warb.	Plantae|Magnoliophyta|Magnoliopsida|Magnoliales|Myristicaceae|Coelocaryon|preussii|Coelocaryon preussii Warb.	350
Vigna subterranea (L.) Verdc.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Vigna|subterranea|Vigna subterranea (L.) Verdc.	347
Vigna subterranea (L.) Verdc.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Vigna|subterranea|Vigna subterranea (L.) Verdc.	347
Scopula Schrank, 1802	Animalia|Arthropoda|Insecta|Lepidoptera|Geometridae|Scopula||Scopula Schrank, 1802	346
