taxonName	taxonPath	recordCount
Paratrechina longicornis (Latreille, 1802)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Paratrechina|longicornis|Paratrechina longicornis (Latreille, 1802)	108
Pheidole megacephala (Fabricius, 1793)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Pheidole|megacephala|Pheidole megacephala (Fabricius, 1793)	106
Chioninia spinalis (Boulenger, 1906)	Animalia|Chordata|Reptilia|Squamata|Scincidae|Chioninia|spinalis|Chioninia spinalis (Boulenger, 1906)	77
Monomorium subopacum (Smith, 1858)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Monomorium|subopacum|Monomorium subopacum (Smith, 1858)	70
Lepisiota capensis (Mayr, 1862)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Lepisiota|capensis|Lepisiota capensis (Mayr, 1862)	52
Passer iagoensis (Gould, 1838)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|iagoensis|Passer iagoensis (Gould, 1838)	45
Brachyponera Emery, 1901	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Pachycondyla||Brachyponera Emery, 1901	44
Falco tinnunculus Linnaeus, 1758	Animalia|Chordata|Aves|Falconiformes|Falconidae|Falco|tinnunculus|Falco tinnunculus Linnaeus, 1758	43
Corvus ruficollis Lesson, 1831	Animalia|Chordata|Aves|Passeriformes|Corvidae|Corvus|ruficollis|Corvus ruficollis Lesson, 1831	35
Conus cuneolus Reeve, 1843	Animalia|Mollusca|Gastropoda|Neogastropoda|Conidae||cuneolus|Conus cuneolus Reeve, 1843	34
Passer hispaniolensis (Temminck, 1820)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|hispaniolensis|Passer hispaniolensis (Temminck, 1820)	33
Sylvia conspicillata Temminck, 1820	Animalia|Chordata|Aves|Passeriformes|Sylviidae|Sylvia|conspicillata|Sylvia conspicillata Temminck, 1820	32
Camponotus maculatus (Fabricius, 1782)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Camponotus|maculatus|Camponotus maculatus (Fabricius, 1782)	32
Teloschistes flavicans (Sw.) Norman	Fungi|Ascomycota|Lecanoromycetes|Teloschistales|Teloschistaceae|Teloschistes|flavicans|Teloschistes flavicans (Sw.) Norman	30
Egretta garzetta (Linnaeus, 1766)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Egretta|garzetta|Egretta garzetta (Linnaeus, 1766)	28
Arenaria interpres (Linnaeus, 1758)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Arenaria|interpres|Arenaria interpres (Linnaeus, 1758)	28
Apus alexandri Hartert, 1901	Animalia|Chordata|Aves|Apodiformes|Apodidae|Apus|alexandri|Apus alexandri Hartert, 1901	27
Columba livia Gmelin, 1789	Animalia|Chordata|Aves|Columbiformes|Columbidae|Columba|livia|Columba livia Gmelin, 1789	27
Plagiolepis puncta Forel, 1910	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Plagiolepis|puncta|Plagiolepis puncta Forel, 1910	26
Gymnoscelis lindbergi Herbulot, 1957	Animalia|Arthropoda|Insecta|Lepidoptera|Geometridae|Gymnoscelis|lindbergi|Gymnoscelis lindbergi Herbulot, 1957	24
Conus crotchii Reeve, 1849	Animalia|Mollusca|Gastropoda|Neogastropoda|Conidae||crotchii|Conus crotchii Reeve, 1849	24
Eremopterix nigriceps (Gould, 1839)	Animalia|Chordata|Aves|Passeriformes|Alaudidae|Eremopterix|nigriceps|Eremopterix nigriceps (Gould, 1839)	24
Conus venulatus Hwass in Bruguière, 1792	Animalia|Mollusca|Gastropoda|Neogastropoda|Conidae||venulatus|Conus venulatus Hwass in Bruguière, 1792	24
Ammomanes cinctura (Gould, 1839)	Animalia|Chordata|Aves|Passeriformes|Alaudidae|Ammomanes|cinctura|Ammomanes cinctura (Gould, 1839)	23
Gorgadesia mira Tav.	Fungi|Ascomycota|Arthoniomycetes|Arthoniales|Roccellaceae|Gorgadesia|mira|Gorgadesia mira Tav.	22
Sylvia atricapilla (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Sylviidae|Sylvia|atricapilla|Sylvia atricapilla (Linnaeus, 1758)	22
Ardea cinerea Linnaeus, 1758	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Ardea|cinerea|Ardea cinerea Linnaeus, 1758	21
Ramalina rubrotincta Krog & Østh.	Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Ramalinaceae|Ramalina|rubrotincta|Ramalina rubrotincta Krog & Østh.	20
Halcyon leucocephala (Statius Muller, 1776)	Animalia|Chordata|Aves|Coraciiformes|Alcedinidae|Halcyon|leucocephala|Halcyon leucocephala (Statius Muller, 1776)	20
Calidris alba (Pallas, 1764)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Calidris|alba|Calidris alba (Pallas, 1764)	19
Bubulcus ibis (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Bubulcus|ibis|Bubulcus ibis (Linnaeus, 1758)	19
Lepidoptera	Animalia|Arthropoda|Insecta|Lepidoptera||||Lepidoptera	18
Gymnoscelis Mabille, 1868	Animalia|Arthropoda|Insecta|Lepidoptera|Geometridae|Gymnoscelis||Gymnoscelis Mabille, 1868	18
Pandion haliaetus (Linnaeus, 1758)	Animalia|Chordata|Aves|Accipitriformes|Pandionidae|Pandion|haliaetus|Pandion haliaetus (Linnaeus, 1758)	17
Roccella canariensis Darb.	Fungi|Ascomycota|Arthoniomycetes|Arthoniales|Roccellaceae|Rocella|canariensis|Roccella canariensis Darb.	17
Roccella canariensis Darb.	Fungi|Ascomycota|Arthoniomycetes|Arthoniales|Roccellaceae|Roccella|canariensis|Roccella canariensis Darb.	17
Charadrius alexandrinus Linnaeus, 1758	Animalia|Chordata|Aves|Charadriiformes|Charadriidae|Charadrius|alexandrinus|Charadrius alexandrinus Linnaeus, 1758	17
Estrilda astrild (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Estrildidae|Estrilda|astrild|Estrilda astrild (Linnaeus, 1758)	16
Conus irregularis G.B. Sowerby II, 1858	Animalia|Mollusca|Gastropoda|Neogastropoda|Conidae||irregularis|Conus irregularis G.B. Sowerby II, 1858	16
