taxonName	taxonPath	recordCount
Formicidae	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|||Formicidae	776
Formicidae Latreille, 1802	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|||Formicidae Latreille, 1802	775
Paraparatrechina Donisthorpe, 1947	Animalia|Arthropoda|Insecta|Hymenoptera||Paraparatrechina||Paraparatrechina Donisthorpe, 1947	665
Hylomyscus alleni (Waterhouse, 1838)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Hylomyscus|alleni|Hylomyscus alleni (Waterhouse, 1838)	544
Chordata	Animalia|Chordata||||||Chordata	461
Hybomys univittatus (Peters, 1876)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Hybomys|univittatus|Hybomys univittatus (Peters, 1876)	337
Tetramorium Mayr, 1855	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Tetramorium||Tetramorium Mayr, 1855	332
	|||||||	290
Praomys tullbergi (Thomas, 1894)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Praomys|tullbergi|Praomys tullbergi (Thomas, 1894)	286
Pheidole Westwood, 1839	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Pheidole||Pheidole Westwood, 1839	243
Vigna subterranea (L.) Verdc.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Vigna|subterranea|Vigna subterranea (L.) Verdc.	212
Vigna subterranea (L.) Verdc.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Vigna|subterranea|Vigna subterranea (L.) Verdc.	212
Tetraponera anthracina (Santschi, 1910)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Tetraponera|anthracina|Tetraponera anthracina (Santschi, 1910)	208
Sorghum bicolor (L.) Moench	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Sorghum|bicolor|Sorghum bicolor (L.) Moench	178
Stochomys longicaudatus (Tullberg, 1893)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Stochomys|longicaudatus|Stochomys longicaudatus (Tullberg, 1893)	178
Sorghum bicolor (L.) Moench	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Sorghum|bicolor|Sorghum bicolor (L.) Moench	178
