taxonName	taxonPath	recordCount
Pennisetum glaucum (L.) R.Br.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Pennisetum|glaucum|Pennisetum glaucum (L.) R.Br.	140
Pennisetum glaucum (L.) R.Br.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Pennisetum|glaucum|Pennisetum glaucum (L.) R.Br.	139
Vigna unguiculata (L.) Walp.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Vigna|unguiculata|Vigna unguiculata (L.) Walp.	133
Vigna unguiculata (L.) Walp.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Vigna|unguiculata|Vigna unguiculata (L.) Walp.	133
Tetranychus tchadi Gutierrez & Bolland, 1973	Animalia|Arthropoda|Arachnida|Prostigmata|Tetranychidae|Tetranychus|tchadi|Tetranychus tchadi Gutierrez & Bolland, 1973	98
Pachnephorus Chevrolat, 1837	Animalia|Arthropoda|Insecta|Coleoptera|Chrysomelidae|Pachnephorus||Pachnephorus Chevrolat, 1837	92
Mastomys erythroleucus (Temminck, 1853)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Mastomys|erythroleucus|Mastomys erythroleucus (Temminck, 1853)	68
Platalea leucorodia Linnaeus, 1758	Animalia|Chordata|Aves|Pelecaniformes|Threskiornithidae|Platalea|leucorodia|Platalea leucorodia Linnaeus, 1758	68
Arachis hypogaea L.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Arachis|hypogaea|Arachis hypogaea L.	65
Arachis L.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Arachis||Arachis L.	65
Gazella dorcas (Linnaeus, 1758)	Animalia|Chordata|Mammalia|Artiodactyla|Bovidae|Gazella|dorcas|Gazella dorcas (Linnaeus, 1758)	62
Oryza sativa L.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Oryza|sativa|Oryza sativa L.	59
Oryza sativa L.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Oryza|sativa|Oryza sativa L.	59
