taxonName	taxonPath	recordCount
Ducula whartoni (Sharpe, 1887)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Ducula|whartoni|Ducula whartoni (Sharpe, 1887)	258
Zosterops natalis Lister, 1889	Animalia|Chordata|Aves|Passeriformes|Zosteropidae|Zosterops|natalis|Zosterops natalis Lister, 1889	239
	|||||||	226
Sula sula (Linnaeus, 1766)	Animalia|Chordata|Aves|Suliformes|Sulidae|Sula|sula|Sula sula (Linnaeus, 1766)	189
Fregata andrewsi Mathews, 1914	Animalia|Chordata|Aves|Suliformes|Fregatidae|Fregata|andrewsi|Fregata andrewsi Mathews, 1914	179
Turdus poliocephalus Latham, 1802	Animalia|Chordata|Aves|Passeriformes|Turdidae|Turdus|poliocephalus|Turdus poliocephalus Latham, 1802	177
Fregata minor (Gmelin, 1789)	Animalia|Chordata|Aves|Suliformes|Fregatidae|Fregata|minor|Fregata minor (Gmelin, 1789)	146
Phaethon lepturus Daudin, 1802	Animalia|Chordata|Aves|Phaethontiformes|Phaethontidae|Phaëthon|lepturus|Phaethon lepturus Daudin, 1802	145
Falco cenchroides Vigors & Horsfield, 1827	Animalia|Chordata|Aves|Falconiformes|Falconidae|Falco|cenchroides|Falco cenchroides Vigors & Horsfield, 1827	125
Papasula abbotti (Ridgway, 1893)	Animalia|Chordata|Aves|Suliformes|Sulidae|Papasula|abbotti|Papasula abbotti (Ridgway, 1893)	117
Cyrtodactylus marmoratus (Gray, 1831)	Animalia|Chordata|Reptilia|Squamata|Gekkonidae|Christinus|marmoratus|Cyrtodactylus marmoratus (Gray, 1831)	114
Emoia nativittatis (Boulenger, 1887)	Animalia|Chordata|Reptilia|Squamata|Scincidae|Emoia|nativittatis|Emoia nativittatis (Boulenger, 1887)	111
Chalcophaps indica (Linnaeus, 1758)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Chalcophaps|indica|Chalcophaps indica (Linnaeus, 1758)	108
Collocalia linchi Horsfield & Moore, 1854	Animalia|Chordata|Aves|Apodiformes|Apodidae|Collocalia|linchi|Collocalia linchi Horsfield & Moore, 1854	107
Nylanderia Emery, 1906	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Nylanderia||Nylanderia Emery, 1906	106
Sula leucogaster (Boddaert, 1783)	Animalia|Chordata|Aves|Suliformes|Sulidae|Sula|leucogaster|Sula leucogaster (Boddaert, 1783)	96
Phaethon lepturus subsp. fulvus Brandt, 1838	Animalia|Chordata|Aves|Phaethontiformes|Phaethontidae|Phaëthon|lepturus|Phaethon lepturus subsp. fulvus Brandt, 1838	92
Hemidactylus frenatus Schlegel, 1836	Animalia|Chordata|Reptilia|Squamata|Gekkonidae|Hemidactylus|frenatus|Hemidactylus frenatus Schlegel, 1836	90
Lepidodactylus listeri (Boulenger, 1889)	Animalia|Chordata|Reptilia|Squamata|Gekkonidae|Lepidodactylus|listeri|Lepidodactylus listeri (Boulenger, 1889)	88
Plectroglyphidodon dickii	Animalia|Chordata|Actinopterygii|Pomacentridae|Plectroglyphidodon dickii	84
Acanthurus nigricans	Animalia|Chordata|Actinopterygii|Acanthuridae|Acanthurus nigricans	84
Zanclus cornutus	Animalia|Chordata|Actinopterygii|Zanclidae|Zanclus cornutus	84
Chaetodon trifascialis	Animalia|Chordata|Actinopterygii|Chaetodontidae|Chaetodon trifascialis	84
Chromis margaritifer	Animalia|Chordata|Actinopterygii|Pomacentridae|Chromis margaritifer	80
Chaetodon ornatissimus	Animalia|Chordata|Actinopterygii|Chaetodontidae|Chaetodon ornatissimus	76
Thalassoma hardwicke	Animalia|Chordata|Actinopterygii|Labridae|Thalassoma hardwicke	72
Chaetodon meyeri	Animalia|Chordata|Actinopterygii|Chaetodontidae|Chaetodon meyeri	72
Paracirrhites arcatus	Animalia|Chordata|Actinopterygii|Cirrhitidae|Paracirrhites arcatus	72
Plectroglyphidodon johnstonianus	Animalia|Chordata|Actinopterygii|Pomacentridae|Plectroglyphidodon johnstonianus	68
Plectroglyphidodon lacrymatus	Animalia|Chordata|Actinopterygii|Pomacentridae|Plectroglyphidodon lacrymatus	68
Pempheris oualensis	Animalia|Chordata|Actinopterygii|Pempherididae|Pempheris oualensis	68
Chromis nigrura	Animalia|Chordata|Actinopterygii|Pomacentridae|Chromis nigrura	64
Thalassoma lutescens	Animalia|Chordata|Actinopterygii|Labridae|Thalassoma lutescens	64
Ctenochaetus truncatus	Animalia|Chordata|Actinopterygii|Acanthuridae|Ctenochaetus truncatus	64
Forcipiger flavissimus	Animalia|Chordata|Actinopterygii|Chaetodontidae|Forcipiger flavissimus	64
Melichthys niger	Animalia|Chordata|Actinopterygii|Balistidae|Melichthys niger	64
Phaethon rubricauda Boddaert, 1783	Animalia|Chordata|Aves|Phaethontiformes|Phaethontidae|Phaëthon|rubricauda|Phaethon rubricauda Boddaert, 1783	62
Thalassoma amblycephalum	Animalia|Chordata|Actinopterygii|Labridae|Thalassoma amblycephalum	60
Gehyra mutilata (Wiegmann, 1834)	Animalia|Chordata|Reptilia|Squamata|Gekkonidae|Gehyra|mutilata|Gehyra mutilata (Wiegmann, 1834)	60
Balistapus undulatus	Animalia|Chordata|Actinopterygii|Balistidae|Balistapus undulatus	60
Anous stolidus (Linnaeus, 1758)	Animalia|Chordata|Aves|Charadriiformes|Laridae|Anous|stolidus|Anous stolidus (Linnaeus, 1758)	58
Cardiocondyla Emery, 1869	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Cardiocondyla||Cardiocondyla Emery, 1869	56
Myripristis berndti	Animalia|Chordata|Actinopterygii|Holocentridae|Myripristis berndti	56
Oxypleura Amyot & Serville, 1843	Animalia|Arthropoda|Insecta|Hemiptera|Cicadidae|Oxypleura||Oxypleura Amyot & Serville, 1843	56
Labroides dimidiatus	Animalia|Chordata|Actinopterygii|Labridae|Labroides dimidiatus	56
Cyrtodactylus sadleiri (Wells & Wellington, 1985)	Animalia|Chordata|Reptilia|Squamata|Gekkonidae|Cyrtodactylus|sadleiri|Cyrtodactylus sadleiri (Wells & Wellington, 1985)	54
Chalcophaps indica subsp. natalis Lister, 1889	Animalia|Chordata|Aves|Columbiformes|Columbidae|Chalcophaps|indica|Chalcophaps indica subsp. natalis Lister, 1889	52
Sargocentron caudimaculatum	Animalia|Chordata|Actinopterygii|Holocentridae|Sargocentron caudimaculatum	52
Gomphosus caeruleus	Animalia|Chordata|Actinopterygii|Labridae|Gomphosus caeruleus	52
Zebrasoma scopas	Animalia|Chordata|Actinopterygii|Acanthuridae|Zebrasoma scopas	52
Halichoeres hortulanus	Animalia|Chordata|Actinopterygii|Labridae|Halichoeres hortulanus	52
Sula sula subsp. rubripes Gould, 1838	Animalia|Chordata|Aves|Suliformes|Sulidae|Sula|sula|Sula sula subsp. rubripes Gould, 1838	51
Passer montanus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|montanus|Passer montanus (Linnaeus, 1758)	51
Mulloidichthys vanicolensis	Animalia|Chordata|Actinopterygii|Mullidae|Mulloidichthys vanicolensis	48
Cephalopholis urodeta	Animalia|Chordata|Actinopterygii|Serranidae|Cephalopholis urodeta	48
Linckia multifora	Animalia|Echinodermata|Asteroidea|Ophidiasteridae|Linckia multifora	48
Aphareus furca	Animalia|Chordata|Actinopterygii|Lutjanidae|Aphareus furca	48
Collocalia esculenta (Linnaeus, 1758)	Animalia|Chordata|Aves|Apodiformes|Apodidae|Collocalia|esculenta|Collocalia esculenta (Linnaeus, 1758)	48
Labroides pectoralis	Animalia|Chordata|Actinopterygii|Labridae|Labroides pectoralis	48
Porites rus (Forskål, 1775)	Animalia|Cnidaria|Anthozoa|Scleractinia|Poritidae|Porites|rus|Porites rus (Forskål, 1775)	46
Pseudocheilinus hexataenia	Animalia|Chordata|Actinopterygii|Labridae|Pseudocheilinus hexataenia	44
Scarus rubroviolaceus	Animalia|Chordata|Actinopterygii|Scaridae|Scarus rubroviolaceus	44
Paracirrhites forsteri	Animalia|Chordata|Actinopterygii|Cirrhitidae|Paracirrhites forsteri	44
Acanthurus nigricans (Linnaeus, 1758)	Animalia|Chordata|Actinopterygii|Perciformes|Acanthuridae|Acanthurus|nigricans|Acanthurus nigricans (Linnaeus, 1758)	44
Thalassoma purpureum	Animalia|Chordata|Actinopterygii|Labridae|Thalassoma purpureum	44
Centropyge flavissima	Animalia|Chordata|Actinopterygii|Pomacanthidae|Centropyge flavissima	44
Dascyllus trimaculatus	Animalia|Chordata|Actinopterygii|Pomacentridae|Dascyllus trimaculatus	44
Ctenochaetus striatus	Animalia|Chordata|Actinopterygii|Acanthuridae|Ctenochaetus striatus	44
Cryptoblepharus egeriae (Boulenger, 1888)	Animalia|Chordata|Reptilia|Squamata|Scincidae|Cryptoblepharus|egeriae|Cryptoblepharus egeriae (Boulenger, 1888)	43
Mallacoota barnardi Hughes, 2011	Animalia|Arthropoda|Malacostraca|Amphipoda|Melitidae|Mallacoota|barnardi|Mallacoota barnardi Hughes, 2011	43
Balistapus undulatus (Park, 1797)	Animalia|Chordata|Actinopterygii|Tetraodontiformes|Balistidae|Balistapus|undulatus|Balistapus undulatus (Park, 1797)	42
Amaurornis phoenicurus (Pennant, 1769)	Animalia|Chordata|Aves|Gruiformes|Rallidae|Amaurornis|phoenicurus|Amaurornis phoenicurus (Pennant, 1769)	41
Hemigymnus fasciatus	Animalia|Chordata|Actinopterygii|Labridae|Hemigymnus fasciatus	40
Parupeneus crassilabris	Animalia|Chordata|Actinopterygii|Mullidae|Parupeneus crassilabris	40
Chaetodon guttatissimus	Animalia|Chordata|Actinopterygii|Chaetodontidae|Chaetodon guttatissimus	40
Acanthurus nigrofuscus	Animalia|Chordata|Actinopterygii|Acanthuridae|Acanthurus nigrofuscus	40
Aulostomus chinensis	Animalia|Chordata|Actinopterygii|Aulostomidae|Aulostomus chinensis	40
Melichthys vidua	Animalia|Chordata|Actinopterygii|Balistidae|Melichthys vidua	40
Pseudanthias evansi	Animalia|Chordata|Actinopterygii|Serranidae|Pseudanthias evansi	40
Dascyllus reticulatus	Animalia|Chordata|Actinopterygii|Pomacentridae|Dascyllus reticulatus	40
Parupeneus multifasciatus	Animalia|Chordata|Actinopterygii|Mullidae|Parupeneus multifasciatus	40
Stegastes insularis	Animalia|Chordata|Actinopterygii|Pomacentridae|Stegastes insularis	40
Phaethon lepturus Daudin, 1802	Animalia|Chordata|Aves|Phaethontiformes|Phaethontidae|Phaethon|lepturus|Phaethon lepturus Daudin, 1802	39
Hirundo rustica Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Hirundo|rustica|Hirundo rustica Linnaeus, 1758	38
Egretta novaehollandiae (Latham, 1790)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Egretta|novaehollandiae|Egretta novaehollandiae (Latham, 1790)	37
Egretta sacra (Gmelin, 1789)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Egretta|sacra|Egretta sacra (Gmelin, 1789)	36
