taxonName	taxonPath	recordCount
Hemidactylus frenatus Schlegel, 1836	Animalia|Chordata|Reptilia|Squamata|Gekkonidae|Hemidactylus|frenatus|Hemidactylus frenatus Schlegel, 1836	161
Lepidodactylus lugubris Duméril & Bibron, 1836	Animalia|Chordata|Reptilia|Squamata|Gekkonidae|Lepidodactylus|lugubris|Lepidodactylus lugubris Duméril & Bibron, 1836	135
Egretta sacra (Gmelin, 1789)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Egretta|sacra|Egretta sacra (Gmelin, 1789)	74
Hypotaenidia Reichenbach, 1852	Animalia|Chordata|Aves|Gruiformes|Rallidae|Hypotaenidia||Hypotaenidia Reichenbach, 1852	70
Gehyra mutilata (Wiegmann, 1834)	Animalia|Chordata|Reptilia|Squamata|Gekkonidae|Gehyra|mutilata|Gehyra mutilata (Wiegmann, 1834)	53
Ca Dyar, 1914	Animalia|Arthropoda|Insecta|Lepidoptera|Dalceridae|Ca||Ca Dyar, 1914	52
Gygis alba (Sparrman, 1786)	Animalia|Chordata|Aves|Charadriiformes|Laridae|Gygis|alba|Gygis alba (Sparrman, 1786)	51
Nycticorax caledonicus (Gmelin, 1789)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Nycticorax|caledonicus|Nycticorax caledonicus (Gmelin, 1789)	47
Amaurornis phoenicurus (Pennant, 1769)	Animalia|Chordata|Aves|Gruiformes|Rallidae|Amaurornis|phoenicurus|Amaurornis phoenicurus (Pennant, 1769)	44
Sula sula (Linnaeus, 1766)	Animalia|Chordata|Aves|Suliformes|Sulidae|Sula|sula|Sula sula (Linnaeus, 1766)	41
Anas superciliosa Gmelin, 1789	Animalia|Chordata|Aves|Anseriformes|Anatidae|Anas|superciliosa|Anas superciliosa Gmelin, 1789	38
Gallus varius (Shaw, 1798)	Animalia|Chordata|Aves|Galliformes|Phasianidae|Gallus|varius|Gallus varius (Shaw, 1798)	37
Rattus rattus (Linnaeus, 1758)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Rattus|rattus|Rattus rattus (Linnaeus, 1758)	33
