taxonName	taxonPath	recordCount
Cathartes aura (Linnaeus, 1758)	Animalia|Chordata|Aves|Accipitriformes|Cathartidae|Cathartes|aura|Cathartes aura (Linnaeus, 1758)	1974
Mimus polyglottos (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Mimidae|Mimus|polyglottos|Mimus polyglottos (Linnaeus, 1758)	1356
Quiscalus niger (Boddaert, 1783)	Animalia|Chordata|Aves|Passeriformes|Icteridae|Quiscalus|niger|Quiscalus niger (Boddaert, 1783)	1311
Bubulcus ibis (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Bubulcus|ibis|Bubulcus ibis (Linnaeus, 1758)	1279
Falco sparverius Linnaeus, 1758	Animalia|Chordata|Aves|Falconiformes|Falconidae|Falco|sparverius|Falco sparverius Linnaeus, 1758	1270
Chlorostilbon ricordii (Gervais, 1835)	Animalia|Chordata|Aves|Apodiformes|Trochilidae|Chlorostilbon|ricordii|Chlorostilbon ricordii (Gervais, 1835)	1203
Acropora palmata (Lamarck, 1816)	Animalia|Cnidaria|Anthozoa|Scleractinia|Acroporidae|Acropora|palmata|Acropora palmata (Lamarck, 1816)	1148
Telenomus Haliday, 1833	Animalia|Arthropoda|Insecta|Hymenoptera|Scelionidae|Telenomus||Telenomus Haliday, 1833	1142
Setophaga ruticilla (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Parulidae|Setophaga|ruticilla|Setophaga ruticilla (Linnaeus, 1758)	1103
Turdus plumbeus Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Turdidae|Turdus|plumbeus|Turdus plumbeus Linnaeus, 1758	1032
Dives atroviolaceus (Orbigny, 1839)	Animalia|Chordata|Aves|Passeriformes|Icteridae|Dives|atroviolaceus|Dives atroviolaceus (Orbigny, 1839)	1021
Crotophaga ani Linnaeus, 1758	Animalia|Chordata|Aves|Cuculiformes|Cuculidae|Crotophaga|ani|Crotophaga ani Linnaeus, 1758	1008
Zenaida macroura (Linnaeus, 1758)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Zenaida|macroura|Zenaida macroura (Linnaeus, 1758)	998
Contopus caribaeus (Orbigny, 1839)	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Contopus|caribaeus|Contopus caribaeus (Orbigny, 1839)	912
Columbina passerina (Linnaeus, 1758)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Columbina|passerina|Columbina passerina (Linnaeus, 1758)	904
Tyrannus caudifasciatus Orbigny, 1839	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Tyrannus|caudifasciatus|Tyrannus caudifasciatus Orbigny, 1839	880
Melanerpes superciliaris (Temminck, 1827)	Animalia|Chordata|Aves|Piciformes|Picidae|Melanerpes|superciliaris|Melanerpes superciliaris (Temminck, 1827)	880
Myiarchus sagrae (Gundlach, 1852)	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Myiarchus|sagrae|Myiarchus sagrae (Gundlach, 1852)	830
Ardea alba Linnaeus, 1758	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Ardea|alba|Ardea alba Linnaeus, 1758	827
Todus multicolor Gould, 1837	Animalia|Chordata|Aves|Coraciiformes|Todidae|Todus|multicolor|Todus multicolor Gould, 1837	777
Priotelus temnurus (Temminck, 1825)	Animalia|Chordata|Aves|Trogoniformes|Trogonidae|Priotelus|temnurus|Priotelus temnurus (Temminck, 1825)	766
Vireo gundlachii Lembeye, 1850	Animalia|Chordata|Aves|Passeriformes|Vireonidae|Vireo|gundlachii|Vireo gundlachii Lembeye, 1850	692
Zenaida aurita (Temminck, 1809)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Zenaida|aurita|Zenaida aurita (Temminck, 1809)	690
Setophaga palmarum (J. F. Gmelin, 1789)	Animalia|Chordata|Aves|Passeriformes|Parulidae|Setophaga|palmarum|Setophaga palmarum (J. F. Gmelin, 1789)	669
Egretta caerulea (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Egretta|caerulea|Egretta caerulea (Linnaeus, 1758)	652
Ardea herodias Linnaeus, 1758	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Ardea|herodias|Ardea herodias Linnaeus, 1758	650
Amazona leucocephala (Linnaeus, 1758)	Animalia|Chordata|Aves|Psittaciformes|Psittacidae|Amazona|leucocephala|Amazona leucocephala (Linnaeus, 1758)	649
