taxonName	taxonPath	recordCount
Paratrechina longicornis (Latreille, 1802)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Paratrechina|longicornis|Paratrechina longicornis (Latreille, 1802)	138
Solenopsis geminata (Fabricius, 1804)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Solenopsis|geminata|Solenopsis geminata (Fabricius, 1804)	56
Isarachnanthus nocturnus (Hartog, 1977)	Animalia|Cnidaria|Anthozoa|Ceriantharia|Arachnactidae|Isarachnanthus|nocturnus|Isarachnanthus nocturnus (Hartog, 1977)	56
Camponotus blandus (Smith, 1858)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Camponotus|blandus|Camponotus blandus (Smith, 1858)	44
Ewingia cenobitae Pearse, 1929	Animalia|Arthropoda|Arachnida|Astigmata|Acaridae|Ewingia|cenobitae|Ewingia cenobitae Pearse, 1929	38
Apogon townsendi (Breder, 1927)	Animalia|Chordata|Actinopterygii|Perciformes|Apogonidae|Apogon|townsendi|Apogon townsendi (Breder, 1927)	37
Hermodice carunculata (Pallas, 1766)	Animalia|Annelida|Polychaeta|Amphinomida|Amphinomidae|Hermodice|carunculata|Hermodice carunculata (Pallas, 1766)	36
Monomorium destructor (Jerdon, 1851)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Monomorium|destructor|Monomorium destructor (Jerdon, 1851)	34
Apogon phenax Böhlke & Randall, 1968	Animalia|Chordata|Actinopterygii|Perciformes|Apogonidae|Apogon|phenax|Apogon phenax Böhlke & Randall, 1968	32
Phaeoptyx pigmentaria (Poey, 1860)	Animalia|Chordata|Actinopterygii|Perciformes|Apogonidae|Phaeoptyx|pigmentaria|Phaeoptyx pigmentaria (Poey, 1860)	31
Acanthemblemaria spinosa Metzelaar, 1919	Animalia|Chordata|Actinopterygii|Perciformes|Chaenopsidae|Acanthemblemaria|spinosa|Acanthemblemaria spinosa Metzelaar, 1919	30
Entomacrodus nigricans Gill, 1859	Animalia|Chordata|Actinopterygii|Perciformes|Blenniidae|Entomacrodus|nigricans|Entomacrodus nigricans Gill, 1859	30
Rypticus carpenteri Baldwin & Weigt, 2012	Animalia|Chordata|Actinopterygii|Perciformes|Serranidae|Rypticus|carpenteri|Rypticus carpenteri Baldwin & Weigt, 2012	29
Canthigaster rostrata (Bloch, 1786)	Animalia|Chordata|Actinopterygii|Tetraodontiformes|Tetraodontidae|Canthigaster|rostrata|Canthigaster rostrata (Bloch, 1786)	29
Coryphopterus venezuelae Cervigón, 1966	Animalia|Chordata|Actinopterygii|Perciformes|Gobiidae|Coryphopterus|venezuelae|Coryphopterus venezuelae Cervigón, 1966	29
Tedania ignis (Duchassaing & Michelotti, 1864)	Animalia|Porifera|Demospongiae|Poecilosclerida|Tedaniidae|Tedania|ignis|Tedania ignis (Duchassaing & Michelotti, 1864)	29
Halichoeres bivittatus (Bloch, 1791)	Animalia|Chordata|Actinopterygii|Perciformes|Labridae|Halichoeres|bivittatus|Halichoeres bivittatus (Bloch, 1791)	28
Stegastes partitus (Poey, 1868)	Animalia|Chordata|Actinopterygii|Perciformes|Pomacentridae|Stegastes|partitus|Stegastes partitus (Poey, 1868)	27
Starksia hassi Klausewitz, 1958	Animalia|Chordata|Actinopterygii|Perciformes|Labrisomidae|Starksia|hassi|Starksia hassi Klausewitz, 1958	27
Enneanectes Jordan & Evermann, 1895	Animalia|Chordata|Actinopterygii|Perciformes|Tripterygiidae|Enneanectes||Enneanectes Jordan & Evermann, 1895	26
Haemulon flavolineatum (Desmarest, 1823)	Animalia|Chordata|Actinopterygii|Perciformes|Haemulidae|Haemulon|flavolineatum|Haemulon flavolineatum (Desmarest, 1823)	26
Bathygobius antilliensis Tornabene, Baldwin & Pezold, 2010	Animalia|Chordata|Actinopterygii|Perciformes|Gobiidae|Bathygobius|antilliensis|Bathygobius antilliensis Tornabene, Baldwin & Pezold, 2010	24
Labrisomus nuchipinnis (Quoy & Gaimard, 1824)	Animalia|Chordata|Actinopterygii|Perciformes|Labrisomidae|Labrisomus|nuchipinnis|Labrisomus nuchipinnis (Quoy & Gaimard, 1824)	24
Rypticus subbifrenatus Gill, 1861	Animalia|Chordata|Actinopterygii|Perciformes|Serranidae|Rypticus|subbifrenatus|Rypticus subbifrenatus Gill, 1861	23
Halosbaena acanthura Stock, 1976	Animalia|Arthropoda|Malacostraca|Thermosbaenacea|Halosbaenidae|Halosbaena|acanthura|Halosbaena acanthura Stock, 1976	22
Liopropoma rubre Poey, 1861	Animalia|Chordata|Actinopterygii|Perciformes|Serranidae|Liopropoma|rubre|Liopropoma rubre Poey, 1861	22
Mugil curema Valenciennes, 1836	Animalia|Chordata|Actinopterygii|Mugiliformes|Mugilidae|Mugil|curema|Mugil curema Valenciennes, 1836	22
Cephalopholis fulva (Linnaeus, 1758)	Animalia|Chordata|Actinopterygii|Perciformes|Serranidae|Cephalopholis|fulva|Cephalopholis fulva (Linnaeus, 1758)	21
Lutjanus apodus (Walbaum, 1792)	Animalia|Chordata|Actinopterygii|Perciformes|Lutjanidae|Lutjanus|apodus|Lutjanus apodus (Walbaum, 1792)	21
Cerion uva (Linnaeus, 1758)	Animalia|Mollusca|Gastropoda|Stylommatophora|Cerionidae|Cerion|uva|Cerion uva (Linnaeus, 1758)	21
Echidna catenata (Bloch, 1795)	Animalia|Chordata|Actinopterygii|Anguilliformes|Muraenidae|Echidna|catenata|Echidna catenata (Bloch, 1795)	21
Enchelycore carychroa Böhlke & Böhlke, 1976	Animalia|Chordata|Actinopterygii|Anguilliformes|Muraenidae|Enchelycore|carychroa|Enchelycore carychroa Böhlke & Böhlke, 1976	21
Lutjanus mahogoni (Cuvier, 1828)	Animalia|Chordata|Actinopterygii|Perciformes|Lutjanidae|Lutjanus|mahogoni|Lutjanus mahogoni (Cuvier, 1828)	21
Kaupichthys hyoproroides (Strömman, 1896)	Animalia|Chordata|Actinopterygii|Anguilliformes|Chlopsidae|Kaupichthys|hyoproroides|Kaupichthys hyoproroides (Strömman, 1896)	21
Priolepis hipoliti (Metzelaar, 1922)	Animalia|Chordata|Actinopterygii|Perciformes|Gobiidae|Priolepis|hipoliti|Priolepis hipoliti (Metzelaar, 1922)	21
Ircinia felix (Duchassaing & Michelotti, 1864)	Animalia|Porifera|Demospongiae|Dictyoceratida|Irciniidae|Ircinia|felix|Ircinia felix (Duchassaing & Michelotti, 1864)	21
