taxonName	taxonPath	recordCount
Mollusca	Animalia|Mollusca||||||Mollusca	80
Pristurus flavipunctatus Rüppell, 1835	Animalia|Chordata|Reptilia|Squamata|Sphaerodactylidae|Pristurus|flavipunctatus|Pristurus flavipunctatus Rüppell, 1835	49
	|||||||	23
Ptychadena anchietae (Bocage, 1868)	Animalia|Chordata|Amphibia|Anura|Ptychadenidae|Ptychadena|anchietae|Ptychadena anchietae (Bocage, 1868)	21
Ophiothrix Müller & Troschel, 1840	Animalia|Echinodermata|Ophiuroidea|Ophiurida|Ophiotrichidae|Ophiothrix||Ophiothrix Müller & Troschel, 1840	15
Ptychadena mascareniensis (Duméril & Bibron, 1841)	Animalia|Chordata|Amphibia|Anura|Ptychadenidae|Ptychadena|mascareniensis|Ptychadena mascareniensis (Duméril & Bibron, 1841)	14
Rhincodon typus Smith, 1828	Animalia|Chordata|Elasmobranchii|Orectolobiformes|Rhincodontidae|Rhincodon|typus|Rhincodon typus Smith, 1828	11
Conus locumtenens Blumenbach, 1791	Animalia|Mollusca|Gastropoda|Neogastropoda|Conidae||locumtenens|Conus locumtenens Blumenbach, 1791	11
Agama spinosa Gray, 1831	Animalia|Chordata|Reptilia|Squamata|Agamidae|Agama|spinosa|Agama spinosa Gray, 1831	11
Latastia boscai Bedriaga, 1884	Animalia|Chordata|Reptilia|Squamata|Lacertidae|Latastia|boscai|Latastia boscai Bedriaga, 1884	10
Ptyodactylus ragazzii Anderson, 1898	Animalia|Chordata|Reptilia|Squamata|Phyllodactylidae|Ptyodactylus|ragazzii|Ptyodactylus ragazzii Anderson, 1898	9
Pyrgomatidae Gray, 1825	Animalia|Arthropoda|Maxillopoda|Sessilia|Pyrgomatidae|||Pyrgomatidae Gray, 1825	8
Equus Linnaeus, 1758	Animalia|Chordata|Mammalia|Perissodactyla|Equidae|Equus||Equus Linnaeus, 1758	8
Calcinus rosaceus Heller, 1861	Animalia|Arthropoda|Malacostraca|Decapoda|Diogenidae|Calcinus|rosaceus|Calcinus rosaceus Heller, 1861	8
Euphorbia granulata Forssk.	Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Euphorbiaceae|Euphorbia|granulata|Euphorbia granulata Forssk.	7
Pycnonotus barbatus (Desfontaines, 1789)	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Pycnonotus|barbatus|Pycnonotus barbatus (Desfontaines, 1789)	7
Calcinus Dana, 1851	Animalia|Arthropoda|Malacostraca|Decapoda|Diogenidae|Calcinus||Calcinus Dana, 1851	7
Euphorbia granulata Forssk.	Plantae|Magnoliophyta|Magnoliopsida|Malpighiales|Euphorbiaceae|Euphorbia|granulata|Euphorbia granulata Forssk.	7
Echinometra Gray, 1825	Animalia|Echinodermata|Echinoidea|Camarodonta|Echinometridae|Echinometra||Echinometra Gray, 1825	6
Aphanius dispar (Rüppell, 1829)	Animalia|Chordata|Actinopterygii|Cyprinodontiformes|Cyprinodontidae|Aphanius|dispar|Aphanius dispar (Rüppell, 1829)	6
