taxonName	taxonPath	recordCount
Coereba flaveola (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Coerebidae|Coereba|flaveola|Coereba flaveola (Linnaeus, 1758)	645
Orthorhyncus cristatus (Linnaeus, 1758)	Animalia|Chordata|Aves|Apodiformes|Trochilidae|Orthorhyncus|cristatus|Orthorhyncus cristatus (Linnaeus, 1758)	498
Eulampis jugularis (Linnaeus, 1766)	Animalia|Chordata|Aves|Apodiformes|Trochilidae|Eulampis|jugularis|Eulampis jugularis (Linnaeus, 1766)	470
Tyrannus dominicensis (Gmelin, 1788)	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Tyrannus|dominicensis|Tyrannus dominicensis (Gmelin, 1788)	465
Buteo platypterus (Vieillot, 1823)	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Buteo|platypterus|Buteo platypterus (Vieillot, 1823)	401
Zenaida aurita (Temminck, 1809)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Zenaida|aurita|Zenaida aurita (Temminck, 1809)	348
Fregata magnificens Mathews, 1914	Animalia|Chordata|Aves|Suliformes|Fregatidae|Fregata|magnificens|Fregata magnificens Mathews, 1914	346
Elaenia martinica (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Elaenia|martinica|Elaenia martinica (Linnaeus, 1766)	345
Patagioenas squamosa (Bonnaterre, 1792)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Patagioenas|squamosa|Patagioenas squamosa (Bonnaterre, 1792)	307
Loxigilla noctis (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Thraupidae|Loxigilla|noctis|Loxigilla noctis (Linnaeus, 1766)	304
Eulampis holosericeus (Linnaeus, 1758)	Animalia|Chordata|Aves|Apodiformes|Trochilidae|Eulampis|holosericeus|Eulampis holosericeus (Linnaeus, 1758)	303
Anolis oculatus subsp. winstoni	Animalia|Chordata|Reptilia|Squamata|Polychrotidae|Anolis|oculatus|Anolis oculatus subsp. winstoni	290
Vireo altiloquus (Vieillot, 1808)	Animalia|Chordata|Aves|Passeriformes|Vireonidae|Vireo|altiloquus|Vireo altiloquus (Vieillot, 1808)	287
Amazona arausiaca (Statius Muller, 1776)	Animalia|Chordata|Aves|Psittaciformes|Psittacidae|Amazona|arausiaca|Amazona arausiaca (Statius Muller, 1776)	284
