taxonName	taxonPath	recordCount
Anolis distichus (Cope, 1861)	Animalia|Chordata|Reptilia|Squamata|Dactyloidae|Anolis|distichus|Anolis distichus (Cope, 1861)	3477
Typhlops pusilla Thomas, 1966	Animalia|Chordata|Reptilia|Squamata|Typhlopidae|Typhlops|pusilla|Typhlops pusilla Thomas, 1966	2966
Melanerpes striatus (Statius Muller, 1776)	Animalia|Chordata|Aves|Piciformes|Picidae|Melanerpes|striatus|Melanerpes striatus (Statius Muller, 1776)	2751
Anolis cybotes (Cope, 1862)	Animalia|Chordata|Reptilia|Squamata|Dactyloidae|Anolis|cybotes|Anolis cybotes (Cope, 1862)	2474
Coereba flaveola (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Coerebidae|Coereba|flaveola|Coereba flaveola (Linnaeus, 1758)	2201
Dulus dominicus (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Dulidae|Dulus|dominicus|Dulus dominicus (Linnaeus, 1766)	2063
Phaenicophilus palmarum (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Thraupidae|Phaenicophilus|palmarum|Phaenicophilus palmarum (Linnaeus, 1766)	1978
Tyrannus dominicensis (Gmelin, 1788)	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Tyrannus|dominicensis|Tyrannus dominicensis (Gmelin, 1788)	1828
Mimus polyglottos (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Mimidae|Mimus|polyglottos|Mimus polyglottos (Linnaeus, 1758)	1780
Amphisbaena manni Barbour, 1914	Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Amphisbaena|manni|Amphisbaena manni Barbour, 1914	1714
Anolis cybotes Cope, 1862	Animalia|Chordata|Reptilia|Squamata|Polychrotidae|Anolis|cybotes|Anolis cybotes Cope, 1862	1629
Tachornis phoenicobia Gosse, 1847	Animalia|Chordata|Aves|Apodiformes|Apodidae|Tachornis|phoenicobia|Tachornis phoenicobia Gosse, 1847	1608
Eleutherodactylus montanus Schmidt, 1919	Animalia|Chordata|Amphibia|Anura|Eleutherodactylidae|Eleutherodactylus|montanus|Eleutherodactylus montanus Schmidt, 1919	1562
Anthracothorax dominicus (Linnaeus, 1766)	Animalia|Chordata|Aves|Apodiformes|Trochilidae|Anthracothorax|dominicus|Anthracothorax dominicus (Linnaeus, 1766)	1411
Columbina passerina (Linnaeus, 1758)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Columbina|passerina|Columbina passerina (Linnaeus, 1758)	1360
Ameiva chrysolaema Cope, 1868	Animalia|Chordata|Reptilia|Squamata|Teiidae|Ameiva|chrysolaema|Ameiva chrysolaema Cope, 1868	1348
Eleutherodactylus abbotti Cochran, 1923	Animalia|Chordata|Amphibia|Anura|Eleutherodactylidae|Eleutherodactylus|abbotti|Eleutherodactylus abbotti Cochran, 1923	1345
Mellisuga minima (Linnaeus, 1758)	Animalia|Chordata|Aves|Apodiformes|Trochilidae|Mellisuga|minima|Mellisuga minima (Linnaeus, 1758)	1298
Falco sparverius Linnaeus, 1758	Animalia|Chordata|Aves|Falconiformes|Falconidae|Falco|sparverius|Falco sparverius Linnaeus, 1758	1270
Turdus plumbeus Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Turdidae|Turdus|plumbeus|Turdus plumbeus Linnaeus, 1758	1230
Todus subulatus G. R. Gray, 1847	Animalia|Chordata|Aves|Coraciiformes|Todidae|Todus|subulatus|Todus subulatus G. R. Gray, 1847	1217
Setophaga ruticilla (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Parulidae|Setophaga|ruticilla|Setophaga ruticilla (Linnaeus, 1758)	1199
Wyeomyia mitchellii (Theobald, 1905)	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Wyeomyia|mitchellii|Wyeomyia mitchellii (Theobald, 1905)	1196
Zenaida macroura (Linnaeus, 1758)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Zenaida|macroura|Zenaida macroura (Linnaeus, 1758)	1186
Crotophaga ani Linnaeus, 1758	Animalia|Chordata|Aves|Cuculiformes|Cuculidae|Crotophaga|ani|Crotophaga ani Linnaeus, 1758	1154
Anolis distichus Cope, 1861	Animalia|Chordata|Reptilia|Squamata|Polychrotidae|Anolis|distichus|Anolis distichus Cope, 1861	1128
Bubulcus ibis (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Bubulcus|ibis|Bubulcus ibis (Linnaeus, 1758)	1100
Anolis brevirostris (Bocourt, 1870)	Animalia|Chordata|Reptilia|Squamata|Dactyloidae|Anolis|brevirostris|Anolis brevirostris (Bocourt, 1870)	1093
Vireo altiloquus (Vieillot, 1808)	Animalia|Chordata|Aves|Passeriformes|Vireonidae|Vireo|altiloquus|Vireo altiloquus (Vieillot, 1808)	1075
Coccyzus longirostris	Animalia|Chordata|Aves|Cuculiformes|Cuculidae|Coccyzus|longirostris|Coccyzus longirostris	1046
Myiarchus stolidus (Gosse, 1847)	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Myiarchus|stolidus|Myiarchus stolidus (Gosse, 1847)	985
Quiscalus niger (Boddaert, 1783)	Animalia|Chordata|Aves|Passeriformes|Icteridae|Quiscalus|niger|Quiscalus niger (Boddaert, 1783)	983
Butorides virescens (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Butorides|virescens|Butorides virescens (Linnaeus, 1758)	970
