taxonName	taxonPath	recordCount
Turdus grayi Bonaparte, 1838	Animalia|Chordata|Aves|Passeriformes|Turdidae|Turdus|grayi|Turdus grayi Bonaparte, 1838	2987
Zenaida asiatica (Linnaeus, 1758)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Zenaida|asiatica|Zenaida asiatica (Linnaeus, 1758)	2801
Cathartes aura (Linnaeus, 1758)	Animalia|Chordata|Aves|Accipitriformes|Cathartidae|Cathartes|aura|Cathartes aura (Linnaeus, 1758)	2691
Melanerpes aurifrons (Wagler, 1829)	Animalia|Chordata|Aves|Piciformes|Picidae|Melanerpes|aurifrons|Melanerpes aurifrons (Wagler, 1829)	2585
Campylorhynchus rufinucha (Lesson, 1838)	Animalia|Chordata|Aves|Passeriformes|Troglodytidae|Campylorhynchus|rufinucha|Campylorhynchus rufinucha (Lesson, 1838)	2420
Quiscalus mexicanus (Gmelin, 1788)	Animalia|Chordata|Aves|Passeriformes|Icteridae|Quiscalus|mexicanus|Quiscalus mexicanus (Gmelin, 1788)	2352
Coragyps atratus (Bechstein, 1793)	Animalia|Chordata|Aves|Accipitriformes|Cathartidae|Coragyps|atratus|Coragyps atratus (Bechstein, 1793)	2347
Dives dives (Deppe, 1830)	Animalia|Chordata|Aves|Passeriformes|Icteridae|Dives|dives|Dives dives (Deppe, 1830)	1944
Pitangus sulphuratus (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Pitangus|sulphuratus|Pitangus sulphuratus (Linnaeus, 1766)	1775
Tyrannus melancholicus Vieillot, 1819	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Tyrannus|melancholicus|Tyrannus melancholicus Vieillot, 1819	1727
Amazilia rutila (Delattre, 1843)	Animalia|Chordata|Aves|Apodiformes|Trochilidae|Amazilia|rutila|Amazilia rutila (Delattre, 1843)	1640
Piaya cayana (Linnaeus, 1766)	Animalia|Chordata|Aves|Cuculiformes|Cuculidae|Piaya|cayana|Piaya cayana (Linnaeus, 1766)	1624
Brotogeris jugularis (Statius Muller, 1776)	Animalia|Chordata|Aves|Psittaciformes|Psittacidae|Brotogeris|jugularis|Brotogeris jugularis (Statius Muller, 1776)	1598
Eumomota superciliosa (Sandbach, 1837)	Animalia|Chordata|Aves|Coraciiformes|Momotidae|Eumomota|superciliosa|Eumomota superciliosa (Sandbach, 1837)	1582
Myiozetetes similis (Spix, 1825)	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Myiozetetes|similis|Myiozetetes similis (Spix, 1825)	1546
Columbina talpacoti (Temminck, 1810)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Columbina|talpacoti|Columbina talpacoti (Temminck, 1810)	1526
Icterus pustulatus (Wagler, 1829)	Animalia|Chordata|Aves|Passeriformes|Icteridae|Icterus|pustulatus|Icterus pustulatus (Wagler, 1829)	1512
Leptotila verreauxi (Bonaparte, 1855)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Leptotila|verreauxi|Leptotila verreauxi (Bonaparte, 1855)	1476
