taxonName	taxonPath	recordCount
Palmaria palmata (Linnaeus) Kuntze	Plantae|Rhodophyta|Florideophyceae|Palmariales|Palmariaceae|Palmaria|palmata|Palmaria palmata (Linnaeus) Kuntze	496
	|||||||	312
Polysiphonia stricta (Dillwyn) Greville	Plantae|Rhodophyta|Florideophyceae|Ceramiales|Rhodomelaceae|Polysiphonia|stricta|Polysiphonia stricta (Dillwyn) Greville	239
Polysiphonia stricta (Dillwyn) Greville, 1824	Plantae|Rhodophyta|Florideophyceae|Ceramiales|Rhodomelaceae|Polysiphonia|stricta|Polysiphonia stricta (Dillwyn) Greville, 1824	239
Fulmarus glacialis (Linnaeus, 1761)	Animalia|Chordata|Aves|Procellariiformes|Procellariidae|Fulmarus|glacialis|Fulmarus glacialis (Linnaeus, 1761)	239
Sturnus vulgaris Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Sturnidae|Sturnus|vulgaris|Sturnus vulgaris Linnaeus, 1758	225
Larus argentatus Pontoppidan, 1763	Animalia|Chordata|Aves|Charadriiformes|Laridae|Larus|argentatus|Larus argentatus Pontoppidan, 1763	200
Corvus cornix Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Corvidae|Corvus|cornix|Corvus cornix Linnaeus, 1758	197
Anas platyrhynchos Linnaeus, 1758	Animalia|Chordata|Aves|Anseriformes|Anatidae|Anas|platyrhynchos|Anas platyrhynchos Linnaeus, 1758	187
Ceramium virgatum Roth	Plantae|Rhodophyta|Florideophyceae|Ceramiales|Ceramiaceae|Ceramium|virgatum|Ceramium virgatum Roth	177
Columba livia Gmelin, 1789	Animalia|Chordata|Aves|Columbiformes|Columbidae|Columba|livia|Columba livia Gmelin, 1789	175
Ceramium virgatum Roth, 1797	Plantae|Rhodophyta|Florideophyceae|Ceramiales|Ceramiaceae|Ceramium|virgatum|Ceramium virgatum Roth, 1797	167
Passer domesticus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|domesticus|Passer domesticus (Linnaeus, 1758)	167
Alaria esculenta (Linnaeus) Greville	Chromista|Ochrophyta|Phaeophyceae|Laminariales|Alariaceae|Alaria|esculenta|Alaria esculenta (Linnaeus) Greville	166
Alaria esculenta (Linnaeus) Greville, 1830	Chromista|Ochrophyta|Phaeophyceae|Laminariales|Alariaceae|Alaria|esculenta|Alaria esculenta (Linnaeus) Greville, 1830	166
Larus fuscus Linnaeus, 1758	Animalia|Chordata|Aves|Charadriiformes|Laridae|Larus|fuscus|Larus fuscus Linnaeus, 1758	163
Mastocarpus stellatus (Stackhouse) Guiry	Plantae|Rhodophyta|Florideophyceae|Gigartinales|Phyllophoraceae|Mastocarpus|stellatus|Mastocarpus stellatus (Stackhouse) Guiry	163
Mastocarpus stellatus (Stackhouse) Guiry, 1984	Plantae|Rhodophyta|Florideophyceae|Gigartinales|Phyllophoraceae|Mastocarpus|stellatus|Mastocarpus stellatus (Stackhouse) Guiry, 1984	163
Porphyra umbilicalis Kützing, 1843	Plantae|Rhodophyta|Bangiophyceae|Bangiales|Bangiaceae|Porphyra|umbilicalis|Porphyra umbilicalis Kützing, 1843	162
Porphyra umbilicalis (Linnaeus) Kützing	Plantae|Rhodophyta|Bangiophyceae|Bangiales|Bangiaceae|Porphyra|umbilicalis|Porphyra umbilicalis (Linnaeus) Kützing	162
Corallina officinalis Linnaeus, 1758	Plantae|Rhodophyta|Florideophyceae|Corallinales|Corallinaceae|Corallina|officinalis|Corallina officinalis Linnaeus, 1758	158
Corallina officinalis Linnaeus	Plantae|Rhodophyta|Florideophyceae|Corallinales|Corallinaceae|Corallina|officinalis|Corallina officinalis Linnaeus	158
Phycodrys rubens (Linnaeus) Batters, 1902	Plantae|Rhodophyta|Florideophyceae|Ceramiales|Delesseriaceae|Phycodrys|rubens|Phycodrys rubens (Linnaeus) Batters, 1902	157
Phycodrys rubens (Linnaeus) Batters	Plantae|Rhodophyta|Florideophyceae|Ceramiales|Delesseriaceae|Phycodrys|rubens|Phycodrys rubens (Linnaeus) Batters	157
Membranoptera alata (Hudson) Stackhouse	Plantae|Rhodophyta|Florideophyceae|Ceramiales|Delesseriaceae|Membranoptera|alata|Membranoptera alata (Hudson) Stackhouse	155
Membranoptera alata (Hudson) Stackhouse, 1809	Plantae|Rhodophyta|Florideophyceae|Ceramiales|Delesseriaceae|Membranoptera|alata|Membranoptera alata (Hudson) Stackhouse, 1809	155
Ulva lactuca Linnaeus, 1753	Plantae|Chlorophyta|Ulvophyceae|Ulvales|Ulvaceae|Ulva|lactuca|Ulva lactuca Linnaeus, 1753	143
Ulva lactuca Linnaeus	Plantae|Chlorophyta|Ulvophyceae|Ulvales|Ulvaceae|Ulva|lactuca|Ulva lactuca Linnaeus	143
Acrochaetium secundatum (Lyngbye) Nägeli, 1858	Plantae|Rhodophyta|Florideophyceae|Acrochaetiales|Acrochaetiaceae|Acrochaetium|secundatum|Acrochaetium secundatum (Lyngbye) Nägeli, 1858	140
Acrochaetium secundatum (Lyngbye) Nägeli	Plantae|Rhodophyta|Florideophyceae|Acrochaetiales|Acrochaetiaceae|Acrochaetium|secundatum|Acrochaetium secundatum (Lyngbye) Nägeli	140
Fucus spiralis Linnaeus, 1753	Chromista|Ochrophyta|Phaeophyceae|Fucales|Fucaceae|Fucus|spiralis|Fucus spiralis Linnaeus, 1753	139
Fucus spiralis Linnaeus	Chromista|Ochrophyta|Phaeophyceae|Fucales|Fucaceae|Fucus|spiralis|Fucus spiralis Linnaeus	139
Plocamium cartilagineum (Linnaeus) P.S. Dixon	Plantae|Rhodophyta|Florideophyceae|Plocamiales|Plocamiaceae|Plocamium|cartilagineum|Plocamium cartilagineum (Linnaeus) P.S. Dixon	136
Plocamium cartilagineum (Linnaeus) P.S.Dixon, 1967	Plantae|Rhodophyta|Florideophyceae|Plocamiales|Plocamiaceae|Plocamium|cartilagineum|Plocamium cartilagineum (Linnaeus) P.S.Dixon, 1967	136
Ulva intestinalis Linnaeus	Plantae|Chlorophyta|Ulvophyceae|Ulvales|Ulvaceae|Ulva|intestinalis|Ulva intestinalis Linnaeus	136
Ulva intestinalis Linnaeus, 1753	Plantae|Chlorophyta|Ulvophyceae|Ulvales|Ulvaceae|Ulva|intestinalis|Ulva intestinalis Linnaeus, 1753	136
Blidingia minima (Nägeli ex Kützing) Kylin	Plantae|Chlorophyta|Ulvophyceae|Ulvales|Ulvaceae|Blidingia|minima|Blidingia minima (Nägeli ex Kützing) Kylin	131
Blidingia minima (Nägeli ex Kützing) Kylin, 1947	Plantae|Chlorophyta|Ulvophyceae|Ulvales|Kornmanniaceae|Blidingia|minima|Blidingia minima (Nägeli ex Kützing) Kylin, 1947	131
Aglaothamnion sepositum (Gunnerus) Maggs & Hommersand	Plantae|Rhodophyta|Florideophyceae|Ceramiales|Ceramiaceae|Aglaothamnion|sepositum|Aglaothamnion sepositum (Gunnerus) Maggs & Hommersand	127
Aglaothamnion sepositum (Gunnerus) Maggs & Hommersand, 1993	Plantae|Rhodophyta|Florideophyceae|Ceramiales|Callithamniaceae|Aglaothamnion|sepositum|Aglaothamnion sepositum (Gunnerus) Maggs & Hommersand, 1993	127
Euthora cristata (C. Agardh) J. Agardh	Plantae|Rhodophyta|Florideophyceae|Gigartinales|Kallymeniaceae|Callophyllis|cristata|Euthora cristata (C. Agardh) J. Agardh	122
Euthora cristata (C.Agardh) J.Agardh, 1847	Plantae|Rhodophyta|Florideophyceae|Gigartinales|Kallymeniaceae|Euthora|cristata|Euthora cristata (C.Agardh) J.Agardh, 1847	122
Fucus vesiculosus Linnaeus	Chromista|Ochrophyta|Phaeophyceae|Fucales|Fucaceae|Fucus|vesiculosus|Fucus vesiculosus Linnaeus	121
Fucus vesiculosus Linnaeus, 1753	Chromista|Ochrophyta|Phaeophyceae|Fucales|Fucaceae|Fucus|vesiculosus|Fucus vesiculosus Linnaeus, 1753	121
Haematopus ostralegus Linnaeus, 1758	Animalia|Chordata|Aves|Charadriiformes|Haematopodidae|Haematopus|ostralegus|Haematopus ostralegus Linnaeus, 1758	120
Laminaria digitata (Hudson) J.V.Lamouroux, 1813	Chromista|Ochrophyta|Phaeophyceae|Laminariales|Laminariaceae|Laminaria|digitata|Laminaria digitata (Hudson) J.V.Lamouroux, 1813	120
Laminaria digitata (Hudson) J.V. Lamouroux	Chromista|Ochrophyta|Phaeophyceae|Laminariales|Laminariaceae|Laminaria|digitata|Laminaria digitata (Hudson) J.V. Lamouroux	120
Pylaiella littoralis (Linnaeus) Kjellman	Chromista|Ochrophyta|Phaeophyceae|Ectocarpales|Acinetosporaceae|Pylaiella|littoralis|Pylaiella littoralis (Linnaeus) Kjellman	119
Pylaiella littoralis (Linnaeus) Kjellman, 1872	Chromista|Ochrophyta|Phaeophyceae|Ectocarpales|Acinetosporaceae|Pylaiella|littoralis|Pylaiella littoralis (Linnaeus) Kjellman, 1872	119
Odonthalia dentata (Linnaeus) Lyngbye	Plantae|Rhodophyta|Florideophyceae|Ceramiales|Rhodomelaceae|Odonthalia|dentata|Odonthalia dentata (Linnaeus) Lyngbye	117
Fucus distichus Linnaeus, 1767	Chromista|Ochrophyta|Phaeophyceae|Fucales|Fucaceae|Fucus|distichus|Fucus distichus Linnaeus, 1767	117
Odonthalia dentata (Linnaeus) Lyngbye, 1819	Plantae|Rhodophyta|Florideophyceae|Ceramiales|Rhodomelaceae|Odonthalia|dentata|Odonthalia dentata (Linnaeus) Lyngbye, 1819	117
