taxonName	taxonPath	recordCount
Chordata	Animalia|Chordata||||||Chordata	3527
	|||||||	2453
Staphylinidae	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|||Staphylinidae	2272
Staphylinidae Latreille, 1802	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|||Staphylinidae Latreille, 1802	2067
Paederina Bordoni, 1975	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|Paederina||Paederina Bordoni, 1975	1220
Sepedophilus Gistel, 1856	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|Sepedophilus||Sepedophilus Gistel, 1856	736
Coproporus Kraatz, 1857	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|Coproporus||Coproporus Kraatz, 1857	714
Casearia N.J. Jacquin, 1760	Plantae|Magnoliophyta|Magnoliopsida|Malpighiales|Salicaceae|Casearia||Casearia N.J. Jacquin, 1760	642
Cosmetidae C.L.C.L. Koch, 1839	Animalia|Arthropoda|Arachnida|Opiliones|Cosmetidae|||Cosmetidae C.L.C.L. Koch, 1839	566
Tetradonia Wasmann, 1894	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|Tetradonia||Tetradonia Wasmann, 1894	500
Paecilaema curvipes (Roewer, 1912)	Animalia|Arthropoda|Arachnida|Opiliones|Cosmetidae|Paecilaema|curvipes|Paecilaema curvipes (Roewer, 1912)	465
Macrogerodonia Bernhauer, 1941	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|Macrogerodonia||Macrogerodonia Bernhauer, 1941	432
Scaphidiidae Latreille, 1806	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|||Scaphidiidae Latreille, 1806	422
Opiliones	Animalia|Arthropoda|Arachnida|Opiliones||||Opiliones	392
Anotylus Thomson, 1859	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|Anotylus||Anotylus Thomson, 1859	388
Lepidoptera	Animalia|Arthropoda|Insecta|Lepidoptera||||Lepidoptera	364
Culex Linnaeus, 1758	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Culex||Culex Linnaeus, 1758	361
Eperua falcata Aubl.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Eperua|falcata|Eperua falcata Aubl.	353
Zalmoxidae	Animalia|Arthropoda|Arachnida|Opiliones|Zalmoxidae|||Zalmoxidae	338
Selaginella Beauv.	Plantae|Lycopodiophyta|Lycopodiopsida|Selaginellales|Selaginellaceae|Selaginella||Selaginella Beauv.	331
Gyrophaena Mannerheim, 1831	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|Gyrophaena||Gyrophaena Mannerheim, 1831	325
Gyrophaena Mannerheim, 1830	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|Gyrophaena||Gyrophaena Mannerheim, 1830	325
Sclerosomatidae	Animalia|Arthropoda|Arachnida|Opiliones|Sclerosomatidae|||Sclerosomatidae	323
Ophioglossa Fauvel, 1866	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|Ophioglossa||Ophioglossa Fauvel, 1866	314
Megarididae	Animalia|Arthropoda|Insecta|Hemiptera|Megarididae|||Megarididae	286
Gonyleptidae Sundevall, 1833	Animalia|Arthropoda|Arachnida|Opiliones|Gonyleptidae|||Gonyleptidae Sundevall, 1833	280
Wyeomyia Theobald, 1901	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Wyeomyia||Wyeomyia Theobald, 1901	268
Paederomimus Sharp, 1885	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|Paederomimus||Paederomimus Sharp, 1885	266
Xylaria Hill ex Schrank, 1789	Fungi|Ascomycota|Sordariomycetes|Xylariales|Xylariaceae|Xylaria||Xylaria Hill ex Schrank, 1789	261
Cicindelidae	Animalia|Arthropoda|Insecta|Coleoptera|Cicindelidae|||Cicindelidae	260
Diapriidae	Animalia|Arthropoda|Insecta|Hymenoptera|Diapriidae|||Diapriidae	258
Scydmaenidae Leach, 1815	Animalia|Arthropoda|Insecta|Coleoptera|Scydmaenidae|||Scydmaenidae Leach, 1815	258
Scydmaenidae	Animalia|Arthropoda|Insecta|Coleoptera|Scydmaenidae|||Scydmaenidae	257
Wyeomyia pertinans (Williston, 1896)	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Wyeomyia|pertinans|Wyeomyia pertinans (Williston, 1896)	257
Olacaceae R. Br.	Plantae|Magnoliophyta|Magnoliopsida|Santalales|Olacaceae|||Olacaceae R. Br.	250
Oxytrigona obscura (Friese, 1900)	Animalia|Arthropoda|Insecta|Hymenoptera|Apidae|Oxytrigona|obscura|Oxytrigona obscura (Friese, 1900)	245
Cratocerus Dejean, 1829	Animalia|Arthropoda|Insecta|Coleoptera|Carabidae|Cratocerus||Cratocerus Dejean, 1829	242
Philonthus Stephens, 1829	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|Philonthus||Philonthus Stephens, 1829	238
Eugenia Linnaeus, 1753	Plantae|Magnoliophyta|Magnoliopsida|Myrtales|Myrtaceae|Eugenia||Eugenia Linnaeus, 1753	232
Ecitodonia Seevers, 1965	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|Ecitodonia||Ecitodonia Seevers, 1965	232
Sloanea Linnaeus, 1753	Plantae|Magnoliophyta|Magnoliopsida|Oxalidales|Elaeocarpaceae|Sloanea||Sloanea Linnaeus, 1753	231
Xantholinus Serville, 1825	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|Xantholinus||Xantholinus Serville, 1825	225
Pheidole Westwood, 1839	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Pheidole||Pheidole Westwood, 1839	220
Xiphinema Cobb, 1913	Animalia|Nematoda|Adenophorea|Dorylaimida|Longidoridae|Xiphinema||Xiphinema Cobb, 1913	219
Atanygnathus Jakobson, 1909	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|Atanygnathus||Atanygnathus Jakobson, 1909	218
Psychotria L.	Plantae|Magnoliophyta|Magnoliopsida|Gentianales|Rubiaceae|Psychotria||Psychotria L.	217
Hoplias malabaricus (Bloch, 1794)	Animalia|Chordata|Actinopterygii|Characiformes|Erythrinidae|Hoplias|malabaricus|Hoplias malabaricus (Bloch, 1794)	213
Clusia Linnaeus, 1753	Plantae|Magnoliophyta|Magnoliopsida|Malpighiales|Clusiaceae|Clusia||Clusia Linnaeus, 1753	208
Aneucamptus Sharp, 1887	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|Aneucamptus||Aneucamptus Sharp, 1887	206
Mycotretus Lacordaire, 1842	Animalia|Arthropoda|Insecta|Coleoptera|Erotylidae|Mycotretus||Mycotretus Lacordaire, 1842	200
Eschweilera coriacea S.A.Mori	Plantae|Magnoliophyta|Magnoliopsida|Ericales|Lecythidaceae|Eschweilera|coriacea|Eschweilera coriacea S.A.Mori	199
