taxonName	taxonPath	recordCount
Chordata	Animalia|Chordata||||||Chordata	1643
Mastomys Thomas, 1915	Animalia|Chordata|Mammalia|Rodentia|Muridae|Mastomys||Mastomys Thomas, 1915	1637
Platygastridae Haliday, 1833	Animalia|Arthropoda|Insecta|Hymenoptera|Platygastridae|||Platygastridae Haliday, 1833	1121
Epomophorus gambianus (Ogilby, 1835)	Animalia|Chordata|Mammalia|Chiroptera|Pteropodidae|Epomophorus|gambianus|Epomophorus gambianus (Ogilby, 1835)	1119
Pycnonotus barbatus (Desfontaines, 1789)	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Pycnonotus|barbatus|Pycnonotus barbatus (Desfontaines, 1789)	1111
Platygastridae	Animalia|Arthropoda|Insecta|Hymenoptera|Platygastridae|||Platygastridae	1074
Milvus migrans (Boddaert, 1783)	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Milvus|migrans|Milvus migrans (Boddaert, 1783)	1030
Telenomus Haliday, 1833	Animalia|Arthropoda|Insecta|Hymenoptera|Scelionidae|Telenomus||Telenomus Haliday, 1833	922
Amorphoscelis elegans Giglio-Tos, 1914	Animalia|Arthropoda|Insecta|Mantodea|Amorphoscelidae|Amorphoscelis|elegans|Amorphoscelis elegans Giglio-Tos, 1914	870
Gerbilliscus Thomas, 1897	Animalia|Chordata|Mammalia|Rodentia|Muridae|Gerbilliscus||Gerbilliscus Thomas, 1897	864
Praomys Thomas, 1915	Animalia|Chordata|Mammalia|Rodentia|Muridae|Praomys||Praomys Thomas, 1915	839
Tockus fasciatus (Shaw, 1811)	Animalia|Chordata|Aves|Bucerotiformes|Bucerotidae|Tockus|fasciatus|Tockus fasciatus (Shaw, 1811)	782
Mops condylurus subsp. wonderi Sanbron, 1936	Animalia|Chordata|Mammalia|Chiroptera|Molossidae|Mops|condylurus|Mops condylurus subsp. wonderi Sanbron, 1936	780
Plantae	Plantae|||||||Plantae	717
Bubulcus ibis (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Bubulcus|ibis|Bubulcus ibis (Linnaeus, 1758)	715
Amorphoscelis chopardi Roy, 1962	Animalia|Arthropoda|Insecta|Mantodea|Amorphoscelidae|Amorphoscelis|chopardi|Amorphoscelis chopardi Roy, 1962	708
Animalia	Animalia|||||||Animalia	685
Streptopelia senegalensis (Linnaeus, 1766)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|senegalensis|Streptopelia senegalensis (Linnaeus, 1766)	680
Epomops franqueti (Tomes, 1860)	Animalia|Chordata|Mammalia|Chiroptera|Pteropodidae|Epomops|franqueti|Epomops franqueti (Tomes, 1860)	669
Amorphoscelis maculata Roy, 1965	Animalia|Arthropoda|Insecta|Mantodea|Amorphoscelidae|Maculatoscelis|maculata|Amorphoscelis maculata Roy, 1965	636
Passer griseus (Vieillot, 1817)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|griseus|Passer griseus (Vieillot, 1817)	614
Nycteris macrotis Dobson, 1876	Animalia|Chordata|Mammalia|Chiroptera|Nycteridae|Nycteris|macrotis|Nycteris macrotis Dobson, 1876	611
Merops albicollis Vieillot, 1817	Animalia|Chordata|Aves|Coraciiformes|Meropidae|Merops|albicollis|Merops albicollis Vieillot, 1817	610
Corvus albus Statius Muller, 1776	Animalia|Chordata|Aves|Passeriformes|Corvidae|Corvus|albus|Corvus albus Statius Muller, 1776	597
Apus affinis (J. E. Gray, 1830)	Animalia|Chordata|Aves|Apodiformes|Apodidae|Apus|affinis|Apus affinis (J. E. Gray, 1830)	560
Noctuidae	Animalia|Arthropoda|Insecta|Lepidoptera|Noctuidae|||Noctuidae	539
Noctuidae Latreille, 1809	Animalia|Arthropoda|Insecta|Lepidoptera|Noctuidae|||Noctuidae Latreille, 1809	539
Hyperolius Rapp, 1842	Animalia|Chordata|Amphibia|Anura|Hyperoliidae|Hyperolius||Hyperolius Rapp, 1842	538
Tadarida Rafinesque, 1814	Animalia|Chordata|Mammalia|Chiroptera|Molossidae|Tadarida||Tadarida Rafinesque, 1814	537
Necrosyrtes monachus (Temminck, 1823)	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Necrosyrtes|monachus|Necrosyrtes monachus (Temminck, 1823)	536
Treron calvus (Temminck, 1808)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Treron|calvus|Treron calvus (Temminck, 1808)	532
Lophuromys Peters, 1874	Animalia|Chordata|Mammalia|Rodentia|Muridae|Lophuromys||Lophuromys Peters, 1874	531
Mops thersites (Thomas, 1903)	Animalia|Chordata|Mammalia|Chiroptera|Molossidae|Mops|thersites|Mops thersites (Thomas, 1903)	530
Crinifer piscator (Boddaert, 1783)	Animalia|Chordata|Aves|Musophagiformes|Musophagidae|Crinifer|piscator|Crinifer piscator (Boddaert, 1783)	527
Hirundo rustica Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Hirundo|rustica|Hirundo rustica Linnaeus, 1758	507
Cypsiurus parvus (Lichtenstein, 1823)	Animalia|Chordata|Aves|Apodiformes|Apodidae|Cypsiurus|parvus|Cypsiurus parvus (Lichtenstein, 1823)	476
Corvus albus Müller, 1776	Animalia|Chordata|Aves|Passeriformes|Corvidae|Corvus|albus|Corvus albus Müller, 1776	453
Lamprotornis splendidus (Vieillot, 1822)	Animalia|Chordata|Aves|Passeriformes|Sturnidae|Lamprotornis|splendidus|Lamprotornis splendidus (Vieillot, 1822)	448
Polyboroides typus A. Smith, 1829	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Polyboroides|typus|Polyboroides typus A. Smith, 1829	444
Micropteropus pusillus (Peters, 1868)	Animalia|Chordata|Mammalia|Chiroptera|Pteropodidae|Micropteropus|pusillus|Micropteropus pusillus (Peters, 1868)	437
Dicrurus modestus Hartlaub, 1849	Animalia|Chordata|Aves|Passeriformes|Dicruridae|Dicrurus|modestus|Dicrurus modestus Hartlaub, 1849	435
Halcyon senegalensis (Linnaeus, 1766)	Animalia|Chordata|Aves|Coraciiformes|Alcedinidae|Halcyon|senegalensis|Halcyon senegalensis (Linnaeus, 1766)	434
Tockus nasutus (Linnaeus, 1766)	Animalia|Chordata|Aves|Bucerotiformes|Bucerotidae|Tockus|nasutus|Tockus nasutus (Linnaeus, 1766)	422
Mus musculoides Temminck, 1853	Animalia|Chordata|Mammalia|Rodentia|Muridae|Mus|musculoides|Mus musculoides Temminck, 1853	414
Arthroleptis poecilonotus Peters, 1863	Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptis|poecilonotus|Arthroleptis poecilonotus Peters, 1863	414
Lemniscomys striatus (Linnaeus, 1758)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Lemniscomys|striatus|Lemniscomys striatus (Linnaeus, 1758)	412
Centropus senegalensis (Linnaeus, 1766)	Animalia|Chordata|Aves|Cuculiformes|Cuculidae|Centropus|senegalensis|Centropus senegalensis (Linnaeus, 1766)	411
	|||||||	407
Turtur tympanistria (Temminck, 1809)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Turtur|tympanistria|Turtur tympanistria (Temminck, 1809)	388
Hipposideros caffer (Sundevall, 1846)	Animalia|Chordata|Mammalia|Chiroptera|Hipposideridae|Hipposideros|caffer|Hipposideros caffer (Sundevall, 1846)	384
Phrynobatrachus Günther, 1862	Animalia|Chordata|Amphibia|Anura|Phrynobatrachidae|Phrynobatrachus||Phrynobatrachus Günther, 1862	378
Ploceus cucullatus (Statius Muller, 1776)	Animalia|Chordata|Aves|Passeriformes|Ploceidae|Ploceus|cucullatus|Ploceus cucullatus (Statius Muller, 1776)	376
Micropteropus pusillus (Peters, 1867)	Animalia|Chordata|Mammalia|Chiroptera|Pteropodidae|Micropteropus|pusillus|Micropteropus pusillus (Peters, 1867)	375
Terpsiphone rufiventer (Swainson, 1837)	Animalia|Chordata|Aves|Passeriformes|Monarchidae|Terpsiphone|rufiventer|Terpsiphone rufiventer (Swainson, 1837)	372
Actophilornis africanus (Gmelin, 1789)	Animalia|Chordata|Aves|Charadriiformes|Jacanidae|Actophilornis|africanus|Actophilornis africanus (Gmelin, 1789)	371
Streptopelia semitorquata (Rüppell, 1837)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|semitorquata|Streptopelia semitorquata (Rüppell, 1837)	369
Agama agama Linnaeus, 1758	Animalia|Chordata|Reptilia|Squamata|Agamidae|Agama|agama|Agama agama Linnaeus, 1758	362
Amorphoscelis pulchra Bolivar, 1908	Animalia|Arthropoda|Insecta|Mantodea|Amorphoscelidae|Amorphoscelis|pulchra|Amorphoscelis pulchra Bolivar, 1908	360
Vigna unguiculata (L.) Walp.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Vigna|unguiculata|Vigna unguiculata (L.) Walp.	357
Vigna unguiculata (L.) Walp.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Vigna|unguiculata|Vigna unguiculata (L.) Walp.	355
Cyanomitra obscura	Animalia|Chordata|Aves|Passeriformes|Nectariniidae|Cyanomitra|obscura|Cyanomitra obscura	350
Ploceus cucullatus (Müller, 1776)	Animalia|Chordata|Aves|Passeriformes|Ploceidae|Ploceus|cucullatus|Ploceus cucullatus (Müller, 1776)	350
Taterillus gracilis (Thomas, 1892)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Taterillus|gracilis|Taterillus gracilis (Thomas, 1892)	344
Tauraco macrorhynchus (Fraser, 1839)	Animalia|Chordata|Aves|Musophagiformes|Musophagidae|Tauraco|macrorhynchus|Tauraco macrorhynchus (Fraser, 1839)	338
Turtur afer (Linnaeus, 1766)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Turtur|afer|Turtur afer (Linnaeus, 1766)	334
Ploceus nigerrimus Vieillot, 1819	Animalia|Chordata|Aves|Passeriformes|Ploceidae|Ploceus|nigerrimus|Ploceus nigerrimus Vieillot, 1819	331
Streptopelia vinacea (Gmelin, 1789)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|vinacea|Streptopelia vinacea (Gmelin, 1789)	330
Sterna hirundo Linnaeus, 1758	Animalia|Chordata|Aves|Charadriiformes|Laridae|Sterna|hirundo|Sterna hirundo Linnaeus, 1758	327
Apus apus (Linnaeus, 1758)	Animalia|Chordata|Aves|Apodiformes|Apodidae|Apus|apus|Apus apus (Linnaeus, 1758)	327
Nigrita canicapillus (Strickland, 1841)	Animalia|Chordata|Aves|Passeriformes|Estrildidae|Nigrita|canicapillus|Nigrita canicapillus (Strickland, 1841)	323
Estrilda melpoda (Vieillot, 1817)	Animalia|Chordata|Aves|Passeriformes|Estrildidae|Estrilda|melpoda|Estrilda melpoda (Vieillot, 1817)	319
Idris Förster, 1856	Animalia|Arthropoda|Insecta|Hymenoptera|Scelionidae|Idris||Idris Förster, 1856	318
Ceryle rudis (Linnaeus, 1758)	Animalia|Chordata|Aves|Coraciiformes|Alcedinidae|Ceryle|rudis|Ceryle rudis (Linnaeus, 1758)	298
Calliscelio Ashmead, 1893	Animalia|Arthropoda|Insecta|Hymenoptera|Scelionidae|Calliscelio||Calliscelio Ashmead, 1893	292
Ceuthmochares aereus (Vieillot, 1817)	Animalia|Chordata|Aves|Cuculiformes|Cuculidae|Ceuthmochares|aereus|Ceuthmochares aereus (Vieillot, 1817)	289
Pogoniulus scolopaceus (Bonaparte, 1850)	Animalia|Chordata|Aves|Piciformes|Ramphastidae|Pogoniulus|scolopaceus|Pogoniulus scolopaceus (Bonaparte, 1850)	288
Streptopelia semitorquata (Ruppell, 1837)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|semitorquata|Streptopelia semitorquata (Ruppell, 1837)	288
Chrysococcyx klaas (Stephens, 1815)	Animalia|Chordata|Aves|Cuculiformes|Cuculidae|Chrysococcyx|klaas|Chrysococcyx klaas (Stephens, 1815)	281
