taxonName	taxonPath	recordCount
	|||||||	1334
Neogloboquadrina Bandy, Frerichs & Vincent, 1967	Protozoa||Granuloreticulosea|Foraminiferida|Globorotaliidae|Neogloboquadrina||Neogloboquadrina Bandy, Frerichs & Vincent, 1967	1046
Neogloboquadrina Bandy, Frerichs & Vincent, 1967	Chromista|Foraminifera|Globothalamea|Rotaliida|Globorotaliidae|Neogloboquadrina||Neogloboquadrina Bandy, Frerichs & Vincent, 1967	648
Neogloboquadrina pachyderma (Ehrenberg, 1861)	Chromista|Foraminifera|Globothalamea|Rotaliida|Globorotaliidae|Neogloboquadrina|pachyderma|Neogloboquadrina pachyderma (Ehrenberg, 1861)	375
Neogloboquadrina pachyderma (Ehrenberg, 1861)	Protozoa||Granuloreticulosea|Foraminiferida|Globorotaliidae|Neogloboquadrina|pachyderma|Neogloboquadrina pachyderma (Ehrenberg, 1861)	375
Islandinium Head et al., 2001	Protozoa|Dinophyta|Dinophyceae|Peridiniales|Protoperidiniaceae|Islandinium||Islandinium Head et al., 2001	360
Balaenoptera acutorostrata Lacépède, 1804	Animalia|Chordata|Mammalia|Cetacea|Balaenopteridae|Balaenoptera|acutorostrata|Balaenoptera acutorostrata Lacépède, 1804	338
Tenuitella Fleisher, 1974	Chromista|Foraminifera|Globothalamea|Rotaliida|Candeinidae|Tenuitella||Tenuitella Fleisher, 1974	334
Tenuitella Fleisher, 1974	Chromista||||Candeinidae|Tenuitella||Tenuitella Fleisher, 1974	334
Fulmarus glacialis (Linnaeus, 1761)	Animalia|Chordata|Aves|Procellariiformes|Procellariidae|Fulmarus|glacialis|Fulmarus glacialis (Linnaeus, 1761)	288
Balaenoptera physalus (Linnaeus, 1758)	Animalia|Chordata|Mammalia|Cetacea|Balaenopteridae|Balaenoptera|physalus|Balaenoptera physalus (Linnaeus, 1758)	252
Turborotalita quinqueloba (Natland, 1938)	Chromista|Foraminifera|Globothalamea|Rotaliida|Globigerinidae|Turborotalita|quinqueloba|Turborotalita quinqueloba (Natland, 1938)	220
Turborotalita quinqueloba (Natland, 1938)	Protozoa||Granuloreticulosea|Foraminiferida|Globigerinidae|Turborotalita|quinqueloba|Turborotalita quinqueloba (Natland, 1938)	220
Globigerinita glutinata Egger	Protozoa||Granuloreticulosea|Foraminiferida|Globigerinidae|Globigerinita|glutinata|Globigerinita glutinata Egger	211
Globigerina bulloides D'Orbigny, 1826	Protozoa||Granuloreticulosea|Foraminiferida|Globigerinidae|Globigerina|bulloides|Globigerina bulloides D'Orbigny, 1826	211
Globigerinita glutinata (Egger, 1893)	Chromista|Foraminifera|Globothalamea|Rotaliida|Candeinidae|Globigerinita|glutinata|Globigerinita glutinata (Egger, 1893)	211
Globigerina venezuelana Hedberg	Protozoa||Granuloreticulosea|Foraminiferida|Globigerinidae|Globigerina|venezuelana|Globigerina venezuelana Hedberg	210
Globigerina venezuelana Hedberg, 1937	Chromista|Foraminifera|Globothalamea|Rotaliida|Globigerinidae|Globigerina|venezuelana|Globigerina venezuelana Hedberg, 1937	210
Rissa tridactyla (Linnaeus, 1758)	Animalia|Chordata|Aves|Charadriiformes|Laridae|Rissa|tridactyla|Rissa tridactyla (Linnaeus, 1758)	210
Globigerinita Brönnimann, 1951	Protozoa||Granuloreticulosea|Foraminiferida|Globigerinidae|Globigerinita||Globigerinita Brönnimann, 1951	209
Globigerinita Brönnimann, 1951	Chromista|Foraminifera|Globothalamea|Rotaliida|Candeinidae|Globigerinita||Globigerinita Brönnimann, 1951	207
Globorotalia scitula (Brady, 1882)	Protozoa||Granuloreticulosea|Foraminiferida|Globorotaliidae|Globorotalia|scitula|Globorotalia scitula (Brady, 1882)	205
Globorotalia scitula (Brady, 1882)	Chromista|Foraminifera|Globothalamea|Rotaliida|Globorotaliidae|Globorotalia|scitula|Globorotalia scitula (Brady, 1882)	205
Neogloboquadrina acostaensis (Blow, 1959)	Chromista|Foraminifera|Globothalamea|Rotaliida|Globorotaliidae|Neogloboquadrina|acostaensis|Neogloboquadrina acostaensis (Blow, 1959)	201
Tenuitellinata Li, 1987	Chromista|Foraminifera|Globothalamea|Rotaliida|Candeinidae|Tenuitellinata||Tenuitellinata Li, 1987	198
Tenuitellinata Li Qianyu, 1987	Protozoa||Granuloreticulosea|Foraminiferida|Globigerinitidae|Tenuitellinata||Tenuitellinata Li Qianyu, 1987	198
Neogloboquadrina humerosa (Takayanagi & Saito, 1962)	Chromista|Foraminifera|Globothalamea|Rotaliida|Globorotaliidae|Neogloboquadrina|humerosa|Neogloboquadrina humerosa (Takayanagi & Saito, 1962)	197
Neogloboquadrina dutertrei (d'Orbigny, 1839)	Chromista|Foraminifera|Globothalamea|Rotaliida|Globorotaliidae|Neogloboquadrina|dutertrei|Neogloboquadrina dutertrei (d'Orbigny, 1839)	194
