taxonName	taxonPath	recordCount
Mollusca	Animalia|Mollusca||||||Mollusca	1248
Coereba flaveola (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Coerebidae|Coereba|flaveola|Coereba flaveola (Linnaeus, 1758)	536
Tyrannus dominicensis (Gmelin, 1788)	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Tyrannus|dominicensis|Tyrannus dominicensis (Gmelin, 1788)	477
Mimus gilvus (Vieillot, 1808)	Animalia|Chordata|Aves|Passeriformes|Mimidae|Mimus|gilvus|Mimus gilvus (Vieillot, 1808)	416
Quiscalus lugubris Swainson, 1838	Animalia|Chordata|Aves|Passeriformes|Icteridae|Quiscalus|lugubris|Quiscalus lugubris Swainson, 1838	369
Egretta caerulea (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Egretta|caerulea|Egretta caerulea (Linnaeus, 1758)	359
Patagioenas squamosa (Bonnaterre, 1792)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Patagioenas|squamosa|Patagioenas squamosa (Bonnaterre, 1792)	354
Zenaida auriculata (Des Murs, 1847)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Zenaida|auriculata|Zenaida auriculata (Des Murs, 1847)	349
Orthorhyncus cristatus (Linnaeus, 1758)	Animalia|Chordata|Aves|Apodiformes|Trochilidae|Orthorhyncus|cristatus|Orthorhyncus cristatus (Linnaeus, 1758)	330
Myiarchus nugator Riley, 1904	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Myiarchus|nugator|Myiarchus nugator Riley, 1904	312
Buteo platypterus (Vieillot, 1823)	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Buteo|platypterus|Buteo platypterus (Vieillot, 1823)	274
Nyctanassa violacea (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Nyctanassa|violacea|Nyctanassa violacea (Linnaeus, 1758)	272
Actitis macularius (Linnaeus, 1766)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Actitis|macularius|Actitis macularius (Linnaeus, 1766)	259
Columbina passerina (Linnaeus, 1758)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Columbina|passerina|Columbina passerina (Linnaeus, 1758)	257
Fregata magnificens Mathews, 1914	Animalia|Chordata|Aves|Suliformes|Fregatidae|Fregata|magnificens|Fregata magnificens Mathews, 1914	246
Troglodytes aedon Vieillot, 1809	Animalia|Chordata|Aves|Passeriformes|Troglodytidae|Troglodytes|aedon|Troglodytes aedon Vieillot, 1809	246
Charadrius semipalmatus Bonaparte, 1825	Animalia|Chordata|Aves|Charadriiformes|Charadriidae|Charadrius|semipalmatus|Charadrius semipalmatus Bonaparte, 1825	238
Butorides virescens (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Butorides|virescens|Butorides virescens (Linnaeus, 1758)	225
Crotophaga ani Linnaeus, 1758	Animalia|Chordata|Aves|Cuculiformes|Cuculidae|Crotophaga|ani|Crotophaga ani Linnaeus, 1758	218
Turdus nudigenis Lafresnaye, 1848	Animalia|Chordata|Aves|Passeriformes|Turdidae|Turdus|nudigenis|Turdus nudigenis Lafresnaye, 1848	217
Leucophaeus atricilla (Linnaeus, 1758)	Animalia|Chordata|Aves|Charadriiformes|Laridae|Leucophaeus|atricilla|Leucophaeus atricilla (Linnaeus, 1758)	216
Zenaida aurita (Temminck, 1809)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Zenaida|aurita|Zenaida aurita (Temminck, 1809)	214
Molothrus bonariensis (Gmelin, 1789)	Animalia|Chordata|Aves|Passeriformes|Icteridae|Molothrus|bonariensis|Molothrus bonariensis (Gmelin, 1789)	212
Gallinula galeata	Animalia|Chordata|Aves|Gruiformes|Rallidae|Gallinula|galeata|Gallinula galeata	206
Bubulcus ibis (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Bubulcus|ibis|Bubulcus ibis (Linnaeus, 1758)	200
Solenopsis geminata (Fabricius, 1804)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Solenopsis|geminata|Solenopsis geminata (Fabricius, 1804)	192
Coccyzus minor (Gmelin, 1788)	Animalia|Chordata|Aves|Cuculiformes|Cuculidae|Coccyzus|minor|Coccyzus minor (Gmelin, 1788)	189
Wasmannia auropunctata (Roger, 1863)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Wasmannia|auropunctata|Wasmannia auropunctata (Roger, 1863)	186
Molossus molossus (Pallas, 1766)	Animalia|Chordata|Mammalia|Chiroptera|Molossidae|Molossus|molossus|Molossus molossus (Pallas, 1766)	185
Tringa flavipes (Gmelin, 1789)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Tringa|flavipes|Tringa flavipes (Gmelin, 1789)	182
Tiaris bicolor (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Thraupidae|Tiaris|bicolor|Tiaris bicolor (Linnaeus, 1766)	171
Elaenia flavogaster (Thunberg, 1822)	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Elaenia|flavogaster|Elaenia flavogaster (Thunberg, 1822)	160
Arenaria interpres (Linnaeus, 1758)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Arenaria|interpres|Arenaria interpres (Linnaeus, 1758)	159
Cyphomyrmex minutus Mayr, 1862	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Cyphomyrmex|minutus|Cyphomyrmex minutus Mayr, 1862	156
Calidris pusilla (Linnaeus, 1766)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Calidris|pusilla|Calidris pusilla (Linnaeus, 1766)	145
Loxigilla noctis (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Thraupidae|Loxigilla|noctis|Loxigilla noctis (Linnaeus, 1766)	142
Tangara cucullata (Swainson, 1834)	Animalia|Chordata|Aves|Passeriformes|Thraupidae|Tangara|cucullata|Tangara cucullata (Swainson, 1834)	132
Anoura geoffroyi Gray, 1838	Animalia|Chordata|Mammalia|Chiroptera|Phyllostomidae|Anoura|geoffroyi|Anoura geoffroyi Gray, 1838	131
Tiaris bicolor (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Emberizidae|Tiaris|bicolor|Tiaris bicolor (Linnaeus, 1766)	127
Pandion haliaetus (Linnaeus, 1758)	Animalia|Chordata|Aves|Accipitriformes|Pandionidae|Pandion|haliaetus|Pandion haliaetus (Linnaeus, 1758)	122
Charadrius wilsonia Ord, 1814	Animalia|Chordata|Aves|Charadriiformes|Charadriidae|Charadrius|wilsonia|Charadrius wilsonia Ord, 1814	119
Egretta tricolor (Statius Muller, 1776)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Egretta|tricolor|Egretta tricolor (Statius Muller, 1776)	116
Tringa melanoleuca (Gmelin, 1789)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Tringa|melanoleuca|Tringa melanoleuca (Gmelin, 1789)	115
