taxonName	taxonPath	recordCount
Cocos nucifera	Plantae|Magnoliophyta|Liliopsida|Arecales|Arecaceae|Cocos|Cocos nucifera	923
Carlia ailanpalai Zug, 2004	Animalia|Chordata|Reptilia|Squamata|Scincidae|Carlia|ailanpalai|Carlia ailanpalai Zug, 2004	793
Emoia caeruleocauda (De Vis, 1892)	Animalia|Chordata|Reptilia|Squamata|Scincidae|Emoia|caeruleocauda|Emoia caeruleocauda (De Vis, 1892)	792
Boiga irregularis (Bechstein, 1802)	Animalia|Chordata|Reptilia|Squamata|Colubridae|Boiga|irregularis|Boiga irregularis (Bechstein, 1802)	713
Lepidodactylus lugubris Duméril & Bibron, 1836	Animalia|Chordata|Reptilia|Squamata|Gekkonidae|Lepidodactylus|lugubris|Lepidodactylus lugubris Duméril & Bibron, 1836	401
Passer montanus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|montanus|Passer montanus (Linnaeus, 1758)	281
Dicrurus macrocercus Vieillot, 1817	Animalia|Chordata|Aves|Passeriformes|Dicruridae|Dicrurus|macrocercus|Dicrurus macrocercus Vieillot, 1817	264
Gygis alba (Sparrman, 1786)	Animalia|Chordata|Aves|Charadriiformes|Laridae|Gygis|alba|Gygis alba (Sparrman, 1786)	238
Gehyra mutilata (Wiegmann, 1834)	Animalia|Chordata|Reptilia|Squamata|Gekkonidae|Gehyra|mutilata|Gehyra mutilata (Wiegmann, 1834)	213
Hemidactylus frenatus Schlegel, 1836	Animalia|Chordata|Reptilia|Squamata|Gekkonidae|Hemidactylus|frenatus|Hemidactylus frenatus Schlegel, 1836	188
Litoria fallax (Peters, 1880)	Animalia|Chordata|Amphibia|Anura|Hylidae|Litoria|fallax|Litoria fallax (Peters, 1880)	172
Pluvialis fulva (Gmelin, 1789)	Animalia|Chordata|Aves|Charadriiformes|Charadriidae|Pluvialis|fulva|Pluvialis fulva (Gmelin, 1789)	162
Nylanderia Emery, 1906	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Nylanderia||Nylanderia Emery, 1906	160
Sinularia May, 1898	Animalia|Cnidaria|Anthozoa|Alcyonacea|Alcyoniidae|Sinularia||Sinularia May, 1898	157
Ixobrychus sinensis (Gmelin, 1789)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Ixobrychus|sinensis|Ixobrychus sinensis (Gmelin, 1789)	148
Streptopelia bitorquata (Temminck, 1809)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|bitorquata|Streptopelia bitorquata (Temminck, 1809)	147
Columba livia Gmelin, 1789	Animalia|Chordata|Aves|Columbiformes|Columbidae|Columba|livia|Columba livia Gmelin, 1789	144
Acropora Krueger, 1823	Animalia|Cnidaria|Anthozoa|||Acropora||Acropora Krueger, 1823	116
Xanthidae	Animalia|Arthropoda|Malacostraca|Decapoda|Xanthidae|||Xanthidae	114
Fejervarya cancrivora (Gravenhorst, 1829)	Animalia|Chordata|Amphibia|Anura|Dicroglossidae|Fejervarya|cancrivora|Fejervarya cancrivora (Gravenhorst, 1829)	99
Francolinus francolinus (Linnaeus, 1766)	Animalia|Chordata|Aves|Galliformes|Phasianidae|Francolinus|francolinus|Francolinus francolinus (Linnaeus, 1766)	98
Omphalotropis Pfeiffer, 1851	Animalia|Mollusca|Gastropoda|Littorinimorpha|Assimineidae|Omphalotropis||Omphalotropis Pfeiffer, 1851	97
Georissa Blanford, 1864	Animalia|Mollusca|Gastropoda|Cycloneritimorpha|Hydrocenidae|Georissa||Georissa Blanford, 1864	95
Egretta sacra (Gmelin, 1789)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Egretta|sacra|Egretta sacra (Gmelin, 1789)	83
Gallinula chloropus (Linnaeus, 1758)	Animalia|Chordata|Aves|Gruiformes|Rallidae|Gallinula|chloropus|Gallinula chloropus (Linnaeus, 1758)	81
Porifera	Animalia|Porifera||||||Porifera	74
Palaina Semper, 1865	Animalia|Mollusca|Gastropoda||Diplommatinidae|Palaina||Palaina Semper, 1865	74
Ostreoida	Animalia|Mollusca|Bivalvia|Ostreoida||||Ostreoida	73
Chordata	Animalia|Chordata||||||Chordata	72
Aphis gossypii Glover, 1877	Animalia|Arthropoda|Insecta|Hemiptera|Aphididae|Aphis|gossypii|Aphis gossypii Glover, 1877	72
Arenaria interpres (Linnaeus, 1758)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Arenaria|interpres|Arenaria interpres (Linnaeus, 1758)	70
Partula Férussac, 1821	Animalia|Mollusca|Gastropoda|Stylommatophora|Partulidae|Partula||Partula Férussac, 1821	69
Numenius phaeopus (Linnaeus, 1758)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Numenius|phaeopus|Numenius phaeopus (Linnaeus, 1758)	67
Octopus Cuvier, 1797	Animalia|Mollusca|Cephalopoda|Octopoda|Octopodidae|Octopus||Octopus Cuvier, 1797	67
Chama Linnaeus, 1758	Animalia|Mollusca|Bivalvia|Veneroida|Chamidae|Chama||Chama Linnaeus, 1758	66
Streptopelia dusumieri	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|dusumieri|Streptopelia dusumieri	63
Tringa brevipes (Vieillot, 1816)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Tringa|brevipes|Tringa brevipes (Vieillot, 1816)	61
Thalamita admete (Herbst, 1803)	Animalia|Arthropoda|Malacostraca|Decapoda|Portunidae|Thalamita|admete|Thalamita admete (Herbst, 1803)	59
Anoplolepis gracilipes (Smith, 1857)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Anoplolepis|gracilipes|Anoplolepis gracilipes (Smith, 1857)	59
Fragum fragum (Linnaeus, 1758)	Animalia|Mollusca|Bivalvia|Veneroida|Cardiidae|Fragum|fragum|Fragum fragum (Linnaeus, 1758)	55
Streptopelia Bonaparte, 1855	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia||Streptopelia Bonaparte, 1855	54
Lipinia noctua (Lesson, 1826)	Animalia|Chordata|Reptilia|Squamata|Scincidae|Lipinia|noctua|Lipinia noctua (Lesson, 1826)	54
Galeommatidae	Animalia|Mollusca|Bivalvia|Veneroida|Galeommatidae|||Galeommatidae	53
Actitis hypoleucos (Linnaeus, 1758)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Actitis|hypoleucos|Actitis hypoleucos (Linnaeus, 1758)	52
Rhinella marina (Linnaeus, 1758)	Animalia|Chordata|Amphibia|Anura|Bufonidae|Rhinella|marina|Rhinella marina (Linnaeus, 1758)	50
Montipora Blainville, 1830	Animalia|Cnidaria|Anthozoa|Scleractinia|Acroporidae|Montipora||Montipora Blainville, 1830	50
Istiblennius edentulus (Forster & Schneider, 1801)	Animalia|Chordata|Actinopterygii|Perciformes|Blenniidae|Istiblennius|edentulus|Istiblennius edentulus (Forster & Schneider, 1801)	49
Assimineidae	Animalia|Mollusca|Gastropoda|Littorinimorpha|Assimineidae|||Assimineidae	49
Echinocyamus crispus Mazzetti, 1893	Animalia|Echinodermata|Echinoidea|Clypeasteroida|Echinocyamidae|Echinocyamus|crispus|Echinocyamus crispus Mazzetti, 1893	47
