taxonName	taxonPath	recordCount
Formicidae	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|||Formicidae	16131
Formicidae Latreille, 1802	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|||Formicidae Latreille, 1802	15961
Pheidole Westwood, 1839	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Pheidole||Pheidole Westwood, 1839	8436
Quiscalus mexicanus (Gmelin, 1788)	Animalia|Chordata|Aves|Passeriformes|Icteridae|Quiscalus|mexicanus|Quiscalus mexicanus (Gmelin, 1788)	6853
Solenopsis Westwood, 1840	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Solenopsis||Solenopsis Westwood, 1840	6760
Stenamma Westwood, 1839	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Stenamma||Stenamma Westwood, 1839	6388
Turdus grayi Bonaparte, 1838	Animalia|Chordata|Aves|Passeriformes|Turdidae|Turdus|grayi|Turdus grayi Bonaparte, 1838	5774
Bolitoglossa rostrata (Brocchi, 1883)	Animalia|Chordata|Amphibia|Caudata|Plethodontidae|Bolitoglossa|rostrata|Bolitoglossa rostrata (Brocchi, 1883)	5503
Coragyps atratus (Bechstein, 1793)	Animalia|Chordata|Aves|Accipitriformes|Cathartidae|Coragyps|atratus|Coragyps atratus (Bechstein, 1793)	5410
Dives dives (Deppe, 1830)	Animalia|Chordata|Aves|Passeriformes|Icteridae|Dives|dives|Dives dives (Deppe, 1830)	5368
Melanerpes aurifrons (Wagler, 1829)	Animalia|Chordata|Aves|Piciformes|Picidae|Melanerpes|aurifrons|Melanerpes aurifrons (Wagler, 1829)	5357
Strumigenys Smith, 1860	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Strumigenys||Strumigenys Smith, 1860	5095
Myiozetetes similis (Spix, 1825)	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Myiozetetes|similis|Myiozetetes similis (Spix, 1825)	4974
Troglodytes aedon Vieillot, 1809	Animalia|Chordata|Aves|Passeriformes|Troglodytidae|Troglodytes|aedon|Troglodytes aedon Vieillot, 1809	4122
Pseudoeurycea goebeli (Schmidt, 1936)	Animalia|Chordata|Amphibia|Caudata|Plethodontidae|Pseudoeurycea|goebeli|Pseudoeurycea goebeli (Schmidt, 1936)	4019
Pselaphidae	Animalia|Arthropoda|Insecta|Coleoptera|Pselaphidae|||Pselaphidae	3794
Cathartes aura (Linnaeus, 1758)	Animalia|Chordata|Aves|Accipitriformes|Cathartidae|Cathartes|aura|Cathartes aura (Linnaeus, 1758)	3689
Nylanderia Emery, 1906	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Nylanderia||Nylanderia Emery, 1906	3524
Saltator atriceps (Lesson, 1832)	Animalia|Chordata|Aves|Passeriformes|Cardinalidae|Saltator|atriceps|Saltator atriceps (Lesson, 1832)	3419
Pseudoeurycea rex (Dunn, 1921)	Animalia|Chordata|Amphibia|Caudata|Plethodontidae|Pseudoeurycea|rex|Pseudoeurycea rex (Dunn, 1921)	3144
Cyanocorax melanocyaneus (Hartlaub, 1844)	Animalia|Chordata|Aves|Passeriformes|Corvidae|Cyanocorax|melanocyaneus|Cyanocorax melanocyaneus (Hartlaub, 1844)	3095
Hypoponera Santschi, 1938	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Hypoponera||Hypoponera Santschi, 1938	2943
Dendrotriton bromeliacius (Schmidt, 1936)	Animalia|Chordata|Amphibia|Caudata|Plethodontidae|Dendrotriton|bromeliacius|Dendrotriton bromeliacius (Schmidt, 1936)	2846
Campylorhynchus zonatus (Lesson, 1832)	Animalia|Chordata|Aves|Passeriformes|Troglodytidae|Campylorhynchus|zonatus|Campylorhynchus zonatus (Lesson, 1832)	2834
Thraupis abbas (Deppe, 1830)	Animalia|Chordata|Aves|Passeriformes|Thraupidae|Thraupis|abbas|Thraupis abbas (Deppe, 1830)	2824
Mniotilta varia (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Parulidae|Mniotilta|varia|Mniotilta varia (Linnaeus, 1766)	2708
Myioborus miniatus (Swainson, 1827)	Animalia|Chordata|Aves|Passeriformes|Parulidae|Myioborus|miniatus|Myioborus miniatus (Swainson, 1827)	2531
Icterus galbula (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Icteridae|Icterus|galbula|Icterus galbula (Linnaeus, 1758)	2499
Cardellina pusilla (A. Wilson, 1811)	Animalia|Chordata|Aves|Passeriformes|Parulidae|Cardellina|pusilla|Cardellina pusilla (A. Wilson, 1811)	2481
Pitangus sulphuratus (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Pitangus|sulphuratus|Pitangus sulphuratus (Linnaeus, 1766)	2479
Amazilia cyanocephala (Lesson, 1829)	Animalia|Chordata|Aves|Apodiformes|Trochilidae|Amazilia|cyanocephala|Amazilia cyanocephala (Lesson, 1829)	2457
Leptotila verreauxi (Bonaparte, 1855)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Leptotila|verreauxi|Leptotila verreauxi (Bonaparte, 1855)	2407
Tyrannus melancholicus Vieillot, 1819	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Tyrannus|melancholicus|Tyrannus melancholicus Vieillot, 1819	2361
Bolitoglossa franklini (Schmidt, 1936)	Animalia|Chordata|Amphibia|Caudata|Plethodontidae|Bolitoglossa|franklini|Bolitoglossa franklini (Schmidt, 1936)	2360
Pseudoeurycea brunnata Bumzahem & Smith, 1955	Animalia|Chordata|Amphibia|Caudata|Plethodontidae|Pseudoeurycea|brunnata|Pseudoeurycea brunnata Bumzahem & Smith, 1955	2324
Myiarchus tuberculifer (Orbigny & Lafresnaye, 1837)	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Myiarchus|tuberculifer|Myiarchus tuberculifer (Orbigny & Lafresnaye, 1837)	2255
Myadestes occidentalis Stejneger, 1882	Animalia|Chordata|Aves|Passeriformes|Turdidae|Myadestes|occidentalis|Myadestes occidentalis Stejneger, 1882	2172
Geophis nasalis (Cope, 1868)	Animalia|Chordata|Reptilia|Squamata|Colubridae|Geophis|nasalis|Geophis nasalis (Cope, 1868)	2156
Geophis nasalis Cope, 1868	Animalia|Chordata|Reptilia|Squamata|Colubridae|Geophis|nasalis|Geophis nasalis Cope, 1868	2132
Momotus coeruliceps	Animalia|Chordata|Aves|Coraciiformes|Momotidae|Momotus|coeruliceps|Momotus coeruliceps	2089
Melanerpes formicivorus (Swainson, 1827)	Animalia|Chordata|Aves|Piciformes|Picidae|Melanerpes|formicivorus|Melanerpes formicivorus (Swainson, 1827)	1965
Megarynchus pitangua (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Megarynchus|pitangua|Megarynchus pitangua (Linnaeus, 1766)	1949
Wasmannia auropunctata (Roger, 1863)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Wasmannia|auropunctata|Wasmannia auropunctata (Roger, 1863)	1932
Bubulcus ibis (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Bubulcus|ibis|Bubulcus ibis (Linnaeus, 1758)	1906
Sporophila torqueola (Bonaparte, 1850)	Animalia|Chordata|Aves|Passeriformes|Thraupidae|Sporophila|torqueola|Sporophila torqueola (Bonaparte, 1850)	1895
Crotophaga sulcirostris Swainson, 1827	Animalia|Chordata|Aves|Cuculiformes|Cuculidae|Crotophaga|sulcirostris|Crotophaga sulcirostris Swainson, 1827	1885
Henicorhina leucophrys (Tschudi, 1844)	Animalia|Chordata|Aves|Passeriformes|Troglodytidae|Henicorhina|leucophrys|Henicorhina leucophrys (Tschudi, 1844)	1881
Hylocharis leucotis (Vieillot, 1818)	Animalia|Chordata|Aves|Apodiformes|Trochilidae|Hylocharis|leucotis|Hylocharis leucotis (Vieillot, 1818)	1874
Stelgidopteryx serripennis (Audubon, 1838)	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Stelgidopteryx|serripennis|Stelgidopteryx serripennis (Audubon, 1838)	1866
Colaptes auratus (Linnaeus, 1758)	Animalia|Chordata|Aves|Piciformes|Picidae|Colaptes|auratus|Colaptes auratus (Linnaeus, 1758)	1844
Pachyramphus aglaiae (Lafresnaye, 1839)	Animalia|Chordata|Aves|Passeriformes|Cotingidae|Pachyramphus|aglaiae|Pachyramphus aglaiae (Lafresnaye, 1839)	1759
Staphylinidae	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|||Staphylinidae	1748
Adelomyrmex Emery, 1897	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Adelomyrmex||Adelomyrmex Emery, 1897	1737
Staphylinidae Latreille, 1802	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|||Staphylinidae Latreille, 1802	1717
Cardellina pusilla	Animalia|Chordata|Aves|Passeriformes|Parulidae|Cardellina|pusilla|Cardellina pusilla	1695
Thraupis episcopus (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Thraupidae|Thraupis|episcopus|Thraupis episcopus (Linnaeus, 1766)	1683
Ardea alba Linnaeus, 1758	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Ardea|alba|Ardea alba Linnaeus, 1758	1655
Piaya cayana (Linnaeus, 1766)	Animalia|Chordata|Aves|Cuculiformes|Cuculidae|Piaya|cayana|Piaya cayana (Linnaeus, 1766)	1617
Patagioenas flavirostris (Wagler, 1831)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Patagioenas|flavirostris|Patagioenas flavirostris (Wagler, 1831)	1616
Setophaga magnolia (A. Wilson, 1811)	Animalia|Chordata|Aves|Passeriformes|Parulidae|Setophaga|magnolia|Setophaga magnolia (A. Wilson, 1811)	1613
Zenaida asiatica (Linnaeus, 1758)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Zenaida|asiatica|Zenaida asiatica (Linnaeus, 1758)	1609
Setophaga ruticilla (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Parulidae|Setophaga|ruticilla|Setophaga ruticilla (Linnaeus, 1758)	1607
Contopus pertinax Cabanis & Heine, 1859	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Contopus|pertinax|Contopus pertinax Cabanis & Heine, 1859	1599
Tityra semifasciata (Spix, 1825)	Animalia|Chordata|Aves|Passeriformes|Cotingidae|Tityra|semifasciata|Tityra semifasciata (Spix, 1825)	1581
Ramphastos sulfuratus Lesson, 1830	Animalia|Chordata|Aves|Piciformes|Ramphastidae|Ramphastos|sulfuratus|Ramphastos sulfuratus Lesson, 1830	1580
Cantorchilus modestus (Cabanis, 1861)	Animalia|Chordata|Aves|Passeriformes|Troglodytidae|Cantorchilus|modestus|Cantorchilus modestus (Cabanis, 1861)	1579
Brachymyrmex Mayr, 1868	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Brachymyrmex||Brachymyrmex Mayr, 1868	1572
Saltator coerulescens Vieillot, 1817	Animalia|Chordata|Aves|Passeriformes|Cardinalidae|Saltator|coerulescens|Saltator coerulescens Vieillot, 1817	1564
Butorides virescens (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Butorides|virescens|Butorides virescens (Linnaeus, 1758)	1554
Catharus aurantiirostris (Hartlaub, 1850)	Animalia|Chordata|Aves|Passeriformes|Turdidae|Catharus|aurantiirostris|Catharus aurantiirostris (Hartlaub, 1850)	1522
Dumetella carolinensis (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Mimidae|Dumetella|carolinensis|Dumetella carolinensis (Linnaeus, 1766)	1522
Scydmaenidae Leach, 1815	Animalia|Arthropoda|Insecta|Coleoptera|Scydmaenidae|||Scydmaenidae Leach, 1815	1494
Scydmaenidae	Animalia|Arthropoda|Insecta|Coleoptera|Scydmaenidae|||Scydmaenidae	1494
Columbina inca (Lesson, 1847)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Columbina|inca|Columbina inca (Lesson, 1847)	1445
Streptoprocne zonaris (Shaw, 1796)	Animalia|Chordata|Aves|Apodiformes|Apodidae|Streptoprocne|zonaris|Streptoprocne zonaris (Shaw, 1796)	1435
Pheidole harrisonfordi	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Pheidole|harrisonfordi|Pheidole harrisonfordi	1430
