taxonName	taxonPath	recordCount
Carollia perspicillata (Linnaeus, 1758)	Animalia|Chordata|Mammalia|Chiroptera|Phyllostomidae|Carollia|perspicillata|Carollia perspicillata (Linnaeus, 1758)	6165
Artibeus planirostris (Spix, 1823)	Animalia|Chordata|Mammalia|Chiroptera|Phyllostomidae|Artibeus|planirostris|Artibeus planirostris (Spix, 1823)	4037
Carollia Gray, 1838	Animalia|Chordata|Mammalia|Chiroptera|Phyllostomidae|Carollia||Carollia Gray, 1838	3047
Glossophaga longirostris Miller, 1898	Animalia|Chordata|Mammalia|Chiroptera|Phyllostomidae|Glossophaga|longirostris|Glossophaga longirostris Miller, 1898	2816
Molossus molossus (Pallas, 1766)	Animalia|Chordata|Mammalia|Chiroptera|Molossidae|Molossus|molossus|Molossus molossus (Pallas, 1766)	2369
Artibeus Leach, 1821	Animalia|Chordata|Mammalia|Chiroptera|Phyllostomidae|Artibeus||Artibeus Leach, 1821	2183
Phyllostomus discolor Wagner, 1843	Animalia|Chordata|Mammalia|Chiroptera|Phyllostomidae|Phyllostomus|discolor|Phyllostomus discolor Wagner, 1843	2159
Peropteryx macrotis (Wagner, 1843)	Animalia|Chordata|Mammalia|Chiroptera|Emballonuridae|Peropteryx|macrotis|Peropteryx macrotis (Wagner, 1843)	2023
Myotis nigricans (Schinz, 1821)	Animalia|Chordata|Mammalia|Chiroptera|Vespertilionidae|Myotis|nigricans|Myotis nigricans (Schinz, 1821)	2021
Desmopachria Babington, 1841	Animalia|Arthropoda|Insecta|Coleoptera|Dytiscidae|Desmopachria||Desmopachria Babington, 1841	1635
Artibeus lituratus (Olfers, 1818)	Animalia|Chordata|Mammalia|Chiroptera|Phyllostomidae|Artibeus|lituratus|Artibeus lituratus (Olfers, 1818)	1607
Desmodus rotundus (E. Geoffroy, 1810)	Animalia|Chordata|Mammalia|Chiroptera|Phyllostomidae|Desmodus|rotundus|Desmodus rotundus (E. Geoffroy, 1810)	1478
Laccophilus Leach, 1815	Animalia|Arthropoda|Insecta|Coleoptera|Dytiscidae|Laccophilus||Laccophilus Leach, 1815	1390
Glossophaga soricina (Pallas, 1766)	Animalia|Chordata|Mammalia|Chiroptera|Phyllostomidae|Glossophaga|soricina|Glossophaga soricina (Pallas, 1766)	1364
Glossophaga E. Geoffroy, 1818	Animalia|Chordata|Mammalia|Chiroptera|Phyllostomidae|Glossophaga||Glossophaga E. Geoffroy, 1818	1252
Artibeus cinereus (Gervais, 1856)	Animalia|Chordata|Mammalia|Chiroptera|Phyllostomidae|Dermanura|cinereus|Artibeus cinereus (Gervais, 1856)	1087
Pteronotus parnellii (Gray, 1843)	Animalia|Chordata|Mammalia|Chiroptera|Mormoopidae|Pteronotus|parnellii|Pteronotus parnellii (Gray, 1843)	1058
Micronycteris megalotis (Gray, 1842)	Animalia|Chordata|Mammalia|Chiroptera|Phyllostomidae|Micronycteris|megalotis|Micronycteris megalotis (Gray, 1842)	1056
	|||||||	1041
Megaselia Rondani, 1856	Animalia|Arthropoda|Insecta|Diptera|Phoridae|Megaselia||Megaselia Rondani, 1856	1039
Rhinophylla pumilio Peters, 1865	Animalia|Chordata|Mammalia|Chiroptera|Phyllostomidae|Rhinophylla|pumilio|Rhinophylla pumilio Peters, 1865	1032
Molossus Geoffroy, 1805	Animalia|Chordata|Mammalia|Chiroptera|Molossidae|Molossus||Molossus Geoffroy, 1805	953
Artibeus obscurus (Schinz, 1821)	Animalia|Chordata|Mammalia|Chiroptera|Phyllostomidae|Artibeus|obscurus|Artibeus obscurus (Schinz, 1821)	947
