taxonName	taxonPath	recordCount
Isolobodon J. A. Allen, 1916	Animalia|Chordata|Mammalia|Rodentia|Capromyidae|Isolobodon||Isolobodon J. A. Allen, 1916	4011
Nesophontes Anthony, 1916	Animalia|Chordata|Mammalia|Soricomorpha|Nesophontidae|Nesophontes||Nesophontes Anthony, 1916	3650
Anolis cybotes (Cope, 1862)	Animalia|Chordata|Reptilia|Squamata|Dactyloidae|Anolis|cybotes|Anolis cybotes (Cope, 1862)	2037
Anolis distichus (Cope, 1861)	Animalia|Chordata|Reptilia|Squamata|Dactyloidae|Anolis|distichus|Anolis distichus (Cope, 1861)	1833
Typhlops pusilla Thomas, 1966	Animalia|Chordata|Reptilia|Squamata|Typhlopidae|Typhlops|pusilla|Typhlops pusilla Thomas, 1966	1740
Brotomys Miller, 1916	Animalia|Chordata|Mammalia|Rodentia|Echimyidae|Brotomys||Brotomys Miller, 1916	1713
Chiroptera	Animalia|Chordata|Mammalia|Chiroptera||||Chiroptera	1577
Osteopilus dominicensis (Tschudi, 1838)	Animalia|Chordata|Amphibia|Anura|Hylidae|Osteopilus|dominicensis|Osteopilus dominicensis (Tschudi, 1838)	1396
Eleutherodactylus heminota Shreve & Williams, 1963	Animalia|Chordata|Amphibia|Anura|Eleutherodactylidae|Eleutherodactylus|heminota|Eleutherodactylus heminota Shreve & Williams, 1963	1184
Sphaerodactylus copei Steindachner, 1867	Animalia|Chordata|Reptilia|Squamata|Sphaerodactylidae|Sphaerodactylus|copei|Sphaerodactylus copei Steindachner, 1867	1156
Anolis cybotes Cope, 1862	Animalia|Chordata|Reptilia|Squamata|Polychrotidae|Anolis|cybotes|Anolis cybotes Cope, 1862	1121
Eleutherodactylus audanti Cochran, 1934	Animalia|Chordata|Amphibia|Anura|Eleutherodactylidae|Eleutherodactylus|audanti|Eleutherodactylus audanti Cochran, 1934	1088
Eleutherodactylus abbotti Cochran, 1923	Animalia|Chordata|Amphibia|Anura|Eleutherodactylidae|Eleutherodactylus|abbotti|Eleutherodactylus abbotti Cochran, 1923	1044
Anolis coelestinus (Cope, 1862)	Animalia|Chordata|Reptilia|Squamata|Dactyloidae|Anolis|coelestinus|Anolis coelestinus (Cope, 1862)	1043
Anolis distichus dominicensis Reinhardt & Lütken, 1863	Animalia|Chordata|Reptilia|Squamata|Polychrotidae|Anolis|distichus|Anolis distichus dominicensis Reinhardt & Lütken, 1863	989
Anolis cybotes subsp. cybotes	Animalia|Chordata|Reptilia|Squamata|Polychrotidae|Anolis|cybotes|Anolis cybotes subsp. cybotes	908
Melanerpes striatus (Statius Muller, 1776)	Animalia|Chordata|Aves|Piciformes|Picidae|Melanerpes|striatus|Melanerpes striatus (Statius Muller, 1776)	882
Eleutherodactylus inoptatus (Barbour, 1914)	Animalia|Chordata|Amphibia|Anura|Eleutherodactylidae|Eleutherodactylus|inoptatus|Eleutherodactylus inoptatus (Barbour, 1914)	860
Plagiodontia F. Cuvier, 1836	Animalia|Chordata|Mammalia|Rodentia|Capromyidae|Plagiodontia||Plagiodontia F. Cuvier, 1836	788
Anolis coelestinus Cope, 1862	Animalia|Chordata|Reptilia|Squamata|Polychrotidae|Anolis|coelestinus|Anolis coelestinus Cope, 1862	732
Eptesicus Rafinesque, 1820	Animalia|Chordata|Mammalia|Chiroptera|Vespertilionidae|Eptesicus||Eptesicus Rafinesque, 1820	715
Amphisbaena innocens Weinland, 1862	Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Amphisbaena|innocens|Amphisbaena innocens Weinland, 1862	672
Eleutherodactylus leoncei Shreve & Williams, 1963	Animalia|Chordata|Amphibia|Anura|Eleutherodactylidae|Eleutherodactylus|leoncei|Eleutherodactylus leoncei Shreve & Williams, 1963	667
Ameiva chrysolaema Cope, 1868	Animalia|Chordata|Reptilia|Squamata|Teiidae|Ameiva|chrysolaema|Ameiva chrysolaema Cope, 1868	666
Eleutherodactylus pictissimus Cochran, 1935	Animalia|Chordata|Amphibia|Anura|Eleutherodactylidae|Eleutherodactylus|pictissimus|Eleutherodactylus pictissimus Cochran, 1935	658
Ameiva taeniura Cope, 1862	Animalia|Chordata|Reptilia|Squamata|Teiidae|Ameiva|taeniura|Ameiva taeniura Cope, 1862	637
Sphaerodactylus elegans (Macleay, 1834)	Animalia|Chordata|Reptilia|Squamata|Sphaerodactylidae|Sphaerodactylus|elegans|Sphaerodactylus elegans (Macleay, 1834)	621
Coereba flaveola (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Coerebidae|Coereba|flaveola|Coereba flaveola (Linnaeus, 1758)	617
Celestus costatus (Cope, 1862)	Animalia|Chordata|Reptilia|Squamata|Anguidae|Celestus|costatus|Celestus costatus (Cope, 1862)	595
