taxonName	taxonPath	recordCount
Glycine soja Siebold & Zucc.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Glycine|soja|Glycine soja Siebold & Zucc.	128699
Glycine soja Siebold & Zucc.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Glycine|soja|Glycine soja Siebold & Zucc.	128699
Pycnonotus jocosus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Pycnonotus|jocosus|Pycnonotus jocosus (Linnaeus, 1758)	1421
Streptopelia chinensis (Scopoli, 1786)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|chinensis|Streptopelia chinensis (Scopoli, 1786)	1413
Copsychus saularis (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Copsychus|saularis|Copsychus saularis (Linnaeus, 1758)	1296
Passer montanus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|montanus|Passer montanus (Linnaeus, 1758)	1136
Milvus migrans (Boddaert, 1783)	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Milvus|migrans|Milvus migrans (Boddaert, 1783)	811
Acridotheres cristatellus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Sturnidae|Acridotheres|cristatellus|Acridotheres cristatellus (Linnaeus, 1758)	805
Lanius schach Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Laniidae|Lanius|schach|Lanius schach Linnaeus, 1758	786
Motacilla alba Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Motacillidae|Motacilla|alba|Motacilla alba Linnaeus, 1758	731
Pycnonotus sinensis (Gmelin, 1789)	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Pycnonotus|sinensis|Pycnonotus sinensis (Gmelin, 1789)	726
Egretta garzetta (Linnaeus, 1766)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Egretta|garzetta|Egretta garzetta (Linnaeus, 1766)	721
Prinia flaviventris (Delessert, 1840)	Animalia|Chordata|Aves|Passeriformes|Cisticolidae|Prinia|flaviventris|Prinia flaviventris (Delessert, 1840)	719
Zosterops japonicus Temminck & Schlegel, 1845	Animalia|Chordata|Aves|Passeriformes|Zosteropidae|Zosterops|japonicus|Zosterops japonicus Temminck & Schlegel, 1845	699
Ardeola bacchus (Bonaparte, 1855)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Ardeola|bacchus|Ardeola bacchus (Bonaparte, 1855)	642
Corvus macrorhynchos Wagler, 1827	Animalia|Chordata|Aves|Passeriformes|Corvidae|Corvus|macrorhynchos|Corvus macrorhynchos Wagler, 1827	616
Amaurornis phoenicurus (Pennant, 1769)	Animalia|Chordata|Aves|Gruiformes|Rallidae|Amaurornis|phoenicurus|Amaurornis phoenicurus (Pennant, 1769)	585
Eudynamys scolopaceus (Linnaeus, 1758)	Animalia|Chordata|Aves|Cuculiformes|Cuculidae|Eudynamys|scolopaceus|Eudynamys scolopaceus (Linnaeus, 1758)	577
Orthotomus sutorius (Pennant, 1769)	Animalia|Chordata|Aves|Passeriformes|Cisticolidae|Orthotomus|sutorius|Orthotomus sutorius (Pennant, 1769)	571
Ardea alba Linnaeus, 1758	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Ardea|alba|Ardea alba Linnaeus, 1758	563
Hirundo rustica Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Hirundo|rustica|Hirundo rustica Linnaeus, 1758	554
Pica pica (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Corvidae|Pica|pica|Pica pica (Linnaeus, 1758)	537
Gracupica nigricollis (Paykull, 1807)	Animalia|Chordata|Aves|Passeriformes|Sturnidae|Gracupica|nigricollis|Gracupica nigricollis (Paykull, 1807)	529
Aethopyga christinae Swinhoe, 1869	Animalia|Chordata|Aves|Passeriformes|Nectariniidae|Aethopyga|christinae|Aethopyga christinae Swinhoe, 1869	522
Garrulax perspicillatus (Gmelin, 1789)	Animalia|Chordata|Aves|Passeriformes|Leiothrichidae|Garrulax|perspicillatus|Garrulax perspicillatus (Gmelin, 1789)	507
Ardea cinerea Linnaeus, 1758	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Ardea|cinerea|Ardea cinerea Linnaeus, 1758	476
Centropus sinensis (Stephens, 1815)	Animalia|Chordata|Aves|Cuculiformes|Cuculidae|Centropus|sinensis|Centropus sinensis (Stephens, 1815)	476
Parus minor Temminck & Schlegel, 1848	Animalia|Chordata|Aves|Passeriformes|Paridae|Parus|minor|Parus minor Temminck & Schlegel, 1848	475
Pycnonotus sinensis (J. F. Gmelin, 1789)	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Pycnonotus|sinensis|Pycnonotus sinensis (J. F. Gmelin, 1789)	473
Alcedo atthis (Linnaeus, 1758)	Animalia|Chordata|Aves|Coraciiformes|Alcedinidae|Alcedo|atthis|Alcedo atthis (Linnaeus, 1758)	442
Apus nipalensis (Hodgson, 1837)	Animalia|Chordata|Aves|Apodiformes|Apodidae|Apus|nipalensis|Apus nipalensis (Hodgson, 1837)	439
Anthus hodgsoni Richmond, 1907	Animalia|Chordata|Aves|Passeriformes|Motacillidae|Anthus|hodgsoni|Anthus hodgsoni Richmond, 1907	430
Zosterops japonicus Temminck & Schlegel, 1847	Animalia|Chordata|Aves|Passeriformes|Zosteropidae|Zosterops|japonicus|Zosterops japonicus Temminck & Schlegel, 1847	428
Hemixos castanonotus Swinhoe, 1870	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Hemixos|castanonotus|Hemixos castanonotus Swinhoe, 1870	415
Actitis hypoleucos (Linnaeus, 1758)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Actitis|hypoleucos|Actitis hypoleucos (Linnaeus, 1758)	412
Gracupica nigricollis Paykull, 1807	Animalia|Chordata|Aves|Passeriformes|Sturnidae|Gracupica|nigricollis|Gracupica nigricollis Paykull, 1807	386
Lyssa zampa	Animalia|Arthropoda|Insecta|Lepidoptera|Uraniidae|Lyssa|Lyssa zampa	380
Prinia inornata Sykes, 1832	Animalia|Chordata|Aves|Passeriformes|Cisticolidae|Prinia|inornata|Prinia inornata Sykes, 1832	365
Nycticorax nycticorax (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Nycticorax|nycticorax|Nycticorax nycticorax (Linnaeus, 1758)	361
Phylloscopus inornatus (Blyth, 1842)	Animalia|Chordata|Aves|Passeriformes|Phylloscopidae|Phylloscopus|inornatus|Phylloscopus inornatus (Blyth, 1842)	356
Lonchura punctulata (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Estrildidae|Lonchura|punctulata|Lonchura punctulata (Linnaeus, 1758)	354
Saxicola maurus (Pallas, 1773)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Saxicola|maurus|Saxicola maurus (Pallas, 1773)	352
Garrulax perspicillatus (J. F. Gmelin, 1789)	Animalia|Chordata|Aves|Passeriformes|Sylviidae|Garrulax|perspicillatus|Garrulax perspicillatus (J. F. Gmelin, 1789)	347
Tachybaptus ruficollis (Pallas, 1764)	Animalia|Chordata|Aves|Podicipediformes|Podicipedidae|Tachybaptus|ruficollis|Tachybaptus ruficollis (Pallas, 1764)	345
Sitta frontalis Swainson, 1820	Animalia|Chordata|Aves|Passeriformes|Sittidae|Sitta|frontalis|Sitta frontalis Swainson, 1820	331
Dysphania militaris	Animalia|Arthropoda|Insecta|Lepidoptera|Geometridae|Dysphania|Dysphania militaris	323
Gallinula chloropus (Linnaeus, 1758)	Animalia|Chordata|Aves|Gruiformes|Rallidae|Gallinula|chloropus|Gallinula chloropus (Linnaeus, 1758)	319
Orthotomus sutorius (Pennant, 1769)	Animalia|Chordata|Aves|Passeriformes|Sylviidae|Orthotomus|sutorius|Orthotomus sutorius (Pennant, 1769)	318
Halcyon smyrnensis (Linnaeus, 1758)	Animalia|Chordata|Aves|Coraciiformes|Alcedinidae|Halcyon|smyrnensis|Halcyon smyrnensis (Linnaeus, 1758)	310
Motacilla cinerea Tunstall, 1771	Animalia|Chordata|Aves|Passeriformes|Motacillidae|Motacilla|cinerea|Motacilla cinerea Tunstall, 1771	307
Himantopus himantopus (Linnaeus, 1758)	Animalia|Chordata|Aves|Charadriiformes|Recurvirostridae|Himantopus|himantopus|Himantopus himantopus (Linnaeus, 1758)	298
Syntomoides imaon	Animalia|Arthropoda|Insecta|Lepidoptera|Erebidae|Syntomoides|Syntomoides imaon	296
Tringa nebularia (Gunnerus, 1767)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Tringa|nebularia|Tringa nebularia (Gunnerus, 1767)	293
Tringa glareola Linnaeus, 1758	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Tringa|glareola|Tringa glareola Linnaeus, 1758	288
Phoenicurus auroreus (Pallas, 1776)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Phoenicurus|auroreus|Phoenicurus auroreus (Pallas, 1776)	283
Charadrius dubius Scopoli, 1786	Animalia|Chordata|Aves|Charadriiformes|Charadriidae|Charadrius|dubius|Charadrius dubius Scopoli, 1786	282
Phalacrocorax carbo (Linnaeus, 1758)	Animalia|Chordata|Aves|Suliformes|Phalacrocoracidae|Phalacrocorax|carbo|Phalacrocorax carbo (Linnaeus, 1758)	280
Orvasca subnotata	Animalia|Arthropoda|Insecta|Lepidoptera|Erebidae|Orvasca|Orvasca subnotata	275
Pericrocotus solaris Blyth, 1846	Animalia|Chordata|Aves|Passeriformes|Campephagidae|Pericrocotus|solaris|Pericrocotus solaris Blyth, 1846	270
Parus minor	Animalia|Chordata|Aves|Passeriformes|Paridae|Parus|minor|Parus minor	266
Garrulax canorus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Leiothrichidae|Garrulax|canorus|Garrulax canorus (Linnaeus, 1758)	264
Platalea minor Temminck & Schlegel, 1849	Animalia|Chordata|Aves|Pelecaniformes|Threskiornithidae|Platalea|minor|Platalea minor Temminck & Schlegel, 1849	264
Lonchura striata (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Estrildidae|Lonchura|striata|Lonchura striata (Linnaeus, 1766)	264
Perina nuda	Animalia|Arthropoda|Insecta|Lepidoptera|Erebidae|Perina|Perina nuda	263
