taxonName	taxonPath	recordCount
Anas platyrhynchos Linnaeus, 1758	Animalia|Chordata|Aves|Anseriformes|Anatidae|Anas|platyrhynchos|Anas platyrhynchos Linnaeus, 1758	15316
Anas penelope Linnaeus, 1758	Animalia|Chordata|Aves|Anseriformes|Anatidae|Anas|penelope|Anas penelope Linnaeus, 1758	9032
Chroicocephalus ridibundus (Linnaeus, 1766)	Animalia|Chordata|Aves|Charadriiformes|Laridae|Chroicocephalus|ridibundus|Chroicocephalus ridibundus (Linnaeus, 1766)	8358
Anser anser (Linnaeus, 1758)	Animalia|Chordata|Aves|Anseriformes|Anatidae|Anser|anser|Anser anser (Linnaeus, 1758)	8064
Mergus serrator Linnaeus, 1758	Animalia|Chordata|Aves|Anseriformes|Anatidae|Mergus|serrator|Mergus serrator Linnaeus, 1758	7929
Tringa totanus (Linnaeus, 1758)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Tringa|totanus|Tringa totanus (Linnaeus, 1758)	7489
Turdus iliacus Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Turdidae|Turdus|iliacus|Turdus iliacus Linnaeus, 1758	7430
Cygnus cygnus (Linnaeus, 1758)	Animalia|Chordata|Aves|Anseriformes|Anatidae|Cygnus|cygnus|Cygnus cygnus (Linnaeus, 1758)	7253
Aythya fuligula (Linnaeus, 1758)	Animalia|Chordata|Aves|Anseriformes|Anatidae|Aythya|fuligula|Aythya fuligula (Linnaeus, 1758)	6808
Anthus pratensis (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Motacillidae|Anthus|pratensis|Anthus pratensis (Linnaeus, 1758)	6793
Somateria mollissima (Linnaeus, 1758)	Animalia|Chordata|Aves|Anseriformes|Anatidae|Somateria|mollissima|Somateria mollissima (Linnaeus, 1758)	6753
Turdus iliacus Linnaeus, 1766	Animalia|Chordata|Aves|Passeriformes|Turdidae|Turdus|iliacus|Turdus iliacus Linnaeus, 1766	6237
Pluvialis apricaria (Linnaeus, 1758)	Animalia|Chordata|Aves|Charadriiformes|Charadriidae|Pluvialis|apricaria|Pluvialis apricaria (Linnaeus, 1758)	6163
Gallinago gallinago (Linnaeus, 1758)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Gallinago|gallinago|Gallinago gallinago (Linnaeus, 1758)	6134
Larus marinus Linnaeus, 1758	Animalia|Chordata|Aves|Charadriiformes|Laridae|Larus|marinus|Larus marinus Linnaeus, 1758	5934
Anas crecca Linnaeus, 1758	Animalia|Chordata|Aves|Anseriformes|Anatidae|Anas|crecca|Anas crecca Linnaeus, 1758	5860
Corvus corax Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Corvidae|Corvus|corax|Corvus corax Linnaeus, 1758	5307
Clangula hyemalis (Linnaeus, 1758)	Animalia|Chordata|Aves|Anseriformes|Anatidae|Clangula|hyemalis|Clangula hyemalis (Linnaeus, 1758)	5293
Acanthis flammea (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Fringillidae|Acanthis|flammea|Acanthis flammea (Linnaeus, 1758)	5282
Sterna paradisaea Pontoppidan, 1763	Animalia|Chordata|Aves|Charadriiformes|Laridae|Sterna|paradisaea|Sterna paradisaea Pontoppidan, 1763	5057
Larus argentatus Pontoppidan, 1763	Animalia|Chordata|Aves|Charadriiformes|Laridae|Larus|argentatus|Larus argentatus Pontoppidan, 1763	5025
