taxonName	taxonPath	recordCount
	|||||||	2413
Pipistrellus pipistrellus (Schreber, 1774)	Animalia|Chordata|Mammalia|Chiroptera|Vespertilionidae|Pipistrellus|pipistrellus|Pipistrellus pipistrellus (Schreber, 1774)	563
Fallopia japonica (Houtt.) Ronse Decr.	Plantae|Magnoliophyta|Magnoliopsida|Caryophyllales|Polygonaceae|Fallopia|japonica|Fallopia japonica (Houtt.) Ronse Decr.	457
Zootoca vivipara Von Jacquin, 1787	Animalia|Chordata|Reptilia|Squamata|Lacertidae|Zootoca|vivipara|Zootoca vivipara Von Jacquin, 1787	321
Echinus esculentus Linnaeus, 1758	Animalia|Echinodermata|Echinoidea|Camarodonta|Echinidae|Echinus|esculentus|Echinus esculentus Linnaeus, 1758	303
Zootoca vivipara (Von Jacquin, 1787)	Animalia|Chordata|Reptilia|Squamata|Lacertidae|Zootoca|vivipara|Zootoca vivipara (Von Jacquin, 1787)	294
Asterias rubens Linnaeus, 1758	Animalia|Echinodermata|Asteroidea|Forcipulatida|Asteriidae|Asterias|rubens|Asterias rubens Linnaeus, 1758	264
Ophiura albida Forbes, 1839	Animalia|Echinodermata|Ophiuroidea|Ophiurida|Ophiuridae|Ophiura|albida|Ophiura albida Forbes, 1839	244
Alcyonium digitatum Linnaeus, 1758	Animalia|Cnidaria|Anthozoa|Alcyonacea|Alcyoniidae|Alcyonium|digitatum|Alcyonium digitatum Linnaeus, 1758	233
Echinocyamus pusillus (O.F. Müller, 1776)	Animalia|Echinodermata|Echinoidea|Clypeasteroida|Echinocyamidae|Echinocyamus|pusillus|Echinocyamus pusillus (O.F. Müller, 1776)	228
Aonides paucibranchiata Southern, 1914	Animalia|Annelida|Polychaeta|Spionida|Spionidae|Aonides|paucibranchiata|Aonides paucibranchiata Southern, 1914	226
Amphipholis squamata (Delle Chiaje, 1828)	Animalia|Echinodermata|Ophiuroidea|Ophiurida|Amphiuridae|Amphipholis|squamata|Amphipholis squamata (Delle Chiaje, 1828)	224
Cancer pagurus Linnaeus, 1758	Animalia|Arthropoda|Malacostraca|Decapoda|Cancridae|Cancer|pagurus|Cancer pagurus Linnaeus, 1758	197
Pseudomystides limbata (Saint-Joseph, 1888)	Animalia|Annelida|Polychaeta|Phyllodocida|Phyllodocidae|Pseudomystides|limbata|Pseudomystides limbata (Saint-Joseph, 1888)	186
Psammechinus miliaris (P.L.S. Müller, 1771)	Animalia|Echinodermata|Echinoidea|Camarodonta|Parechinidae|Psammechinus|miliaris|Psammechinus miliaris (P.L.S. Müller, 1771)	169
Clausinella fasciata (da Costa, 1778)	Animalia|Mollusca|Bivalvia|Veneroida|Veneridae|Clausinella|fasciata|Clausinella fasciata (da Costa, 1778)	162
Nematoda	Animalia|Nematoda||||||Nematoda	154
Crossaster papposus (Linnaeus, 1767)	Animalia|Echinodermata|Asteroidea|Valvatida|Solasteridae|Crossaster|papposus|Crossaster papposus (Linnaeus, 1767)	153
Ophiura Lamarck, 1801	Animalia|Echinodermata|Ophiuroidea|Ophiurida|Ophiuridae|Ophiura||Ophiura Lamarck, 1801	152
Porania pulvillus (O.F. Müller, 1776)	Animalia|Echinodermata|Asteroidea|Valvatida|Poraniidae|Porania|pulvillus|Porania pulvillus (O.F. Müller, 1776)	144
Nemertesia Lamouroux, 1812	Animalia|Cnidaria|Hydrozoa|Leptothecata|Plumulariidae|Nemertesia||Nemertesia Lamouroux, 1812	134
Pomatoceros triqueter (Linnaeus, 1758)	Animalia|Annelida|Polychaeta|Sabellida|Serpulidae|Spirobranchus|triqueter|Pomatoceros triqueter (Linnaeus, 1758)	132
Pholoe inornata Johnston, 1839	Animalia|Annelida|Polychaeta|Phyllodocida|Pholoidae|Pholoe|inornata|Pholoe inornata Johnston, 1839	130
Pecten maximus (Linnaeus, 1758)	Animalia|Mollusca|Bivalvia|Ostreoida|Pectinidae|Pecten|maximus|Pecten maximus (Linnaeus, 1758)	129
Eurysyllis tuberculata Ehlers, 1864	Animalia|Annelida|Polychaeta|Phyllodocida|Syllidae|Eurysyllis|tuberculata|Eurysyllis tuberculata Ehlers, 1864	126
Anseropoda placenta (Pennant, 1777)	Animalia|Echinodermata|Asteroidea|Valvatida|Asterinidae|Anseropoda|placenta|Anseropoda placenta (Pennant, 1777)	124
Ophiocomina nigra (Abildgaard, in O.F. Müller, 1789)	Animalia|Echinodermata|Ophiuroidea|Ophiurida|Ophiocomidae|Ophiocomina|nigra|Ophiocomina nigra (Abildgaard, in O.F. Müller, 1789)	121
Neptunea antiqua (Linnaeus, 1758)	Animalia|Mollusca|Gastropoda|Neogastropoda|Buccinidae|Neptunea|antiqua|Neptunea antiqua (Linnaeus, 1758)	120
Ophiocomina nigra	Animalia|Echinodermata|Ophiuroidea|Ophiurida|Ophiocomidae|Ophiocomina|nigra|Ophiocomina nigra	119
Anemonia viridis (Forskål, 1775)	Animalia|Cnidaria|Anthozoa|Actiniaria|Actiniidae|Anemonia|viridis|Anemonia viridis (Forskål, 1775)	115
Glycera lapidum Quatrefages, 1866	Animalia|Annelida|Polychaeta|Phyllodocida|Glyceridae|Glycera|lapidum|Glycera lapidum Quatrefages, 1866	112
Corvus monedula Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Corvidae|Coloeus|monedula|Corvus monedula Linnaeus, 1758	108
Necora puber (Linnaeus, 1767)	Animalia|Arthropoda|Malacostraca|Decapoda|Polybiidae|Necora|puber|Necora puber (Linnaeus, 1767)	107
Astropecten irregularis (Pennant, 1777)	Animalia|Echinodermata|Asteroidea|Paxillosida|Astropectinidae|Astropecten|irregularis|Astropecten irregularis (Pennant, 1777)	107
Lumbrineris Blainville, 1828	Animalia|Annelida|Polychaeta|Eunicida|Lumbrineridae|Lumbrineris||Lumbrineris Blainville, 1828	104
Marthasterias glacialis (Linnaeus, 1758)	Animalia|Echinodermata|Asteroidea|Forcipulatida|Asteriidae|Marthasterias|glacialis|Marthasterias glacialis (Linnaeus, 1758)	103
Lecanora dispersa (Pers.) Sommerf.	Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Lecanoraceae|Lecanora|dispersa|Lecanora dispersa (Pers.) Sommerf.	100
Chone fauveli McIntosh, 1916	Animalia|Annelida|Polychaeta|Sabellida|Sabellidae|Chone|fauveli|Chone fauveli McIntosh, 1916	100
Pista cristata (Müller, 1776)	Animalia|Annelida|Polychaeta|Terebellida|Terebellidae|Pista|cristata|Pista cristata (Müller, 1776)	98
Tephromela atra var. atra	Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Mycoblastaceae|Tephromela|atra|Tephromela atra var. atra	96
Saccharina latissima (Linnaeus) C.E.Lane, C.Mayes, Druehl & G.W.Saunders, 2006	Chromista|Ochrophyta|Phaeophyceae|Laminariales|Laminariaceae|Saccharina|latissima|Saccharina latissima (Linnaeus) C.E.Lane, C.Mayes, Druehl & G.W.Saunders, 2006	96
Lecanora chlarotera Nyl.	Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Lecanoraceae|Lecanora|chlarotera|Lecanora chlarotera Nyl.	96
Caloplaca flavescens (Huds.) J. R. Laundon	Fungi|Ascomycota|Lecanoromycetes|Teloschistales|Teloschistaceae|Caloplaca|flavescens|Caloplaca flavescens (Huds.) J. R. Laundon	94
Morus bassanus (Linnaeus, 1758)	Animalia|Chordata|Aves|Suliformes|Sulidae|Morus|bassanus|Morus bassanus (Linnaeus, 1758)	93
Porpidia tuberculosa (Sm.) Hertel & Knoph	Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Lecideaceae|Porpidia|tuberculosa|Porpidia tuberculosa (Sm.) Hertel & Knoph	92
