taxonName	taxonPath	recordCount
Gazella gazella (Pallas, 1766)	Animalia|Chordata|Mammalia|Artiodactyla|Bovidae|Gazella|gazella|Gazella gazella (Pallas, 1766)	26689
Canis aureus Linnaeus, 1758	Animalia|Chordata|Mammalia|Carnivora|Canidae|Canis|aureus|Canis aureus Linnaeus, 1758	16811
	|||||||	10765
Anas platyrhynchos Linnaeus, 1758	Animalia|Chordata|Aves|Anseriformes|Anatidae|Anas|platyrhynchos|Anas platyrhynchos Linnaeus, 1758	10369
Dama dama (Linnaeus, 1758)	Animalia|Chordata|Mammalia|Artiodactyla|Cervidae|Dama|dama|Dama dama (Linnaeus, 1758)	9400
Halcyon smyrnensis (Linnaeus, 1758)	Animalia|Chordata|Aves|Coraciiformes|Alcedinidae|Halcyon|smyrnensis|Halcyon smyrnensis (Linnaeus, 1758)	9155
Ardea cinerea Linnaeus, 1758	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Ardea|cinerea|Ardea cinerea Linnaeus, 1758	7809
Egretta garzetta (Linnaeus, 1766)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Egretta|garzetta|Egretta garzetta (Linnaeus, 1766)	7437
Fulica atra Linnaeus, 1758	Animalia|Chordata|Aves|Gruiformes|Rallidae|Fulica|atra|Fulica atra Linnaeus, 1758	7423
Alectoris chukar (J. E. Gray, 1830)	Animalia|Chordata|Aves|Galliformes|Phasianidae|Alectoris|chukar|Alectoris chukar (J. E. Gray, 1830)	7363
Gallinula chloropus (Linnaeus, 1758)	Animalia|Chordata|Aves|Gruiformes|Rallidae|Gallinula|chloropus|Gallinula chloropus (Linnaeus, 1758)	7358
Sus scrofa Linnaeus, 1758	Animalia|Chordata|Mammalia|Artiodactyla|Suidae|Sus|scrofa|Sus scrofa Linnaeus, 1758	7312
Vulpes vulpes (Linnaeus, 1758)	Animalia|Chordata|Mammalia|Carnivora|Canidae|Vulpes|vulpes|Vulpes vulpes (Linnaeus, 1758)	6769
Gyps fulvus (Hablizl, 1783)	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Gyps|fulvus|Gyps fulvus (Hablizl, 1783)	6739
Bubulcus ibis (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Bubulcus|ibis|Bubulcus ibis (Linnaeus, 1758)	6611
Falco tinnunculus Linnaeus, 1758	Animalia|Chordata|Aves|Falconiformes|Falconidae|Falco|tinnunculus|Falco tinnunculus Linnaeus, 1758	6600
Streptopelia decaocto (Frivaldszky, 1838)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|decaocto|Streptopelia decaocto (Frivaldszky, 1838)	6497
