taxonName	taxonPath	recordCount
Praomys tullbergi (Thomas, 1894)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Praomys|tullbergi|Praomys tullbergi (Thomas, 1894)	1981
Lophuromys sikapusi (Temminck, 1853)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Lophuromys|sikapusi|Lophuromys sikapusi (Temminck, 1853)	1518
Chordata	Animalia|Chordata||||||Chordata	1489
Mus musculoides Temminck, 1853	Animalia|Chordata|Mammalia|Rodentia|Muridae|Mus|musculoides|Mus musculoides Temminck, 1853	1286
Dasymys rufulus Miller, 1900	Animalia|Chordata|Mammalia|Rodentia|Muridae|Dasymys|rufulus|Dasymys rufulus Miller, 1900	1132
Mus setulosus Peters, 1876	Animalia|Chordata|Mammalia|Rodentia|Muridae|Mus|setulosus|Mus setulosus Peters, 1876	1120
Uranomys ruddi Dollman, 1909	Animalia|Chordata|Mammalia|Rodentia|Muridae|Uranomys|ruddi|Uranomys ruddi Dollman, 1909	1114
Metapolystoma Combes, 1976	Animalia|Platyhelminthes|Trematoda|||Metapolystoma||Metapolystoma Combes, 1976	846
Lemniscomys striatus (Linnaeus, 1758)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Lemniscomys|striatus|Lemniscomys striatus (Linnaeus, 1758)	838
Mastomys natalensis (Smith, 1834)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Mastomys|natalensis|Mastomys natalensis (Smith, 1834)	806
Mastomys natalensis (A. Smith, 1834)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Mastomys|natalensis|Mastomys natalensis (A. Smith, 1834)	806
	|||||||	764
Mastomys Thomas, 1915	Animalia|Chordata|Mammalia|Rodentia|Muridae|Mastomys||Mastomys Thomas, 1915	748
Hylomyscus alleni (Waterhouse, 1838)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Hylomyscus|alleni|Hylomyscus alleni (Waterhouse, 1838)	735
Praomys Thomas, 1915	Animalia|Chordata|Mammalia|Rodentia|Muridae|Praomys||Praomys Thomas, 1915	664
Cyanomitra obscura	Animalia|Chordata|Aves|Passeriformes|Nectariniidae|Cyanomitra|obscura|Cyanomitra obscura	648
Pogoniulus subsulphureus (Fraser, 1843)	Animalia|Chordata|Aves|Piciformes|Ramphastidae|Pogoniulus|subsulphureus|Pogoniulus subsulphureus (Fraser, 1843)	637
Apalis sharpii Shelley, 1884	Animalia|Chordata|Aves|Passeriformes|Cisticolidae|Apalis|sharpii|Apalis sharpii Shelley, 1884	596
Hylia prasina (Cassin, 1855)	Animalia|Chordata|Aves|Passeriformes|Cettiidae|Hylia|prasina|Hylia prasina (Cassin, 1855)	584
Nicator chloris (Valenciennes, 1826)	Animalia|Chordata|Aves|Passeriformes|Nicatoridae|Nicator|chloris|Nicator chloris (Valenciennes, 1826)	576
Turtur brehmeri (Hartlaub, 1865)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Turtur|brehmeri|Turtur brehmeri (Hartlaub, 1865)	545
Neocossyphus finschii (Sharpe, 1870)	Animalia|Chordata|Aves|Passeriformes|Turdidae|Stizorhina|finschii|Neocossyphus finschii (Sharpe, 1870)	535
Stiphrornis erythrothorax Hartlaub, 1855	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Stiphrornis|erythrothorax|Stiphrornis erythrothorax Hartlaub, 1855	511
Oryza sativa L.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Oryza|sativa|Oryza sativa L.	506
Oryza sativa L.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Oryza|sativa|Oryza sativa L.	505
Eurillas latirostris (Strickland, 1844)	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Eurillas|latirostris|Eurillas latirostris (Strickland, 1844)	501
