taxonName	taxonPath	recordCount
Coereba flaveola (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Coerebidae|Coereba|flaveola|Coereba flaveola (Linnaeus, 1758)	4199
Mimus polyglottos (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Mimidae|Mimus|polyglottos|Mimus polyglottos (Linnaeus, 1758)	4124
Tyrannus caudifasciatus Orbigny, 1839	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Tyrannus|caudifasciatus|Tyrannus caudifasciatus Orbigny, 1839	3996
Melanerpes radiolatus (Wagler, 1827)	Animalia|Chordata|Aves|Piciformes|Picidae|Melanerpes|radiolatus|Melanerpes radiolatus (Wagler, 1827)	3864
Cathartes aura (Linnaeus, 1758)	Animalia|Chordata|Aves|Accipitriformes|Cathartidae|Cathartes|aura|Cathartes aura (Linnaeus, 1758)	3741
Patagioenas leucocephala (Linnaeus, 1758)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Patagioenas|leucocephala|Patagioenas leucocephala (Linnaeus, 1758)	3414
Icterus leucopteryx (Wagler, 1827)	Animalia|Chordata|Aves|Passeriformes|Icteridae|Icterus|leucopteryx|Icterus leucopteryx (Wagler, 1827)	3189
Setophaga ruticilla (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Parulidae|Setophaga|ruticilla|Setophaga ruticilla (Linnaeus, 1758)	3164
Trochilus polytmus Linnaeus, 1758	Animalia|Chordata|Aves|Apodiformes|Trochilidae|Trochilus|polytmus|Trochilus polytmus Linnaeus, 1758	3147
Zenaida aurita (Temminck, 1809)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Zenaida|aurita|Zenaida aurita (Temminck, 1809)	2943
Falco sparverius Linnaeus, 1758	Animalia|Chordata|Aves|Falconiformes|Falconidae|Falco|sparverius|Falco sparverius Linnaeus, 1758	2939
Bubulcus ibis (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Bubulcus|ibis|Bubulcus ibis (Linnaeus, 1758)	2915
Columbina passerina (Linnaeus, 1758)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Columbina|passerina|Columbina passerina (Linnaeus, 1758)	2843
Zenaida asiatica (Linnaeus, 1758)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Zenaida|asiatica|Zenaida asiatica (Linnaeus, 1758)	2718
Quiscalus niger (Boddaert, 1783)	Animalia|Chordata|Aves|Passeriformes|Icteridae|Quiscalus|niger|Quiscalus niger (Boddaert, 1783)	2624
Mellisuga minima (Linnaeus, 1758)	Animalia|Chordata|Aves|Apodiformes|Trochilidae|Mellisuga|minima|Mellisuga minima (Linnaeus, 1758)	2371
Myiarchus barbirostris (Swainson, 1827)	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Myiarchus|barbirostris|Myiarchus barbirostris (Swainson, 1827)	2294
Crotophaga ani Linnaeus, 1758	Animalia|Chordata|Aves|Cuculiformes|Cuculidae|Crotophaga|ani|Crotophaga ani Linnaeus, 1758	2292
Ardea alba Linnaeus, 1758	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Ardea|alba|Ardea alba Linnaeus, 1758	2178
Fregata magnificens Mathews, 1914	Animalia|Chordata|Aves|Suliformes|Fregatidae|Fregata|magnificens|Fregata magnificens Mathews, 1914	1980
Leptotila jamaicensis (Linnaeus, 1766)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Leptotila|jamaicensis|Leptotila jamaicensis (Linnaeus, 1766)	1949
Mniotilta varia (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Parulidae|Mniotilta|varia|Mniotilta varia (Linnaeus, 1766)	1846
Anthracothorax mango (Linnaeus, 1758)	Animalia|Chordata|Aves|Apodiformes|Trochilidae|Anthracothorax|mango|Anthracothorax mango (Linnaeus, 1758)	1800
Tyrannus dominicensis (Gmelin, 1788)	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Tyrannus|dominicensis|Tyrannus dominicensis (Gmelin, 1788)	1754
Vireo altiloquus (Vieillot, 1808)	Animalia|Chordata|Aves|Passeriformes|Vireonidae|Vireo|altiloquus|Vireo altiloquus (Vieillot, 1808)	1728
Tachornis phoenicobia Gosse, 1847	Animalia|Chordata|Aves|Apodiformes|Apodidae|Tachornis|phoenicobia|Tachornis phoenicobia Gosse, 1847	1611
Todus todus (Linnaeus, 1758)	Animalia|Chordata|Aves|Coraciiformes|Todidae|Todus|todus|Todus todus (Linnaeus, 1758)	1516
Vireo modestus P. L. Sclater, 1861	Animalia|Chordata|Aves|Passeriformes|Vireonidae|Vireo|modestus|Vireo modestus P. L. Sclater, 1861	1483
Turdus aurantius Gmelin, 1789	Animalia|Chordata|Aves|Passeriformes|Turdidae|Turdus|aurantius|Turdus aurantius Gmelin, 1789	1461
