taxonName	taxonPath	recordCount
Triticum turgidum subsp. dicoccoides (Asch. & Graebn.) Thell.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Triticum|turgidum|Triticum turgidum subsp. dicoccoides (Asch. & Graebn.) Thell.	725
Triticum turgidum subsp. dicoccoides (Korn. ex Asch. & Graebn.) Thell.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Triticum|turgidum|Triticum turgidum subsp. dicoccoides (Korn. ex Asch. & Graebn.) Thell.	725
Pipistrellus bodenheimeri Harrison, 1960	Animalia|Chordata|Mammalia|Chiroptera|Vespertilionidae|Pipistrellus|bodenheimeri|Pipistrellus bodenheimeri Harrison, 1960	588
Pipistrellus bodenheimeri Harrison, 1960	Animalia|Chordata|Mammalia|Chiroptera|Vespertilionidae|Hypsugo|bodenheimeri|Pipistrellus bodenheimeri Harrison, 1960	588
Apoidea	Animalia|Arthropoda|Insecta|Hymenoptera||||Apoidea	516
Apoides Tsuneki, 1968	Animalia|Arthropoda|Insecta|Hymenoptera||Apoides||Apoides Tsuneki, 1968	516
Hymenoptera	Animalia|Arthropoda|Insecta|Hymenoptera||||Hymenoptera	504
Passer domesticus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|domesticus|Passer domesticus (Linnaeus, 1758)	391
Streptopelia senegalensis	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|Streptopelia senegalensis	319
Gazella dorcas (Linnaeus, 1758)	Animalia|Chordata|Mammalia|Artiodactyla|Bovidae|Gazella|dorcas|Gazella dorcas (Linnaeus, 1758)	318
Streptopelia decaocto (Frivaldszky, 1838)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|decaocto|Streptopelia decaocto (Frivaldszky, 1838)	313
Streptopelia senegalensis (Linnaeus, 1766)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|senegalensis|Streptopelia senegalensis (Linnaeus, 1766)	313
Hordeum vulgare L.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Hordeum|vulgare|Hordeum vulgare L.	303
Passer domesticus	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|Passer domesticus	296
Hordeum vulgare L.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Hordeum|vulgare|Hordeum vulgare L.	289
Efflatouniella Kröber, 1927	Animalia|Arthropoda|Insecta|Diptera|Therevidae|Efflatouniella||Efflatouniella Kröber, 1927	284
Turdus merula	Animalia|Chordata|Aves|Passeriformes|Turdidae|Turdus|Turdus merula	268
Corvus cornix	Animalia|Chordata|Aves|Passeriformes|Corvidae|Corvus|Corvus cornix	267
Pycnonotus xanthopygos	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Pycnonotus|Pycnonotus xanthopygos	246
Medicago L.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Medicago||Medicago L.	231
