taxonName	taxonPath	recordCount
Malus sieversii (Ledeb.) Roem.	Plantae|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Malus|sieversii|Malus sieversii (Ledeb.) Roem.	2271
Malus sieversii (Ledeb.) M.Roem.	Plantae|Magnoliophyta|Magnoliopsida|Rosales|Rosaceae|Malus|sieversii|Malus sieversii (Ledeb.) M.Roem.	2270
Hirundo rustica Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Hirundo|rustica|Hirundo rustica Linnaeus, 1758	693
Pelophylax ridibundus (Pallas, 1771)	Animalia|Chordata|Amphibia|Anura|Ranidae|Pelophylax|ridibundus|Pelophylax ridibundus (Pallas, 1771)	569
	|||||||	479
Motacilla alba Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Motacillidae|Motacilla|alba|Motacilla alba Linnaeus, 1758	403
Oenanthe isabellina (Temminck, 1829)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Oenanthe|isabellina|Oenanthe isabellina (Temminck, 1829)	376
Pica pica (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Corvidae|Pica|pica|Pica pica (Linnaeus, 1758)	376
Falco tinnunculus Linnaeus, 1758	Animalia|Chordata|Aves|Falconiformes|Falconidae|Falco|tinnunculus|Falco tinnunculus Linnaeus, 1758	373
Melanocorypha calandra (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Alaudidae|Melanocorypha|calandra|Melanocorypha calandra (Linnaeus, 1766)	369
Passer domesticus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|domesticus|Passer domesticus (Linnaeus, 1758)	356
Bufo viridis Laurenti, 1768	Animalia|Chordata|Amphibia|Anura|Bufonidae|Pseudepidalea|viridis|Bufo viridis Laurenti, 1768	352
Cavostelium apophysatum L.S.Olive, 1965	Protozoa|Mycetozoa|Protosteliomycetes|Protosteliales|Cavosteliaceae|Cavostelium|apophysatum|Cavostelium apophysatum L.S.Olive, 1965	340
Cavostelium apophysatum L.S. Olive, 1965 ("1964")	Protozoa|Mycetozoa|Protosteliomycetes|Protosteliales|Cavosteliaceae|Cavostelium|apophysatum|Cavostelium apophysatum L.S. Olive, 1965 ("1964")	340
Larus cachinnans Pallas, 1811	Animalia|Chordata|Aves|Charadriiformes|Laridae|Larus|cachinnans|Larus cachinnans Pallas, 1811	314
Hymenoptera	Animalia|Arthropoda|Insecta|Hymenoptera||||Hymenoptera	303
Corvus frugilegus Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Corvidae|Corvus|frugilegus|Corvus frugilegus Linnaeus, 1758	298
Buteo rufinus (Cretzschmar, 1829)	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Buteo|rufinus|Buteo rufinus (Cretzschmar, 1829)	295
Oenanthe pleschanka (Lepechin, 1770)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Oenanthe|pleschanka|Oenanthe pleschanka (Lepechin, 1770)	294
