taxonName	taxonPath	recordCount
Chordata	Animalia|Chordata||||||Chordata	31
Cryptoblepharus poecilopleurus (Wiegmann, 1836)	Animalia|Chordata|Reptilia|Squamata|Scincidae|Cryptoblepharus|poecilopleurus|Cryptoblepharus poecilopleurus (Wiegmann, 1836)	20
Onychoprion fuscatus (Linnaeus, 1766)	Animalia|Chordata|Aves|Charadriiformes|Laridae|Onychoprion|fuscatus|Onychoprion fuscatus (Linnaeus, 1766)	17
Lepidodactylus lugubris Duméril & Bibron, 1836	Animalia|Chordata|Reptilia|Squamata|Gekkonidae|Lepidodactylus|lugubris|Lepidodactylus lugubris Duméril & Bibron, 1836	15
Cryptoblepharus poecilopleurus Wiegmann, 1836	Animalia|Chordata|Reptilia|Squamata|Scincidae|Cryptoblepharus|poecilopleurus|Cryptoblepharus poecilopleurus Wiegmann, 1836	11
Puffinus nativitatis Streets, 1877	Animalia|Chordata|Aves|Procellariiformes|Procellariidae|Puffinus|nativitatis|Puffinus nativitatis Streets, 1877	10
Pterodroma alba (Gmelin, 1789)	Animalia|Chordata|Aves|Procellariiformes|Procellariidae|Pterodroma|alba|Pterodroma alba (Gmelin, 1789)	9
Stegastes aureus (Fowler, 1927)	Animalia|Chordata|Actinopterygii|Perciformes|Pomacentridae|Stegastes|aureus|Stegastes aureus (Fowler, 1927)	8
Apolemichthys xanthopunctatus Burgess, 1973	Animalia|Chordata|Actinopterygii|Perciformes|Pomacanthidae|Apolemichthys|xanthopunctatus|Apolemichthys xanthopunctatus Burgess, 1973	8
Arothron meleagris (Anonymous, 1798)	Animalia|Chordata|Actinopterygii|Tetraodontiformes|Tetraodontidae|Arothron|meleagris|Arothron meleagris (Anonymous, 1798)	8
Apolemichthys xanthopunctatus	Animalia|Chordata|Actinopterygii|Perciformes|Pomacanthidae|Apolemichthys|Apolemichthys xanthopunctatus	8
Stegastes aureus	Animalia|Chordata|Actinopterygii|Perciformes|Pomacentridae|Stegastes|Stegastes aureus	8
Arthropoda	Animalia|Arthropoda||||||Arthropoda	8
Sula sula (Linnaeus, 1766)	Animalia|Chordata|Aves|Suliformes|Sulidae|Sula|sula|Sula sula (Linnaeus, 1766)	8
Anous stolidus (Linnaeus, 1758)	Animalia|Chordata|Aves|Charadriiformes|Laridae|Anous|stolidus|Anous stolidus (Linnaeus, 1758)	8
Arothron meleagris	Animalia|Chordata|Actinopterygii|Tetraodontiformes|Tetraodontidae|Arothron|Arothron meleagris	8
Fregata minor (Gmelin, 1789)	Animalia|Chordata|Aves|Suliformes|Fregatidae|Fregata|minor|Fregata minor (Gmelin, 1789)	7
Sula dactylatra Lesson, 1831	Animalia|Chordata|Aves|Suliformes|Sulidae|Sula|dactylatra|Sula dactylatra Lesson, 1831	7
Phaethon rubricauda Boddaert, 1783	Animalia|Chordata|Aves|Phaethontiformes|Phaethontidae|Phaëthon|rubricauda|Phaethon rubricauda Boddaert, 1783	7
Onychoprion fuscatus subsp. oahuensis (A. Bloxam, 1827)	Animalia|Chordata|Aves|Charadriiformes|Laridae|Onychoprion|fuscatus|Onychoprion fuscatus subsp. oahuensis (A. Bloxam, 1827)	7
Onychoprion fuscatus oahuensis (A. Bloxam, 1827)	Animalia|Chordata|Aves|Charadriiformes|Laridae|Onychoprion|fuscatus|Onychoprion fuscatus oahuensis (A. Bloxam, 1827)	7
Sula leucogaster (Boddaert, 1783)	Animalia|Chordata|Aves|Suliformes|Sulidae|Sula|leucogaster|Sula leucogaster (Boddaert, 1783)	7
Procelsterna cerulea subsp. cerulea	Animalia|Chordata|Aves|Charadriiformes|Laridae|Procelsterna|cerulea|Procelsterna cerulea subsp. cerulea	6
Pomacentridae	Animalia|Chordata|Actinopterygii|Perciformes|Pomacentridae|||Pomacentridae	6
Puffinus pacificus (Gmelin, 1789)	Animalia|Chordata|Aves|Procellariiformes|Procellariidae|Puffinus|pacificus|Puffinus pacificus (Gmelin, 1789)	6
Chaetodon meyeri Bloch & Schneider, 1801	Animalia|Chordata|Actinopterygii|Perciformes|Chaetodontidae|Chaetodon|meyeri|Chaetodon meyeri Bloch & Schneider, 1801	6
Chaetodon meyeri	Animalia|Chordata|Actinopterygii|Perciformes|Chaetodontidae|Chaetodon|Chaetodon meyeri	6
Gracila albomarginata	Animalia|Chordata|Actinopterygii|Perciformes|Serranidae|Gracila|Gracila albomarginata	6
Cephalopholis miniata	Animalia|Chordata|Actinopterygii|Perciformes|Serranidae|Cephalopholis|Cephalopholis miniata	6
Parasalenia gratiosa A. Agassiz, 1863	Animalia|Echinodermata|Echinoidea|Camarodonta|Parasaleniidae|Parasalenia|gratiosa|Parasalenia gratiosa A. Agassiz, 1863	6
