taxonName	taxonPath	recordCount
Hymenoptera	Animalia|Arthropoda|Insecta|Hymenoptera||||Hymenoptera	3213
Stenometopiellus Haupt, 1917	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Stenometopiellus||Stenometopiellus Haupt, 1917	1879
Ichneumonidae Latreille, 1802	Animalia|Arthropoda|Insecta|Hymenoptera|Ichneumonidae|||Ichneumonidae Latreille, 1802	1521
Ichneumonidae	Animalia|Arthropoda|Insecta|Hymenoptera|Ichneumonidae|||Ichneumonidae	1521
Psammotettix dubovskii Vilbaste, 1960	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Psammotettix|dubovskii|Psammotettix dubovskii Vilbaste, 1960	1300
Bombus magnus Vogt, 1911	Animalia|Arthropoda|Insecta|Hymenoptera|Apidae|Bombus|magnus|Bombus magnus Vogt, 1911	1199
Neoaliturus Distant, 1918	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Neoaliturus||Neoaliturus Distant, 1918	1192
Handianus imperator Dlabola, 1961	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Handianus|imperator|Handianus imperator Dlabola, 1961	818
Psammotettix striata Linnaeus, 1758	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Psammotettix|striata|Psammotettix striata Linnaeus, 1758	764
Psammotettix striatus (Linnaeus, 1758)	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Psammotettix|striatus|Psammotettix striatus (Linnaeus, 1758)	764
Diplocolenus frauenfeldi Fieber, 1869	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Diplocolenus|frauenfeldi|Diplocolenus frauenfeldi Fieber, 1869	610
Psammotettix Haupt, 1929	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Psammotettix||Psammotettix Haupt, 1929	597
Diplocolenus abdominalis Fabricius, 1803	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Diplocolenus|abdominalis|Diplocolenus abdominalis Fabricius, 1803	582
Macropsis Lewis, 1834	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Macropsis||Macropsis Lewis, 1834	572
Hardya turanica Zachvatkin, 1946	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Hardya|turanica|Hardya turanica Zachvatkin, 1946	516
Psammotettix confinis Dahlbom, 1850	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Psammotettix|confinis|Psammotettix confinis Dahlbom, 1850	470
Pinumius areatus Stål, 1858	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Pinumius|areatus|Pinumius areatus Stål, 1858	468
Psammotettix koeleriae Zachvatkin, 1948	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Psammotettix|koeleriae|Psammotettix koeleriae Zachvatkin, 1948	456
Rhoananus hypochlorus Fieber, 1869	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Rhoananus|hypochlorus|Rhoananus hypochlorus Fieber, 1869	424
Altaiotettix oshanini Emeljanov, 1966	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Altaiotettix|oshanini|Altaiotettix oshanini Emeljanov, 1966	424
Cicadula frontalis Herrich-Schaeffer, 1835	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Cicadula|frontalis|Cicadula frontalis Herrich-Schaeffer, 1835	418
Stenometopiellus dzhungaricus Mitjaev, 1971	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Stenometopiellus|dzhungaricus|Stenometopiellus dzhungaricus Mitjaev, 1971	416
Agallia Curtis, 1833	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Agallia||Agallia Curtis, 1833	415
Deltocephalus pulicaris Fallén, 1806	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Deltocephalus|pulicaris|Deltocephalus pulicaris Fallén, 1806	380
Limotettix Sahlberg, 1871	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Limotettix||Limotettix Sahlberg, 1871	373
Limotettix striola Fallén, 1806	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Limotettix|striola|Limotettix striola Fallén, 1806	364
Stenometopiellus stepposus Mitjaev, 1971	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Stenometopiellus|stepposus|Stenometopiellus stepposus Mitjaev, 1971	358
Psammotettix comitans Emeljanov, 1964	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Psammotettix|comitans|Psammotettix comitans Emeljanov, 1964	357
Aconurella prolixa Lethierry, 1885	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Aconurella|prolixa|Aconurella prolixa Lethierry, 1885	356
Praganus hofferi Dlabola, 1947	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Praganus|hofferi|Praganus hofferi Dlabola, 1947	348
Stenometopiellus sigillatus Haupt, 1917	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Stenometopiellus|sigillatus|Stenometopiellus sigillatus Haupt, 1917	340
Balclutha Kirkaldy, 1900	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Balclutha||Balclutha Kirkaldy, 1900	335
Balclutha Kirkaldy	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Balclutha||Balclutha Kirkaldy	335
Anaceratagallia venosa Fourcroy, 1785	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Anaceratagallia|venosa|Anaceratagallia venosa Fourcroy, 1785	314
Idiocerus Lewis, 1834	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Idiocerus||Idiocerus Lewis, 1834	306
Lepyronia coleoptrata (Linné, 1758)	Animalia|Arthropoda|Insecta|Hemiptera|Aphrophoridae|Lepyronia|coleoptrata|Lepyronia coleoptrata (Linné, 1758)	304
Mocuellus Ribaut, 1946	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Mocuellus||Mocuellus Ribaut, 1946	304
Scorlupella montana (Becker, 1865)	Animalia|Arthropoda|Insecta|Hemiptera|Issidae|Scorlupella|montana|Scorlupella montana (Becker, 1865)	292
Euscelis seriphidii Emeljanov, 1962	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Euscelis|seriphidii|Euscelis seriphidii Emeljanov, 1962	292
Acrididae MacLeay, 1819	Animalia|Arthropoda|Insecta|Orthoptera|Acrididae|||Acrididae MacLeay, 1819	291
Acrididae	Animalia|Arthropoda|Insecta|Orthoptera|Acrididae|||Acrididae	291
Metadelphax propinqua (Fieber, 1866)	Animalia|Arthropoda|Insecta|Hemiptera|Delphacidae|Metadelphax|propinqua|Metadelphax propinqua (Fieber, 1866)	286
Cicadula quadrinotata (Fabricius, 1794)	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Cicadula|quadrinotata|Cicadula quadrinotata (Fabricius, 1794)	284
Muirodelphax aubei (Perris, 1857)	Animalia|Arthropoda|Insecta|Hemiptera|Delphacidae|Muirodelphax|aubei|Muirodelphax aubei (Perris, 1857)	274
Elysiaca ferganensis (Oshanin, 1913)	Animalia|Arthropoda|Insecta|Hemiptera|Dictyopharidae|Elysiaca|ferganensis|Elysiaca ferganensis (Oshanin, 1913)	268
Hephathus nanus Herrich-Schaeffer, 1835	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Hephathus|nanus|Hephathus nanus Herrich-Schaeffer, 1835	266
Laburrus handlirschi Matsumura, 1908	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Laburrus|handlirschi|Laburrus handlirschi Matsumura, 1908	266
Tiaratus caricis Emeljanov, 1961	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Tiaratus|caricis|Tiaratus caricis Emeljanov, 1961	264
Laburrus Ribaut, 1942	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Laburrus||Laburrus Ribaut, 1942	264
Sorhoanus Ribaut, 1946	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Sorhoanus||Sorhoanus Ribaut, 1946	263
Sorhoanus Ribaut, 1947	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Sorhoanus||Sorhoanus Ribaut, 1947	263
Evacanthus asiaticus Oshanin, 1871	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Evacanthus|asiaticus|Evacanthus asiaticus Oshanin, 1871	258
Javesella pellucida (Fabricius, 1794)	Animalia|Arthropoda|Insecta|Hemiptera|Delphacidae|Javesella|pellucida|Javesella pellucida (Fabricius, 1794)	256
Amaryllidaceae	Plantae|Tracheophyta|Liliopsida|Asparagales|Amaryllidaceae|||Amaryllidaceae	255
Doratura stylatus Boheman, 1847	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Doratura|stylatus|Doratura stylatus Boheman, 1847	252
Psammotettix aliena Dahlbom, 1850	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Psammotettix|aliena|Psammotettix aliena Dahlbom, 1850	251
Psammotettix alienus (Dahlbom, 1850)	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Psammotettix|alienus|Psammotettix alienus (Dahlbom, 1850)	251
Tettigometra eremi Lindberg, 1948	Animalia|Arthropoda|Insecta|Hemiptera|Tettigometridae|Tettigometra|eremi|Tettigometra eremi Lindberg, 1948	250
Batracomorphus irroratus Lewis, 1834	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Batracomorphus|irroratus|Batracomorphus irroratus Lewis, 1834	250
Laodelphax striatellus (Fallén, 1826)	Animalia|Arthropoda|Insecta|Hemiptera|Delphacidae|Laodelphax|striatellus|Laodelphax striatellus (Fallén, 1826)	244
Artianus interstitialis Germar, 1821	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Artianus|interstitialis|Artianus interstitialis Germar, 1821	244
Macrosteles alticola Vilbaste, 1965	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Macrosteles|alticola|Macrosteles alticola Vilbaste, 1965	232
Aphidiidae	Animalia|Arthropoda|Insecta|Hymenoptera|Braconidae|||Aphidiidae	230
Doratura homophyla Flor, 1861	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Doratura|homophyla|Doratura homophyla Flor, 1861	228
Trypetimorpha fenestrata Costa, 1862	Animalia|Arthropoda|Insecta|Hemiptera|Tropiduchidae|Trypetimorpha|fenestrata|Trypetimorpha fenestrata Costa, 1862	224
Apanteles Förster, 1862	Animalia|Arthropoda|Insecta|Hymenoptera|Braconidae|Apanteles||Apanteles Förster, 1862	223
Apanteles Foerster, 1862	Animalia|Arthropoda|Insecta|Hymenoptera|Braconidae|Apanteles||Apanteles Foerster, 1862	223
Psammotettix monticulinus Emeljanov, 1964	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Psammotettix|monticulinus|Psammotettix monticulinus Emeljanov, 1964	222
Mocuellus collinus (Boheman, 1850)	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Mocuellus|collinus|Mocuellus collinus (Boheman, 1850)	213
Mocuellus collinus (Boheman, 1850)	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Henschia|collinus|Mocuellus collinus (Boheman, 1850)	213
Altaiotettix forficula Vilbaste, 1965	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Altaiotettix|forficula|Altaiotettix forficula Vilbaste, 1965	204
Philaenus spumarius (Linné, 1758)	Animalia|Arthropoda|Insecta|Hemiptera|Aphrophoridae|Philaenus|spumarius|Philaenus spumarius (Linné, 1758)	196
Tettigometra vitellina Fieber, 1865	Animalia|Arthropoda|Insecta|Hemiptera|Tettigometridae|Tettigometra|vitellina|Tettigometra vitellina Fieber, 1865	190
Braconidae	Animalia|Arthropoda|Insecta|Hymenoptera|Braconidae|||Braconidae	179
Sorhoanus pratensis Emeljanov, 1964	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Sorhoanus|pratensis|Sorhoanus pratensis Emeljanov, 1964	174
Paralimnus angusticeps Zachvatkin, 1953	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Paralimnus|angusticeps|Paralimnus angusticeps Zachvatkin, 1953	172
Pseudophlepsius binotatus Signoret, 1880	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Pseudophlepsius|binotatus|Pseudophlepsius binotatus Signoret, 1880	172
Handianus procerus Herrich-Schaeffer, 1835	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Handianus|procerus|Handianus procerus Herrich-Schaeffer, 1835	170
Unkanodes Fennah, 1956	Animalia|Arthropoda|Insecta|Hemiptera|Delphacidae|Unkanodes||Unkanodes Fennah, 1956	170
Arocephalus roborovskii Mitjaev, 1969	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Arocephalus|roborovskii|Arocephalus roborovskii Mitjaev, 1969	166
Hebecephalus	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Hebecephalus||Hebecephalus	166
Doratura concors Horváth, 1903	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Doratura|concors|Doratura concors Horváth, 1903	158
Hordeum vulgare L.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Hordeum|vulgare|Hordeum vulgare L.	157
Delphacidae Leach, 1815	Animalia|Arthropoda|Insecta|Hemiptera|Delphacidae|||Delphacidae Leach, 1815	155
Delphacidae	Animalia|Arthropoda|Insecta|Hemiptera|Delphacidae|||Delphacidae	155
Hordeum vulgare L.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Hordeum|vulgare|Hordeum vulgare L.	153
Metropis mayri Fieber, 1866	Animalia|Arthropoda|Insecta|Hemiptera|Delphacidae|Metropis|mayri|Metropis mayri Fieber, 1866	148
Paraphilaenus notatus (Mulsant & Rey, 1855)	Animalia|Arthropoda|Insecta|Hemiptera|Aphrophoridae|Paraphilaenus|notatus|Paraphilaenus notatus (Mulsant & Rey, 1855)	148
Macrosteles laevis Ribaut, 1927	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Macrosteles|laevis|Macrosteles laevis Ribaut, 1927	146
Dicranotropis divergens Kirschbaum, 1868	Animalia|Arthropoda|Insecta|Hemiptera|Delphacidae|Dicranotropis|divergens|Dicranotropis divergens Kirschbaum, 1868	146
Apodemus pallipes Barrett-Hamilton, 1900	Animalia|Chordata|Mammalia|Rodentia|Muridae|Apodemus|pallipes|Apodemus pallipes Barrett-Hamilton, 1900	144
Apodemus pallipes (Barrett-Hamilton, 1900)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Apodemus|pallipes|Apodemus pallipes (Barrett-Hamilton, 1900)	144
Aphelinus Dalman, 1820	Animalia|Arthropoda|Insecta|Hymenoptera|Aphelinidae|Aphelinus||Aphelinus Dalman, 1820	140
Coleoptera	Animalia|Arthropoda|Insecta|Coleoptera||||Coleoptera	139
Coleoptera Linnaeus, 1758	Animalia|Arthropoda|Insecta|Coleoptera||||Coleoptera Linnaeus, 1758	139
Aphididae	Animalia|Arthropoda|Insecta|Hemiptera|Aphididae|||Aphididae	138
Diplocolenus Ribaut, 1946	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Diplocolenus||Diplocolenus Ribaut, 1946	136
Polydegmon sinuatus Forster, 1862	Animalia|Arthropoda|Insecta|Hymenoptera|Braconidae|Polydegmon|sinuatus|Polydegmon sinuatus Forster, 1862	132
Psammotettix kolosvarensis Matsumura, 1908	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Psammotettix|kolosvarensis|Psammotettix kolosvarensis Matsumura, 1908	130
Macrosteles Fieber, 1866	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Macrosteles||Macrosteles Fieber, 1866	128
Dicranotropis beckeri Fieber, 1866	Animalia|Arthropoda|Insecta|Hemiptera|Delphacidae|Dicranotropis|beckeri|Dicranotropis beckeri Fieber, 1866	128
Liliaceae	Plantae|Tracheophyta|Liliopsida|Liliales|Liliaceae|||Liliaceae	121
Boloria generator Staudinger, 1886	Animalia|Arthropoda|Insecta|Lepidoptera|Nymphalidae|Boloria|generator|Boloria generator Staudinger, 1886	120
