taxonName	taxonPath	recordCount
Triticum urartu Thumanjan ex Gandilyan	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Triticum|urartu|Triticum urartu Thumanjan ex Gandilyan	123
Turdus merula Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Turdidae|Turdus|merula|Turdus merula Linnaeus, 1758	117
Triticum urartu Thumanjan ex Gandilyan	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Triticum|urartu|Triticum urartu Thumanjan ex Gandilyan	112
Prinia gracilis (Lichtenstein, 1823)	Animalia|Chordata|Aves|Passeriformes|Cisticolidae|Prinia|gracilis|Prinia gracilis (Lichtenstein, 1823)	103
	|||||||	83
Passer domesticus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|domesticus|Passer domesticus (Linnaeus, 1758)	80
Falco tinnunculus Linnaeus, 1758	Animalia|Chordata|Aves|Falconiformes|Falconidae|Falco|tinnunculus|Falco tinnunculus Linnaeus, 1758	65
Parus major Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Paridae|Parus|major|Parus major Linnaeus, 1758	65
Gyps fulvus (Hablizl, 1783)	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Gyps|fulvus|Gyps fulvus (Hablizl, 1783)	64
Gazella gazella (Pallas, 1766)	Animalia|Chordata|Mammalia|Artiodactyla|Bovidae|Gazella|gazella|Gazella gazella (Pallas, 1766)	62
Nectarinia osea (Bonaparte, 1856)	Animalia|Chordata|Aves|Passeriformes|Nectariniidae|Nectarinia|osea|Nectarinia osea (Bonaparte, 1856)	56
Corvus corone Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Corvidae|Corvus|corone|Corvus corone Linnaeus, 1758	56
Nectarinia osea (Bonaparte, 1856)	Animalia|Chordata|Aves|Passeriformes|Nectariniidae|Cinnyris|osea|Nectarinia osea (Bonaparte, 1856)	56
Carduelis carduelis (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Fringillidae|Carduelis|carduelis|Carduelis carduelis (Linnaeus, 1758)	53
Erithacus rubecula (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Erithacus|rubecula|Erithacus rubecula (Linnaeus, 1758)	52
Merops apiaster Linnaeus, 1758	Animalia|Chordata|Aves|Coraciiformes|Meropidae|Merops|apiaster|Merops apiaster Linnaeus, 1758	50
Capoeta damascina (Valenciennes, 1842)	Animalia|Chordata|Actinopterygii|Cypriniformes|Cyprinidae|Capoeta|damascina|Capoeta damascina (Valenciennes, 1842)	46
Streptopelia senegalensis (Linnaeus, 1766)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|senegalensis|Streptopelia senegalensis (Linnaeus, 1766)	44
Cettia cetti (Temminck, 1820)	Animalia|Chordata|Aves|Passeriformes|Sylviidae|Cettia|cetti|Cettia cetti (Temminck, 1820)	43
Aegilops geniculata Roth	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Aegilops|geniculata|Aegilops geniculata Roth	43
Aegilops geniculata Roth	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Aegilops|geniculata|Aegilops geniculata Roth	43
Cettia cetti (Temminck, 1820)	Animalia|Chordata|Aves|Passeriformes|Cettiidae|Cettia|cetti|Cettia cetti (Temminck, 1820)	43
Rhinolophus hipposideros subsp. minimus Heuglin, 1861	Animalia|Chordata|Mammalia|Chiroptera|Rhinolophidae|Rhinolophus|hipposideros|Rhinolophus hipposideros subsp. minimus Heuglin, 1861	42
Columba livia Gmelin, 1789	Animalia|Chordata|Aves|Columbiformes|Columbidae|Columba|livia|Columba livia Gmelin, 1789	42
Buteo buteo (Linnaeus, 1758)	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Buteo|buteo|Buteo buteo (Linnaeus, 1758)	41
Troglodytes troglodytes (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Troglodytidae|Troglodytes|troglodytes|Troglodytes troglodytes (Linnaeus, 1758)	40
Herpestes ichneumon (Linnaeus, 1758)	Animalia|Chordata|Mammalia|Carnivora|Herpestidae|Herpestes|ichneumon|Herpestes ichneumon (Linnaeus, 1758)	38
Halcyon smyrnensis (Linnaeus, 1758)	Animalia|Chordata|Aves|Coraciiformes|Alcedinidae|Halcyon|smyrnensis|Halcyon smyrnensis (Linnaeus, 1758)	38
Hordeum vulgare L.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Hordeum|vulgare|Hordeum vulgare L.	36
Hordeum vulgare L.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Hordeum|vulgare|Hordeum vulgare L.	35
Triticum turgidum subsp. dicoccoides (Asch. & Graebn.) Thell.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Triticum|turgidum|Triticum turgidum subsp. dicoccoides (Asch. & Graebn.) Thell.	34
Bufo Laurenti, 1768	Animalia|Chordata|Amphibia|Anura|Bufonidae|Bufo||Bufo Laurenti, 1768	34
Alcedo atthis (Linnaeus, 1758)	Animalia|Chordata|Aves|Coraciiformes|Alcedinidae|Alcedo|atthis|Alcedo atthis (Linnaeus, 1758)	34
Triticum turgidum subsp. dicoccoides (Korn. ex Asch. & Graebn.) Thell.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Triticum|turgidum|Triticum turgidum subsp. dicoccoides (Korn. ex Asch. & Graebn.) Thell.	34
