taxonName	taxonPath	recordCount
Streptopelia senegalensis (Linnaeus, 1766)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|senegalensis|Streptopelia senegalensis (Linnaeus, 1766)	1177
Columba guinea Linnaeus, 1758	Animalia|Chordata|Aves|Columbiformes|Columbidae|Columba|guinea|Columba guinea Linnaeus, 1758	1128
Streptopelia capicola (Sundevall, 1857)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|capicola|Streptopelia capicola (Sundevall, 1857)	1116
Onychognathus morio (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Sturnidae|Onychognathus|morio|Onychognathus morio (Linnaeus, 1766)	1102
Lanius collaris Linnaeus, 1766	Animalia|Chordata|Aves|Passeriformes|Laniidae|Lanius|collaris|Lanius collaris Linnaeus, 1766	1066
Corvus capensis Lichtenstein, 1823	Animalia|Chordata|Aves|Passeriformes|Corvidae|Corvus|capensis|Corvus capensis Lichtenstein, 1823	974
Falco rupicolus Daudin, 1800	Animalia|Chordata|Aves|Falconiformes|Falconidae|Falco|rupicolus|Falco rupicolus Daudin, 1800	892
Bostrychia hagedash (Latham, 1790)	Animalia|Chordata|Aves|Pelecaniformes|Threskiornithidae|Bostrychia|hagedash|Bostrychia hagedash (Latham, 1790)	869
Saxicola torquatus (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Saxicola|torquatus|Saxicola torquatus (Linnaeus, 1766)	855
Motacilla capensis Linnaeus, 1766	Animalia|Chordata|Aves|Passeriformes|Motacillidae|Motacilla|capensis|Motacilla capensis Linnaeus, 1766	852
Pycnonotus nigricans (Vieillot, 1818)	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Pycnonotus|nigricans|Pycnonotus nigricans (Vieillot, 1818)	789
Serinus canicollis (Swainson, 1838)	Animalia|Chordata|Aves|Passeriformes|Fringillidae|Serinus|canicollis|Serinus canicollis (Swainson, 1838)	787
Buteo rufofuscus (J. R. Forster, 1798)	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Buteo|rufofuscus|Buteo rufofuscus (J. R. Forster, 1798)	775
Bubulcus ibis (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Bubulcus|ibis|Bubulcus ibis (Linnaeus, 1758)	764
Emberiza capensis Linnaeus, 1766	Animalia|Chordata|Aves|Passeriformes|Emberizidae|Emberiza|capensis|Emberiza capensis Linnaeus, 1766	762
Cossypha caffra (Linnaeus, 1771)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Cossypha|caffra|Cossypha caffra (Linnaeus, 1771)	737
Telophorus zeylonus (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Malaconotidae|Telophorus|zeylonus|Telophorus zeylonus (Linnaeus, 1766)	716
Elanus caeruleus (Desfontaines, 1789)	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Elanus|caeruleus|Elanus caeruleus (Desfontaines, 1789)	708
Scopus umbretta Gmelin, 1789	Animalia|Chordata|Aves|Pelecaniformes|Scopidae|Scopus|umbretta|Scopus umbretta Gmelin, 1789	692
Ardea melanocephala Children & Vigors, 1826	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Ardea|melanocephala|Ardea melanocephala Children & Vigors, 1826	658
Passer domesticus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|domesticus|Passer domesticus (Linnaeus, 1758)	653
Nectarinia famosa (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Nectariniidae|Nectarinia|famosa|Nectarinia famosa (Linnaeus, 1766)	631
Ploceus velatus Vieillot, 1819	Animalia|Chordata|Aves|Passeriformes|Ploceidae|Ploceus|velatus|Ploceus velatus Vieillot, 1819	605
Corvus albicollis Latham, 1790	Animalia|Chordata|Aves|Passeriformes|Corvidae|Corvus|albicollis|Corvus albicollis Latham, 1790	581
Spreo bicolor (J. F. Gmelin, 1789)	Animalia|Chordata|Aves|Passeriformes|Sturnidae|Spreo|bicolor|Spreo bicolor (J. F. Gmelin, 1789)	575
Spreo bicolor (Gmelin, 1789)	Animalia|Chordata|Aves|Passeriformes|Sturnidae|Lamprotornis|bicolor|Spreo bicolor (Gmelin, 1789)	567
Euplectes orix (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Ploceidae|Euplectes|orix|Euplectes orix (Linnaeus, 1758)	546
Geocolaptes olivaceus (Gmelin, 1788)	Animalia|Chordata|Aves|Piciformes|Picidae|Geocolaptes|olivaceus|Geocolaptes olivaceus (Gmelin, 1788)	536
Passer melanurus (Statius Muller, 1776)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|melanurus|Passer melanurus (Statius Muller, 1776)	531
Cisticola fulvicapilla (Vieillot, 1817)	Animalia|Chordata|Aves|Passeriformes|Cisticolidae|Cisticola|fulvicapilla|Cisticola fulvicapilla (Vieillot, 1817)	530
Passer melanurus (Müller, 1776)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|melanurus|Passer melanurus (Müller, 1776)	519
Oenanthe monticola Vieillot, 1818	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Oenanthe|monticola|Oenanthe monticola Vieillot, 1818	518
Apus barbatus (P. L. Sclater, 1866)	Animalia|Chordata|Aves|Apodiformes|Apodidae|Apus|barbatus|Apus barbatus (P. L. Sclater, 1866)	505
Geronticus calvus (Boddaert, 1783)	Animalia|Chordata|Aves|Pelecaniformes|Threskiornithidae|Geronticus|calvus|Geronticus calvus (Boddaert, 1783)	490
Fulica cristata Gmelin, 1789	Animalia|Chordata|Aves|Gruiformes|Rallidae|Fulica|cristata|Fulica cristata Gmelin, 1789	488
Gypaetus barbatus (Linnaeus, 1758)	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Gypaetus|barbatus|Gypaetus barbatus (Linnaeus, 1758)	442
Anas undulata C. F. Dubois, 1839	Animalia|Chordata|Aves|Anseriformes|Anatidae|Anas|undulata|Anas undulata C. F. Dubois, 1839	440
Diptera	Animalia|Arthropoda|Insecta|Diptera||||Diptera	440
Emberiza tahapisi A. Smith, 1836	Animalia|Chordata|Aves|Passeriformes|Emberizidae|Emberiza|tahapisi|Emberiza tahapisi A. Smith, 1836	418
Tachymarptis melba (Linnaeus, 1758)	Animalia|Chordata|Aves|Apodiformes|Apodidae|Apus|melba|Tachymarptis melba (Linnaeus, 1758)	412
Ploceus capensis (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Ploceidae|Ploceus|capensis|Ploceus capensis (Linnaeus, 1766)	411
Euplectes progne (Boddaert, 1783)	Animalia|Chordata|Aves|Passeriformes|Ploceidae|Euplectes|progne|Euplectes progne (Boddaert, 1783)	410
Ardea cinerea Linnaeus, 1758	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Ardea|cinerea|Ardea cinerea Linnaeus, 1758	407
Gyps coprotheres (J. R. Forster, 1798)	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Gyps|coprotheres|Gyps coprotheres (J. R. Forster, 1798)	405
Passer diffusus (Smith, 1836)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|diffusus|Passer diffusus (Smith, 1836)	386
Passer diffusus (A. Smith, 1836)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|diffusus|Passer diffusus (A. Smith, 1836)	385
Colius striatus Gmelin, 1789	Animalia|Chordata|Aves|Coliiformes|Coliidae|Colius|striatus|Colius striatus Gmelin, 1789	382
Falco biarmicus Temminck, 1825	Animalia|Chordata|Aves|Falconiformes|Falconidae|Falco|biarmicus|Falco biarmicus Temminck, 1825	378
Cisticola tinniens (Lichtenstein, 1842)	Animalia|Chordata|Aves|Passeriformes|Cisticolidae|Cisticola|tinniens|Cisticola tinniens (Lichtenstein, 1842)	369
Sorghum bicolor (L.) Moench	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Sorghum|bicolor|Sorghum bicolor (L.) Moench	358
Hirundo fuligula Lichtenstein, 1842	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Hirundo|fuligula|Hirundo fuligula Lichtenstein, 1842	353
Hirundo fuligula Lichtenstein, 1842	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Ptyonoprogne|fuligula|Hirundo fuligula Lichtenstein, 1842	353
Hirundo cucullata Boddaert, 1783	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Hirundo|cucullata|Hirundo cucullata Boddaert, 1783	333
Hirundo cucullata Boddaert, 1783	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Cecropis|cucullata|Hirundo cucullata Boddaert, 1783	333
Tachybaptus ruficollis (Pallas, 1764)	Animalia|Chordata|Aves|Podicipediformes|Podicipedidae|Tachybaptus|ruficollis|Tachybaptus ruficollis (Pallas, 1764)	325
Vidua macroura (Pallas, 1764)	Animalia|Chordata|Aves|Passeriformes|Viduidae|Vidua|macroura|Vidua macroura (Pallas, 1764)	308
Gallinula chloropus (Linnaeus, 1758)	Animalia|Chordata|Aves|Gruiformes|Rallidae|Gallinula|chloropus|Gallinula chloropus (Linnaeus, 1758)	295
Phalacrocorax africanus (Gmelin, 1789)	Animalia|Chordata|Aves|Suliformes|Phalacrocoracidae|Microcarbo|africanus|Phalacrocorax africanus (Gmelin, 1789)	293
Cercomela familiaris (Stephens, 1826)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Oenanthe|familiaris|Cercomela familiaris (Stephens, 1826)	291
Cercomela familiaris (Stephens, 1826)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Cercomela|familiaris|Cercomela familiaris (Stephens, 1826)	290
