taxonName	taxonPath	recordCount
Ammotragus Blyth, 1840	Animalia|Chordata|Mammalia|Artiodactyla|Bovidae|Ammotragus||Ammotragus Blyth, 1840	602
Hordeum vulgare L.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Hordeum|vulgare|Hordeum vulgare L.	290
Hordeum vulgare L.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Hordeum|vulgare|Hordeum vulgare L.	290
Gerbillus tarabuli Thomas, 1902	Animalia|Chordata|Mammalia|Rodentia|Muridae|Gerbillus|tarabuli|Gerbillus tarabuli Thomas, 1902	146
	|||||||	114
Gerbillus gerbillus (Olivier, 1800)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Gerbillus|gerbillus|Gerbillus gerbillus (Olivier, 1800)	85
Jaculus jaculus (Linnaeus, 1758)	Animalia|Chordata|Mammalia|Rodentia|Dipodidae|Jaculus|jaculus|Jaculus jaculus (Linnaeus, 1758)	73
Gerbillus latastei Thomas & Trouessart, 1903	Animalia|Chordata|Mammalia|Rodentia|Muridae|Gerbillus|latastei|Gerbillus latastei Thomas & Trouessart, 1903	68
Gerbillus gerbillus (Olivier, 1801)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Gerbillus|gerbillus|Gerbillus gerbillus (Olivier, 1801)	68
Equus Linnaeus, 1758	Animalia|Chordata|Mammalia|Perissodactyla|Equidae|Equus||Equus Linnaeus, 1758	68
Galerida cristata (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Alaudidae|Galerida|cristata|Galerida cristata (Linnaeus, 1758)	65
Medicago littoralis Loisel.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Medicago|littoralis|Medicago littoralis Loisel.	63
Lanius meridionalis Temminck, 1820	Animalia|Chordata|Aves|Passeriformes|Laniidae|Lanius|meridionalis|Lanius meridionalis Temminck, 1820	59
Cupularostrum Sartenaer, 1961	Animalia|Brachiopoda|Rhynchonellata|Rhynchonellida|Trigonirhynchiidae|Cupularostrum||Cupularostrum Sartenaer, 1961	56
Medicago truncatula Gaertn.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Medicago|truncatula|Medicago truncatula Gaertn.	55
Passer hispaniolensis (Temminck, 1820)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|hispaniolensis|Passer hispaniolensis (Temminck, 1820)	52
Gerbillus andersoni de Winton, 1902	Animalia|Chordata|Mammalia|Rodentia|Muridae|Gerbillus|andersoni|Gerbillus andersoni de Winton, 1902	50
