taxonName	taxonPath	recordCount
Senecio inaequidens DC.	Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Senecio|inaequidens|Senecio inaequidens DC.	24460
	|||||||	9827
Plantago lanceolata L.	Plantae|Tracheophyta|Magnoliopsida|Lamiales|Plantaginaceae|Plantago|lanceolata|Plantago lanceolata L.	8762
Leucanthemum vulgare (Vaill.) Lam.	Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Leucanthemum|vulgare|Leucanthemum vulgare (Vaill.) Lam.	8515
Achillea millefolium L.	Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Achillea|millefolium|Achillea millefolium L.	8039
Festuca rubra L.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Festuca|rubra|Festuca rubra L.	7904
Holcus lanatus L.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Holcus|lanatus|Holcus lanatus L.	7615
Centaurea jacea L.	Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Centaurea|jacea|Centaurea jacea L.	7588
Achillea millefolium L.	incertae sedis||||||millefolium|Achillea millefolium L.	7433
Rumex acetosa L.	Plantae|Tracheophyta|Magnoliopsida|Caryophyllales|Polygonaceae|Rumex|acetosa|Rumex acetosa L.	7307
Fringilla coelebs Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Fringillidae|Fringilla|coelebs|Fringilla coelebs Linnaeus, 1758	7118
Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Arrhenatherum|elatius|Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl.	6769
Ranunculus acris L.	Plantae|Tracheophyta|Magnoliopsida|Ranunculales|Ranunculaceae|Ranunculus|acris|Ranunculus acris L.	6748
Impatiens glandulifera Royle	Plantae|Tracheophyta|Magnoliopsida|Ericales|Balsaminaceae|Impatiens|glandulifera|Impatiens glandulifera Royle	6256
Veronica chamaedrys L.	Plantae|Tracheophyta|Magnoliopsida|Lamiales|Plantaginaceae|Veronica|chamaedrys|Veronica chamaedrys L.	6005
Plantago lanceolata L.	Plantae|Magnoliophyta|Magnoliopsida|Lamiales|Plantaginaceae|Plantago|lanceolata|Plantago lanceolata L.	5993
Galium mollugo L.	Plantae|Tracheophyta|Magnoliopsida|Gentianales|Rubiaceae|Galium|mollugo|Galium mollugo L.	5937
Anthoxanthum odoratum L.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Anthoxanthum|odoratum|Anthoxanthum odoratum L.	5880
Cerastium fontanum Baumg.	Plantae|Tracheophyta|Magnoliopsida|Caryophyllales|Caryophyllaceae|Cerastium|fontanum|Cerastium fontanum Baumg.	5798
Juncus effusus L.	Plantae|Tracheophyta|Liliopsida|Poales|Juncaceae|Juncus|effusus|Juncus effusus L.	5772
Leucanthemum vulgare Lam.	incertae sedis||||||vulgare|Leucanthemum vulgare Lam.	5728
Holcus lanatus L.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Holcus|lanatus|Holcus lanatus L.	5616
Lotus corniculatus L.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Lotus|corniculatus|Lotus corniculatus L.	5519
Cirsium palustre (L.) Coss. ex Scop.	Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Cirsium|palustre|Cirsium palustre (L.) Coss. ex Scop.	5399
Festuca rubra L.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Festuca|rubra|Festuca rubra L.	5252
Filipendula ulmaria (L.) Maxim.	Plantae|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Filipendula|ulmaria|Filipendula ulmaria (L.) Maxim.	5209
