taxonName	taxonPath	recordCount
Pycnonotus tricolor (Hartlaub, 1862)	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Pycnonotus|tricolor|Pycnonotus tricolor (Hartlaub, 1862)	3710
Ploceus xanthopterus (Hartlaub & Finsch, 1870)	Animalia|Chordata|Aves|Passeriformes|Ploceidae|Ploceus|xanthopterus|Ploceus xanthopterus (Hartlaub & Finsch, 1870)	3531
Uraeginthus angolensis (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Estrildidae|Uraeginthus|angolensis|Uraeginthus angolensis (Linnaeus, 1758)	3195
Sylvia borin (Boddaert, 1783)	Animalia|Chordata|Aves|Passeriformes|Sylviidae|Sylvia|borin|Sylvia borin (Boddaert, 1783)	3114
Ploceus cucullatus (Statius Muller, 1776)	Animalia|Chordata|Aves|Passeriformes|Ploceidae|Ploceus|cucullatus|Ploceus cucullatus (Statius Muller, 1776)	2668
Ispidina picta (Boddaert, 1783)	Animalia|Chordata|Aves|Coraciiformes|Alcedinidae|Ceyx|picta|Ispidina picta (Boddaert, 1783)	2025
Ploceus xanthopterus (Finsch & Hartlaub, 1870)	Animalia|Chordata|Aves|Passeriformes|Ploceidae|Ploceus|xanthopterus|Ploceus xanthopterus (Finsch & Hartlaub, 1870)	1766
Ploceus intermedius Rüppell, 1845	Animalia|Chordata|Aves|Passeriformes|Ploceidae|Ploceus|intermedius|Ploceus intermedius Rüppell, 1845	1757
Lagonosticta senegala (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Estrildidae|Lagonosticta|senegala|Lagonosticta senegala (Linnaeus, 1766)	1651
Chordata	Animalia|Chordata||||||Chordata	1553
Andropadus importunus (Vieillot, 1818)	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Andropadus|importunus|Andropadus importunus (Vieillot, 1818)	1547
Merops pusillus Statius Muller, 1776	Animalia|Chordata|Aves|Coraciiformes|Meropidae|Merops|pusillus|Merops pusillus Statius Muller, 1776	1513
Euplectes orix (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Ploceidae|Euplectes|orix|Euplectes orix (Linnaeus, 1758)	1481
Estrilda astrild (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Estrildidae|Estrilda|astrild|Estrilda astrild (Linnaeus, 1758)	1404
Ploceus cucullatus (Müller, 1776)	Animalia|Chordata|Aves|Passeriformes|Ploceidae|Ploceus|cucullatus|Ploceus cucullatus (Müller, 1776)	1350
Ploceus velatus Vieillot, 1819	Animalia|Chordata|Aves|Passeriformes|Ploceidae|Ploceus|velatus|Ploceus velatus Vieillot, 1819	1251
Cinnyris venustus (Shaw, 1799)	Animalia|Chordata|Aves|Passeriformes|Nectariniidae|Cinnyris|venustus|Cinnyris venustus (Shaw, 1799)	1248
Cyanomitra olivacea (A. Smith, 1840)	Animalia|Chordata|Aves|Passeriformes|Nectariniidae|Cyanomitra|olivacea|Cyanomitra olivacea (A. Smith, 1840)	1127
Pytilia melba (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Estrildidae|Pytilia|melba|Pytilia melba (Linnaeus, 1758)	1123
Acrocephalus arundinaceus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Acrocephalidae|Acrocephalus|arundinaceus|Acrocephalus arundinaceus (Linnaeus, 1758)	1096
Hirundo rustica Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Hirundo|rustica|Hirundo rustica Linnaeus, 1758	1030
Spermestes cucullata	Animalia|Chordata|Aves|Passeriformes||Spermestes|cucullata|Spermestes cucullata	945
Colius striatus Gmelin, 1789	Animalia|Chordata|Aves|Coliiformes|Coliidae|Colius|striatus|Colius striatus Gmelin, 1789	941
Ploceus intermedius Ruppell, 1845	Animalia|Chordata|Aves|Passeriformes|Ploceidae|Ploceus|intermedius|Ploceus intermedius Ruppell, 1845	882
Praomys Thomas, 1915	Animalia|Chordata|Mammalia|Rodentia|Muridae|Praomys||Praomys Thomas, 1915	880
Alcedo cristata Pallas, 1764	Animalia|Chordata|Aves|Coraciiformes|Alcedinidae|Alcedo|cristata|Alcedo cristata Pallas, 1764	865
Crithagra mozambica (P. L. Statius Müller, 1776)	Animalia|Chordata|Aves|Passeriformes|Fringillidae|Crithagra|mozambica|Crithagra mozambica (P. L. Statius Müller, 1776)	848
