taxonName	taxonPath	recordCount
Pennisetum glaucum (L.) R.Br.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Pennisetum|glaucum|Pennisetum glaucum (L.) R.Br.	1147
Pennisetum glaucum (L.) R.Br.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Pennisetum|glaucum|Pennisetum glaucum (L.) R.Br.	1145
Sorghum bicolor (L.) Moench	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Sorghum|bicolor|Sorghum bicolor (L.) Moench	930
Sorghum bicolor (L.) Moench	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Sorghum|bicolor|Sorghum bicolor (L.) Moench	569
Combretum adenogonium Steud. ex A. Rich.	Plantae|Tracheophyta|Magnoliopsida|Myrtales|Combretaceae|Combretum|adenogonium|Combretum adenogonium Steud. ex A. Rich.	544
	|||||||	448
Ciconia ciconia (Linnaeus, 1758)	Animalia|Chordata|Aves|Ciconiiformes|Ciconiidae|Ciconia|ciconia|Ciconia ciconia (Linnaeus, 1758)	385
Sorghum bicolor subsp. bicolor	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Sorghum|bicolor|Sorghum bicolor subsp. bicolor	361
Combretum micranthum G. Don	Plantae|Tracheophyta|Magnoliopsida|Myrtales|Combretaceae|Combretum|micranthum|Combretum micranthum G. Don	337
Vigna unguiculata (L.) Walp.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Vigna|unguiculata|Vigna unguiculata (L.) Walp.	320
Vigna unguiculata (L.) Walp.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Vigna|unguiculata|Vigna unguiculata (L.) Walp.	320
Carapa procera DC.	Plantae|Tracheophyta|Magnoliopsida|Sapindales|Meliaceae|Carapa|procera|Carapa procera DC.	295
Campylospermum glaberrimum (P. Beauv.) Farron	Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Ochnaceae|Campylospermum|glaberrimum|Campylospermum glaberrimum (P. Beauv.) Farron	279
Synsepalum pobeguinianum (Pierre ex Lecomte) Aké Assi & L.Gaut.	Plantae|Tracheophyta|Magnoliopsida|Ericales|Sapotaceae|Synsepalum|pobeguinianum|Synsepalum pobeguinianum (Pierre ex Lecomte) Aké Assi & L.Gaut.	270
Combretum glutinosum Perr. ex DC.	Plantae|Tracheophyta|Magnoliopsida|Myrtales|Combretaceae|Combretum|glutinosum|Combretum glutinosum Perr. ex DC.	267
Oryza glaberrima Steud.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Oryza|glaberrima|Oryza glaberrima Steud.	255
Oryza glaberrima Steud.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Oryza|glaberrima|Oryza glaberrima Steud.	255
Prosopis africana (Guill. & Perr.) Taub.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Prosopis|africana|Prosopis africana (Guill. & Perr.) Taub.	232
Rubiaceae	Plantae|Tracheophyta|Magnoliopsida|Gentianales|Rubiaceae|||Rubiaceae	220
Anogeissus leiocarpa (DC.) Guill. & Perr.	Plantae|Tracheophyta|Magnoliopsida|Myrtales|Combretaceae|Anogeissus|leiocarpa|Anogeissus leiocarpa (DC.) Guill. & Perr.	216
Anopheles gambiae Giles, 1902	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Anopheles|gambiae|Anopheles gambiae Giles, 1902	214
Bombax costatum Pellegrin & Vuillet	Plantae|Tracheophyta|Magnoliopsida|Malvales|Malvaceae|Bombax|costatum|Bombax costatum Pellegrin & Vuillet	208
Combretum micranthum G.Don	Plantae|Magnoliophyta|Magnoliopsida|Myrtales|Combretaceae|Combretum|micranthum|Combretum micranthum G.Don	202
Chionanthus niloticus (Oliv.) Stearn	Plantae|Tracheophyta|Magnoliopsida|Lamiales|Oleaceae|Chionanthus|niloticus|Chionanthus niloticus (Oliv.) Stearn	200
Combretum adenogonium Steud. ex A.Rich.	Plantae|Magnoliophyta|Magnoliopsida|Myrtales|Combretaceae|Combretum|adenogonium|Combretum adenogonium Steud. ex A.Rich.	198
Anthocleista djalonensis A. Chevalier	Plantae|Tracheophyta|Magnoliopsida|Gentianales|Gentianaceae|Anthocleista|djalonensis|Anthocleista djalonensis A. Chevalier	188
Arachis hypogaea L.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Arachis|hypogaea|Arachis hypogaea L.	180
Arachis L.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Arachis||Arachis L.	176
Cola laurifolia Mast.	Plantae|Tracheophyta|Magnoliopsida|Malvales|Malvaceae|Cola|laurifolia|Cola laurifolia Mast.	170
Garcinia ovalifolia Oliv.	Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Clusiaceae|Garcinia|ovalifolia|Garcinia ovalifolia Oliv.	166
Pennisetum violaceum (Lam.) Rich.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Pennisetum|violaceum|Pennisetum violaceum (Lam.) Rich.	164
Pennisetum violaceum (Lam.) Rich.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Pennisetum|violaceum|Pennisetum violaceum (Lam.) Rich.	163
Parinari congensis Didr.	Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Chrysobalanaceae|Parinari|congensis|Parinari congensis Didr.	160
Balanites aegyptiaca (L.) Delile	Plantae|Tracheophyta|Magnoliopsida|Zygophyllales|Zygophyllaceae|Balanites|aegyptiaca|Balanites aegyptiaca (L.) Delile	160
Gilletiodendron glandulosum (Porteres) J.Leonard	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Gilletiodendron|glandulosum|Gilletiodendron glandulosum (Porteres) J.Leonard	152
Combretum glutinosum Perr. ex DC.	Plantae|Magnoliophyta|Magnoliopsida|Myrtales|Combretaceae|Combretum|glutinosum|Combretum glutinosum Perr. ex DC.	151
Psychotria vogeliana Benth.	Plantae|Tracheophyta|Magnoliopsida|Gentianales|Rubiaceae|Psychotria|vogeliana|Psychotria vogeliana Benth.	149
Ficus abutilifolia (Miq.) Miq.	Plantae|Tracheophyta|Magnoliopsida|Rosales|Moraceae|Ficus|abutilifolia|Ficus abutilifolia (Miq.) Miq.	148
Manilkara obovata (Sabine & G.Don) J.H.Hemsl.	Plantae|Tracheophyta|Magnoliopsida|Ericales|Sapotaceae|Manilkara|obovata|Manilkara obovata (Sabine & G.Don) J.H.Hemsl.	142
Acridocarpus monodii Arènes & P.Jaeger ex Birnbaum & J.Florence	Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Malpighiaceae|Acridocarpus|monodii|Acridocarpus monodii Arènes & P.Jaeger ex Birnbaum & J.Florence	138
Diospyros mespiliformis Hochst. ex A.DC.	Plantae|Tracheophyta|Magnoliopsida|Ericales|Ebenaceae|Diospyros|mespiliformis|Diospyros mespiliformis Hochst. ex A.DC.	135
Gardenia erubescens Stapf & Hutch.	Plantae|Tracheophyta|Magnoliopsida|Gentianales|Rubiaceae|Gardenia|erubescens|Gardenia erubescens Stapf & Hutch.	132
Syzygium guineense subsp. guineense	Plantae|Tracheophyta|Magnoliopsida|Myrtales|Myrtaceae|Syzygium|guineense|Syzygium guineense subsp. guineense	131
Bridelia ferruginea Benth.	Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Phyllanthaceae|Bridelia|ferruginea|Bridelia ferruginea Benth.	129
Ixora brachypoda DC.	Plantae|Tracheophyta|Magnoliopsida|Gentianales|Rubiaceae|Ixora|brachypoda|Ixora brachypoda DC.	126
Ficus lutea Vahl	Plantae|Tracheophyta|Magnoliopsida|Rosales|Moraceae|Ficus|lutea|Ficus lutea Vahl	126
Anthostema senegalense A.Juss.	Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Euphorbiaceae|Anthostema|senegalense|Anthostema senegalense A.Juss.	123
Garcinia livingstonei T. Anders.	Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Clusiaceae|Garcinia|livingstonei|Garcinia livingstonei T. Anders.	123
Morelia senegalensis A.Rich.	Plantae|Tracheophyta|Magnoliopsida|Gentianales|Rubiaceae|Morelia|senegalensis|Morelia senegalensis A.Rich.	120
Vitellaria paradoxa C.F.Gaertn.	Plantae|Tracheophyta|Magnoliopsida|Ericales|Sapotaceae|Vitellaria|paradoxa|Vitellaria paradoxa C.F.Gaertn.	118
Anopheles arabiensis Patton, 1905	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Anopheles|arabiensis|Anopheles arabiensis Patton, 1905	118
Berlinia grandiflora (Vahl) Hutch. & Dalziel	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Berlinia|grandiflora|Berlinia grandiflora (Vahl) Hutch. & Dalziel	117
Uapaca togoensis Pax	Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Phyllanthaceae|Uapaca|togoensis|Uapaca togoensis Pax	117
Ficus natalensis subsp. leprieurii (Miq.) Berg	Plantae|Tracheophyta|Magnoliopsida|Rosales|Moraceae|Ficus|natalensis|Ficus natalensis subsp. leprieurii (Miq.) Berg	117
Keetia cornelia (Cham. & Schltdl.) Bridson	Plantae|Tracheophyta|Magnoliopsida|Gentianales|Rubiaceae|Keetia|cornelia|Keetia cornelia (Cham. & Schltdl.) Bridson	114
Ficus dicranostyla Mildbr.	Plantae|Tracheophyta|Magnoliopsida|Rosales|Moraceae|Ficus|dicranostyla|Ficus dicranostyla Mildbr.	113
Pterocarpus santalinoides DC.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Pterocarpus|santalinoides|Pterocarpus santalinoides DC.	113
Ficus glumosa Del.	Plantae|Tracheophyta|Magnoliopsida|Rosales|Moraceae|Ficus|glumosa|Ficus glumosa Del.	113
Lannea velutina A. Rich.	Plantae|Tracheophyta|Magnoliopsida|Sapindales|Anacardiaceae|Lannea|velutina|Lannea velutina A. Rich.	112
Vitex doniana Sweet	Plantae|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae|Vitex|doniana|Vitex doniana Sweet	111
Combretum nigricans Leprieur ex Guill. & Perr.	Plantae|Tracheophyta|Magnoliopsida|Myrtales|Combretaceae|Combretum|nigricans|Combretum nigricans Leprieur ex Guill. & Perr.	107
Pericopsis laxiflora (Baker) Meeuwen	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Pericopsis|laxiflora|Pericopsis laxiflora (Baker) Meeuwen	106
Acridocarpus chevalieri Sprague	Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Malpighiaceae|Acridocarpus|chevalieri|Acridocarpus chevalieri Sprague	106
Uapaca guineensis Müll.Arg.	Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Phyllanthaceae|Uapaca|guineensis|Uapaca guineensis Müll.Arg.	105
Guibourtia copallifera Benn.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Guibourtia|copallifera|Guibourtia copallifera Benn.	104
Gardenia imperialis K.Schum.	Plantae|Tracheophyta|Magnoliopsida|Gentianales|Rubiaceae|Gardenia|imperialis|Gardenia imperialis K.Schum.	103
Smeathmannia laevigata Soland. ex R. Br.	Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Passifloraceae|Smeathmannia|laevigata|Smeathmannia laevigata Soland. ex R. Br.	102
Garcinia afzelii Engl.	Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Clusiaceae|Garcinia|afzelii|Garcinia afzelii Engl.	102
Daniellia oliveri (Rolfe) Hutch. & Dalziel	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Daniellia|oliveri|Daniellia oliveri (Rolfe) Hutch. & Dalziel	101
