taxonName	taxonPath	recordCount
	|||||||	35
Polyommatus icarus (Rottemburg, 1775)	Animalia|Arthropoda|Insecta|Lepidoptera|Lycaenidae|Polyommatus|icarus|Polyommatus icarus (Rottemburg, 1775)	34
Colias croceus (Geoffroy, 1785)	Animalia|Arthropoda|Insecta|Lepidoptera|Pieridae|Colias|croceus|Colias croceus (Geoffroy, 1785)	33
Lachnoptera ayresii Trimen, 1879	Animalia|Arthropoda|Insecta|Lepidoptera|Nymphalidae|Lachnoptera|ayresii|Lachnoptera ayresii Trimen, 1879	32
Mollusca	Animalia|Mollusca||||||Mollusca	32
Passer hispaniolensis (Temminck, 1820)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|hispaniolensis|Passer hispaniolensis (Temminck, 1820)	32
Pieris rapae (Linnaeus, 1758)	Animalia|Arthropoda|Insecta|Lepidoptera|Pieridae|Pieris|rapae|Pieris rapae (Linnaeus, 1758)	30
Gibbula turbinoides (Deshayes, 1835)	Animalia|Mollusca|Gastropoda||Trochidae|Gibbula|turbinoides|Gibbula turbinoides (Deshayes, 1835)	29
Gibbula turbinoides (Deshayes, 1835)	Animalia|Mollusca|Gastropoda|Archaeogastropoda|Trochidae|Gibbula|turbinoides|Gibbula turbinoides (Deshayes, 1835)	29
Pernis apivorus (Linnaeus, 1758)	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Pernis|apivorus|Pernis apivorus (Linnaeus, 1758)	29
Hermodice carunculata (Pallas, 1766)	Animalia|Annelida|Polychaeta|Amphinomida|Amphinomidae|Hermodice|carunculata|Hermodice carunculata (Pallas, 1766)	28
Falco tinnunculus Linnaeus, 1758	Animalia|Chordata|Aves|Falconiformes|Falconidae|Falco|tinnunculus|Falco tinnunculus Linnaeus, 1758	26
Columba livia Gmelin, 1789	Animalia|Chordata|Aves|Columbiformes|Columbidae|Columba|livia|Columba livia Gmelin, 1789	25
Lycaena Fabricius, 1807	Animalia|Arthropoda|Insecta|Lepidoptera|Lycaenidae|Lycaena||Lycaena Fabricius, 1807	24
Hirundo rustica Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Hirundo|rustica|Hirundo rustica Linnaeus, 1758	21
