taxonName	taxonPath	recordCount
Coereba flaveola (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Coerebidae|Coereba|flaveola|Coereba flaveola (Linnaeus, 1758)	104
Quiscalus lugubris Swainson, 1838	Animalia|Chordata|Aves|Passeriformes|Icteridae|Quiscalus|lugubris|Quiscalus lugubris Swainson, 1838	95
Tyrannus dominicensis (Gmelin, 1788)	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Tyrannus|dominicensis|Tyrannus dominicensis (Gmelin, 1788)	81
Loxigilla noctis (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Thraupidae|Loxigilla|noctis|Loxigilla noctis (Linnaeus, 1766)	81
Zenaida aurita (Temminck, 1809)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Zenaida|aurita|Zenaida aurita (Temminck, 1809)	76
Eulampis jugularis (Linnaeus, 1766)	Animalia|Chordata|Aves|Apodiformes|Trochilidae|Eulampis|jugularis|Eulampis jugularis (Linnaeus, 1766)	76
Tiaris bicolor (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Thraupidae|Tiaris|bicolor|Tiaris bicolor (Linnaeus, 1766)	71
Helicotylencjus	Animalia|Nematoda|Secernentea|Tylenchida|Hoplolaimidae|Helicotylencjus||Helicotylencjus	67
Quiscalus lugubris	Animalia|Chordata|Aves|Passeriformes|Icteridae|Quiscalus|Quiscalus lugubris	64
Orthorhyncus cristatus (Linnaeus, 1758)	Animalia|Chordata|Aves|Apodiformes|Trochilidae|Orthorhyncus|cristatus|Orthorhyncus cristatus (Linnaeus, 1758)	63
Coereba flaveola	Animalia|Chordata|Aves|Passeriformes|Thraupidae|Coereba|Coereba flaveola	62
Mimus gilvus (Vieillot, 1808)	Animalia|Chordata|Aves|Passeriformes|Mimidae|Mimus|gilvus|Mimus gilvus (Vieillot, 1808)	58
Tiaris bicolor	Animalia|Chordata|Aves|Passeriformes|Thraupidae|Tiaris|Tiaris bicolor	56
Xiphinema Cobb, 1913	Animalia|Nematoda|Adenophorea|Dorylaimida|Longidoridae|Xiphinema||Xiphinema Cobb, 1913	53
Butorides virescens (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Butorides|virescens|Butorides virescens (Linnaeus, 1758)	51
Anolis roquet	Animalia|Chordata|Reptilia|Squamata|Dactyloidae|Anolis|Anolis roquet	49
Loxigilla noctis	Animalia|Chordata|Aves|Passeriformes|Thraupidae|Loxigilla|Loxigilla noctis	48
Elaenia martinica (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Elaenia|martinica|Elaenia martinica (Linnaeus, 1766)	43
Wasmannia auropunctata (Roger, 1863)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Wasmannia|auropunctata|Wasmannia auropunctata (Roger, 1863)	42
Tyrannus dominicensis	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Tyrannus|Tyrannus dominicensis	42
Bubulcus ibis (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Bubulcus|ibis|Bubulcus ibis (Linnaeus, 1758)	41
Criconemoides Taylor, 1936	Animalia|Nematoda|Secernentea|Tylenchida|Criconematidae|Criconemoides||Criconemoides Taylor, 1936	41
Zenaida aurita	Animalia|Chordata|Aves|Columbiformes|Columbidae|Zenaida|Zenaida aurita	40
Anolis roquet (Lacépède, 1788)	Animalia|Chordata|Reptilia|Squamata|Dactyloidae|Anolis|roquet|Anolis roquet (Lacépède, 1788)	40
Solenopsis geminata (Fabricius, 1804)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Solenopsis|geminata|Solenopsis geminata (Fabricius, 1804)	40
Actitis macularius (Linnaeus, 1766)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Actitis|macularius|Actitis macularius (Linnaeus, 1766)	39
Paratrechina longicornis (Latreille, 1802)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Paratrechina|longicornis|Paratrechina longicornis (Latreille, 1802)	38
Aedes aegypti (Linnaeus, 1762)	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Aedes|aegypti|Aedes aegypti (Linnaeus, 1762)	38
Allenia fusca (Statius Muller, 1776)	Animalia|Chordata|Aves|Passeriformes|Mimidae|Allenia|fusca|Allenia fusca (Statius Muller, 1776)	37
Bubulcus ibis	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Bubulcus|Bubulcus ibis	36
Mimus gilvus	Animalia|Chordata|Aves|Passeriformes|Mimidae|Mimus|Mimus gilvus	36
Setophaga petechia (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Parulidae|Setophaga|petechia|Setophaga petechia (Linnaeus, 1766)	36
Egretta thula (Molina, 1782)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Egretta|thula|Egretta thula (Molina, 1782)	34
Rattus rattus (Linnaeus, 1758)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Rattus|rattus|Rattus rattus (Linnaeus, 1758)	32
Orthorhyncus cristatus	Animalia|Chordata|Aves|Caprimulgiformes|Trochilidae|Orthorhyncus|Orthorhyncus cristatus	32
Icterus bonana (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Icteridae|Icterus|bonana|Icterus bonana (Linnaeus, 1766)	31
Isostomyia perturbans (Williston, 1896)	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Isostomyia|perturbans|Isostomyia perturbans (Williston, 1896)	31
Pratylenchus Filipjev, 1934	Animalia|Nematoda|Secernentea|Tylenchida|Hoplolaimidae|Pratylenchus||Pratylenchus Filipjev, 1934	30
Pleurodonte Fischer von Waldheim, 1807	Animalia|Mollusca|Gastropoda|Stylommatophora|Pleurodontidae|Pleurodonte||Pleurodonte Fischer von Waldheim, 1807	30
Turdus nudigenis Lafresnaye, 1848	Animalia|Chordata|Aves|Passeriformes|Turdidae|Turdus|nudigenis|Turdus nudigenis Lafresnaye, 1848	30
Cyphomyrmex minutus Mayr, 1862	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Cyphomyrmex|minutus|Cyphomyrmex minutus Mayr, 1862	30
Vireo altiloquus (Vieillot, 1808)	Animalia|Chordata|Aves|Passeriformes|Vireonidae|Vireo|altiloquus|Vireo altiloquus (Vieillot, 1808)	29
Loxigilla noctis noctis	Animalia|Chordata|Aves|Passeriformes|Thraupidae|Loxigilla|noctis|Loxigilla noctis noctis	28
Buteo platypterus (Vieillot, 1823)	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Buteo|platypterus|Buteo platypterus (Vieillot, 1823)	27
Fregata magnificens Mathews, 1914	Animalia|Chordata|Aves|Suliformes|Fregatidae|Fregata|magnificens|Fregata magnificens Mathews, 1914	27
Streptopelia decaocto (Frivaldszky, 1838)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|decaocto|Streptopelia decaocto (Frivaldszky, 1838)	25
Cyanophaia bicolor (Gmelin, 1788)	Animalia|Chordata|Aves|Apodiformes|Trochilidae|Cyanophaia|bicolor|Cyanophaia bicolor (Gmelin, 1788)	25
Artibeus jamaicensis Leach, 1821	Animalia|Chordata|Mammalia|Chiroptera|Phyllostomidae|Artibeus|jamaicensis|Artibeus jamaicensis Leach, 1821	24
Columba livia Gmelin, 1789	Animalia|Chordata|Aves|Columbiformes|Columbidae|Columba|livia|Columba livia Gmelin, 1789	24
Myadestes genibarbis Swainson, 1838	Animalia|Chordata|Aves|Passeriformes|Turdidae|Myadestes|genibarbis|Myadestes genibarbis Swainson, 1838	23
Coereba flaveola subsp. martinicana (Reichenbach, 1853)	Animalia|Chordata|Aves|Passeriformes|Coerebidae|Coereba|flaveola|Coereba flaveola subsp. martinicana (Reichenbach, 1853)	23
Ardea alba Linnaeus, 1758	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Ardea|alba|Ardea alba Linnaeus, 1758	23
Tylenchorhynchus	Animalia|Nematoda|Secernentea|Tylenchida|Belonolaimidae|Tylenchorhynchus||Tylenchorhynchus	22
Gallinula galeata	Animalia|Chordata|Aves|Gruiformes|Rallidae|Gallinula|galeata|Gallinula galeata	22
Saltator albicollis Vieillot, 1817	Animalia|Chordata|Aves|Passeriformes|Cardinalidae|Saltator|albicollis|Saltator albicollis Vieillot, 1817	21
Molothrus bonariensis (Gmelin, 1789)	Animalia|Chordata|Aves|Passeriformes|Icteridae|Molothrus|bonariensis|Molothrus bonariensis (Gmelin, 1789)	20
Paratylenchus Filipjev, 1936	Animalia|Nematoda|Secernentea|Tylenchida|Criconematidae|Paratylenchus||Paratylenchus Filipjev, 1936	20
Chaetura martinica (Hermann, 1783)	Animalia|Chordata|Aves|Apodiformes|Apodidae|Chaetura|martinica|Chaetura martinica (Hermann, 1783)	20
Crematogaster crinosa Mayr, 1862	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Crematogaster|crinosa|Crematogaster crinosa Mayr, 1862	20
Charadrius semipalmatus Bonaparte, 1825	Animalia|Chordata|Aves|Charadriiformes|Charadriidae|Charadrius|semipalmatus|Charadrius semipalmatus Bonaparte, 1825	20
Anochetus mayri Emery, 1884	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Anochetus|mayri|Anochetus mayri Emery, 1884	19
Eulampis holosericeus (Linnaeus, 1758)	Animalia|Chordata|Aves|Apodiformes|Trochilidae|Eulampis|holosericeus|Eulampis holosericeus (Linnaeus, 1758)	19
Saltator albicollis albicollis	Animalia|Chordata|Aves|Passeriformes|Cardinalidae|Saltator|albicollis|Saltator albicollis albicollis	18
Eulampis jugularis	Animalia|Chordata|Aves|Caprimulgiformes|Trochilidae|Eulampis|Eulampis jugularis	18
Calidris pusilla (Linnaeus, 1766)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Calidris|pusilla|Calidris pusilla (Linnaeus, 1766)	18
Columbina passerina (Linnaeus, 1758)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Columbina|passerina|Columbina passerina (Linnaeus, 1758)	17
Coccyzus minor (Gmelin, 1788)	Animalia|Chordata|Aves|Cuculiformes|Cuculidae|Coccyzus|minor|Coccyzus minor (Gmelin, 1788)	17
Monomorium ebeninum Forel, 1891	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Monomorium|ebeninum|Monomorium ebeninum Forel, 1891	17
Camponotus sexguttatus (Fabricius, 1793)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Camponotus|sexguttatus|Camponotus sexguttatus (Fabricius, 1793)	16
	|||||||	16
Cardisoma guanhumi	Animalia|Arthropoda|Malacostraca|Decapoda|Gecarcinidae|Cardisoma|Cardisoma guanhumi	16
Lissachatina fulica	Animalia|Mollusca|Gastropoda|Stylommatophora|Achatinidae|Lissachatina|Lissachatina fulica	16
Thalasseus maximus (Boddaert, 1783)	Animalia|Chordata|Aves|Charadriiformes|Laridae|Thalaseus|maximus|Thalasseus maximus (Boddaert, 1783)	15
Criconematidae	Animalia|Nematoda|Secernentea|Tylenchida|Criconematidae|||Criconematidae	14
Tringa flavipes (Gmelin, 1789)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Tringa|flavipes|Tringa flavipes (Gmelin, 1789)	14
