taxonName	taxonPath	recordCount
Larus fuscus Linnaeus, 1758	Animalia|Chordata|Aves|Charadriiformes|Laridae|Larus|fuscus|Larus fuscus Linnaeus, 1758	13356
Gerbillus Desmarest, 1804	Animalia|Chordata|Mammalia|Rodentia|Muridae|Gerbillus||Gerbillus Desmarest, 1804	2005
Platalea leucorodia Linnaeus, 1758	Animalia|Chordata|Aves|Pelecaniformes|Threskiornithidae|Platalea|leucorodia|Platalea leucorodia Linnaeus, 1758	1800
Riparia riparia (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Riparia|riparia|Riparia riparia (Linnaeus, 1758)	1558
Nycteris hispida (Schreber, 1775)	Animalia|Chordata|Mammalia|Chiroptera|Nycteridae|Nycteris|hispida|Nycteris hispida (Schreber, 1775)	399
Acrocephalus schoenobaenus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Acrocephalidae|Acrocephalus|schoenobaenus|Acrocephalus schoenobaenus (Linnaeus, 1758)	360
Acrocephalus schoenobaenus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Sylviidae|Acrocephalus|schoenobaenus|Acrocephalus schoenobaenus (Linnaeus, 1758)	349
Mops condylurus (A. Smith, 1833)	Animalia|Chordata|Mammalia|Chiroptera|Molossidae|Mops|condylurus|Mops condylurus (A. Smith, 1833)	206
Acanthodactylus dumerilii	Animalia|Chordata|Reptilia|Squamata|Lacertidae|Acanthodactylus|dumerilii|Acanthodactylus dumerilii	198
Phylloscopus collybita (Vieillot, 1817)	Animalia|Chordata|Aves|Passeriformes|Phylloscopidae|Phylloscopus|collybita|Phylloscopus collybita (Vieillot, 1817)	182
Phylloscopus collybita (Vieillot, 1817)	Animalia|Chordata|Aves|Passeriformes|Sylviidae|Phylloscopus|collybita|Phylloscopus collybita (Vieillot, 1817)	171
Taterillus arenarius Robbins, 1974	Animalia|Chordata|Mammalia|Rodentia|Muridae|Taterillus|arenarius|Taterillus arenarius Robbins, 1974	152
Sylvia cantillans (Pallas, 1764)	Animalia|Chordata|Aves|Passeriformes|Sylviidae|Sylvia|cantillans|Sylvia cantillans (Pallas, 1764)	141
Ploceus luteolus (Lichtenstein, 1823)	Animalia|Chordata|Aves|Passeriformes|Ploceidae|Ploceus|luteolus|Ploceus luteolus (Lichtenstein, 1823)	129
Crocodylus niloticus Laurenti, 1768	Animalia|Chordata|Reptilia|Crocodylia|Crocodylidae|Crocodylus|niloticus|Crocodylus niloticus Laurenti, 1768	120
Motacilla flava Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Motacillidae|Motacilla|flava|Motacilla flava Linnaeus, 1758	113
