taxonName	taxonPath	recordCount
Formicidae Latreille, 1802	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|||Formicidae Latreille, 1802	2879
Formicidae	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|||Formicidae	2879
Anous tenuirostris (Temminck, 1823)	Animalia|Chordata|Aves|Charadriiformes|Laridae|Anous|tenuirostris|Anous tenuirostris (Temminck, 1823)	2333
Solenopsis mameti Donisthorpe, 1946	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Solenopsis|mameti|Solenopsis mameti Donisthorpe, 1946	1850
Nylanderia Emery, 1906	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Nylanderia||Nylanderia Emery, 1906	1389
Columba mayeri Prevost, 1843	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|mayeri|Columba mayeri Prevost, 1843	939
Brachymyrmex cordemoyi Forel, 1895	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Brachymyrmex|cordemoyi|Brachymyrmex cordemoyi Forel, 1895	920
Strumigenys Smith, 1860	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Strumigenys||Strumigenys Smith, 1860	914
Brachymyrmex Mayr, 1868	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Brachymyrmex||Brachymyrmex Mayr, 1868	912
Pheidole megacephala (Fabricius, 1793)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Pheidole|megacephala|Pheidole megacephala (Fabricius, 1793)	870
Calidris ferruginea (Pontoppidan, 1763)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Calidris|ferruginea|Calidris ferruginea (Pontoppidan, 1763)	753
Plagiolepis Mayr, 1861	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Plagiolepis||Plagiolepis Mayr, 1861	666
Technomyrmex albipes (Smith, 1861)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Technomyrmex|albipes|Technomyrmex albipes (Smith, 1861)	660
Carebara Westwood, 1840	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Carebara||Carebara Westwood, 1840	370
Tetramorium pacificum Mayr, 1870	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Tetramorium|pacificum|Tetramorium pacificum Mayr, 1870	357
Pachycondyla obscurans (Walker, 1859)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Pachycondyla|obscurans|Pachycondyla obscurans (Walker, 1859)	341
Strumigenys ludovici	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Strumigenys|ludovici|Strumigenys ludovici	322
Solenopsis Westwood, 1840	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Solenopsis||Solenopsis Westwood, 1840	300
Solenopsis geminata (Fabricius, 1804)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Solenopsis|geminata|Solenopsis geminata (Fabricius, 1804)	280
Pheidole Westwood, 1839	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Pheidole||Pheidole Westwood, 1839	267
Hypoponera punctatissima (Roger, 1859)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Hypoponera|punctatissima|Hypoponera punctatissima (Roger, 1859)	260
Anoplolepis gracilipes (Smith, 1857)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Anoplolepis|gracilipes|Anoplolepis gracilipes (Smith, 1857)	254
Nylanderia vividula (Nylander, 1846)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Paratrechina|vividula|Nylanderia vividula (Nylander, 1846)	253
Pristomyrmex bispinosus (Donisthorpe, 1949)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Pristomyrmex|bispinosus|Pristomyrmex bispinosus (Donisthorpe, 1949)	240
Sterna fuscata Linnaeus, 1766	Animalia|Chordata|Aves|Charadriiformes|Laridae|Onychoprion|fuscata|Sterna fuscata Linnaeus, 1766	235
Monomorium sechellense Emery, 1894	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Monomorium|sechellense|Monomorium sechellense Emery, 1894	233
Mormopterus acetabulosus (Hermann, 1804)	Animalia|Chordata|Mammalia|Chiroptera|Molossidae|Mormopterus|acetabulosus|Mormopterus acetabulosus (Hermann, 1804)	227
	|||||||	224
Proceratium avium Brown, 1974	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Proceratium|avium|Proceratium avium Brown, 1974	214
Strumigenys simoni	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Strumigenys|simoni|Strumigenys simoni	210
Pheidole noda Smith, 1874	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Pheidole|noda|Pheidole noda Smith, 1874	208
Pycnonotus jocosus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Pycnonotus|jocosus|Pycnonotus jocosus (Linnaeus, 1758)	189
Zosterops chloronothos (Vieillot, 1817)	Animalia|Chordata|Aves|Passeriformes|Zosteropidae|Zosterops|chloronothos|Zosterops chloronothos (Vieillot, 1817)	184
Acropora Krueger, 1823	Animalia|Cnidaria|Anthozoa|||Acropora||Acropora Krueger, 1823	180
Foudia madagascariensis (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Ploceidae|Foudia|madagascariensis|Foudia madagascariensis (Linnaeus, 1766)	178
Pheidole fervens Smith, 1858	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Pheidole|fervens|Pheidole fervens Smith, 1858	168
Strumigenys rogeri Emery, 1890	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Strumigenys|rogeri|Strumigenys rogeri Emery, 1890	162
Acridotheres tristis (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Sturnidae|Acridotheres|tristis|Acridotheres tristis (Linnaeus, 1766)	158
Ponera incerta (Wheeler, 1933)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Ponera|incerta|Ponera incerta (Wheeler, 1933)	157
Pheidole parva Mayr, 1865	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Pheidole|parva|Pheidole parva Mayr, 1865	148
Technomyrmex Mayr, 1872	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Technomyrmex||Technomyrmex Mayr, 1872	139
Pristomyrmex Mayr, 1866	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Pristomyrmex||Pristomyrmex Mayr, 1866	138
Dacus demmerezi (Bezzi, 1917)	Animalia|Arthropoda|Insecta|Diptera|Lauxaniidae|Dacus|demmerezi|Dacus demmerezi (Bezzi, 1917)	135
Monomorium cryptobium (Santschi, 1921)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Monomorium|cryptobium|Monomorium cryptobium (Santschi, 1921)	126
Geopelia striata (Linnaeus, 1766)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Geopelia|striata|Geopelia striata (Linnaeus, 1766)	122
Hypoponera ludovicae (Forel, 1892)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Hypoponera|ludovicae|Hypoponera ludovicae (Forel, 1892)	118
Ceratitis catoirii Guerin-Meneville, 1843	Animalia|Arthropoda|Insecta|Diptera|Tephritidae|Ceratitis|catoirii|Ceratitis catoirii Guerin-Meneville, 1843	115
Aerodramus francicus (Gmelin, 1789)	Animalia|Chordata|Aves|Apodiformes|Apodidae|Aerodramus|francicus|Aerodramus francicus (Gmelin, 1789)	114
Camponotus grandidieri Forel, 1886	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Camponotus|grandidieri|Camponotus grandidieri Forel, 1886	113
Zosterops mauritianus (Gmelin, 1789)	Animalia|Chordata|Aves|Passeriformes|Zosteropidae|Zosterops|mauritianus|Zosterops mauritianus (Gmelin, 1789)	112
Falco punctatus Temminck, 1821	Animalia|Chordata|Aves|Falconiformes|Falconidae|Falco|punctatus|Falco punctatus Temminck, 1821	112
Arenaria interpres (Linnaeus, 1758)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Arenaria|interpres|Arenaria interpres (Linnaeus, 1758)	108
Cerapachys biroi Forel, 1907	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Cerapachys|biroi|Cerapachys biroi Forel, 1907	108
Camponotus aurosus Roger, 1863	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Camponotus|aurosus|Camponotus aurosus Roger, 1863	104
Crematogaster unciata Santschi, 1925	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Crematogaster|unciata|Crematogaster unciata Santschi, 1925	102
Ceratitis rosa Karsch, 1887	Animalia|Arthropoda|Insecta|Diptera|Tephritidae|Ceratitis|rosa|Ceratitis rosa Karsch, 1887	102
