taxonName	taxonPath	recordCount
	|||||||	2648
Lepidoptera	Animalia|Arthropoda|Insecta|Lepidoptera||||Lepidoptera	1767
Chordata	Animalia|Chordata||||||Chordata	1414
Globotruncana Cushman, 1927	Chromista|Foraminifera|Globothalamea|Rotaliida|Globotruncanidae|Globotruncana||Globotruncana Cushman, 1927	557
Globotruncana Cushman, 1927	Protozoa||Granuloreticulosea|Foraminiferida|Globotruncanidae|Globotruncana||Globotruncana Cushman, 1927	557
Globigerinelloides Cushman & Dam, 1948	Protozoa||Granuloreticulosea|Foraminiferida||Globigerinelloides||Globigerinelloides Cushman & Dam, 1948	497
Melonis barleeanus (Williamson, 1858)	Chromista|Foraminifera|Globothalamea|Rotaliida|Nonionidae|Melonis|barleeanus|Melonis barleeanus (Williamson, 1858)	495
Pullenia bulloides (D'Orbigny)	Protozoa||Granuloreticulosea|Foraminiferida|Nonionidae|Pullenia|bulloides|Pullenia bulloides (D'Orbigny)	495
Oridorsalis umbonatus (Reuss, 1851)	Chromista|Foraminifera|Globothalamea|Rotaliida|Alabaminidae|Oridorsalis|umbonatus|Oridorsalis umbonatus (Reuss, 1851)	495
Favocassidulina fava	Protozoa||Granuloreticulosea|Foraminiferida|Islandiellidae|Favocassidulina|fava|Favocassidulina fava	495
Epistominella exigua (Brady)	Protozoa||Granuloreticulosea|Foraminiferida|Discorbidae|Epistominella|exigua|Epistominella exigua (Brady)	495
Pullenia bulloides (d'Orbigny, 1846)	Chromista|Foraminifera|Globothalamea|Rotaliida|Nonionidae|Pullenia|bulloides|Pullenia bulloides (d'Orbigny, 1846)	495
Oridorsalis umbonatus (Reuss)	Protozoa||Granuloreticulosea|Foraminiferida|Alabaminidae|Oridorsalis|umbonatus|Oridorsalis umbonatus (Reuss)	495
Epistominella exigua (Brady, 1884)	Chromista|Foraminifera|Globothalamea|Rotaliida|Pseudoparrellidae|Epistominella|exigua|Epistominella exigua (Brady, 1884)	495
Gavelinopsis lobatula (Parr, 1950)	Protozoa||Granuloreticulosea|Foraminiferida|Discorbidae|Gavelinopsis|lobatula|Gavelinopsis lobatula (Parr, 1950)	492
Pullenia quinqueloba (Reuss, 1851)	Protozoa||Granuloreticulosea|Foraminiferida|Nonionidae|Pullenia|quinqueloba|Pullenia quinqueloba (Reuss, 1851)	492
Gavelinopsis lobatula (Parr, 1950)	Chromista|Foraminifera|Globothalamea|Rotaliida|Rosalinidae|Gavelinopsis|lobatula|Gavelinopsis lobatula (Parr, 1950)	492
Pullenia quinqueloba (Reuss, 1851)	Chromista|Foraminifera|Globothalamea|Rotaliida|Nonionidae|Pullenia|quinqueloba|Pullenia quinqueloba (Reuss, 1851)	492
Globocassidulina subglobosa (Brady, 1881)	Chromista|Foraminifera|Globothalamea|Rotaliida|Cassidulinidae|Globocassidulina|subglobosa|Globocassidulina subglobosa (Brady, 1881)	489
Globocassidulina subglobosa (Brady, 1881)	Protozoa||Granuloreticulosea|Foraminiferida|Cassidulinidae|Globocassidulina|subglobosa|Globocassidulina subglobosa (Brady, 1881)	489
Cibicidoides wuellerstorfi (Schwager, 1866)	Chromista|Foraminifera|Globothalamea|Rotaliida|Cibicididae|Cibicides|wuellerstorfi|Cibicidoides wuellerstorfi (Schwager, 1866)	486
