taxonName	taxonPath	recordCount
Phaseolus vulgaris L.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Phaseolus|vulgaris|Phaseolus vulgaris L.	98
Phaseolus vulgaris L.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Phaseolus|vulgaris|Phaseolus vulgaris L.	98
Bombina bombina (Linnaeus, 1761)	Animalia|Chordata|Amphibia|Anura|Bombinatoridae|Bombina|bombina|Bombina bombina (Linnaeus, 1761)	95
Zea mays L.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Zea|mays|Zea mays L.	93
Zea mays L.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Zea|mays|Zea mays L.	93
Hordeum vulgare L.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Hordeum|vulgare|Hordeum vulgare L.	91
Hordeum vulgare L.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Hordeum|vulgare|Hordeum vulgare L.	89
Pelophylax ridibundus (Pallas, 1771)	Animalia|Chordata|Amphibia|Anura|Ranidae|Pelophylax|ridibundus|Pelophylax ridibundus (Pallas, 1771)	83
Bufo viridis Laurenti, 1768	Animalia|Chordata|Amphibia|Anura|Bufonidae|Pseudepidalea|viridis|Bufo viridis Laurenti, 1768	78
Phoca Linnaeus, 1758	Animalia|Chordata|Mammalia|Carnivora|Phocidae|Phoca||Phoca Linnaeus, 1758	62
Hyla arborea (Linnaeus, 1758)	Animalia|Chordata|Amphibia|Anura|Hylidae|Hyla|arborea|Hyla arborea (Linnaeus, 1758)	59
Triturus cristatus (Laurenti, 1768)	Animalia|Chordata|Amphibia|Caudata|Salamandridae|Triturus|cristatus|Triturus cristatus (Laurenti, 1768)	44
Oriolus oriolus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Oriolidae|Oriolus|oriolus|Oriolus oriolus (Linnaeus, 1758)	41
Pica pica (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Corvidae|Pica|pica|Pica pica (Linnaeus, 1758)	38
Lissotriton vulgaris (Linnaeus, 1758)	Animalia|Chordata|Amphibia|Caudata|Salamandridae|Lissotriton|vulgaris|Lissotriton vulgaris (Linnaeus, 1758)	32
Hordeum vulgare var. pallidum	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Hordeum|vulgare|Hordeum vulgare var. pallidum	31
Ciconia ciconia (Linnaeus, 1758)	Animalia|Chordata|Aves|Ciconiiformes|Ciconiidae|Ciconia|ciconia|Ciconia ciconia (Linnaeus, 1758)	31
Hirundo rustica Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Hirundo|rustica|Hirundo rustica Linnaeus, 1758	31
