taxonName	taxonPath	recordCount
Zea mays L.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Zea|mays|Zea mays L.	295
Zea mays L.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Zea|mays|Zea mays L.	295
	|||||||	214
Ctenophthalmus agyrtes (Heller, 1896)	Animalia|Arthropoda|Insecta|Siphonaptera|Hystrichopsyllidae|Ctenophthalmus|agyrtes|Ctenophthalmus agyrtes (Heller, 1896)	200
Chorthippus biguttulus subsp. biguttulus	Animalia|Arthropoda|Insecta|Orthoptera|Acrididae|Chorthippus|biguttulus|Chorthippus biguttulus subsp. biguttulus	168
Turdus merula Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Turdidae|Turdus|merula|Turdus merula Linnaeus, 1758	149
Passer domesticus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|domesticus|Passer domesticus (Linnaeus, 1758)	112
Hirundo rustica Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Hirundo|rustica|Hirundo rustica Linnaeus, 1758	108
Ctenophthalmus nifetodes Wagner, 1933	Animalia|Arthropoda|Insecta|Siphonaptera|Hystrichopsyllidae|Ctenophthalmus|nifetodes|Ctenophthalmus nifetodes Wagner, 1933	106
Larus michahellis J. F. Naumann, 1840	Animalia|Chordata|Aves|Charadriiformes|Laridae|Larus|michahellis|Larus michahellis J. F. Naumann, 1840	103
Ardea cinerea Linnaeus, 1758	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Ardea|cinerea|Ardea cinerea Linnaeus, 1758	100
Garrulus glandarius (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Corvidae|Garrulus|glandarius|Garrulus glandarius (Linnaeus, 1758)	99
Parus major Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Paridae|Parus|major|Parus major Linnaeus, 1758	99
Megabothris turbidus (Rothschild, 1909)	Animalia|Arthropoda|Insecta|Siphonaptera|Ceratophyllidae|Megabothris|turbidus|Megabothris turbidus (Rothschild, 1909)	92
