taxonName	taxonPath	recordCount
Margarops fuscatus (Vieillot, 1808)	Animalia|Chordata|Aves|Passeriformes|Mimidae|Margarops|fuscatus|Margarops fuscatus (Vieillot, 1808)	2438
Coereba flaveola (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Coerebidae|Coereba|flaveola|Coereba flaveola (Linnaeus, 1758)	1919
Orthorhyncus cristatus (Linnaeus, 1758)	Animalia|Chordata|Aves|Apodiformes|Trochilidae|Orthorhyncus|cristatus|Orthorhyncus cristatus (Linnaeus, 1758)	1359
Patagioenas squamosa (Bonnaterre, 1792)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Patagioenas|squamosa|Patagioenas squamosa (Bonnaterre, 1792)	859
Elaenia martinica (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Elaenia|martinica|Elaenia martinica (Linnaeus, 1766)	795
Icterus oberi Lawrence, 1880	Animalia|Chordata|Aves|Passeriformes|Icteridae|Icterus|oberi|Icterus oberi Lawrence, 1880	735
Allenia fusca (Statius Muller, 1776)	Animalia|Chordata|Aves|Passeriformes|Mimidae|Allenia|fusca|Allenia fusca (Statius Muller, 1776)	696
Allenia fusca (Müller, 1776)	Animalia|Chordata|Aves|Passeriformes|Mimidae|Allenia|fusca|Allenia fusca (Müller, 1776)	693
Eulampis jugularis (Linnaeus, 1766)	Animalia|Chordata|Aves|Apodiformes|Trochilidae|Eulampis|jugularis|Eulampis jugularis (Linnaeus, 1766)	664
Turdus lherminieri Lafresnaye, 1844	Animalia|Chordata|Aves|Passeriformes|Turdidae|Turdus|lherminieri|Turdus lherminieri Lafresnaye, 1844	657
Turdus lherminieri (Lafresnaye, 1844)	Animalia|Chordata|Aves|Passeriformes|Turdidae|Turdus|lherminieri|Turdus lherminieri (Lafresnaye, 1844)	634
Zenaida aurita (Temminck, 1809)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Zenaida|aurita|Zenaida aurita (Temminck, 1809)	560
Coccyzus minor (Gmelin, 1788)	Animalia|Chordata|Aves|Cuculiformes|Cuculidae|Coccyzus|minor|Coccyzus minor (Gmelin, 1788)	559
Telenomus Haliday, 1833	Animalia|Arthropoda|Insecta|Hymenoptera|Scelionidae|Telenomus||Telenomus Haliday, 1833	444
Cinclocerthia ruficauda (Gould, 1836)	Animalia|Chordata|Aves|Passeriformes|Mimidae|Cinclocerthia|ruficauda|Cinclocerthia ruficauda (Gould, 1836)	419
Geotrygon mystacea (Temminck, 1811)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Geotrygon|mystacea|Geotrygon mystacea (Temminck, 1811)	373
Synopeas Förster, 1856	Animalia|Arthropoda|Insecta|Hymenoptera|Platygastridae|Synopeas||Synopeas Förster, 1856	218
Eulampis holosericeus (Linnaeus, 1758)	Animalia|Chordata|Aves|Apodiformes|Trochilidae|Eulampis|holosericeus|Eulampis holosericeus (Linnaeus, 1758)	164
Culex quinquefasciatus Say, 1823	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Culex|quinquefasciatus|Culex quinquefasciatus Say, 1823	158
Culex madininensis Senevert, 1936	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Culex|madininensis|Culex madininensis Senevert, 1936	110
Loxigilla noctis (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Emberizidae|Loxigilla|noctis|Loxigilla noctis (Linnaeus, 1766)	106
Loxigilla noctis (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Thraupidae|Loxigilla|noctis|Loxigilla noctis (Linnaeus, 1766)	106
Molossus molossus (Pallas, 1766)	Animalia|Chordata|Mammalia|Chiroptera|Molossidae|Molossus|molossus|Molossus molossus (Pallas, 1766)	104
Platygaster Latreille, 1809	Animalia|Arthropoda|Insecta|Hymenoptera|Platygastridae|Platygaster||Platygaster Latreille, 1809	102
Artibeus jamaicensis Leach, 1821	Animalia|Chordata|Mammalia|Chiroptera|Phyllostomidae|Artibeus|jamaicensis|Artibeus jamaicensis Leach, 1821	100
Falco sparverius Linnaeus, 1758	Animalia|Chordata|Aves|Falconiformes|Falconidae|Falco|sparverius|Falco sparverius Linnaeus, 1758	93
Aedes busckii (Coquillett, 1906)	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Aedes|busckii|Aedes busckii (Coquillett, 1906)	90
Vireo altiloquus (Vieillot, 1808)	Animalia|Chordata|Aves|Passeriformes|Vireonidae|Vireo|altiloquus|Vireo altiloquus (Vieillot, 1808)	89
Culex bisulcatus (Coquillett, 1905)	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Culex|bisulcatus|Culex bisulcatus (Coquillett, 1905)	68
Psorophora cingulata (Fabricius, 1805)	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Psorophora|cingulata|Psorophora cingulata (Fabricius, 1805)	56
Wasmannia auropunctata (Roger, 1863)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Wasmannia|auropunctata|Wasmannia auropunctata (Roger, 1863)	54
Solenopsis geminata (Fabricius, 1804)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Solenopsis|geminata|Solenopsis geminata (Fabricius, 1804)	54
Columbina passerina (Linnaeus, 1758)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Columbina|passerina|Columbina passerina (Linnaeus, 1758)	52
Leptacis Förster, 1856	Animalia|Arthropoda|Insecta|Hymenoptera|Platygastridae|Leptacis||Leptacis Förster, 1856	50
Setophaga ruticilla (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Parulidae|Setophaga|ruticilla|Setophaga ruticilla (Linnaeus, 1758)	48
Culex declarator Dyar & Knab, 1906	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Culex|declarator|Culex declarator Dyar & Knab, 1906	44
Cyphomyrmex minutus Mayr, 1862	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Cyphomyrmex|minutus|Cyphomyrmex minutus Mayr, 1862	42
Butorides virescens (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Butorides|virescens|Butorides virescens (Linnaeus, 1758)	41
Culex habilitator Dyar & Knab, 1906	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Culex|habilitator|Culex habilitator Dyar & Knab, 1906	40
Artibeus Leach, 1821	Animalia|Chordata|Mammalia|Chiroptera|Phyllostomidae|Artibeus||Artibeus Leach, 1821	38
Camponotus pittieri Forel, 1899	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Camponotus|pittieri|Camponotus pittieri Forel, 1899	38
Paratrechina longicornis (Latreille, 1802)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Paratrechina|longicornis|Paratrechina longicornis (Latreille, 1802)	37
Azteca Forel, 1878	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Azteca||Azteca Forel, 1878	34
Anochetus inermis Andre, 1889	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Anochetus|inermis|Anochetus inermis Andre, 1889	34
Wyeomyia grayii Theobald, 1901	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Wyeomyia|grayii|Wyeomyia grayii Theobald, 1901	34
Anopheles argyritarsis Robineau-Desvoidy, 1827	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Anopheles|argyritarsis|Anopheles argyritarsis Robineau-Desvoidy, 1827	32
