taxonName	taxonPath	recordCount
Rana limnocharis Boei, 1835	Animalia|Chordata|Amphibia|Anura|Ranidae|Rana|limnocharis|Rana limnocharis Boei, 1835	2683
Rana limnocharis Gravenhorst, 1829	Animalia|Chordata|Amphibia|Anura|Dicroglossidae|Fejervarya|limnocharis|Rana limnocharis Gravenhorst, 1829	2681
Microhyla ornata (Duméril & Bibron, 1841)	Animalia|Chordata|Amphibia|Anura|Microhylidae|Microhyla|ornata|Microhyla ornata (Duméril & Bibron, 1841)	1488
Rana Linnaeus, 1758	Animalia|Chordata|Amphibia|Anura|Ranidae|Rana||Rana Linnaeus, 1758	1244
Micrixalus Boulenger, 1888	Animalia|Chordata|Amphibia|Anura|Micrixalidae|Micrixalus||Micrixalus Boulenger, 1888	1058
Hemidactylus frenatus Schlegel, 1836	Animalia|Chordata|Reptilia|Squamata|Gekkonidae|Hemidactylus|frenatus|Hemidactylus frenatus Schlegel, 1836	1027
Amolops Cope, 1865	Animalia|Chordata|Amphibia|Anura|Ranidae|Amolops||Amolops Cope, 1865	946
Mollusca	Animalia|Mollusca||||||Mollusca	905
Bufo melanostictus Schneider, 1799	Animalia|Chordata|Amphibia|Anura|Bufonidae|Duttaphrynus|melanostictus|Bufo melanostictus Schneider, 1799	790
Polypedates leucomystax (Gravenhorst, 1829)	Animalia|Chordata|Amphibia|Anura|Rhacophoridae|Polypedates|leucomystax|Polypedates leucomystax (Gravenhorst, 1829)	707
Calotes mystaceus Duméril & Bibron, 1837	Animalia|Chordata|Reptilia|Squamata|Agamidae|Calotes|mystaceus|Calotes mystaceus Duméril & Bibron, 1837	691
Bacteria	Bacteria|||||||Bacteria	675
Limnonectes macrognathus (Boulenger, 1917)	Animalia|Chordata|Amphibia|Anura|Dicroglossidae|Limnonectes|macrognathus|Limnonectes macrognathus (Boulenger, 1917)	657
Sphenomorphus maculatus (Blyth, 1853)	Animalia|Chordata|Reptilia|Squamata|Scincidae|Sphenomorphus|maculatus|Sphenomorphus maculatus (Blyth, 1853)	657
Sphenomorphus maculatus Blyth, 1853	Animalia|Chordata|Reptilia|Squamata|Scincidae|Sphenomorphus|maculatus|Sphenomorphus maculatus Blyth, 1853	645
Rana nigrovittata (Blyth, 1856)	Animalia|Chordata|Amphibia|Anura|Ranidae|Hylarana|nigrovittata|Rana nigrovittata (Blyth, 1856)	590
Limnonectes kuhlii (Tschudi, 1838)	Animalia|Chordata|Amphibia|Anura|Dicroglossidae|Limnonectes|kuhlii|Limnonectes kuhlii (Tschudi, 1838)	574
Calotes versicolor (Daudin, 1802)	Animalia|Chordata|Reptilia|Squamata|Agamidae|Calotes|versicolor|Calotes versicolor (Daudin, 1802)	526
Calotes versicolor Daudin, 1802	Animalia|Chordata|Reptilia|Squamata|Agamidae|Calotes|versicolor|Calotes versicolor Daudin, 1802	519
Occidozyga lima (Gravenhorst, 1829)	Animalia|Chordata|Amphibia|Anura|Dicroglossidae|Occidozyga|lima|Occidozyga lima (Gravenhorst, 1829)	472
Microhyla Tschudi, 1838	Animalia|Chordata|Amphibia|Anura|Microhylidae|Microhyla||Microhyla Tschudi, 1838	459
Megophrys Kuhl & van Hasselt, 1822	Animalia|Chordata|Amphibia|Anura|Megophryidae|Megophrys||Megophrys Kuhl & van Hasselt, 1822	455
Rana macrodactyla (Günther, 1858)	Animalia|Chordata|Amphibia|Anura|Ranidae|Hylarana|macrodactyla|Rana macrodactyla (Günther, 1858)	454
Microhyla berdmorei (Blyth, 1856)	Animalia|Chordata|Amphibia|Anura|Microhylidae|Microhyla|berdmorei|Microhyla berdmorei (Blyth, 1856)	446
Xenochrophis piscator Schneider, 1799	Animalia|Chordata|Reptilia|Squamata|Colubridae|Xenochrophis|piscator|Xenochrophis piscator Schneider, 1799	424
Planctomycetaceae	Bacteria|Planctomycetes|Planctomycetacia|Planctomycetales|Planctomycetaceae|||Planctomycetaceae	412
Rana alticola Boulenger, 1882	Animalia|Chordata|Amphibia|Anura|Ranidae|Clinotarsus|alticola|Rana alticola Boulenger, 1882	366
	|||||||	354
Occidozyga Kuhl & van Hasselt, 1822	Animalia|Chordata|Amphibia|Anura|Dicroglossidae|Occidozyga||Occidozyga Kuhl & van Hasselt, 1822	352
Occidozyga martensii (Peters, 1867)	Animalia|Chordata|Amphibia|Anura|Dicroglossidae|Occidozyga|martensii|Occidozyga martensii (Peters, 1867)	339
Hoplobatrachus rugulosus (Wiegmann, 1834)	Animalia|Chordata|Amphibia|Anura|Dicroglossidae|Hoplobatrachus|rugulosus|Hoplobatrachus rugulosus (Wiegmann, 1834)	326
Deltaproteobacteria	Bacteria|Proteobacteria|Deltaproteobacteria|||||Deltaproteobacteria	326
Euphlyctis cyanophlyctis (Schneider, 1799)	Animalia|Chordata|Amphibia|Anura|Dicroglossidae|Euphlyctis|cyanophlyctis|Euphlyctis cyanophlyctis (Schneider, 1799)	312
Staphylinidae	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|||Staphylinidae	302
Staphylinidae Latreille, 1802	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|||Staphylinidae Latreille, 1802	300
Puntius Hamilton, 1822	Animalia|Chordata|Actinopterygii|Cypriniformes|Cyprinidae|Puntius||Puntius Hamilton, 1822	285
Kaloula pulchra Gray, 1831	Animalia|Chordata|Amphibia|Anura|Microhylidae|Kaloula|pulchra|Kaloula pulchra Gray, 1831	278
Streptopelia chinensis (Scopoli, 1786)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|chinensis|Streptopelia chinensis (Scopoli, 1786)	263
Dicrurus leucophaeus Vieillot, 1817	Animalia|Chordata|Aves|Passeriformes|Dicruridae|Dicrurus|leucophaeus|Dicrurus leucophaeus Vieillot, 1817	258
Chirixalus Boulenger, 1893	Animalia|Chordata|Amphibia|Anura|Rhacophoridae|Chiromantis||Chirixalus Boulenger, 1893	252
Philautus Gistel, 1848	Animalia|Chordata|Amphibia|Anura|Rhacophoridae|Philautus||Philautus Gistel, 1848	250
Dicrurus macrocercus Vieillot, 1817	Animalia|Chordata|Aves|Passeriformes|Dicruridae|Dicrurus|macrocercus|Dicrurus macrocercus Vieillot, 1817	250
Ahaetulla fronticincta Günther, 1858	Animalia|Chordata|Reptilia|Squamata|Colubridae|Ahaetulla|fronticincta|Ahaetulla fronticincta Günther, 1858	243
Ahaetulla fronticincta (Günther, 1858)	Animalia|Chordata|Reptilia|Squamata|Colubridae|Ahaetulla|fronticincta|Ahaetulla fronticincta (Günther, 1858)	243
Calotes chincollium Vindum, 2003	Animalia|Chordata|Reptilia|Squamata|Agamidae|Calotes|chincollium|Calotes chincollium Vindum, 2003	235
Pycnonotus cafer (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Pycnonotus|cafer|Pycnonotus cafer (Linnaeus, 1766)	234
Corvus splendens Vieillot, 1817	Animalia|Chordata|Aves|Passeriformes|Corvidae|Corvus|splendens|Corvus splendens Vieillot, 1817	234
Hemidactylus brookii Gray, 1845	Animalia|Chordata|Reptilia|Squamata|Gekkonidae|Hemidactylus|brookii|Hemidactylus brookii Gray, 1845	233
Chirixalus doriae Boulenger, 1893	Animalia|Chordata|Amphibia|Anura|Rhacophoridae|Chiromantis|doriae|Chirixalus doriae Boulenger, 1893	228
Motacilla alba Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Motacillidae|Motacilla|alba|Motacilla alba Linnaeus, 1758	219
Hirundo rustica Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Hirundo|rustica|Hirundo rustica Linnaeus, 1758	217
Gammaproteobacteria	Bacteria|Proteobacteria|Gammaproteobacteria|||||Gammaproteobacteria	214
Rana taipehensis Van Denburgh, 1909	Animalia|Chordata|Amphibia|Anura|Ranidae|Hylarana|taipehensis|Rana taipehensis Van Denburgh, 1909	212
Acridotheres tristis (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Sturnidae|Acridotheres|tristis|Acridotheres tristis (Linnaeus, 1766)	211
Alphaproteobacteria	Bacteria|Proteobacteria|Alphaproteobacteria|||||Alphaproteobacteria	208
Fejervarya limnocharis (Gravenhorst, 1829)	Animalia|Chordata|Amphibia|Anura|Dicroglossidae|Fejervarya|limnocharis|Fejervarya limnocharis (Gravenhorst, 1829)	206
Amphiesma stolata Wall, 1921	Animalia|Chordata|Reptilia|Squamata|Colubridae|Amphiesma|stolata|Amphiesma stolata Wall, 1921	202
