taxonName	taxonPath	recordCount
Quelea quelea (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Ploceidae|Quelea|quelea|Quelea quelea (Linnaeus, 1758)	35560
Sterna hirundo Linnaeus, 1758	Animalia|Chordata|Aves|Charadriiformes|Laridae|Sterna|hirundo|Sterna hirundo Linnaeus, 1758	28550
Emberiza impetuani A. Smith, 1836	Animalia|Chordata|Aves|Passeriformes|Emberizidae|Emberiza|impetuani|Emberiza impetuani A. Smith, 1836	24713
Ploceus velatus Vieillot, 1819	Animalia|Chordata|Aves|Passeriformes|Ploceidae|Ploceus|velatus|Ploceus velatus Vieillot, 1819	19382
Amadina erythrocephala (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Estrildidae|Amadina|erythrocephala|Amadina erythrocephala (Linnaeus, 1758)	16433
Pycnonotus nigricans (Vieillot, 1818)	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Pycnonotus|nigricans|Pycnonotus nigricans (Vieillot, 1818)	15559
Streptopelia senegalensis (Linnaeus, 1766)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|senegalensis|Streptopelia senegalensis (Linnaeus, 1766)	13319
Morus capensis (Lichtenstein, 1823)	Animalia|Chordata|Aves|Suliformes|Sulidae|Morus|capensis|Morus capensis (Lichtenstein, 1823)	13273
Philetairus socius (Latham, 1790)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Philetairus|socius|Philetairus socius (Latham, 1790)	10784
Passer melanurus (Statius Muller, 1776)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|melanurus|Passer melanurus (Statius Muller, 1776)	10535
Ploceus rubiginosus Ruppell, 1840	Animalia|Chordata|Aves|Passeriformes|Ploceidae|Ploceus|rubiginosus|Ploceus rubiginosus Ruppell, 1840	9500
Estrilda astrild (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Estrildidae|Estrilda|astrild|Estrilda astrild (Linnaeus, 1758)	8090
Oena capensis (Linnaeus, 1766)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Oena|capensis|Oena capensis (Linnaeus, 1766)	8062
Calidris ferruginea (Pontoppidan, 1763)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Calidris|ferruginea|Calidris ferruginea (Pontoppidan, 1763)	7998
Granatina granatina	Animalia|Chordata|Aves|Passeriformes|Estrildidae|Granatina|granatina|Granatina granatina	7058
Hirundo rustica Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Hirundo|rustica|Hirundo rustica Linnaeus, 1758	6823
Chlidonias niger (Linnaeus, 1758)	Animalia|Chordata|Aves|Charadriiformes|Laridae|Chlidonias|niger|Chlidonias niger (Linnaeus, 1758)	6210
Crithagra atrogularis (A. Smith, 1836)	Animalia|Chordata|Aves|Passeriformes|Fringillidae|Crithagra|atrogularis|Crithagra atrogularis (A. Smith, 1836)	6200
Plocepasser mahali A. Smith, 1836	Animalia|Chordata|Aves|Passeriformes|Passeridae|Plocepasser|mahali|Plocepasser mahali A. Smith, 1836	6135
Phalacrocorax capensis (Sparrman, 1788)	Animalia|Chordata|Aves|Suliformes|Phalacrocoracidae|Phalacrocorax|capensis|Phalacrocorax capensis (Sparrman, 1788)	6081
Passer melanurus (Müller, 1776)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|melanurus|Passer melanurus (Müller, 1776)	5349
Passer diffusus (A. Smith, 1836)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|diffusus|Passer diffusus (A. Smith, 1836)	5235
Estrilda erythronotos (Vieillot, 1817)	Animalia|Chordata|Aves|Passeriformes|Estrildidae|Estrilda|erythronotos|Estrilda erythronotos (Vieillot, 1817)	5106
Melierax canorus (Thunberg, 1799)	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Melierax|canorus|Melierax canorus (Thunberg, 1799)	5053
Pytilia melba (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Estrildidae|Pytilia|melba|Pytilia melba (Linnaeus, 1758)	5044
Ploceus rubiginosus Ruppell, 1837	Animalia|Chordata|Aves|Passeriformes|Ploceidae|Ploceus|rubiginosus|Ploceus rubiginosus Ruppell, 1837	4749
Gyps africanus Salvadori, 1865	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Gyps|africanus|Gyps africanus Salvadori, 1865	4382
Lamprotornis nitens (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Sturnidae|Lamprotornis|nitens|Lamprotornis nitens (Linnaeus, 1766)	4176
Acrocephalus baeticatus (Vieillot, 1817)	Animalia|Chordata|Aves|Passeriformes|Acrocephalidae|Acrocephalus|baeticatus|Acrocephalus baeticatus (Vieillot, 1817)	4056
Passer domesticus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|domesticus|Passer domesticus (Linnaeus, 1758)	4031
Streptopelia capicola (Sundevall, 1857)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|capicola|Streptopelia capicola (Sundevall, 1857)	3962
Torgos tracheliotus (J. R. Forster, 1796)	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Torgos|tracheliotus|Torgos tracheliotus (J. R. Forster, 1796)	3513
Uraeginthus angolensis (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Estrildidae|Uraeginthus|angolensis|Uraeginthus angolensis (Linnaeus, 1758)	3483
Plocepasser mahali Smith, 1836	Animalia|Chordata|Aves|Passeriformes|Passeridae|Plocepasser|mahali|Plocepasser mahali Smith, 1836	3269
Creatophora cinerea (Meuschen, 1787)	Animalia|Chordata|Aves|Passeriformes|Sturnidae|Creatophora|cinerea|Creatophora cinerea (Meuschen, 1787)	3219
Sterna balaenarum (Strickland, 1853)	Animalia|Chordata|Aves|Charadriiformes|Laridae|Sternula|balaenarum|Sterna balaenarum (Strickland, 1853)	3185
Crithagra atrogularis	Animalia|Chordata|Aves|Passeriformes|Fringillidae|Crithagra|atrogularis|Crithagra atrogularis	3116
Dicrurus adsimilis (Bechstein, 1794)	Animalia|Chordata|Aves|Passeriformes|Dicruridae|Dicrurus|adsimilis|Dicrurus adsimilis (Bechstein, 1794)	3066
Aves	Animalia|Chordata|Aves|||||Aves	3039
Passer motitensis (A. Smith, 1836)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|motitensis|Passer motitensis (A. Smith, 1836)	2989
Sporopipes squamifrons (A. Smith, 1836)	Animalia|Chordata|Aves|Passeriformes|Ploceidae|Sporopipes|squamifrons|Sporopipes squamifrons (A. Smith, 1836)	2879
Pterocles namaqua (Gmelin, 1789)	Animalia|Chordata|Aves|Pteroclidiformes|Pteroclididae|Pterocles|namaqua|Pterocles namaqua (Gmelin, 1789)	2808
Passer diffusus (Smith, 1836)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|diffusus|Passer diffusus (Smith, 1836)	2678
Emberiza tahapisi A. Smith, 1836	Animalia|Chordata|Aves|Passeriformes|Emberizidae|Emberiza|tahapisi|Emberiza tahapisi A. Smith, 1836	2638
Charadrius marginatus Vieillot, 1818	Animalia|Chordata|Aves|Charadriiformes|Charadriidae|Charadrius|marginatus|Charadrius marginatus Vieillot, 1818	2615
Coracias caudatus Linnaeus, 1766	Animalia|Chordata|Aves|Coraciiformes|Coraciidae|Coracias|caudatus|Coracias caudatus Linnaeus, 1766	2613
Vidua paradisaea (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Viduidae|Vidua|paradisaea|Vidua paradisaea (Linnaeus, 1758)	2597
Charadrius tricollaris Vieillot, 1818	Animalia|Chordata|Aves|Charadriiformes|Charadriidae|Charadrius|tricollaris|Charadrius tricollaris Vieillot, 1818	2464
Gerbillurus paeba (A. Smith, 1836)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Gerbillurus|paeba|Gerbillurus paeba (A. Smith, 1836)	2460
Tricholaema leucomelas (Boddaert, 1783)	Animalia|Chordata|Aves|Piciformes|Ramphastidae|Tricholaema|leucomelas|Tricholaema leucomelas (Boddaert, 1783)	2429
Emberiza flaviventris Stephens, 1815	Animalia|Chordata|Aves|Passeriformes|Emberizidae|Emberiza|flaviventris|Emberiza flaviventris Stephens, 1815	2424
Crithagra albogularis A. Smith, 1833	Animalia|Chordata|Aves|Passeriformes|Fringillidae|Crithagra|albogularis|Crithagra albogularis A. Smith, 1833	2318
Vidua regia (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Viduidae|Vidua|regia|Vidua regia (Linnaeus, 1766)	2191
Colius colius (Linnaeus, 1766)	Animalia|Chordata|Aves|Coliiformes|Coliidae|Colius|colius|Colius colius (Linnaeus, 1766)	2141
Tockus leucomelas (Lichtenstein, 1842)	Animalia|Chordata|Aves|Bucerotiformes|Bucerotidae|Tockus|leucomelas|Tockus leucomelas (Lichtenstein, 1842)	2140
