taxonName	taxonPath	recordCount
Hordeum vulgare L.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Hordeum|vulgare|Hordeum vulgare L.	1036
Corvus macrorhynchos Wagler, 1827	Animalia|Chordata|Aves|Passeriformes|Corvidae|Corvus|macrorhynchos|Corvus macrorhynchos Wagler, 1827	839
Hordeum vulgare subsp. vulgare	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Hordeum|vulgare|Hordeum vulgare subsp. vulgare	832
Corvus splendens Vieillot, 1817	Animalia|Chordata|Aves|Passeriformes|Corvidae|Corvus|splendens|Corvus splendens Vieillot, 1817	787
Pycnonotus cafer (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Pycnonotus|cafer|Pycnonotus cafer (Linnaeus, 1766)	778
Acridotheres tristis (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Sturnidae|Acridotheres|tristis|Acridotheres tristis (Linnaeus, 1766)	749
Dicrurus macrocercus Vieillot, 1817	Animalia|Chordata|Aves|Passeriformes|Dicruridae|Dicrurus|macrocercus|Dicrurus macrocercus Vieillot, 1817	667
Halcyon smyrnensis (Linnaeus, 1758)	Animalia|Chordata|Aves|Coraciiformes|Alcedinidae|Halcyon|smyrnensis|Halcyon smyrnensis (Linnaeus, 1758)	635
Streptopelia chinensis (Scopoli, 1786)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|chinensis|Streptopelia chinensis (Scopoli, 1786)	623
Milvus migrans (Boddaert, 1783)	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Milvus|migrans|Milvus migrans (Boddaert, 1783)	602
Passer domesticus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|domesticus|Passer domesticus (Linnaeus, 1758)	567
Copsychus saularis (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Copsychus|saularis|Copsychus saularis (Linnaeus, 1758)	549
Ardeola grayii (Sykes, 1832)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Ardeola|grayii|Ardeola grayii (Sykes, 1832)	545
Bubulcus ibis (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Bubulcus|ibis|Bubulcus ibis (Linnaeus, 1758)	519
Columba livia Gmelin, 1789	Animalia|Chordata|Aves|Columbiformes|Columbidae|Columba|livia|Columba livia Gmelin, 1789	515
Lanius schach Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Laniidae|Lanius|schach|Lanius schach Linnaeus, 1758	513
Euphlyctis cyanophlyctis (Schneider, 1799)	Animalia|Chordata|Amphibia|Anura|Dicroglossidae|Euphlyctis|cyanophlyctis|Euphlyctis cyanophlyctis (Schneider, 1799)	479
Psittacula krameri (Scopoli, 1769)	Animalia|Chordata|Aves|Psittaciformes|Psittacidae|Psittacula|krameri|Psittacula krameri (Scopoli, 1769)	477
Hirundo rustica Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Hirundo|rustica|Hirundo rustica Linnaeus, 1758	458
Motacilla alba Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Motacillidae|Motacilla|alba|Motacilla alba Linnaeus, 1758	451
Dendrocitta vagabunda (Latham, 1790)	Animalia|Chordata|Aves|Passeriformes|Corvidae|Dendrocitta|vagabunda|Dendrocitta vagabunda (Latham, 1790)	448
Egretta garzetta (Linnaeus, 1766)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Egretta|garzetta|Egretta garzetta (Linnaeus, 1766)	407
Passer montanus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|montanus|Passer montanus (Linnaeus, 1758)	394
Zosterops palpebrosus (Temminck, 1824)	Animalia|Chordata|Aves|Passeriformes|Zosteropidae|Zosterops|palpebrosus|Zosterops palpebrosus (Temminck, 1824)	390
Acridotheres fuscus (Wagler, 1827)	Animalia|Chordata|Aves|Passeriformes|Sturnidae|Acridotheres|fuscus|Acridotheres fuscus (Wagler, 1827)	379
Streptopelia orientalis (Latham, 1790)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|orientalis|Streptopelia orientalis (Latham, 1790)	356
Oriolus xanthornus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Oriolidae|Oriolus|xanthornus|Oriolus xanthornus (Linnaeus, 1758)	351
Saxicola maurus (Pallas, 1773)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Saxicola|maurus|Saxicola maurus (Pallas, 1773)	331
Pycnonotus jocosus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Pycnonotus|jocosus|Pycnonotus jocosus (Linnaeus, 1758)	331
Microhyla ornata (Duméril & Bibron, 1841)	Animalia|Chordata|Amphibia|Anura|Microhylidae|Microhyla|ornata|Microhyla ornata (Duméril & Bibron, 1841)	319
Triticum aestivum L.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Triticum|aestivum|Triticum aestivum L.	319
Triticum aestivum L.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Triticum|aestivum|Triticum aestivum L.	319
Anastomus oscitans (Boddaert, 1783)	Animalia|Chordata|Aves|Ciconiiformes|Ciconiidae|Anastomus|oscitans|Anastomus oscitans (Boddaert, 1783)	311
Mus musculus Linnaeus, 1758	Animalia|Chordata|Mammalia|Rodentia|Muridae|Mus|musculus|Mus musculus Linnaeus, 1758	311
	|||||||	309
Saxicola caprata (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Saxicola|caprata|Saxicola caprata (Linnaeus, 1766)	309
Alcedo atthis (Linnaeus, 1758)	Animalia|Chordata|Aves|Coraciiformes|Alcedinidae|Alcedo|atthis|Alcedo atthis (Linnaeus, 1758)	304
Parus xanthogenys Vigors, 1831	Animalia|Chordata|Aves|Passeriformes|Paridae|Parus|xanthogenys|Parus xanthogenys Vigors, 1831	300
Vanellus indicus (Boddaert, 1783)	Animalia|Chordata|Aves|Charadriiformes|Charadriidae|Vanellus|indicus|Vanellus indicus (Boddaert, 1783)	297
Motacilla madaraspatensis J. F. Gmelin, 1789	Animalia|Chordata|Aves|Passeriformes|Motacillidae|Motacilla|madaraspatensis|Motacilla madaraspatensis J. F. Gmelin, 1789	293
Parus monticolus Vigors, 1831	Animalia|Chordata|Aves|Passeriformes|Paridae|Parus|monticolus|Parus monticolus Vigors, 1831	292
Ceryle rudis (Linnaeus, 1758)	Animalia|Chordata|Aves|Coraciiformes|Alcedinidae|Ceryle|rudis|Ceryle rudis (Linnaeus, 1758)	280
Spilornis cheela (Latham, 1790)	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Spilornis|cheela|Spilornis cheela (Latham, 1790)	277
Merops orientalis Latham, 1802	Animalia|Chordata|Aves|Coraciiformes|Meropidae|Merops|orientalis|Merops orientalis Latham, 1802	277
Pavo cristatus Linnaeus, 1758	Animalia|Chordata|Aves|Galliformes|Phasianidae|Pavo|cristatus|Pavo cristatus Linnaeus, 1758	276
Dendrocopos macei (Vieillot, 1818)	Animalia|Chordata|Aves|Piciformes|Picidae|Dendrocopos|macei|Dendrocopos macei (Vieillot, 1818)	267
Bradyrhizobium yuanmingense Yao et al., 2002	Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Bradyrhizobium|yuanmingense|Bradyrhizobium yuanmingense Yao et al., 2002	266
Lens culinaris Medik.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Lens|culinaris|Lens culinaris Medik.	262
Lens culinaris Medik.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Lens|culinaris|Lens culinaris Medik.	262
Orthotomus sutorius (Pennant, 1769)	Animalia|Chordata|Aves|Passeriformes|Cisticolidae|Orthotomus|sutorius|Orthotomus sutorius (Pennant, 1769)	260
Mesophoyx intermedia (Wagler, 1829)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Egretta|intermedia|Mesophoyx intermedia (Wagler, 1829)	259
Dicrurus leucophaeus Vieillot, 1817	Animalia|Chordata|Aves|Passeriformes|Dicruridae|Dicrurus|leucophaeus|Dicrurus leucophaeus Vieillot, 1817	257
Tringa nebularia (Gunnerus, 1767)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Tringa|nebularia|Tringa nebularia (Gunnerus, 1767)	257
Motacilla cinerea Tunstall, 1771	Animalia|Chordata|Aves|Passeriformes|Motacillidae|Motacilla|cinerea|Motacilla cinerea Tunstall, 1771	253
Gallus gallus (Linnaeus, 1758)	Animalia|Chordata|Aves|Galliformes|Phasianidae|Gallus|gallus|Gallus gallus (Linnaeus, 1758)	252
Centropus sinensis (Stephens, 1815)	Animalia|Chordata|Aves|Cuculiformes|Cuculidae|Centropus|sinensis|Centropus sinensis (Stephens, 1815)	249
Parus cinereus Vieillot, 1818	Animalia|Chordata|Aves|Passeriformes|Paridae|Parus|cinereus|Parus cinereus Vieillot, 1818	248
Coracias benghalensis (Linnaeus, 1758)	Animalia|Chordata|Aves|Coraciiformes|Coraciidae|Coracias|benghalensis|Coracias benghalensis (Linnaeus, 1758)	247
Phoenicurus leucocephalus	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Phoenicurus|leucocephalus|Phoenicurus leucocephalus	244
Dendrocitta formosae Swinhoe, 1863	Animalia|Chordata|Aves|Passeriformes|Corvidae|Dendrocitta|formosae|Dendrocitta formosae Swinhoe, 1863	244
Tadorna ferruginea (Pallas, 1764)	Animalia|Chordata|Aves|Anseriformes|Anatidae|Tadorna|ferruginea|Tadorna ferruginea (Pallas, 1764)	240
Falco tinnunculus Linnaeus, 1758	Animalia|Chordata|Aves|Falconiformes|Falconidae|Falco|tinnunculus|Falco tinnunculus Linnaeus, 1758	239
Pycnonotus leucogenys (J. E. Gray, 1835)	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Pycnonotus|leucogenys|Pycnonotus leucogenys (J. E. Gray, 1835)	238
Anthus hodgsoni Richmond, 1907	Animalia|Chordata|Aves|Passeriformes|Motacillidae|Anthus|hodgsoni|Anthus hodgsoni Richmond, 1907	238
Niviventer eha (Wroughton, 1916)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Niviventer|eha|Niviventer eha (Wroughton, 1916)	233
Aegithalos concinnus (Gould, 1855)	Animalia|Chordata|Aves|Passeriformes|Aegithalidae|Aegithalos|concinnus|Aegithalos concinnus (Gould, 1855)	230
Leptoptilos javanicus (Horsfield, 1821)	Animalia|Chordata|Aves|Ciconiiformes|Ciconiidae|Leptoptilos|javanicus|Leptoptilos javanicus (Horsfield, 1821)	229
Pseudibis papillosa (Temminck, 1824)	Animalia|Chordata|Aves|Pelecaniformes|Threskiornithidae|Pseudibis|papillosa|Pseudibis papillosa (Temminck, 1824)	229
Ardea alba Linnaeus, 1758	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Ardea|alba|Ardea alba Linnaeus, 1758	227
Actitis hypoleucos (Linnaeus, 1758)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Actitis|hypoleucos|Actitis hypoleucos (Linnaeus, 1758)	224
Streptopelia decaocto (Frivaldszky, 1838)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|decaocto|Streptopelia decaocto (Frivaldszky, 1838)	219
Phylloscopus xanthoschistos (J. E. Gray & G. R. Gray, 1847)	Animalia|Chordata|Aves|Passeriformes|Phylloscopidae|Phylloscopus|xanthoschistos|Phylloscopus xanthoschistos (J. E. Gray & G. R. Gray, 1847)	218
Metopidius indicus (Latham, 1790)	Animalia|Chordata|Aves|Charadriiformes|Jacanidae|Metopidius|indicus|Metopidius indicus (Latham, 1790)	215
Rhipidura albicollis (Vieillot, 1818)	Animalia|Chordata|Aves|Passeriformes|Rhipiduridae|Rhipidura|albicollis|Rhipidura albicollis (Vieillot, 1818)	215
Anhinga melanogaster Pennant, 1769	Animalia|Chordata|Aves|Suliformes|Anhingidae|Anhinga|melanogaster|Anhinga melanogaster Pennant, 1769	207
Ciconia episcopus (Boddaert, 1783)	Animalia|Chordata|Aves|Ciconiiformes|Ciconiidae|Ciconia|episcopus|Ciconia episcopus (Boddaert, 1783)	206
Phalacrocorax carbo (Linnaeus, 1758)	Animalia|Chordata|Aves|Suliformes|Phalacrocoracidae|Phalacrocorax|carbo|Phalacrocorax carbo (Linnaeus, 1758)	206
Myophonus caeruleus (Scopoli, 1786)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Myophonus|caeruleus|Myophonus caeruleus (Scopoli, 1786)	205
Hordeum vulgare L.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Hordeum|vulgare|Hordeum vulgare L.	204
Amaurornis phoenicurus (Pennant, 1769)	Animalia|Chordata|Aves|Gruiformes|Rallidae|Amaurornis|phoenicurus|Amaurornis phoenicurus (Pennant, 1769)	202
Psittacula eupatria (Linnaeus, 1766)	Animalia|Chordata|Aves|Psittaciformes|Psittacidae|Psittacula|eupatria|Psittacula eupatria (Linnaeus, 1766)	201
Neodon sikimensis Horsfield, 1841	Animalia|Chordata|Mammalia|Rodentia|Cricetidae|Neodon|sikimensis|Neodon sikimensis Horsfield, 1841	201
Neodon sikimensis Hodgson, 1849	Animalia|Chordata|Mammalia|Rodentia|Cricetidae|Neodon|sikimensis|Neodon sikimensis Hodgson, 1849	201
Gyps himalayensis Hume, 1869	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Gyps|himalayensis|Gyps himalayensis Hume, 1869	200
Phoenicurus frontalis Vigors, 1832	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Phoenicurus|frontalis|Phoenicurus frontalis Vigors, 1832	199
Gallinula chloropus (Linnaeus, 1758)	Animalia|Chordata|Aves|Gruiformes|Rallidae|Gallinula|chloropus|Gallinula chloropus (Linnaeus, 1758)	198
Pelargopsis capensis (Linnaeus, 1766)	Animalia|Chordata|Aves|Coraciiformes|Alcedinidae|Pelargopsis|capensis|Pelargopsis capensis (Linnaeus, 1766)	195
Cecropis daurica (Laxmann, 1769)	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Cecropis|daurica|Cecropis daurica (Laxmann, 1769)	193
Pisum sativum L.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Pisum|sativum|Pisum sativum L.	190
Parus cinereus	Animalia|Chordata|Aves|Passeriformes|Paridae|Parus|cinereus|Parus cinereus	190
Pisum sativum L.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Pisum|sativum|Pisum sativum L.	190
Vanellus duvaucelii (Lesson, 1826)	Animalia|Chordata|Aves|Charadriiformes|Charadriidae|Vanellus|duvaucelii|Vanellus duvaucelii (Lesson, 1826)	189
Lonchura punctulata (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Estrildidae|Lonchura|punctulata|Lonchura punctulata (Linnaeus, 1758)	189
Pycnonotus leucogenys (Gray, 1835)	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Pycnonotus|leucogenys|Pycnonotus leucogenys (Gray, 1835)	188
Culicicapa ceylonensis (Swainson, 1820)	Animalia|Chordata|Aves|Passeriformes|Stenostiridae|Culicicapa|ceylonensis|Culicicapa ceylonensis (Swainson, 1820)	184
Charadrius dubius Scopoli, 1786	Animalia|Chordata|Aves|Charadriiformes|Charadriidae|Charadrius|dubius|Charadrius dubius Scopoli, 1786	182
Orthotomus sutorius (Pennant, 1769)	Animalia|Chordata|Aves|Passeriformes|Sylviidae|Orthotomus|sutorius|Orthotomus sutorius (Pennant, 1769)	181
Rattus rattus (Linnaeus, 1758)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Rattus|rattus|Rattus rattus (Linnaeus, 1758)	180
Pandion haliaetus (Linnaeus, 1758)	Animalia|Chordata|Aves|Accipitriformes|Pandionidae|Pandion|haliaetus|Pandion haliaetus (Linnaeus, 1758)	179
Urocissa erythrorhyncha (Boddaert, 1783)	Animalia|Chordata|Aves|Passeriformes|Corvidae|Urocissa|erythrorhyncha|Urocissa erythrorhyncha (Boddaert, 1783)	177
Dicrurus hottentottus (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Dicruridae|Dicrurus|hottentottus|Dicrurus hottentottus (Linnaeus, 1766)	177
Vicia faba L.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Vicia|faba|Vicia faba L.	174
Vicia faba L.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Vicia|faba|Vicia faba L.	174
Psittacula cyanocephala (Linnaeus, 1766)	Animalia|Chordata|Aves|Psittaciformes|Psittacidae|Psittacula|cyanocephala|Psittacula cyanocephala (Linnaeus, 1766)	174
Aegithina tiphia (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Aegithinidae|Aegithina|tiphia|Aegithina tiphia (Linnaeus, 1758)	173
Dinopium shorii (Vigors, 1832)	Animalia|Chordata|Aves|Piciformes|Picidae|Dinopium|shorii|Dinopium shorii (Vigors, 1832)	172
Phylloscopus xanthoschistos (Gray, 1846)	Animalia|Chordata|Aves|Passeriformes|Sylviidae|Phylloscopus|xanthoschistos|Phylloscopus xanthoschistos (Gray, 1846)	171
Sitta himalayensis Jardine & Selby, 1835	Animalia|Chordata|Aves|Passeriformes|Sittidae|Sitta|himalayensis|Sitta himalayensis Jardine & Selby, 1835	168
Sitta frontalis Swainson, 1820	Animalia|Chordata|Aves|Passeriformes|Sittidae|Sitta|frontalis|Sitta frontalis Swainson, 1820	168
Sitta cinnamoventris Blyth, 1842	Animalia|Chordata|Aves|Passeriformes|Sittidae|Sitta|cinnamoventris|Sitta cinnamoventris Blyth, 1842	164
Schizothorax richardsonii (Gray, 1832)	Animalia|Chordata|Actinopterygii|Cypriniformes|Cyprinidae|Schizothorax|richardsonii|Schizothorax richardsonii (Gray, 1832)	164
Lanius tephronotus (Vigors, 1831)	Animalia|Chordata|Aves|Passeriformes|Laniidae|Lanius|tephronotus|Lanius tephronotus (Vigors, 1831)	164
Nanorana polunini (Smith, 1951)	Animalia|Chordata|Amphibia|Anura|Dicroglossidae|Nanorana|polunini|Nanorana polunini (Smith, 1951)	163
Dendrocopos canicapillus (Blyth, 1845)	Animalia|Chordata|Aves|Piciformes|Picidae|Dendrocopos|canicapillus|Dendrocopos canicapillus (Blyth, 1845)	162
Elanus caeruleus (Desfontaines, 1789)	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Elanus|caeruleus|Elanus caeruleus (Desfontaines, 1789)	162
Rana polunini Smith, 1951	Animalia|Chordata|Amphibia|Anura|Dicroglossidae|Nanorana|polunini|Rana polunini Smith, 1951	161
Phoenicurus fuliginosus (Vigors, 1831)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Rhyacornis|fuliginosus|Phoenicurus fuliginosus (Vigors, 1831)	161
Dendrocygna javanica (Horsfield, 1821)	Animalia|Chordata|Aves|Anseriformes|Anatidae|Dendrocygna|javanica|Dendrocygna javanica (Horsfield, 1821)	159
Heterophasia capistrata (Vigors, 1831)	Animalia|Chordata|Aves|Passeriformes|Leiothrichidae|Heterophasia|capistrata|Heterophasia capistrata (Vigors, 1831)	158
