taxonName	taxonPath	recordCount
	|||||||	7000
Mollusca	Animalia|Mollusca||||||Mollusca	4318
Telenomus Haliday, 1833	Animalia|Arthropoda|Insecta|Hymenoptera|Scelionidae|Telenomus||Telenomus Haliday, 1833	1780
Caledoniscincus austrocaledonicus (Bavay, 1869)	Animalia|Chordata|Reptilia|Squamata|Scincidae|Caledoniscincus|austrocaledonicus|Caledoniscincus austrocaledonicus (Bavay, 1869)	1219
Arthropoda	Animalia|Arthropoda||||||Arthropoda	1165
Anonthobium tibiale (Fauvel, 1903)	Animalia|Arthropoda|Insecta|Coleoptera|Scarabaeidae|Anonthobium|tibiale|Anonthobium tibiale (Fauvel, 1903)	1018
Caledoniscincus austrocaledonicus Bavay, 1869	Animalia|Chordata|Reptilia|Squamata|Scincidae|Caledoniscincus|austrocaledonicus|Caledoniscincus austrocaledonicus Bavay, 1869	882
Marmorosphax tricolor (Bavay, 1869)	Animalia|Chordata|Reptilia|Squamata|Scincidae|Marmorosphax|tricolor|Marmorosphax tricolor (Bavay, 1869)	821
Onthobium montrouzieri Paulian, 1984	Animalia|Arthropoda|Insecta|Coleoptera|Scarabaeidae|Onthobium|montrouzieri|Onthobium montrouzieri Paulian, 1984	736
Onthobium kuscheli Paulian, 1984	Animalia|Arthropoda|Insecta|Coleoptera|Scarabaeidae|Onthobium|kuscheli|Onthobium kuscheli Paulian, 1984	678
Bavayia sauvagii Boulenger, 1883	Animalia|Chordata|Reptilia|Squamata|Diplodactylidae|Bavayia|sauvagii|Bavayia sauvagii Boulenger, 1883	676
Sigaloseps deplanchei (Bavay, 1869)	Animalia|Chordata|Reptilia|Squamata|Scincidae|Sigaloseps|deplanchei|Sigaloseps deplanchei (Bavay, 1869)	593
Marmorosphax tricolor Bavay, 1869	Animalia|Chordata|Reptilia|Squamata|Scincidae|Marmorosphax|tricolor|Marmorosphax tricolor Bavay, 1869	572
Paronthobium simplex (Fauvel, 1903)	Animalia|Arthropoda|Insecta|Coleoptera|Scarabaeidae|Paronthobium|simplex|Paronthobium simplex (Fauvel, 1903)	552
Caledoniscincus Sadlier, 1987	Animalia|Chordata|Reptilia|Squamata|Scincidae|Caledoniscincus||Caledoniscincus Sadlier, 1987	551
Plerandra A.Gray	Plantae|Magnoliophyta|Magnoliopsida|Apiales|Araliaceae|Plerandra||Plerandra A.Gray	511
Formicidae	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|||Formicidae	511
Pheidole Westwood, 1839	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Pheidole||Pheidole Westwood, 1839	484
Onthobium tillieri Paulian, 1986	Animalia|Arthropoda|Insecta|Coleoptera|Scarabaeidae|Onthobium|tillieri|Onthobium tillieri Paulian, 1986	460
Bavayia sauvagii Boulenger, 1883	Animalia|Chordata|Reptilia|Squamata|Gekkonidae|Bavayia|sauvagii|Bavayia sauvagii Boulenger, 1883	456
Onthobium cookii Paulian, 1986	Animalia|Arthropoda|Insecta|Coleoptera|Scarabaeidae|Onthobium|cookii|Onthobium cookii Paulian, 1986	452
Andrefrancia Solem, 1960	Animalia|Mollusca|Gastropoda|Stylommatophora|Charopidae|Andrefrancia||Andrefrancia Solem, 1960	452
Anonthobium Paulian & Pluot-Sigwalt, 1985	Animalia|Arthropoda|Insecta|Coleoptera|Scarabaeidae|Anonthobium||Anonthobium Paulian & Pluot-Sigwalt, 1985	448
Onthobium Reiche, 1860	Animalia|Arthropoda|Insecta|Coleoptera|Scarabaeidae|Onthobium||Onthobium Reiche, 1860	436
Laccobius Erichson, 1837	Animalia|Arthropoda|Insecta|Coleoptera|Hydrophilidae|Laccobius||Laccobius Erichson, 1837	414
Sigaloseps deplanchei Bavay, 1869	Animalia|Chordata|Reptilia|Squamata|Scincidae|Sigaloseps|deplanchei|Sigaloseps deplanchei Bavay, 1869	414
Caledoniscincus atropunctatus (Roux, 1913)	Animalia|Chordata|Reptilia|Squamata|Scincidae|Caledoniscincus|atropunctatus|Caledoniscincus atropunctatus (Roux, 1913)	405
Hibbertia pancheri Briq.	Plantae|Magnoliophyta|Magnoliopsida|Dilleniales|Dilleniaceae|Hibbertia|pancheri|Hibbertia pancheri Briq.	396
Caledoniscincus aquilonius Sadlier, Bauer & Colgan, 1999	Animalia|Chordata|Reptilia|Squamata|Scincidae|Caledoniscincus|aquilonius|Caledoniscincus aquilonius Sadlier, Bauer & Colgan, 1999	375
Onthobium gutierrezi Paulian, 1984	Animalia|Arthropoda|Insecta|Coleoptera|Scarabaeidae|Onthobium|gutierrezi|Onthobium gutierrezi Paulian, 1984	374
Caledoniscincus atropunctatus Roux, 1913	Animalia|Chordata|Reptilia|Squamata|Scincidae|Caledoniscincus|atropunctatus|Caledoniscincus atropunctatus Roux, 1913	354
Caledoniscincus haplorhinus (Günther, 1872)	Animalia|Chordata|Reptilia|Squamata|Scincidae|Caledoniscincus|haplorhinus|Caledoniscincus haplorhinus (Günther, 1872)	354
Dracophyllum ramosum Pancher ex Brongn. & Gris	Plantae|Magnoliophyta|Magnoliopsida|Ericales|Epacridaceae|Dracophyllum|ramosum|Dracophyllum ramosum Pancher ex Brongn. & Gris	315
Hymenoptera	Animalia|Arthropoda|Insecta|Hymenoptera||||Hymenoptera	312
Dracophyllum ramosum Panch. ex Brongn. & Gris	Plantae|Tracheophyta|Magnoliopsida|Ericales|Ericaceae|Dracophyllum|ramosum|Dracophyllum ramosum Panch. ex Brongn. & Gris	310
Psychotria L.	Plantae|Magnoliophyta|Magnoliopsida|Gentianales|Rubiaceae|Psychotria||Psychotria L.	304
Pseudonthobium humboldtense (Montreuil & Théry, 2011)	Animalia|Arthropoda|Insecta|Coleoptera|Scarabaeidae|Pseudonthobium|humboldtense|Pseudonthobium humboldtense (Montreuil & Théry, 2011)	302
Zalmoxis Sörensen in Koch, 1886	Animalia|Arthropoda|Arachnida|Opiliones|Zalmoxidae|Zalmoxis||Zalmoxis Sörensen in Koch, 1886	293
Bavayia cyclura Günther, 1872	Animalia|Chordata|Reptilia|Squamata|Diplodactylidae|Bavayia|cyclura|Bavayia cyclura Günther, 1872	291
