taxonName	taxonPath	recordCount
Formicidae	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|||Formicidae	18963
Formicidae Latreille, 1802	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|||Formicidae Latreille, 1802	18769
Pheidole Westwood, 1839	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Pheidole||Pheidole Westwood, 1839	11026
Balclutha incisa	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Balclutha|incisa|Balclutha incisa	10692
Balclutha incisa Matsumura, 1902	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Balclutha|incisa|Balclutha incisa Matsumura, 1902	10692
Carabidae Latreille, 1802	Animalia|Arthropoda|Insecta|Coleoptera|Carabidae|||Carabidae Latreille, 1802	10134
Carabidae	Animalia|Arthropoda|Insecta|Coleoptera|Carabidae|||Carabidae	10065
	|||||||	9548
Solenopsis Westwood, 1840	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Solenopsis||Solenopsis Westwood, 1840	7282
Strumigenys Smith, 1860	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Strumigenys||Strumigenys Smith, 1860	6612
Nylanderia Emery, 1906	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Nylanderia||Nylanderia Emery, 1906	5345
Onthophagus batesi Howden & Cartwright, 1963	Animalia|Arthropoda|Insecta|Coleoptera|Scarabaeidae|Onthophagus|batesi|Onthophagus batesi Howden & Cartwright, 1963	5266
Graminella	Animalia|Arthropoda|Insecta|Hemiptera|Cicadellidae|Graminella||Graminella	4784
Copris lugubris Boheman, 1858	Animalia|Arthropoda|Insecta|Coleoptera|Scarabaeidae|Copris|lugubris|Copris lugubris Boheman, 1858	4342
Rhinacloa Reuter, 1876	Animalia|Arthropoda|Insecta|Hemiptera|Miridae|Rhinacloa||Rhinacloa Reuter, 1876	4066
Coragyps atratus (Bechstein, 1793)	Animalia|Chordata|Aves|Accipitriformes|Cathartidae|Coragyps|atratus|Coragyps atratus (Bechstein, 1793)	3728
Phyllophaga Harris, 1827	Animalia|Arthropoda|Insecta|Coleoptera|Melolonthidae|Phyllophaga||Phyllophaga Harris, 1827	3232
Cathartes aura (Linnaeus, 1758)	Animalia|Chordata|Aves|Accipitriformes|Cathartidae|Cathartes|aura|Cathartes aura (Linnaeus, 1758)	3071
Stenamma Westwood, 1839	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Stenamma||Stenamma Westwood, 1839	2854
Quiscalus mexicanus (Gmelin, 1788)	Animalia|Chordata|Aves|Passeriformes|Icteridae|Quiscalus|mexicanus|Quiscalus mexicanus (Gmelin, 1788)	2843
Turdus grayi Bonaparte, 1838	Animalia|Chordata|Aves|Passeriformes|Turdidae|Turdus|grayi|Turdus grayi Bonaparte, 1838	2798
