taxonName	taxonPath	recordCount
Schistosoma haematobium (Bilharz, 1852)	Animalia|Platyhelminthes|Trematoda|Diplostomida|Schistosomatidae|Schistosoma|haematobium|Schistosoma haematobium (Bilharz, 1852)	1480
Bulinus truncatus (Audouin, 1827)	Animalia|Mollusca|Gastropoda|Hygrophila|Planorbidae|Bulinus|truncatus|Bulinus truncatus (Audouin, 1827)	1437
Pennisetum glaucum (L.) R.Br.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Pennisetum|glaucum|Pennisetum glaucum (L.) R.Br.	1161
Pennisetum glaucum (L.) R.Br.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Pennisetum|glaucum|Pennisetum glaucum (L.) R.Br.	1156
Schistosoma haematobium (Bilharz, 1852)	Animalia|Platyhelminthes|Trematoda|Strigeatida|Schistosomatidae|Schistosoma|haematobium|Schistosoma haematobium (Bilharz, 1852)	994
Bulinus Müller, 1781	Animalia|Mollusca|Gastropoda|Basommatophora|Planorbidae|Bulinus||Bulinus Müller, 1781	787
	|||||||	502
Prosopis africana (Guill. & Perr.) Taub.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Prosopis|africana|Prosopis africana (Guill. & Perr.) Taub.	380
Vigna unguiculata (L.) Walp.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Vigna|unguiculata|Vigna unguiculata (L.) Walp.	304
Vigna unguiculata (L.) Walp.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Vigna|unguiculata|Vigna unguiculata (L.) Walp.	304
Biomphalaria pfeifferi Krauss, 1848	Animalia|Mollusca|Gastropoda|Hygrophila|Planorbidae|Biomphalaria|pfeifferi|Biomphalaria pfeifferi Krauss, 1848	242
Sorghum bicolor (L.) Moench	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Sorghum|bicolor|Sorghum bicolor (L.) Moench	216
Gerbillus Desmarest, 1804	Animalia|Chordata|Mammalia|Rodentia|Muridae|Gerbillus||Gerbillus Desmarest, 1804	212
Agonoscelis Spinola, 1837	Animalia|Arthropoda|Insecta|Hemiptera|Pentatomidae|Agonoscelis||Agonoscelis Spinola, 1837	202
Bulinus forskalii (Ehrenberg, 1831)	Animalia|Mollusca|Gastropoda|Hygrophila|Planorbidae|Bulinus|forskalii|Bulinus forskalii (Ehrenberg, 1831)	191
Bulinus (Pyrgophysa) forskalii (Ehrenberg, 1831)	Animalia|Mollusca|Gastropoda|Basommatophora|Planorbidae|Bulinus|forskalii|Bulinus (Pyrgophysa) forskalii (Ehrenberg, 1831)	190
Pennisetum violaceum (Lam.) Rich.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Pennisetum|violaceum|Pennisetum violaceum (Lam.) Rich.	164
Pennisetum violaceum (Lam.) Rich.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Pennisetum|violaceum|Pennisetum violaceum (Lam.) Rich.	164
Lymnaea natalensis Krauss, 1848	Animalia|Mollusca|Gastropoda|Hygrophila|Lymnaeidae|Lymnaea|natalensis|Lymnaea natalensis Krauss, 1848	151
Sorghum bicolor (L.) Moench	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Sorghum|bicolor|Sorghum bicolor (L.) Moench	142
Biomphalaria Preston, 1910	Animalia|Mollusca|Gastropoda|Basommatophora|Planorbidae|Biomphalaria||Biomphalaria Preston, 1910	140
Gerbillus nigeriae Thomas & Hinton, 1920	Animalia|Chordata|Mammalia|Rodentia|Muridae|Gerbillus|nigeriae|Gerbillus nigeriae Thomas & Hinton, 1920	106
Lymnaea natalensis Krauss, 1848	Animalia|Mollusca|Gastropoda|Basommatophora|Lymnaeidae|Lymnaea|natalensis|Lymnaea natalensis Krauss, 1848	104
Eidolon helvum (Kerr, 1792)	Animalia|Chordata|Mammalia|Chiroptera|Pteropodidae|Eidolon|helvum|Eidolon helvum (Kerr, 1792)	97
Sorghum bicolor subsp. bicolor	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Sorghum|bicolor|Sorghum bicolor subsp. bicolor	74
Panthera leo leo	Animalia|Chordata|Mammalia|Carnivora|Felidae|Panthera|Panthera leo leo	72
Corvus albus Statius Muller, 1776	Animalia|Chordata|Aves|Passeriformes|Corvidae|Corvus|albus|Corvus albus Statius Muller, 1776	69
Panthera leo	Animalia|Chordata|Mammalia|Carnivora|Felidae|Panthera|Panthera leo	66
Hippotragus equinus	Animalia|Chordata|Mammalia|Artiodactyla|Bovidae|Hippotragus|Hippotragus equinus	64
Streptopelia senegalensis (Linnaeus, 1766)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|senegalensis|Streptopelia senegalensis (Linnaeus, 1766)	57
Ciconia ciconia (Linnaeus, 1758)	Animalia|Chordata|Aves|Ciconiiformes|Ciconiidae|Ciconia|ciconia|Ciconia ciconia (Linnaeus, 1758)	57
Oena capensis (Linnaeus, 1766)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Oena|capensis|Oena capensis (Linnaeus, 1766)	57
Chordata	Animalia|Chordata||||||Chordata	56
Loxodonta africana	Animalia|Chordata|Mammalia|Proboscidea|Elephantidae|Loxodonta|Loxodonta africana	56
Pennisetum pedicellatum Trin.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Pennisetum|pedicellatum|Pennisetum pedicellatum Trin.	54
Pennisetum pedicellatum Trin.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Pennisetum|pedicellatum|Pennisetum pedicellatum Trin.	54
Schistosoma bovis (Sonsino, 1876)	Animalia|Platyhelminthes|Trematoda|Diplostomida|Schistosomatidae|Schistosoma|bovis|Schistosoma bovis (Sonsino, 1876)	53
Coracias abyssinicus Hermann, 1783	Animalia|Chordata|Aves|Coraciiformes|Coraciidae|Coracias|abyssinicus|Coracias abyssinicus Hermann, 1783	51
Hemisarcoptes Lignières, 1893	Animalia|Arthropoda|Arachnida|Astigmata|Hemisarcoptidae|Hemisarcoptes||Hemisarcoptes Lignières, 1893	50
Tomopterna cryptotis (Boulenger, 1907)	Animalia|Chordata|Amphibia|Anura|Pyxicephalidae|Tomopterna|cryptotis|Tomopterna cryptotis (Boulenger, 1907)	50
Eremopterix nigriceps (Gould, 1839)	Animalia|Chordata|Aves|Passeriformes|Alaudidae|Eremopterix|nigriceps|Eremopterix nigriceps (Gould, 1839)	49
Tragelaphus scriptus	Animalia|Chordata|Mammalia|Artiodactyla|Bovidae|Tragelaphus|Tragelaphus scriptus	48
Ploceus cucullatus subsp. cucullatus	Animalia|Chordata|Aves|Passeriformes|Ploceidae|Ploceus|cucullatus|Ploceus cucullatus subsp. cucullatus	46
Gerbillus pyramidum Geoffroy, 1825	Animalia|Chordata|Mammalia|Rodentia|Muridae|Gerbillus|pyramidum|Gerbillus pyramidum Geoffroy, 1825	46
Ploceus cucullatus cucullatus	Animalia|Chordata|Aves|Passeriformes|Ploceidae|Ploceus|cucullatus|Ploceus cucullatus cucullatus	46
